zwf,c2265,,,,,,,
zupT,c3789,,,,,,,
zraP,c4959,,,,,,,
znuC,c2272,,,,,,,
zntB,c1816,,,,,,,
zntA,c4262,,,,,,,
zipA,c2946,,,,,,,
zapD,c0122,,,,,,,
zapB,yiiU,c4880,,,,,,
zapA,c3492,,,,,,,
ytjA,c5459,,,,,,,
ytfT,c5327,,,,,,,
ytfR,c5326,,,,,,,
ytfQ,c5325,,,,,,,
ytfP,c5320,,,,,,,
ytfN,c5319,,,,,,,
ytfM,c5318,,,,,,,
ytfL,c5316,,,,,,,
ytfK,c5315,,,,,,,
ytfH,c5311,,,,,,,
ytfG,c5310,,,,,,,
ytfF,c5309,,,,,,,
ytfE,c5308,,,,,,,
ytfB,c5305,,,,,,,
ytcA,c5088,,,,,,,
ysaB,c4380,,,,,,,
yrhB,c4235,,,,,,,
yrhA,c4234,,,,,,,
yrfG,c4170,,,,,,,
yrfF,c4169,,,,,,,
yrfE,c4167,,,,,,,
yrfD,c4165,,,,,,,
yrfC,c4164,,,,,,,
yrfB,c4163,,,,,,,
yrfA,c4162,,,,,,,
yrdD,c4044,,,,,,,
yrdB,c4041,,,,,,,
yrdA,c4040,,,,,,,
yrbL,c3967,,,,,,,
yrbG,c3956,,,,,,,
yrbD,c3953,,,,,,,
yrbC,c3952,,,,,,,
yrbB,c3950,,,,,,,
yraR,c3906,,,,,,,
yraQ,c3905,,,,,,,
yraP,c3904,,,,,,,
yraN,c3901,,,,,,,
yraL,rsmI,c3899,,,,,,
yqjK,c3858,,,,,,,
yqjI,c3824,,,,,,,
yqjH,c3823,,,,,,,
yqjF,c3859,,,,,,,
yqjE,c3857,,,,,,,
yqjD,c3856,,,,,,,
yqjC,c3855,,,,,,,
yqjB,mzrA,c3854,,,,,,
yqjA,c3853,,,,,,,
yqiK,c3799,,,,,,,
yqiJ,c3798,,,,,,,
yqiH,c3793,,,,,,,
yqiG,c3792,,,,,,,
yqiC,c3796,,,,,,,
yqiB,c3779,,,,,,,
yqiA,c3777,,,,,,,
yqhH,c3748,,,,,,,
yqhG,c3747,,,,,,,
yqhD,c3745,,,,,,,
yqhC,c3744,,,,,,,
yqhA,c3738,,,,,,,
yqgF,c3535,,,,,,,
yqgE,c3534,,,,,,,
yqgD,c3527,,,,,,,
yqgB,c3525,,,,,,,
yqgA,c3555,,,,,,,
yqfE,c3496,,,,,,,
yqfB,c3481,,,,,,,
yqfA,c3480,,,,,,,
yqeG,c3442,,,,,,,
yqeF,c3441,,,,,,,
yqeC,c3454,,,,,,,
yqeB,c3453,,,,,,,
yqeA,c3452,,,,,,,
yqcE,c3333,,,,,,,
yqcC,c3358,,,,,,,
yqcA,c3356,,,,,,,
yqaE,c3215,,,,,,,
yqaB,c3247,,,,,,,
yqaA,c3246,,,,,,,
ypjD,c3132,,,,,,,
yphH,c3072,,,,,,,
yphG,c3071,,,,,,,
yphF,c3070,,,,,,,
yphE,c3069,,,,,,,
yphD,c3068,,,,,,,
yphC,c3067,,,,,,,
yphB,c3066,,,,,,,
yphA,c3065,,,,,,,
ypfN,c3000,,,,,,,
ypfJ,c3003,,,,,,,
ypfI,tmcA,c3002,,,,,,
ypfH,c3001,,,,,,,
ypfG,c2991,,,,,,,
ypeC,c2929,,,,,,,
ypeA,c2968,,,,,,,
ypdI,c2912,,,,,,,
ypdE,c2923,,,,,,,
ypdC,c2921,,,,,,,
ypdB,c2920,,,,,,,
ypdA,c2919,,,,,,,
yojO,c2748,,,,,,,
yojN,rcsD,c2759,,,,,,
yojL,c2756,,,,,,,
yojI,c2752,,,,,,,
yohO,c2657.1,,,,,,,
yohK,c2674,,,,,,,
yohJ,c2673,,,,,,,
yohD,c2668,,,,,,,
yohC,c2667,,,,,,,
yoeB,c2544,,,,,,,
yodD,c2372,,,,,,,
yodC,c2376,,,,,,,
yodA,c2391,,,,,,,
yobH,c2235,,,,,,,
yobF,c2232,,,,,,,
yobD,c2227,,,,,,,
yobB,c2253,,,,,,,
yobA,c2251,,,,,,,
yoaI,c2193,,,,,,,
yoaH,c2216,,,,,,,
yoaG,c2202,,,,,,,
yoaF,c2198,,,,,,,
yoaE,c2222,,,,,,,
yoaD,c2221,,,,,,,
yoaC,c2214,,,,,,,
yoaB,c2213,,,,,,,
ynjH,c2161,,,,,,,
ynjF,c2159,,,,,,,
ynjD,c2157,,,,,,,
ynjC,c2156,,,,,,,
ynjA,c2154,,,,,,,
yniC,c2126,,,,,,,
yniB,c2125,,,,,,,
yniA,c2124,,,,,,,
ynhG,c2073,,,,,,,
ynhE,c2078,,,,,,,
ynhD,c2077,,,,,,,
