aspC,b0928,JW0911,,,,,,,,,
accA,b0185,JW0180,,,,,,,,,
appC,cbdA,cyxA,b0978,JW0960,,,,,,,
arnA,pmrI,yfbG,b2255,JW2249,,,,,,,
casE,cas6e,ygcH,b2756,JW2726,,,,,,,
pheA,b2599,JW2580,,,,,,,,,
alsE,yjcU,b4085,JW4046,,,,,,,,
aroE,b3281,JW3242,,,,,,,,,
betB,b0312,JW0304,,,,,,,,,
coaD,kdtB,yicA,b3634,JW3609,,,,,,,
gnd,b2029,JW2011,,,,,,,,,
aes,ybaC,b0476,JW0465,,,,,,,,
chbG,ydjC,b1733,JW1722,,,,,,,,
chrR,yieF,b3713,JW3691,,,,,,,,
coaBC,dfp,b3639,JW5642,,,,,,,,
cca,b3056,JW3028,,,,,,,,,
groL,groEL,mopA,b4143,JW4103,,,,,,,
bcp,b2480,JW2465,,,,,,,,,
patD,prr,ydcW,b1444,JW1439,,,,,,,
aroK,b3390,JW5947,,,,,,,,,
btsT,yjiY,b4354,JW5791,,,,,,,,
amiD,ybjR,b0867,JW0851,,,,,,,,
ampH,yaiH,b0376,JW5052,,,,,,,,
cheZ,b1881,JW1870,,,,,,,,,
cheY,b1882,JW1871,,,,,,,,,
acrA,lir,mtcA,b0463,JW0452,,,,,,,
yncM,,,,,,,,,,,
yfjV,,,,,,,,,,,
acpH,yajB,b0404,JW0394,,,,,,,,
asnC,b3743,JW3721,,,,,,,,,
cobS,b1992,JW1970,,,,,,,,,
cirA,cir,feuA,b2155,JW2142,,,,,,,
ygiF,b3054,JW3026,,,,,,,,,
agaS,yraB,b3136,JW3105,,,,,,,,
acrZ,ybhT,b0762,JW5102,,,,,,,,
aroG,b0754,JW0737,,,,,,,,,
bisC,b3551,JW5940,,,,,,,,,
cybB,b1418,JW5224,,,,,,,,,
cspG,cspI,b0990,JW0974,,,,,,,,
csgD,b1040,JW1023,,,,,,,,,
csgC,b1043,JW1026,,,,,,,,,
pgl,ybhE,b0767,JW0750,,,,,,,,
amiA,yfeE,b2435,JW2428,,,,,,,,
alpA,alp,b2624,JW2604,,,,,,,,
