"block"	"Wpval"	"Ppval"	"Pp_adj"
"1"	"Block1034"	"0.932791537667699"	"0.961"	1
"2"	"Block1033"	"0.142857142857143"	"0.183"	0.968715447154472
"3"	"Block1032"	"0.428571428571429"	"0.464"	0.968715447154472
"4"	"Block1028"	"0.296035606905172"	"0.468"	0.968715447154472
"5"	"Block1027"	"0.428571428571429"	"0.464"	0.968715447154472
"6"	"Block1026"	"0.285714285714286"	"0.307"	0.968715447154472
"7"	"Block1025"	"0.642857142857143"	"0.677"	0.968715447154472
"8"	"Block1024"	"0.987744164489396"	"0.998"	1
"9"	"Block1023"	"0.787854431632005"	"0.965"	1
"10"	"Block1022"	"0.727272727272727"	"0.75"	0.992481203007519
"11"	"Block1014"	"0.6"	"0.637"	0.968715447154472
"12"	"Block1013"	"0.209090909090909"	"0.218"	0.968715447154472
"13"	"Block1009"	"0.6"	"0.637"	0.968715447154472
"14"	"Block1006"	"0.800051599587203"	"0.868"	1
"15"	"Block1000"	"0.642857142857143"	"0.677"	0.968715447154472
"16"	"Block989"	"1"	"1"	1
"17"	"Block986"	"0.403658195716038"	"0.609"	0.968715447154472
"18"	"Block979"	"0.857142857142857"	"0.677"	0.968715447154472
"19"	"Block974"	"0.446153846153846"	"0.509"	0.968715447154472
"20"	"Block972"	"0.428571428571429"	"0.464"	0.968715447154472
"21"	"Block968"	"0.481818181818182"	"0.517"	0.968715447154472
"22"	"Block966"	"1"	"1"	1
"23"	"Block963"	"0.857142857142857"	"0.677"	0.968715447154472
"24"	"Block962"	"0.861538461538461"	"0.889"	1
"25"	"Block955"	"0.642857142857143"	"0.677"	0.968715447154472
"26"	"Block954"	"1"	"1"	1
"27"	"Block953"	"0.642857142857143"	"0.677"	0.968715447154472
"28"	"Block951"	"0.428571428571429"	"0.464"	0.968715447154472
"29"	"Block950"	"0.0181818181818182"	"0.001"	0.0251428571428571
"30"	"Block943"	"0.863636363636364"	"0.884"	1
"31"	"Block942"	"0.727272727272727"	"0.75"	0.992481203007519
"32"	"Block933"	"0.598901098901099"	"0.66"	0.968715447154472
"33"	"Block914"	"0.598901098901099"	"0.66"	0.968715447154472
"34"	"Block913"	"0.00611088027446761"	"0.008"	0.1408
"35"	"Block910"	"0.250869268031739"	"0.358"	0.968715447154472
"36"	"Block908"	"0.857142857142857"	"0.677"	0.968715447154472
"37"	"Block902"	"0.727272727272727"	"0.75"	0.992481203007519
"38"	"Block901"	"0.428571428571429"	"0.464"	0.968715447154472
"39"	"Block900"	"0.871170019911439"	"0.929"	1
"40"	"Block898"	"0.977401862055637"	"0.998"	1
"41"	"Block897"	"0.857142857142857"	"0.677"	0.968715447154472
"42"	"Block896"	"0.727272727272727"	"0.75"	0.992481203007519
"43"	"Block889"	"0.607549635773997"	"0.986"	1
"44"	"Block878"	"0.281818181818182"	"0.306"	0.968715447154472
"45"	"Block870"	"0.348555211558308"	"0.461"	0.968715447154472
"46"	"Block868"	"0.800051599587203"	"0.868"	1
"47"	"Block863"	"0.141769865841073"	"0.194"	0.968715447154472
"48"	"Block862"	"0.598901098901099"	"0.66"	0.968715447154472
"49"	"Block860"	"0.000128998968008256"	"0"	0
"50"	"Block853"	"0.285714285714286"	"0.307"	0.968715447154472
"51"	"Block843"	"0.285714285714286"	"0.307"	0.968715447154472
"52"	"Block840"	"0.428571428571429"	"0.464"	0.968715447154472
"53"	"Block838"	"0.642857142857143"	"0.677"	0.968715447154472
"54"	"Block837"	"0.897221795310064"	"0.966"	1
"55"	"Block831"	"0.428571428571429"	"0.464"	0.968715447154472
"56"	"Block823"	"0.285714285714286"	"0.307"	0.968715447154472
"57"	"Block817"	"0.727272727272727"	"0.75"	0.992481203007519
"58"	"Block813"	"0.863636363636364"	"0.884"	1
"59"	"Block809"	"0.428571428571429"	"0.464"	0.968715447154472
"60"	"Block806"	"0.285714285714286"	"0.307"	0.968715447154472
"61"	"Block805"	"0.453683616155012"	"0.606"	0.968715447154472
"62"	"Block798"	"0.683516483516483"	"0.724"	0.992481203007519
"63"	"Block795"	"1"	"1"	1
"64"	"Block791"	"0.481818181818182"	"0.517"	0.968715447154472
"65"	"Block790"	"0.642857142857143"	"0.677"	0.968715447154472
"66"	"Block786"	"0.857142857142857"	"0.677"	0.968715447154472
"67"	"Block785"	"0.863636363636364"	"0.884"	1
"68"	"Block775"	"0.00122968818620993"	"0.001"	0.0251428571428571
"69"	"Block773"	"0.428341629907095"	"0.66"	0.968715447154472
"70"	"Block772"	"0.209488617358387"	"0.399"	0.968715447154472
"71"	"Block771"	"0.179713772454072"	"0.347"	0.968715447154472
"72"	"Block767"	"0.0870484529949556"	"0.255"	0.968715447154472
"73"	"Block765"	"0.727272727272727"	"0.75"	0.992481203007519
"74"	"Block760"	"0.261538461538462"	"0.291"	0.968715447154472
"75"	"Block758"	"0.285714285714286"	"0.307"	0.968715447154472
"76"	"Block756"	"0.17032967032967"	"0.188"	0.968715447154472
"77"	"Block752"	"0.446153846153846"	"0.509"	0.968715447154472
"78"	"Block750"	"0.285714285714286"	"0.307"	0.968715447154472
"79"	"Block746"	"0.00769230769230769"	"0.003"	0.066
"80"	"Block731"	"1"	"1"	1
"81"	"Block532"	"0.863636363636364"	"0.884"	1
"82"	"Block513"	"0.934490469322327"	"0.976"	1
"83"	"Block512"	"0.17847763552956"	"0.413"	0.968715447154472
"84"	"Block510"	"0.236645085232405"	"0.4"	0.968715447154472
"85"	"Block505"	"0.0010989010989011"	"0"	0
"86"	"Block504"	"0.642857142857143"	"0.677"	0.968715447154472
"87"	"Block503"	"0.548345945866669"	"0.778"	1
"88"	"Block502"	"0.481818181818182"	"0.517"	0.968715447154472
