"","gene_id","Locus_tag","norm_count","raw_count","BW25113_GSE73673","BW25113_GSE85914"
"1",NA,"__alignment_not_unique",960128.94022915,23566717,1,NA
"2",NA,"__ambiguous",186.109945456854,4351,1,NA
"3",NA,"__no_feature",5139.4630706733,119384,1,NA
"4",NA,"__not_aligned",0,0,1,NA
"5",NA,"__too_low_aQual",0,0,1,NA
"6","thrL","b0001",139.132613549459,179,1,1
"7","thrA","b0002",710.751411774758,1124,1,1
"8","thrB","b0003",430.081191714941,510,1,1
"9","thrC","b0004",193.727489520609,335,1,1
"10","yaaX","b0005",7.52465665100674,11,1,1
"11","yaaA","b0006",22.8204999195647,27,1,1
"12","yaaJ","b0007",15.8829532173512,17.5,1,1
"13","talB","b0008",754.299631173613,813.5,1,1
"14","mog","b0009",28.0957686389167,32.5,1,1
"15","satP","b0010",4.84927033290854,7.5,1,1
"16","yaaW","b0011",1.08694200740517,2.5,1,1
"17","yaaI","b0013",1.06295989288247,1.5,1,1
"18","dnaK","b0014",467.606043725432,1075,1,1
"19","dnaJ","b0015",91.5233305957585,151,1,1
"20","insL1","b0016",10.5096883562112,10,1,1
"21","mokC","b0018",13.6625948630745,13,1,1
"22","nhaA","b0019",29.4313716007691,53,1,1
"23","nhaR","b0020",95.2107301834908,107.5,1,1
"24","insB1","b0021",0.525484417810559,0.5,1,1
"25","insA","b0022",19.9684078768012,19,1,1
"26","rpsT","b0023",849.694931993595,869.5,1,1
"27","yaaY","b0024",21.0806503361616,21.5,1,1
"28","ribF","b0025",39.0857039100656,73,1,1
"29","ileS","b0026",171.855435819259,349.5,1,1
"30","lspA","b0027",63.5074700446883,75,1,1
"31","fkpB","b0028",235.073522721929,240.5,1,1
"32","ispH","b0029",46.5224049941525,61,1,1
"33","rihC","b0030",5.84160221965541,7.5,1,1
"34","dapB","b0031",88.4915964706835,140.5,1,1
"35","carA","b0032",27.3362970353419,51,1,1
"36","carB","b0033",35.3217418137263,96,1,1
"37","caiF","b0034",1.69487393646607,4,1,1
"38","caiE","b0035",0.561457589594613,2,1,1
"39","caiD","b0036",1.07139337686754,1.5,1,1
"40","caiC","b0037",2.24490945996719,5.5,1,1
"41","caiB","b0038",18.0103628926952,21,1,1
"42","caiA","b0039",11.7649026042965,16,1,1
"43","caiT","b0040",0.596536827631195,2,1,1
"44","fixA","b0041",0,0,1,1
"45","fixB","b0042",1.5968777946781,2,1,1
"46","fixC","b0043",0.0119910572613514,0.5,1,1
"47","fixX","b0044",0,0,1,1
"48","yaaU","b0045",0.0119910572613514,0.5,1,1
"49","kefF","b0046",7.41805547308709,8.5,1,1
"50","kefC","b0047",10.1640697973209,14,1,1
"51","folA","b0048",111.568485532087,110.5,1,1
"52","apaH","b0049",39.3595296501189,54.5,1,1
"53","apaG","b0050",541.149780385989,524,1,1
"54","rsmA","b0051",71.0944755023432,98,1,1
"55","pdxA","b0052",388.972456450389,383.5,1,1
