gene_name,0x58_rep2_state1,0x58_rep3_state1,0x58_rep2_state2,0x58_rep3_state2,0x58_rep2_state3,0x58_rep3_state3,0x58_rep2_state4,0x58_rep3_state4,0x58_rep2_state5,0x58_rep3_state5,0x58_rep2_state6,0x58_rep3_state6,0x58_rep2_state7,0x58_rep3_state7,0x58_rep2_state8,0x58_rep3_state8,0x58modified_state3,Control_rep1,Control_rep2
17_locusTag_ECDH10B_1337,7,21,5,18,7,16,4,32,12,11,15,13,6,14,20,10,0,7,23
18_locusTag_ECDH10B_1338,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
19_locusTag_ECDH10B_1339,0,0,0,0,0,2,0,0,1,1,1,0,1,1,1,2,0,0,1
2_locusTag_ECDH10B_1347,5,14,4,10,10,7,4,15,19,12,8,5,5,7,25,11,2,4,16
30_locusTag_ECDH10B_1329,1,4,1,0,2,5,0,5,0,3,1,1,2,2,4,7,0,0,3
40_locusTag_ECDH10B_1327,174,930,167,604,345,494,123,1362,516,573,394,384,205,370,638,628,36,355,1480
5_locusTag_ECDH10B_1352,2,4,2,2,0,0,1,1,1,1,0,1,0,0,0,5,0,1,2
AmtR,1489,4274,4284,8655,13227,14700,9842,44018,3904,3473,8211,6119,4304,8296,20667,13494,1441,0,0
AraC,7616,28116,7527,16223,12734,13906,7471,42186,18924,13069,18516,12140,9930,12104,25537,15331,1086,0,0
BM3R1,91,317,72,197,474,409,243,883,15316,19063,11089,11984,5155,14741,20405,20266,30,0,0
B_locusTag_ECDH10B_1349,3,23,9,8,10,15,5,27,14,16,21,13,15,8,21,13,0,13,29
C_locusTag_ECDH10B_1350,3,14,2,5,7,8,1,14,16,4,1,6,4,7,7,8,0,7,11
D_locusTag_ECDH10B_1351,2,5,1,4,2,5,1,12,5,3,2,5,2,3,12,5,0,1,9
ECDH10B_0725_locusTag_ECDH10B_0725,2,7,3,3,5,3,1,11,12,5,5,2,3,5,19,9,0,1,14
ECDH10B_1315_locusTag_ECDH10B_1315,0,2,0,0,3,1,0,0,1,1,1,0,1,0,1,0,0,0,0
ECDH10B_1316_locusTag_ECDH10B_1316,8,11,4,5,7,2,5,14,17,1,8,3,4,4,18,3,1,5,9
ECDH10B_1317_locusTag_ECDH10B_1317,5,5,7,4,7,4,3,12,6,2,7,0,3,5,9,3,1,6,8
ECDH10B_1320_locusTag_ECDH10B_1320,0,0,0,0,3,0,0,1,0,2,0,1,0,0,1,1,0,0,0
ECDH10B_1321_locusTag_ECDH10B_1321,6,28,11,23,23,8,11,35,35,13,18,8,8,11,34,18,1,10,21
ECDH10B_1322_locusTag_ECDH10B_1322,3,11,1,7,7,7,5,21,8,7,4,5,4,6,12,10,0,3,13
ECDH10B_1324_locusTag_ECDH10B_1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECDH10B_1325_locusTag_ECDH10B_1325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECDH10B_1331_locusTag_ECDH10B_1331,1,12,3,6,6,7,2,19,21,10,11,4,5,6,20,7,0,2,8
ECDH10B_1333_locusTag_ECDH10B_1333,7,29,3,14,15,24,5,38,23,30,19,18,7,11,34,16,0,17,28
ECDH10B_1334_locusTag_ECDH10B_1334,8,32,8,15,19,24,5,31,30,26,34,8,12,22,45,28,2,6,38
ECDH10B_1335_locusTag_ECDH10B_1335,3,7,4,3,3,3,2,9,9,8,12,1,4,3,4,6,2,7,9
ECDH10B_1343_locusTag_ECDH10B_1343,268,1160,226,582,542,526,217,1442,557,368,528,301,174,332,664,373,50,240,1170
ECDH10B_1344_locusTag_ECDH10B_1344,3,10,7,1,3,11,4,6,10,7,12,6,4,10,7,5,0,0,11
ECDH10B_1345_locusTag_ECDH10B_1345,3,10,4,8,17,9,6,18,25,5,6,9,6,5,16,4,0,1,8
ECDH10B_p1_locusTag_ECDH10B_p1,24913,75225,20927,37704,25860,28249,14453,69790,40816,28730,31719,25718,13428,21324,42362,26998,2908,27163,68708
ECDH10B_p2_locusTag_ECDH10B_p2,4505,11061,3341,5313,8179,4103,3279,10406,8517,4331,9191,3800,2396,3097,9911,3340,550,3231,9423
KanR,7398,26179,7353,14000,13653,13032,7339,29952,22247,10621,19658,9904,5929,7057,21633,9374,184,6899,27891
LacI,1037,4496,982,2527,1852,2309,1011,6532,3489,2427,3050,2223,1606,2290,3948,2649,7293,1900,5489
LitR,524,1783,670,1026,74047,105401,39119,237866,119233,167707,113883,139576,96773,293822,302703,292646,0,0,0
N_locusTag_ECDH10B_1326,1,2,1,0,1,0,0,10,4,0,1,0,0,3,0,2,0,1,5
Nu1_locusTag_ECDH10B_1346,2,2,1,1,4,2,0,6,4,3,10,1,4,1,12,0,0,2,2
P_locusTag_ECDH10B_1332,3,6,1,3,3,5,1,5,12,4,3,2,3,3,8,4,475,3,9
PhlF,16131,48882,12382,27371,6947,4913,2790,13163,6980,4532,9875,7060,3742,4009,10706,6115,0,0,0
Rz1_locusTag_ECDH10B_1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rz_locusTag_ECDH10B_1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,0
SrpR,67225,124354,7838,11949,11291,7999,6103,20259,73715,38944,6142,3660,2026,3281,6794,3782,202,0,0
TetR,1070,3277,993,1826,1844,1579,1104,4032,3183,1682,2672,1429,1514,1516,3828,1763,0,1544,3874
W_locusTag_ECDH10B_1348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6020,0,0
YFP,416,1473,412,981,86048,84318,43695,190946,167348,88886,3577,2214,5595,5380,14564,6767,2,0,0
aaeA_locusTag_ECDH10B_3418,23,79,19,31,25,32,17,72,40,38,30,28,23,26,48,21,17,25,68
aaeR_locusTag_ECDH10B_3420,94,449,98,301,125,164,80,442,244,233,184,147,95,151,304,180,0,155,532
aaeX_locusTag_ECDH10B_3419,1,16,3,4,0,8,1,17,4,5,3,2,6,4,10,1,42,4,24
aas_locusTag_ECDH10B_3006,256,1009,227,609,518,441,284,1173,771,381,616,287,237,281,710,269,13,255,850
aat_locusTag_ECDH10B_0955,86,303,61,186,107,187,59,361,260,154,164,117,118,147,279,133,2,70,224
abgA_locusTag_ECDH10B_1458,6,34,8,12,15,17,7,29,34,13,17,9,12,11,31,19,0,12,32
abgB_locusTag_ECDH10B_1457,6,16,4,15,5,11,3,25,28,16,17,7,8,6,23,11,6,6,14
abgR_locusTag_ECDH10B_1459,28,211,25,89,75,93,38,283,132,115,118,96,70,105,215,115,0,50,195
abgT_locusTag_ECDH10B_1456,8,23,6,6,10,18,5,27,15,14,4,4,3,8,24,14,1,7,26
abrB_locusTag_ECDH10B_0782,28,303,10,165,23,75,15,175,37,62,44,43,21,46,49,52,295,46,584
accA_locusTag_ECDH10B_0165,1809,5872,2031,2923,2745,2703,2016,6336,5852,3059,3976,2323,1800,2040,5424,1989,327,2093,4676
accB_locusTag_ECDH10B_3430,2091,5987,1660,3501,3006,2592,1612,6467,3682,2360,3107,1836,1362,1679,3951,1815,528,1807,4554
accC_locusTag_ECDH10B_3431,4116,11742,3472,6217,5646,4764,2811,11275,7859,3990,5386,2986,2392,2316,7193,2941,241,3980,8836
accD_locusTag_ECDH10B_2478,1852,6859,1393,3794,3240,3090,1627,7914,4617,3368,3259,2035,1494,2436,4511,2317,37,1774,4624
aceA_locusTag_ECDH10B_4204,547,2173,600,1185,421,373,195,795,575,374,542,306,340,460,1007,413,19,911,1602
aceB_locusTag_ECDH10B_4203,448,2347,391,1392,228,344,149,930,493,413,404,370,358,562,981,512,4268,519,1545
aceE_locusTag_ECDH10B_0094,23689,76421,19718,33997,46455,39445,20696,82900,65200,38628,54825,34524,24235,29502,77034,36428,2728,23463,67925
aceF_locusTag_ECDH10B_0095,16404,47231,14120,22855,31671,25987,13743,51921,47714,23728,34702,23828,17239,18699,52920,22085,9,18863,49206
aceK_locusTag_ECDH10B_4205,128,434,133,269,87,60,37,180,152,78,117,50,72,57,218,76,592,137,348
ackA_locusTag_ECDH10B_2458,4790,17712,2723,7808,6657,6585,3220,15313,12706,8159,8364,5781,3625,5361,12357,6838,93,3957,14110
acnA_locusTag_ECDH10B_1393,320,1153,297,635,864,678,390,1736,1020,414,863,381,425,292,1308,397,1822,396,1296
acnB_locusTag_ECDH10B_0098,7681,27056,7515,14140,20370,13465,8811,32006,22292,11343,18853,8914,9239,7053,27125,8843,19,10202,29218
acpH_locusTag_ECDH10B_0360,96,204,70,135,167,120,73,270,299,148,224,112,114,122,338,150,829,68,240
acpP_locusTag_ECDH10B_1166,5446,25200,4836,12874,9714,11766,5976,35739,14138,12694,11501,11277,4484,11684,18189,11497,28,4406,17722
acpT_locusTag_ECDH10B_3649,211,501,133,203,138,107,95,275,177,110,122,62,53,31,144,65,59,122,353
acrA_locusTag_ECDH10B_0419,156,882,251,607,509,640,269,1423,309,223,1758,1167,927,1059,2528,1362,137,1065,3587
acrB_locusTag_ECDH10B_0418,507,1678,564,1109,1414,1029,739,2560,909,531,4473,2358,1909,1927,6207,2211,11,2588,6930
acrD_locusTag_ECDH10B_2635,73,200,57,91,167,140,66,253,473,237,322,189,194,236,478,215,1,40,150
acrE_locusTag_ECDH10B_3440,4,27,4,14,6,5,3,13,16,4,7,7,4,4,10,3,5,6,17
acrF_locusTag_ECDH10B_3441,43,155,45,100,68,62,37,144,138,64,84,48,53,63,125,85,3,50,166
acrR_locusTag_ECDH10B_0420,4,10,10,23,19,26,15,54,17,12,121,79,61,106,202,122,0,16,80
acs_locusTag_ECDH10B_4259,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
