GEO_accession	Col_names	File_Name
GSE94978	ATCC2_count,ATCC3_count	Ecoli_ATCC_GSE94978_All_sample_gene_expression_information.txt
GSE73673	BLANK	Ecoli_BW25113_GSE73673_GSM1900506_WT_1.htcount.txt
GSE73673	BLANK	Ecoli_BW25113_GSE73673_GSM1900507_WT_2.htcount.txt
GSE73673	BLANK	Ecoli_BW25113_GSE73673_GSM1900508_WT_3.htcount.txt
GSE85914	Expression WT	Ecoli_BW25113_GSE85914_expression_subset.txt
GSE98890	Control_rep1,Control_rep2	Ecoli_K12_DH10B_GSE98890_gene_read_counts_FULL_DATA.txt
GSE114917	LP1,LP2,LP3,LP4	Ecoli_K12_MG1655_GSE114917_count_table.txt
GSE40313	BLANK	Ecoli_K12_MG1655_GSE40313_WT1_GSM991216_AW1.fastq.sam.hits.expression.txt
GSE40313	BLANK	Ecoli_K12_MG1655_GSE40313_WT2_GSM991217_AW2.fastq.sam.hits.expression.txt
GSE54199	Raw_counts_replicate_1,Raw_counts_replicate_2	Ecoli_K12_MG1655_GSE54199_EC_Cont_DNA.txt
GSE54199	Raw_counts_replicate_1,Raw_counts_replicate_2	Ecoli_K12_MG1655_GSE54199_EC_Cont_RNA.txt
GSE60522	WT untr 1,WT untr 2,WT untr 3	Ecoli_K12_MG1655_GSE60522_RNAseq_ProcessedData_subset_k_12_MG1655.txt
