"locus_tag"	"gene_id"	"gbk_start"	"gbk_end"	"gbk_midpoint"	"gbk_gene_id"	"gbk_locus_tag"	"gbk_strand"	"norm_exp"	"block"	"taxa"	"start"	"end"	"rev_comp"	"inversion"	"strain"	"gbk_old_locus_tag"	"block_len"	"midpoint"	"block_tax_num"	"block_w_pvalue"	"block_t_pvalue"	"block_t_stat"	"block_t_confinf1"	"block_t_confinf2"	"block_avg_exp_invert"	"block_avg_exp_noninvert"	"block_avg_len_invert"	"block_avg_len_noninvert"
"1"	""	"DR76_RS00005"	1	1278	1205662	""	""	0	6.40714855670296	"Block611"	"CP009072"	0	19237	0	0	"ATCC"	"DR76_1"	19237	1214641.5	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2"	""	"DR76_RS00010"	1275	2279	1206800	""	""	0	9.3742752401759	"Block611"	"CP009072"	0	19237	0	0	"ATCC"	"DR76_2"	19237	1214641.5	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"3"	""	"DR76_RS00015"	2276	3241	1207781	""	""	0	12.9940594768064	"Block611"	"CP009072"	0	19237	0	0	"ATCC"	"DR76_4"	19237	1214641.5	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4"	""	"DR76_RS00020"	3215	3961	1208611	""	""	1	36.333187982538	"Block611"	"CP009072"	0	19237	0	0	"ATCC"	"DR76_3"	19237	1214641.5	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5"	""	"DR76_RS00025"	4013	4831	1209445	""	""	1	8.95502746369258	"Block611"	"CP009072"	0	19237	0	0	"ATCC"	"DR76_5"	19237	1214641.5	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6"	""	"DR76_RS00030"	4896	5696	1210319	""	""	1	54.3677695802765	"Block611"	"CP009072"	0	19237	0	0	"ATCC"	"DR76_6"	19237	1214641.5	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7"	""	"DR76_RS00035"	5693	6481	1211110	""	""	1	82.9819733526226	"Block611"	"CP009072"	0	19237	0	0	"ATCC"	"DR76_7"	19237	1214641.5	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"8"	""	"DR76_RS00040"	6704	6976	1211863	""	""	1	31.4407774948587	"Block611"	"CP009072"	0	19237	0	0	"ATCC"	"DR76_8"	19237	1214641.5	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9"	""	"DR76_RS00045"	7097	7921	1212532	""	""	0	40.1153544351748	"Block611"	"CP009072"	0	19237	0	0	"ATCC"	"DR76_10"	19237	1214641.5	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"10"	""	"DR76_RS00050"	8140	8478	1213332	""	""	0	79.3503559802012	"Block611"	"CP009072"	0	19237	0	0	"ATCC"	"DR76_11"	19237	1214641.5	4	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
