gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
227102	228643	227872	rrsH	NA	NA	0
228712	228788	228750	ileV	NA	NA	0
228831	228906	228868	alaV	NA	NA	0
229090	231992	230541	rrlH	NA	NA	0
232085	232204	232144	rrfH	NA	NA	0
232257	232333	232295	aspU	NA	NA	0
240481	240557	240519	aspV	NA	NA	0
299982	300057	300019	thrW	NA	NA	0
657182	657258	657220	argU	NA	NA	0
776591	776665	776628	glnX	NA	NA	1
776703	776777	776740	glnV	NA	NA	1
776826	776902	776864	metU	NA	NA	1
776918	776992	776955	glnW	NA	NA	1
777027	777101	777064	glnU	NA	NA	1
777125	777209	777167	leuW	NA	NA	1
777220	777296	777258	metT	NA	NA	1
864979	865054	865016	lysT	NA	NA	0
865090	865165	865127	valT	NA	NA	0
865168	865243	865205	lysW	NA	NA	0
865295	865370	865332	valZ	NA	NA	0
865374	865449	865411	lysY	NA	NA	0
865596	865671	865633	lysZ	NA	NA	0
1056961	1057048	1057004	serW	NA	NA	1
1179418	1179493	1179455	ileZ1	NA	NA	0
1179501	1179577	1179539	argN1	NA	NA	0
1179591	1179667	1179629	argO1	NA	NA	0
1210746	1210833	1210789	serT	NA	NA	1
1266623	1266698	1266660	ileZ2	NA	NA	0
1266708	1266784	1266746	argN2	NA	NA	0
1266798	1266874	1266836	argO2	NA	NA	0
1456705	1456792	1456748	serX	NA	NA	1
1732289	1732373	1732331	tyrV	NA	NA	1
1732583	1732667	1732625	tyrT	NA	NA	1
1773942	1774017	1773979	ileZ3	NA	NA	0
1774098	1774174	1774136	argO3	NA	NA	0
1940568	1940643	1940605	ileZ4	NA	NA	0
1940744	1940820	1940782	argO4	NA	NA	0
2189515	2189591	2189553	argO5	NA	NA	1
2189692	2189767	2189729	ileZ5	NA	NA	1
2240486	2240562	2240524	argO6	NA	NA	1
2240576	2240652	2240614	argN4	NA	NA	1
2240660	2240735	2240697	ileZ6	NA	NA	1
2346146	2346222	2346184	valV	NA	NA	0
2346227	2346303	2346265	valW	NA	NA	0
2614087	2614173	2614130	leuZ	NA	NA	1
2614186	2614259	2614222	cysT	NA	NA	1
2614313	2614388	2614350	glyW	NA	NA	1
2697756	2697832	2697794	argO7	NA	NA	1
2697846	2697922	2697884	argN5	NA	NA	1
2697930	2698005	2697967	ileZ7	NA	NA	1
2712036	2712125	2712080	serU	NA	NA	1
2713117	2713192	2713154	asnT	NA	NA	0
2727498	2727573	2727535	asnW	NA	NA	1
2729322	2729397	2729359	asnU	NA	NA	0
2731730	2731805	2731767	asnV	NA	NA	0
3021141	3021217	3021179	proL	NA	NA	0
3192908	3192982	3192945	argW	NA	NA	0
3244824	3244899	3244861	alaX	NA	NA	1
3244939	3245014	3244976	alaW	NA	NA	1
3249460	3249535	3249497	valU	NA	NA	0
3249580	3249655	3249617	valX	NA	NA	0
3249702	3249777	3249739	valY	NA	NA	0
3249782	3249857	3249819	lysV	NA	NA	0
3446266	3446385	3446325	rrfG	NA	NA	1
3446478	3449380	3447929	rrlG	NA	NA	1
3449574	3449649	3449611	gltW	NA	NA	1
3449735	3451276	3450505	rrsG	NA	NA	1
3475507	3475962	3475734	ssrA	NA	NA	0
3507947	3508022	3507984	ileY	NA	NA	1
3541942	3542018	3541980	argQ	NA	NA	1
3542121	3542197	3542159	argZ	NA	NA	1
3542260	3542336	3542298	argY	NA	NA	1
3542401	3542477	3542439	argV	NA	NA	1
3542481	3542573	3542527	serV	NA	NA	1
3669787	3669863	3669825	metZ	NA	NA	0
3669897	3669973	3669935	metW	NA	NA	0
3670007	3670083	3670045	metV	NA	NA	0
3737314	3737387	3737350	glyU	NA	NA	1
3851960	3852035	3851997	pheV	NA	NA	0
3955129	3955204	3955166	ileX	NA	NA	0
4009451	4009827	4009639	rnpB	NA	NA	1
4060711	4060787	4060749	metY	NA	NA	1
4064570	4064656	4064613	leuU	NA	NA	1
4158428	4158547	4158487	rrfF	NA	NA	1
4158585	4158660	4158622	thrV	NA	NA	1
4158673	4158792	4158732	rrfD	NA	NA	1
4158885	4161787	4160336	rrlD	NA	NA	1
4161971	4162046	4162008	alaU	NA	NA	1
4162089	4162165	4162127	ileU	NA	NA	1
4162234	4163775	4163004	rrsD	NA	NA	1
4450439	4450515	4450477	proK	NA	NA	1
4580769	4580863	4580816	selC	NA	NA	0
4735252	4736793	4736022	rrsC	NA	NA	0
4736879	4736954	4736916	gltU	NA	NA	0
4737148	4740052	4738600	rrlC	NA	NA	0
4740145	4740264	4740204	rrfC	NA	NA	0
4740317	4740392	4740354	aspT	NA	NA	0
4740401	4740476	4740438	trpT	NA	NA	0
4775781	4775857	4775819	argX	NA	NA	0
4775916	4775991	4775953	hisR	NA	NA	0
4776012	4776098	4776055	leuT1	NA	NA	0
4776238	4776324	4776281	leuT2	NA	NA	0
4776367	4776442	4776404	proM2	NA	NA	0
4831654	4833195	4832424	rrsA	NA	NA	0
4833264	4833340	4833302	ileT	NA	NA	0
4833383	4833458	4833420	alaT	NA	NA	0
4833642	4836546	4835094	rrlA	NA	NA	0
4836639	4836758	4836698	rrfA	NA	NA	0
4975927	4977468	4976697	rrsB	NA	NA	0
4977554	4977629	4977591	gltT	NA	NA	0
4977823	4980727	4979275	rrlB	NA	NA	0
4980820	4980939	4980879	rrfB	NA	NA	0
4984405	4984480	4984442	thrU	NA	NA	0
4984489	4984573	4984531	tyrU	NA	NA	0
4984690	4984764	4984727	glyT	NA	NA	0
4984771	4984846	4984808	thrT	NA	NA	0
5016953	5018494	5017723	rrsE	NA	NA	0
5018580	5018655	5018617	gltV	NA	NA	0
5018849	5021753	5020301	rrlE	NA	NA	0
5021846	5021965	5021905	rrfE	NA	NA	0
5217002	5217077	5217039	pheU	NA	NA	1
5246085	5246160	5246122	glyV	NA	NA	0
5246197	5246272	5246234	glyX	NA	NA	0
5246308	5246383	5246345	glyY	NA	NA	0
5346999	5347083	5347041	leuX	NA	NA	0
5464439	5464525	5464482	leuQ	NA	NA	1
0	0	0	0	0	0	0
