start1	end1	Inversion	block
1	190	255	0	Block1
2	337	2799	0	Block1
3	2801	3733	0	Block1
4	3734	5020	0	Block1
5	6529	7959	0	Block4
6	9306	9893	0	Block4
7	11382	11786	0	Block5
8	12163	14079	0	Block6
9	14168	15298	0	Block6
10	16751	16960	0	Block7
11	17489	18655	0	Block8
12	20815	21078	0	Block9
13	21181	21399	0	Block9
14	21407	22348	0	Block9
15	22391	25207	0	Block9
16	25826	26275	0	Block10
17	26277	27227	0	Block10
18	28374	29195	0	Block11
19	29651	30799	0	Block11
20	30817	34038	0	Block11
21	34300	34695	0	Block11
22	34781	35371	0	Block12
23	35377	36162	0	Block12
24	36271	37824	0	Block12
25	37898	39115	0	Block12
26	39244	40386	0	Block12
27	40417	41931	0	Block12
28	42403	43173	0	Block12
29	43188	44129	0	Block12
30	44180	45466	0	Block13
31	45463	45750	0	Block13
32	45807	47138	0	Block14
33	47246	47776	0	Block14
34	47769	49631	0	Block14
35	49823	50302	0	Block14
36	51229	51606	0	Block15
37	51609	52430	0	Block15
38	52427	53416	0	Block15
39	53416	54702	0	Block15
40	54755	57109	0	Block15
41	89634	90092	0	Block18
42	90094	91035	0	Block18
43	91032	91397	0	Block18
44	91413	93179	0	Block18
45	93166	94653	0	Block18
46	94650	96008	0	Block18
47	96002	97084	0	Block18
48	97087	98403	0	Block18
49	98403	99647	0	Block18
50	99644	100711	0	Block18
51	100765	102240	0	Block18
52	102233	103153	0	Block18
53	103155	103985	0	Block18
54	103982	105244	0	Block18
55	105305	106456	0	Block18
56	106557	107474	0	Block18
57	107705	108217	0	Block18
58	108279	110984	0	Block18
59	111044	111433	0	Block18
60	111649	111846	0	Block22
61	111856	112599	0	Block22
62	112599	113219	0	Block22
63	113444	114487	0	Block22
64	114522	115724	0	Block22
65	117109	117549	0	Block22
66	117752	118645	0	Block22
67	118733	119284	0	Block22
68	119281	120135	0	Block22
69	120178	121551	0	Block22
70	122092	122856	0	Block24
71	123017	125680	0	Block24
72	125695	127587	0	Block24
73	127912	129336	0	Block26
74	131615	134212	0	Block29
75	134388	134750	0	Block29
76	134788	135582	0	Block29
77	135598	136464	0	Block29
78	136570	136917	0	Block29
79	137083	138633	0	Block29
80	138835	141225	0	Block31
81	141431	141967	0	Block31
82	142008	142670	0	Block31
83	142779	143705	0	Block31
84	143702	144472	0	Block31
85	144577	145017	0	Block31
86	145081	146310	0	Block31
87	146314	146694	0	Block31
88	147944	148795	0	Block35
89	148807	149601	0	Block35
90	151003	151599	0	Block36
91	151626	152231	0	Block36
92	152243	152812	0	Block36
93	155461	156201	0	Block38
94	157253	157732	0	Block41
95	157729	159126	0	Block41
96	160149	160604	0	Block41
97	160782	161486	0	Block41
98	161501	162031	0	Block41
99	164730	167264	0	Block42
100	169778	170575	0	Block43
101	170575	171465	0	Block43
102	171462	173444	0	Block43
103	173602	174882	0	Block46
104	175107	176528	0	Block46
105	176610	176954	0	Block46
106	177001	177624	0	Block46
107	177662	178462	0	Block46
108	178455	179153	0	Block46
109	179237	180754	0	Block46
110	180884	182308	0	Block46
111	182463	183620	0	Block46
112	183709	184095	0	Block47
113	185123	185947	0	Block48
114	185978	188650	0	Block48
115	188712	189506	0	Block48
116	189874	190599	0	Block48
117	190857	191708	0	Block49
118	191855	192580	0	Block49
119	192872	193429	0	Block50
120	193521	194717	0	Block50
121	194903	195664	0	Block50
122	195677	196534	0	Block50
123	196546	197898	0	Block50
124	197928	200360	0	Block50
125	200482	200967	0	Block50
126	200971	201996	0	Block50
127	202101	202556	0	Block50
128	202560	203348	0	Block50
129	203348	204496	0	Block50
130	204493	205089	0	Block50
131	205126	208608	0	Block50
132	208621	209580	0	Block50
133	209679	211820	0	Block50
134	211877	212266	0	Block50
135	212331	213629	0	Block50
136	213678	213932	0	Block50
137	214291	214836	0	Block50
138	214833	215255	0	Block50
139	215269	215979	0	Block50
140	216179	217003	0	Block52
141	217057	218775	0	Block53
142	218887	219594	0	Block53
143	219591	219995	0	Block53
144	220113	220928	0	Block53
145	220968	221621	0	Block53
146	221614	222645	0	Block53
147	222833	223408	0	Block53
148	229167	229970	0	Block60
149	229967	230881	0	Block60
150	231122	231922	0	Block60
151	232597	233955	0	Block61
152	234027	234782	0	Block61
153	234816	235538	0	Block61
154	235535	236002	0	Block61
155	236067	236798	0	Block61
156	240343	240816	1	Block62
157	240859	243303	1	Block62
158	243543	244121	1	Block62
159	244327	245094	1	Block62
160	245065	245805	1	Block62
161	254259	255716	1	Block73
162	255977	256435	1	Block73
163	361926	363179	1	Block98
164	366428	367510	1	Block99
165	376772	377311	1	Block101
166	378462	379571	1	Block105
167	379606	379881	1	Block105
168	384059	384616	1	Block123
169	385232	386194	1	Block123
170	386207	386974	1	Block123
171	386971	387798	1	Block123
172	394506	395129	1	Block129
173	395130	396287	1	Block129
174	396639	397859	1	Block129
175	397872	398966	1	Block129
176	399025	399333	1	Block129
177	399593	399805	1	Block129
178	399829	400923	1	Block129
179	401747	403162	1	Block130
180	403281	403601	1	Block130
181	403703	404818	1	Block130
182	404835	405644	1	Block130
183	405764	406222	1	Block130
184	406405	406929	1	Block130
185	406979	407170	1	Block130
186	407428	408105	1	Block130
187	408177	408461	1	Block130
188	409108	410019	1	Block130
189	410144	411052	1	Block130
190	412607	415753	1	Block132
191	415750	416952	1	Block132
192	417142	417831	1	Block132
193	417889	419184	1	Block132
194	419591	420910	1	Block132
195	420986	422359	1	Block132
196	422518	424332	1	Block132
197	425011	426081	1	Block133
198	426137	427264	1	Block133
199	427287	427619	1	Block133
200	427647	429494	1	Block133
201	429505	430476	1	Block133
202	432312	432851	1	Block137
203	433002	433451	1	Block137
204	433455	434558	1	Block137
205	434647	435117	1	Block137
206	435137	435556	1	Block137
207	435634	436611	1	Block137
208	436589	437107	1	Block137
209	437161	438135	1	Block137
210	438315	440177	1	Block138
211	440202	441101	1	Block138
212	441101	441343	1	Block138
213	441549	442997	1	Block138
214	443051	443641	1	Block138
215	443604	444515	1	Block138
216	444683	445174	1	Block138
217	446815	447705	1	Block140
218	447717	448046	1	Block140
219	448046	448660	1	Block140
220	448650	450641	1	Block140
221	450663	451610	1	Block140
222	452070	453545	1	Block140
223	453589	454167	1	Block140
224	454472	454789	1	Block140
225	455133	456431	1	Block140
226	456677	457300	1	Block140
227	457426	458700	1	Block140
228	458888	461242	1	Block140
229	461451	461723	1	Block140
230	461915	463786	1	Block140
231	463937	464308	1	Block140
232	464852	465547	1	Block141
233	465612	467312	1	Block141
234	467412	468230	1	Block141
235	468383	468841	1	Block141
236	468871	470643	1	Block141
237	470636	472417	1	Block141
238	472598	472936	1	Block141
239	472966	474252	1	Block141
240	474301	475161	1	Block141
241	475379	475951	1	Block141
242	475982	476371	1	Block141
243	476672	477025	1	Block141
244	477067	478617	1	Block141
245	478781	479251	1	Block141
246	479367	479918	1	Block141
247	480090	480308	1	Block142
248	480334	480708	1	Block142
249	481254	484403	1	Block142
250	484426	485619	1	Block142
251	485761	486408	1	Block142
252	486536	489898	1	Block142
253	490285	490812	1	Block142
254	490882	491259	1	Block142
255	491412	491963	1	Block142
256	492092	494023	1	Block142
257	494076	494405	1	Block142
258	494405	495010	1	Block142
259	495120	496994	1	Block142
260	498055	499017	1	Block143
261	499014	499973	1	Block143
262	500125	501429	1	Block143
263	501562	503238	1	Block143
264	503476	504696	1	Block143
265	504914	506566	1	Block143
266	506603	507082	1	Block143
267	507286	508080	1	Block143
268	508875	511379	1	Block147
269	512576	513868	1	Block148
270	514856	515773	1	Block149
271	517425	518279	1	Block149
272	518340	519149	1	Block149
273	519139	519765	1	Block149
274	519733	520419	1	Block149
275	520416	522830	1	Block149
276	531295	532221	1	Block150
277	532451	532933	1	Block150
278	533011	533826	1	Block150
279	533916	535697	1	Block150
280	535710	536486	1	Block150
281	536586	537464	1	Block150
282	539147	540508	1	Block151
283	540565	541866	1	Block151
284	541888	543033	1	Block151
285	544057	545292	1	Block153
286	545314	546363	1	Block153
287	546680	548347	1	Block153
288	549627	550442	1	Block153
289	552591	553100	1	Block155
290	553943	554437	1	Block156
291	554611	555996	1	Block156
292	556032	556553	1	Block156
293	556661	556873	1	Block156
294	556875	557741	1	Block156
295	568315	568647	0	Block162
296	570893	571444	0	Block163
297	571454	572251	0	Block163
298	573371	573733	1	Block164
299	573956	574339	1	Block164
300	690906	691784	1	Block169
301	691874	692341	1	Block169
302	692338	693378	1	Block169
303	693531	694955	1	Block169
304	695101	696276	1	Block169
305	697513	699177	1	Block172
306	700374	701594	1	Block174
307	701603	702751	1	Block174
308	702811	703611	1	Block174
309	703944	705890	1	Block174
310	709790	710116	1	Block178
311	710200	710646	1	Block178
312	710935	711465	1	Block178
313	711605	711898	1	Block178
314	712038	712802	1	Block178
315	712987	713532	1	Block178
316	713558	715198	1	Block178
317	724407	724979	1	Block184
318	724988	727036	1	Block184
319	727059	728732	1	Block184
320	739001	739510	1	Block185
321	741075	742556	1	Block186
322	742827	743570	1	Block186
323	743593	744249	1	Block186
324	744243	745175	1	Block186
325	745165	745899	1	Block186
326	745935	746726	1	Block186
327	746723	747769	1	Block186
328	753185	754468	1	Block187
329	755177	755566	1	Block187
330	755560	755907	1	Block187
331	755907	757673	1	Block187
332	757689	758405	1	Block187
333	758706	761507	1	Block192
334	763014	764180	1	Block193
335	764180	765049	1	Block193
336	771458	773026	1	Block195
337	773042	774181	1	Block195
338	774309	774602	1	Block195
339	774752	775156	1	Block195
340	775153	775845	1	Block195
341	775849	776277	1	Block195
342	776342	777607	1	Block195
343	777740	779032	1	Block195
344	779067	779588	1	Block195
345	779598	780389	1	Block195
346	782085	783128	1	Block201
347	783166	783885	1	Block201
348	784937	785317	1	Block202
349	786843	787595	1	Block205
350	789983	791029	1	Block207
351	791039	792055	1	Block207
352	793856	794644	1	Block208
353	794773	794922	1	Block208
354	795089	795862	1	Block208
355	795862	796551	1	Block208
356	796554	797612	1	Block208
357	797613	798431	1	Block208
358	798586	799581	1	Block208
359	799622	800575	1	Block208
360	800759	801811	1	Block208
361	801887	803320	1	Block208
362	803503	805764	1	Block208
363	807968	809257	1	Block211
364	809344	810384	1	Block211
365	810381	811535	1	Block211
366	811522	812277	1	Block211
367	817044	818033	1	Block214
368	818055	818567	1	Block214
369	818570	819055	1	Block214
370	819048	819293	1	Block214
371	819295	819747	1	Block214
372	819884	820588	1	Block214
373	820793	821506	1	Block215
374	821542	822498	1	Block215
375	822498	823739	1	Block215
376	823736	824497	1	Block215
377	824630	825040	1	Block215
378	825002	826108	1	Block215
379	826119	827252	1	Block215
380	827245	828981	1	Block215
381	829972	830643	1	Block215
382	833070	835220	1	Block218
383	835248	836210	1	Block218
384	836351	837436	1	Block218
385	838190	838456	1	Block220
386	838530	839207	1	Block220
387	841796	842056	1	Block221
388	842332	843258	1	Block221
389	843255	845480	1	Block221
390	845741	846463	1	Block224
391	846460	847119	1	Block224
392	847258	848004	1	Block224
393	848408	848911	1	Block224
394	850450	850965	1	Block227
395	853183	853650	1	Block228
396	853647	854765	1	Block228
397	855963	857555	1	Block228
398	860174	862606	1	Block230
399	862612	863511	1	Block230
400	863642	864304	1	Block230
401	864380	865129	1	Block230
402	865129	866364	1	Block230
403	866568	867533	1	Block230
404	867520	869391	1	Block230
405	869411	870949	1	Block230
406	870967	871887	1	Block230
407	871890	872801	1	Block230
408	872979	875327	1	Block231
409	875335	876663	1	Block231
410	876710	878035	1	Block231
411	878248	878631	1	Block231
412	878742	879857	1	Block231
413	879854	880480	1	Block231
414	880727	881929	1	Block231
415	881976	882734	1	Block231
416	882792	883388	1	Block231
417	883673	884905	1	Block231
418	884946	885230	1	Block231
419	885316	886131	1	Block231
420	886131	887339	1	Block231
421	888134	889819	1	Block231
422	890089	890466	1	Block231
423	890496	890753	1	Block231
424	890913	891200	1	Block231
425	891184	891906	1	Block231
426	891967	892869	1	Block231
427	892957	893433	1	Block231
428	893784	894896	1	Block232
429	894991	896124	1	Block232
430	897084	897929	1	Block233
431	897989	898477	1	Block233
432	899844	900575	1	Block237
433	901534	902250	1	Block241
434	903006	903734	1	Block241
435	904593	904916	1	Block242
436	904913	905743	1	Block242
437	905740	906753	1	Block242
438	906852	908282	1	Block242
439	908293	909294	1	Block242
440	909331	911049	1	Block242
441	911182	912150	1	Block242
442	912162	913814	1	Block242
443	913958	914857	1	Block242
444	915352	916047	1	Block244
445	916473	918131	1	Block244
446	918128	919120	1	Block244
447	919235	920350	1	Block244
448	920347	922293	1	Block244
449	922366	922590	1	Block244
450	922913	923233	1	Block244
451	923264	925540	1	Block244
452	926225	926443	1	Block245
453	926728	927432	1	Block245
454	927474	929195	1	Block245
455	929196	930962	1	Block245
456	931085	932050	1	Block245
457	937372	937983	1	Block249
458	937994	939337	1	Block249
459	939428	940720	1	Block249
460	940959	943403	1	Block249
461	943414	944031	1	Block249
462	944931	945557	1	Block250
463	945871	947019	1	Block251
464	950340	951080	1	Block252
465	951272	953554	1	Block252
466	953609	954466	1	Block252
467	954872	956632	1	Block252
468	956762	957454	1	Block252
469	957653	958741	1	Block252
470	960264	961028	1	Block253
471	961201	961884	1	Block253
472	961995	963668	1	Block253
473	963828	964112	1	Block253
474	964320	966584	1	Block253
475	966621	968369	1	Block253
476	968366	969352	1	Block253
477	969389	970621	1	Block253
478	970673	970855	1	Block253
479	970852	971598	1	Block253
480	971752	972645	1	Block253
481	973537	974322	1	Block253
482	974319	975641	1	Block253
483	975622	976326	1	Block253
484	976326	980786	1	Block253
485	983075	983623	1	Block253
486	984519	985709	1	Block256
487	985894	986982	1	Block256
488	987585	988985	1	Block256
489	989154	990356	1	Block256
490	995985	996944	1	Block258
491	996937	997512	1	Block258
492	1004768	1005778	1	Block260
493	1005952	1006494	1	Block260
494	1006491	1007600	1	Block260
495	1007844	1009952	1	Block262
496	1009964	1011871	1	Block262
497	1012001	1013254	1	Block262
498	1013259	1014899	1	Block262
499	1015715	1015882	1	Block262
500	1015952	1016470	1	Block262
501	1016539	1018299	1	Block262
502	1018485	1018937	1	Block262
503	1020410	1020919	1	Block264
504	1021138	1021767	1	Block264
505	1021730	1023883	1	Block264
506	1023902	1024348	1	Block264
507	1024471	1026525	1	Block264
508	1026557	1027015	1	Block264
509	1027111	1027773	1	Block264
510	1027946	1028359	1	Block264
511	1028404	1028721	1	Block264
512	1028779	1029969	1	Block264
513	1030064	1030342	1	Block264
514	1030339	1030668	1	Block264
515	1030759	1031418	1	Block265
516	1032139	1033257	1	Block265
517	1033254	1035047	1	Block265
518	1035066	1035773	1	Block265
519	1035770	1036357	1	Block265
520	1036354	1036752	1	Block265
521	1036749	1037606	1	Block265
522	1051461	1051673	1	Block268
523	1051847	1052077	1	Block268
524	1052289	1053362	1	Block268
525	1053434	1056178	1	Block268
526	1056261	1057289	1	Block268
527	1057262	1057954	1	Block268
528	1058084	1059256	1	Block268
529	1059256	1061802	1	Block268
530	1062855	1063775	1	Block270
531	1065585	1066826	1	Block271
532	1066864	1067091	1	Block271
533	1067112	1067708	1	Block271
534	1068511	1069839	1	Block273
535	1069860	1070354	1	Block273
536	1070365	1070955	1	Block273
537	1070965	1071765	1	Block273
538	1071773	1072159	1	Block273
539	1072171	1072863	1	Block273
540	1072863	1074011	1	Block273
541	1074242	1074880	1	Block273
542	1074920	1078882	1	Block273
543	1082243	1083370	1	Block276
544	1083376	1084647	1	Block276
545	1084992	1086056	1	Block279
546	1086106	1086519	1	Block279
547	1086521	1087846	1	Block279
548	1087839	1089857	1	Block279
549	1089866	1092289	1	Block279
550	1097886	1098824	1	Block282
551	1098879	1099616	1	Block282
552	1099640	1100194	1	Block282
553	1100296	1100787	1	Block282
554	1100851	1101684	1	Block283
555	1101711	1102127	1	Block283
556	1102152	1102541	1	Block283
557	1102546	1103196	1	Block283
558	1103951	1104406	1	Block283
559	1104961	1105293	1	Block284
560	1105414	1105725	1	Block284
561	1105820	1106353	1	Block284
