Gene name,Coordinates,,Orientation,Description
thrL,190,255,+,Regulatory leader petide for thrABC  operon
thrA,337,2799,+,Aspartokinase I-homoserine dehydrogenase I
thrB,2801,3733,+,Homoserine kinase
thrC,3734,5020,+,Threonine synthase
yaaA,5683,6459,-,Function unknown
yaaJ,6529,7959,-,Function unknown
talB,8238,9191,+,Transaldolase B
mog,9306,9893,+,Unknown function; chlorate resistance
yaaH,9928,10494,-,Function unknown
yaaW,10643,11356,-,Function unknown
yaaI,11382,11786,-,Function unknown
dnaK,12163,14079,+,"HSP-70-type molecular chaperone, with DnaJ; stress-related heat-shock DNA biosynthesis, ATP-regulated binding and release of polypeptide substrates"
dnaJ,14168,15298,+,"Chaperone with DnaK; DNA chain elongation; stress-related DNA biosynthesis, responsive to heat shock"
gef,16751,16903,-,Small toxic membrane polypeptide; multimeric
gefL,16904,16960,-,Regulatory leader for gef
nhaA,17489,18655,+,Na+/H+ antiporter; stress response to high salinity and pH
nhaR,18715,19620,+,Positive regulator of Na+-dependent transcription of nhaA; DNA-binding; LysR family of regulatory proteins
rpsT,20815,21078,-,30S ribosomal subunit protein S20
ribF,21407,22348,+,Flavokinase and FAD synthetase
ileS,22391,25207,+,Isoleucyl-tRNA synthetase
lspA,25207,25701,+,Prolipoprotein signal peptidase
fkpB,25826,26275,+,FKBP-type peptidyl-prolyl cis-trans isomerase
lytB,26277,27227,+,Penicillin tolerance and stringent response effects
yaaF,27293,28207,+,Function unknown
dapB,28374,29195,+,Dihydrodipicolinate reductase
carA,29651,30799,+,Carbamoylphosphate synthase (glutamine-hydrolysing) light subunit
carB,30817,34038,+,"Carbamoylphosphate synthase (ammonia), heavy subunit"
yaaV,34086,34265,-,Function unknown
caiF,34300,34695,+,Regulatory gene; transcriptional activation of cai operon
caiE,34781,35371,-,Stimulates carnitine racemase activity of CaiD and CaiB activity
caiD,35377,36270,-,Putative enoyl hydratase/isomerase with carnitine racemase activity
caiC,36271,37839,-,Crotonobetain/carnitine-CoA ligase
caiB,37898,39115,-,Carnitine dehydratase
caiA,39244,40386,-,"Carnitine metabolism, oxidoreductase"
caiT,40417,41931,-,Putative carnitine/betaine transport
