qseqid	sseqid	A_gene	B_gene	A_start	B_start	A_end	B_end	A_alt_name	B_alt_name
sp|Q8FFJ5|5DNU_ECOL6	sp|P76491|5DNU_ECOLI	yfbR	yfbR	2691365.0	2414307.0	2691965.0	2414907.0	c2832	b2291
sp|P0ACK3|AGAR_ECOL6	sp|P0ACK2|AGAR_ECOLI	agaR	agaR	3715174.0	3277710.0	3715984.0	3278520.0	c3886	b3131
sp|P63884|AMIC_ECOL6	sp|P63883|AMIC_ECOLI	amiC	amiC	3255076.0	2946412.0	3256330.0	2947666.0	c3411	b2817
sp|P0ACI7|ASNC_ECOL6	sp|P0ACI6|ASNC_ECOLI	asnC	asnC	4427577.0	3709677.0	4428036.0	3710136.0	c4671	b3743
sp|Q8FFM2|ARNC_ECOL6	sp|P77757|ARNC_ECOLI	arnC	arnC	2653452.0	2371740.0	2654421.0	2372709.0	c2796	b2254
sp|Q8FA51|DEOD_ECOL6	sp|P0ABP8|DEOD_ECOLI	deoD	deoD	5209551.0	4625562.0	5210271.0	4626282.0	c5468	b4384
sp|P0AC74|EBGC_ECOL6	sp|P0AC73|EBGC_ECOLI	ebgC	ebgC					c3834	b3077
sp|P0A965|CHEW_ECOL6	sp|P0A964|CHEW_ECOLI	cheW	cheW	2122288.0	1974549.0	2122792.0	1975053.0	c2302	b1887
sp|Q8FGA5|COBT_ECOL6	sp|P36562|COBT_ECOLI	cobT	cobT	2318275.0	2065524.0	2319355.0	2066604.0	c2477	b1991
sp|Q8FAG5|CYSQ_ECOL6	sp|P22255|CYSQ_ECOLI	cysQ	cysQ	5053872.0	4441434.0	5054613.0	4442175.0	c5313	b4214
sp|P0ACZ9|CUSR_ECOL6	sp|P0ACZ8|CUSR_ECOLI	cusR	cusR	638380.0	593982.0	639064.0	594666.0	c0657	b0571
sp|Q8FCR6|DHAS_ECOL6	sp|P0A9Q9|DHAS_ECOLI	asd	asd	4009759.0	4065536.0	4010863.0	4066640.0	c4220	b3433
sp|Q8CVH5|DSBD_ECOL6	sp|P36655|DSBD_ECOLI	dsbD	dsbD	4972378.0	4368022.0	4974076.0	4369720.0	c5218	b4136
sp|Q8FL49|AROP_ECOL6	sp|P15993|AROP_ECOLI	aroP	aroP	125317.0	120177.0	126688.0	121551.0	c0131	b0112
sp|P0ABD4|BFR_ECOL6	sp|P0ABD3|BFR_ECOLI	bfr	bfr	3897627.0	4173690.0	3898104.0	4174167.0	c4107	b3336
sp|P0ACP2|CRA_ECOL6	sp|P0ACP1|CRA_ECOLI	cra	cra	91854.0	88027.0	92859.0	89032.0	c0098	b0080
sp|P59329|DCYD_ECOL6	sp|P76316|DCYD_ECOLI	dcyD	dcyD	2147169.0	2000630.0	2148156.0	2001617.0	c2333	b1919
sp|P0ABN6|DCUA_ECOL6	sp|P0ABN5|DCUA_ECOLI	dcuA	dcuA	4974505.0	4370149.0	4975807.0	4371453.0	c5220	b4138
sp|Q8FDG5|DNAG_ECOL6	sp|P0ABS5|DNAG_ECOLI	dnaG	dnaG	3651700.0	3209762.0	3653446.0	3211508.0	c3817	b3066
sp|P59317|ARGD_ECOL6	sp|P18335|ARGD_ECOLI	argD	argD	3920347.0	4150235.0	3921568.0	4151456.0	c4134	b3359
sp|P0A3B1|BIPA_ECOL6	sp|P0DTT0|BIPA_ECOLI	bipA	bipA					c4820	b3871
sp|Q8FGP5|CHEB_ECOL6	sp|P07330|CHEB_ECOLI	cheB	cheB	2118279.0	1969165.0	2119329.0	1970215.0	c2298	b1883
sp|Q8FLB4|DAPB_ECOL6	sp|P04036|DAPB_ECOLI	dapB	dapB	31000.0	28373.0	31822.0	29195.0	c0037	b0031
sp|Q8FH42|AROD_ECOL6	sp|P05194|AROD_ECOLI	aroD	aroD	1930651.0	1776399.0	1931410.0	1777158.0	c2088	b1693
sp|P0AAX0|ACRZ_ECOL6	sp|P0AAW9|ACRZ_ECOLI	acrZ	acrZ	816350.0	795194.0	816500.0	795344.0	c0838	b0762
sp|P0ACT0|ACRR_ECOL6	sp|P0ACS9|ACRR_ECOLI	acrR	acrR	560410.0	484984.0	561058.0	485632.0	c0582	b0464
sp|Q8FB96|ARLY_ECOL6	sp|P11447|ARLY_ECOLI	argH	argH	4683578.0	3478457.0	4684952.0	3479831.0	c4919	b3960
sp|P0A6E5|ASSY_ECOL6	sp|P0A6E4|ASSY_ECOLI	argG	argG	3752269.0	3318491.0	3753613.0	3319835.0	c3929	b3172
sp|Q8FGZ9|ASTC_ECOL6	sp|P77581|ASTC_ECOLI	astC	astC	1984606.0	1832475.0	1985827.0	1833696.0	c2148	b1748
sp|P65639|BDM_ECOL6	sp|P76127|BDM_ECOLI	bdm	bdm	1749028.0	1557778.0	1749244.0	1557994.0	c1914	b1481
sp|Q8FBX7|ADEC_ECOL6	sp|P31441|ADEC_ECOLI	ade	ade					c4589	b3665
sp|P0AF09|APBC_ECOL6	sp|P0AF08|APBC_ECOLI	mrp	mrp					c2641	b2113
sp|Q8CWD2|BTUF_ECOL6	sp|P37028|BTUF_ECOLI	btuF	btuF	188000.0	177661.0	188801.0	178462.0	c0194	b0158
sp|P0A6H2|CLPX_ECOL6	sp|P0A6H1|CLPX_ECOLI	clpX	clpX	531352.0	456649.0	532627.0	457924.0	c0554	b0438
sp|Q8FGQ6|CMOA_ECOL6	sp|P76290|CMOA_ECOLI	cmoA	cmoA	2104254.0	1954415.0	2104998.0	1955159.0	c2284	b1870
sp|P0A9P1|DLDH_ECOL6	sp|P0A9P0|DLDH_ECOLI	lpdA	lpdA	4812245.0	127911.0	4813664.0	129336.0	c0145	b0116
sp|Q8FL89|ARAA_ECOL6	sp|P08202|ARAA_ECOLI	araA	araA	69348.0	66834.0	70851.0	68337.0	c0074	b0062
sp|Q8FBS8|ATP6_ECOL6	sp|P0AB98|ATP6_ECOLI	atpB	atpB	4422268.0	3714629.0	4423084.0	3715445.0	c4666	b3738
sp|P0A6H9|CLSA_ECOL6	sp|P0A6H8|CLSA_ECOLI	clsA	clsA					c1713	b1249
sp|P0AE96|CSGE_ECOL6	sp|P0AE95|CSGE_ECOLI	csgE	csgE	1245650.0	1102392.0	1246040.0	1102782.0	c1301	b1039
sp|P0ACK6|DEOR_ECOL6	sp|P0ACK5|DEOR_ECOLI	deoR	deoR	902869.0	882397.0	903628.0	883156.0	c0925	b0840
sp|Q8FA72|DNAT_ECOL6	sp|P0A8J2|DNAT_ECOLI	dnaT	dnaT	5189964.0	4605657.0	5190504.0	4606197.0	c5441	b4362
sp|Q8FHN0|AZOR_ECOL6	sp|P41407|AZOR_ECOLI	azoR	azoR	1676371.0	1483968.0	1676977.0	1484574.0	c1839	b1412
sp|P0ABE3|BOLA_ECOL6	sp|P0ABE2|BOLA_ECOLI	bolA	bolA	528398.0	453695.0	528716.0	454013.0	c0548	b0435
sp|P67663|AAER_ECOL6	sp|P67662|AAER_ECOLI	aaeR	aaeR	3812998.0	3389374.0	3813928.0	3390304.0	c3998	b3243
sp|Q8FH01|ASTD_ECOL6	sp|P76217|ASTD_ECOLI	astD	astD	1982100.0	1829969.0	1983579.0	1831448.0	c2146	b1746
sp|Q8FKI7|BETI_ECOL6	sp|P17446|BETI_ECOLI	betI	betI	419238.0	327970.0	419826.0	328558.0	c0433	b0313
sp|P0ADJ6|BCSF_ECOL6	sp|P0ADJ5|BCSF_ECOLI	bcsF	bcsF	4136748.0	3942197.0	4136940.0	3942389.0	c4349	b3537
sp|Q8FHK7|ABDH_ECOL6	sp|P77674|ABDH_ECOLI	patD	patD	1705872.0	1517291.0	1707297.0	1518716.0	c1869	b1444
sp|P0A8S2|ARGP_ECOL6	sp|P0A8S1|ARGP_ECOLI	argP	argP	3355704.0	3058408.0	3356598.0	3059302.0	c3497	b2916
sp|Q8FD18|AROE_ECOL6	sp|P15770|AROE_ECOLI	aroE	aroE	3861386.0	4209577.0	3862205.0	4210396.0	c4042	b3281
sp|Q8FH28|BTUD_ECOL6	sp|P06611|BTUD_ECOLI	btuD	btuD	1948776.0	1794522.0	1949526.0	1795272.0	c2105	b1709
sp|Q8FH26|BTUC_ECOL6	sp|P06609|BTUC_ECOLI	btuC	btuC	1950138.0	1795885.0	1951119.0	1796866.0	c2107	b1711
sp|Q8FLB0|CARB_ECOL6	sp|P00968|CARB_ECOLI	carB	carB	33443.0	30816.0	36665.0	34038.0	c0041	b0033
sp|Q8FAY8|ACSA_ECOL6	sp|P27550|ACSA_ECOLI	acs	acs	4838697.0	4289002.0	4840656.0	4290961.0	c5064	b4069
sp|Q8FH99|ADD_ECOL6	sp|P22333|ADD_ECOLI	add	add	1862753.0	1703946.0	1863755.0	1704948.0	c2015	b1623
sp|P62673|APAG_ECOL6	sp|P62672|APAG_ECOLI	apaG	apaG	54420.0	51228.0	54798.0	51606.0	c0063	b0050
