"b2870"	"COG0078"
"b3137"	"COG0191"
"b3600"	"COG0246"
"b1671"	"COG0437"
"b1674"	"COG0437"
"b2872"	"COG0624"
"b2865"	"COG0739"
"b1882"	"COG0784"
"b1198"	"COG1080"
"b2867"	"COG1319"
"b1884"	"COG1352"
"b2866"	"COG1529"
"b1198"	"COG1925"
"b2868"	"COG2080"
"b1883"	"COG2201"
"b3136"	"COG2222"
"b1199"	"COG2376"
"b1200"	"COG2376"
"b1673"	"COG2414"
"b1881"	"COG3143"
"b1198"	"COG3412"
"b3138"	"COG3444"
"b3139"	"COG3715"
"b3140"	"COG3716"
"b3601"	"COG3722"
"b2869"	"COG3829"
"b1670"	"COG4117"
"b1668"	"COG4529"
"b0550"	"COG4570"
