gene_id,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand,GSE94978_1,GSE94978_2
DR76_RS00005,1,1278,639,,DR76_1,0,107,208
DR76_RS00010,1275,2279,1777,,DR76_2,0,128,346
DR76_RS00015,2276,3241,2758,,DR76_4,0,221,416
DR76_RS00020,3215,3961,3588,,DR76_3,1,888,769
DR76_RS00025,4013,4831,4422,,DR76_5,1,161,274
DR76_RS00030,4896,5696,5296,,DR76_6,1,960,1689
DR76_RS00035,5693,6481,6087,,DR76_7,1,1631,2336
DR76_RS00040,6704,6976,6840,,DR76_8,1,977,361
DR76_RS00045,7097,7921,7509,,DR76_10,0,1397,241
DR76_RS00050,8140,8478,8309,,DR76_11,0,2026,1553
DR76_RS00055,8560,9594,9077,,DR76_12,1,88,60
DR76_RS00060,9610,12090,10850,,DR76_13,1,326,157
DR76_RS00065,12106,12780,12443,,DR76_14,1,112,26
DR76_RS00070,12861,13403,13132,,DR76_15,1,1485,789
DR76_RS00075,13592,13773,13682,,,0,0,0
DR76_RS00080,13697,13978,13837,,DR76_16,1,111,143
DR76_RS00085,14241,15350,14795,,DR76_17,1,16463,23328
DR76_RS00090,15482,17515,16498,metG,DR76_18,0,7747,10579
DR76_RS00095,17656,21444,19550,,DR76_19,0,469,715
DR76_RS00100,21454,25086,23270,,DR76_20,0,698,656
DR76_RS00105,25147,25463,25305,,,0,12,27
DR76_RS00115,26095,27183,26639,,DR76_22,0,185,188
DR76_RS00120,27194,29473,28333,,DR76_23,0,301,311
DR76_RS00125,29466,30602,30034,,DR76_24,0,97,98
DR76_RS00130,30599,32602,31600,,DR76_25,0,347,324
DR76_RS00135,32727,33188,32957,,DR76_26,0,278,170
DR76_RS00140,33229,33699,33464,,DR76_27,1,2058,1819
DR76_RS00145,33746,34465,34105,,DR76_28,1,1349,1809
DR76_RS00150,34462,36147,35304,,DR76_29,1,2184,2233
DR76_RS00155,36369,37100,36734,,DR76_30,0,164,166
DR76_RS00160,37160,37267,37213,,DR76_32,0,12,6
DR76_RS00165,37248,37979,37613,,DR76_31,1,170,137
DR76_RS00170,37984,38910,38447,,DR76_33,1,45,60
DR76_RS00175,38903,40060,39481,,DR76_34,1,94,84
DR76_RS00180,40067,40984,40525,,DR76_35,1,293,302
DR76_RS00185,41174,43471,42322,,DR76_36,1,3532,5638
DR76_RS00190,43667,45382,44524,,DR76_37,0,9450,16846
DR76_RS00195,45421,46353,45887,,DR76_38,1,3130,2890
DR76_RS00200,46527,47114,46820,,DR76_39,1,133,109
DR76_RS00205,47284,47862,47573,,DR76_40,0,1844,1347
DR76_RS00210,47982,48743,48362,,,1,331,424
DR76_RS00215,48796,50232,49514,,DR76_43,1,143,191
DR76_RS00220,50456,50539,50497,,,0,65,86
DR76_RS00225,50926,51876,51401,,DR76_44,1,323,365
DR76_RS00230,52115,52513,52314,,DR76_45,0,681,629
DR76_RS00235,52510,53205,52857,,DR76_46,0,535,843
DR76_RS00240,53335,54219,53777,,DR76_47,0,1106,2767
DR76_RS00245,54369,55088,54728,,DR76_48,0,466,350
DR76_RS00250,55091,55330,55210,,DR76_49,0,435,153
DR76_RS00255,55524,56762,56143,,DR76_50,0,9196,10132
DR76_RS00260,56756,57991,57373,,DR76_51,0,8918,9905
DR76_RS00265,58234,59244,58739,,DR76_52,1,661,811
DR76_RS00270,59260,60780,60020,,DR76_53,1,810,1125
DR76_RS00275,60841,61839,61340,,DR76_54,1,3270,5607
DR76_RS00280,62119,63159,62639,,DR76_55,1,1218,1407
DR76_RS00285,63149,63352,63250,,,0,9,7
DR76_RS00290,63301,64458,63879,,DR76_56,1,1210,786
DR76_RS00295,64475,65143,64809,,DR76_57,1,6711,5022
DR76_RS00300,65297,65473,65385,,,0,10,1
DR76_RS00305,65401,66237,65819,,DR76_58,0,3690,3027
DR76_RS00310,66269,68260,67264,,DR76_59,1,411,374
DR76_RS00315,68253,68452,68352,,,1,5,6
DR76_RS00320,68552,70021,69286,,DR76_60,1,2610,1516
DR76_RS00325,70226,71107,70666,,DR76_61,1,4152,4227
DR76_RS00330,71206,72255,71730,,DR76_62,0,831,747
DR76_RS00335,72329,73186,72757,,DR76_63,0,1160,1633
DR76_RS00340,73190,74278,73734,,DR76_64,0,1239,1627
DR76_RS00345,74546,75487,75016,rihB,DR76_65,1,655,1341
DR76_RS00350,75617,76315,75966,,DR76_66,0,337,216
DR76_RS00355,76382,77632,77007,,DR76_67,1,280,620
DR76_RS00360,77726,78664,78195,,DR76_68,1,214,1160
DR76_RS00365,78652,79593,79122,,DR76_69,1,142,406
DR76_RS00370,80049,81740,80894,,DR76_70,1,1013,1420
DR76_RS00375,81757,82695,82226,,DR76_71,1,621,914
DR76_RS00380,82695,83825,83260,,DR76_72,1,933,1862
DR76_RS00385,84192,85373,84782,,DR76_74,0,469,474
DR76_RS00390,85370,85624,85497,,DR76_73,1,336,439
DR76_RS00395,85779,86351,86065,,DR76_75,0,1156,2062
DR76_RS00400,86574,88040,87307,,DR76_76,0,13937,5290
DR76_RS00405,88158,89144,88651,,DR76_77,0,790,592
DR76_RS00410,89183,89896,89539,,DR76_78,0,454,233
DR76_RS00415,90308,90874,90591,,DR76_79,0,9388,8639
DR76_RS00420,91055,92611,91833,,DR76_80,0,3006,1857
DR76_RS00425,92693,94507,93600,,DR76_81,0,1938,1245
DR76_RS00430,94508,95602,95055,,DR76_82,0,822,538
DR76_RS00435,95602,96627,96114,,DR76_83,0,1016,858
DR76_RS00440,96629,98218,97423,,DR76_84,0,2226,2513
DR76_RS00445,98222,98566,98394,,DR76_85,1,5959,4942
DR76_RS00450,98900,100090,99495,,DR76_86,1,2360,1520
DR76_RS00455,100118,100813,100465,,DR76_87,1,3399,2587
DR76_RS00460,100963,102723,101843,,DR76_88,0,1773,1199
DR76_RS00465,102848,103132,102990,,DR76_89,0,5182,3473
DR76_RS00470,103271,104278,103774,,DR76_90,1,3291,4528
DR76_RS00475,104460,104687,104573,,DR76_91,0,1295,1007
DR76_RS00480,104707,106467,105587,,DR76_92,0,4554,3450
DR76_RS00485,106542,106618,106580,,DR76_93,0,256,361
DR76_RS00490,106836,108077,107456,,DR76_94,0,258,224
DR76_RS00495,108176,108406,108291,,,0,2080,2101
DR76_RS00500,108573,108779,108676,,DR76_95,0,127,92
DR76_RS00515,109858,110088,109973,,DR76_98,0,33,17
DR76_RS00520,110078,110319,110198,,,0,11,8
DR76_RS00525,110292,110513,110402,,,0,7,2
DR76_RS00530,110515,110748,110631,,DR76_101,0,4,2
DR76_RS00535,110754,111053,110903,,DR76_102,0,3,1
DR76_RS00540,111050,112804,111927,,DR76_103,0,65,121
DR76_RS00545,113092,113370,113231,,DR76_104,0,20,50
DR76_RS00550,113367,113789,113578,,DR76_105,0,36,38
DR76_RS00560,114205,114411,114308,,DR76_106,0,37,68
DR76_RS00565,114411,115466,114938,,DR76_107,0,323,476
DR76_RS00570,115478,115813,115645,,DR76_108,0,108,134
DR76_RS00575,115826,116239,116032,,DR76_109,0,195,266
DR76_RS00580,116287,116445,116366,,,0,12,8
DR76_RS00585,116445,116987,116716,,DR76_110,0,137,156
DR76_RS00590,117244,117525,117384,,DR76_111,0,96,125
DR76_RS00615,119175,119432,119303,,,1,5,13
DR76_RS00620,119464,120111,119787,,DR76_115,0,693,960
DR76_RS00625,120146,121198,120672,,DR76_116,1,888,2425
DR76_RS00630,121195,121752,121473,,DR76_117,1,501,1131
DR76_RS00635,121749,123692,122720,,DR76_118,1,1675,2999
DR76_RS00640,123689,124168,123928,,DR76_119,1,545,800
DR76_RS00645,124165,124374,124269,,DR76_120,1,106,167
DR76_RS00650,124371,125108,124739,,DR76_121,1,913,1240
DR76_RS00655,125150,125812,125481,,DR76_122,1,733,687
DR76_RS00660,125809,126432,126120,,DR76_123,1,922,957
DR76_RS00665,126445,127047,126746,,DR76_124,1,1110,1594
DR76_RS00670,127057,127506,127281,napB,DR76_125,1,187,757
DR76_RS00675,127503,128366,127934,,DR76_126,1,233,791
DR76_RS00680,128353,129048,128700,,DR76_127,1,315,1033
DR76_RS00685,129055,131541,130298,,DR76_128,1,3228,6645
DR76_RS00690,131538,131801,131669,,DR76_129,1,176,105
DR76_RS00695,131791,132285,132038,,DR76_130,1,796,679
DR76_RS00700,132385,132558,132471,,DR76_131,0,5,11
DR76_RS00705,132693,133181,132937,,DR76_132,0,6960,8269
DR76_RS00710,133331,134977,134154,,DR76_133,1,1523,1329
DR76_RS00715,135195,136838,136016,,DR76_134,1,438,235
DR76_RS00720,136914,137564,137239,,DR76_135,1,138,68
DR76_RS00725,137564,138628,138096,,DR76_136,1,524,352
DR76_RS00730,138702,139757,139229,,DR76_137,1,410,355
DR76_RS00735,139869,140996,140432,,DR76_138,1,125613,225572
DR76_RS00745,141735,144407,143071,,DR76_139,0,11631,11083
DR76_RS00750,144424,145074,144749,,DR76_140,0,11286,13938
DR76_RS00755,145160,148009,146584,,DR76_141,1,7162,4927
DR76_RS00760,148176,150002,149089,,DR76_142,0,2516,1406
DR76_RS00765,149999,151384,150691,,DR76_143,0,2815,2004
DR76_RS00770,151580,152242,151911,,DR76_144,0,133,144
DR76_RS00775,152242,152892,152567,,DR76_145,0,38,19
DR76_RS00780,152889,154211,153550,,DR76_146,0,120,58
DR76_RS00785,154242,155426,154834,,DR76_147,0,145,104
DR76_RS00790,155500,156276,155888,,DR76_148,1,119,89
DR76_RS00795,156281,157930,157105,,DR76_149,1,177,181
DR76_RS00800,157931,162550,160240,,DR76_150,1,338,487
DR76_RS00805,162469,163092,162780,,DR76_151,1,40,33
DR76_RS00810,163089,164777,163933,,DR76_152,1,292,281
DR76_RS00815,164926,167553,166239,,DR76_153,1,20235,24269
DR76_RS00820,167700,168422,168061,,DR76_154,0,1214,1672
DR76_RS00825,168562,172320,170441,,DR76_155,1,781,920
DR76_RS00835,173003,175288,174145,,DR76_156,0,11591,38636
DR76_RS00840,175478,176608,176043,,DR76_157,0,6716,20764
DR76_RS00845,176608,176862,176735,,DR76_158,0,675,1991
DR76_RS00850,176916,177566,177241,,DR76_159,1,836,879
DR76_RS00855,177769,178845,178307,,DR76_160,1,1121,1198
DR76_RS00860,178850,180208,179529,,DR76_161,1,573,566
DR76_RS00865,180481,182109,181295,,DR76_162,0,187,149
DR76_RS00870,182099,183358,182728,,DR76_163,0,85,101
DR76_RS00875,183355,184545,183950,,DR76_164,0,108,189
DR76_RS00880,184738,185664,185201,,DR76_165,0,177,249
DR76_RS00885,185705,186508,186106,,DR76_166,1,92,115
DR76_RS00890,186526,187815,187170,,DR76_167,1,71,89
DR76_RS00895,187872,189077,188474,,DR76_168,1,663,526
DR76_RS00900,189092,189874,189483,,DR76_169,1,144,110
DR76_RS00905,190094,191296,190695,,DR76_170,1,4821,7851
DR76_RS00910,191396,191938,191667,,DR76_171,1,216,223
DR76_RS00915,192217,192642,192429,,DR76_172,0,1359,3351
DR76_RS00920,192681,193283,192982,,DR76_173,1,1187,1241
DR76_RS00925,193591,194730,194160,,DR76_174,0,7552,7052
DR76_RS00930,194734,195702,195218,,DR76_175,0,3082,3430
DR76_RS00935,195702,197684,196693,,DR76_176,0,5582,10366
DR76_RS00940,197681,198571,198126,,DR76_177,0,1104,2486
DR76_RS00945,198571,200223,199397,,DR76_178,0,1034,2738
DR76_RS00950,200220,200555,200387,,DR76_179,0,181,322
DR76_RS00955,200555,200941,200748,,DR76_181,0,273,301
DR76_RS00960,200935,201201,201068,,DR76_180,1,442,443
DR76_RS00965,201311,202666,201988,,DR76_182,1,736,2215
DR76_RS00970,202663,203625,203144,,DR76_183,1,945,3667
DR76_RS00975,203625,204482,204053,,DR76_184,1,1281,5368
DR76_RS00980,204497,205255,204876,,DR76_185,1,288,480
DR76_RS00985,205252,206922,206087,,DR76_186,1,2173,2896
DR76_RS00990,207011,208306,207658,,DR76_187,1,1934,1746
DR76_RS00995,208385,208690,208537,,DR76_188,1,439,771
DR76_RS01000,208745,209206,208975,,DR76_189,1,495,750
DR76_RS01005,209271,210188,209729,,DR76_190,0,1197,1271
DR76_RS01010,210309,212051,211180,,DR76_191,1,316,243
DR76_RS01015,212199,213161,212680,,DR76_192,0,11,28
DR76_RS01020,213264,213767,213515,,DR76_193,0,358,1568
DR76_RS01025,213834,215291,214562,,DR76_194,1,1973,6246
DR76_RS01030,215298,216827,216062,,DR76_195,1,2319,7081
DR76_RS01035,216991,218832,217911,,DR76_196,1,3461,10059
DR76_RS01040,218829,219131,218980,,DR76_197,1,241,681
DR76_RS01045,219128,219682,219405,,DR76_198,1,1031,2626
DR76_RS01050,219694,220236,219965,,DR76_199,1,1031,2572
DR76_RS01055,220251,221228,220739,,DR76_200,1,1617,4127
DR76_RS01060,221225,223951,222588,,DR76_201,1,6818,14086
DR76_RS01065,224004,225341,224672,,DR76_202,1,6895,10698
DR76_RS01070,225338,225838,225588,,DR76_203,1,3366,4680
DR76_RS01075,225841,227631,226736,,DR76_204,1,15902,18626
DR76_RS01080,227737,228399,228068,,DR76_205,1,9043,8073
DR76_RS01085,228415,228858,228636,,DR76_206,1,7376,4860
DR76_RS01090,229488,230426,229957,,DR76_208,1,2332,1624
DR76_RS01095,231346,232563,231954,,DR76_209,0,4873,6577
DR76_RS01100,232647,233246,232946,,DR76_210,0,2056,1994
DR76_RS01105,233305,235137,234221,,DR76_211,1,8360,5168
DR76_RS01110,235224,235874,235549,,DR76_212,1,3615,6164
DR76_RS01115,235885,236379,236132,,DR76_213,1,4088,7041
DR76_RS01120,236461,236916,236688,,DR76_214,1,4086,2856
DR76_RS01130,237254,238456,237855,,DR76_215,0,22479,60364
DR76_RS01135,238531,240675,239603,,DR76_216,0,20621,93762
DR76_RS01140,240865,242385,241625,,DR76_217,0,312,701
DR76_RS01145,242418,242960,242689,,DR76_218,1,2582,3419
DR76_RS01150,243018,243572,243295,,DR76_219,1,2102,2843
DR76_RS01155,243625,244269,243947,,DR76_220,1,2086,2522
DR76_RS01160,244405,245052,244728,,DR76_221,0,58,48
DR76_RS01165,245109,245471,245290,,DR76_222,0,1373,1207
DR76_RS01170,245492,246385,245938,,DR76_223,0,3534,2822
DR76_RS01175,246544,247317,246930,,DR76_224,1,874,492
DR76_RS01180,247325,248041,247683,,DR76_225,1,455,238
DR76_RS01185,248038,248724,248381,,DR76_226,1,718,326
DR76_RS01190,248814,249596,249205,,DR76_227,1,2214,2208
DR76_RS01195,249817,250599,250208,,,1,540,288
DR76_RS01200,250865,251434,251149,,DR76_230,1,960,732
DR76_RS01205,251529,253046,252287,,DR76_231,1,2603,5475
DR76_RS01210,253083,253571,253327,,DR76_232,1,1974,2912
DR76_RS01215,254103,254765,254434,,DR76_233,1,2983,3774
DR76_RS01220,254755,256023,255389,,DR76_234,1,2803,3423
DR76_RS01225,256093,257007,256550,,DR76_235,1,8647,11479
DR76_RS01230,257163,257822,257492,,DR76_236,1,846,828
DR76_RS01235,257905,258717,258311,,DR76_237,1,692,861
DR76_RS01240,258717,259730,259223,,DR76_238,1,2674,3413
DR76_RS01245,259796,260932,260364,,DR76_239,1,4704,5773
DR76_RS01250,261031,262026,261528,flk,DR76_241,0,1440,1341
DR76_RS01255,262023,263201,262612,,DR76_240,1,632,886
DR76_RS01260,263466,264686,264076,,DR76_242,1,15078,68656
DR76_RS01265,264845,266851,265848,,DR76_243,0,2540,3759
