gene_id	gene_name	description	locus	ATCC2_FPKM	ATCC3_FPKM	sp1_FPKM	sp2_FPKM	ATCC2_count	ATCC3_count	sp1_count	sp2_count	
DR76_RS00005	-	nucleoside transporter	NZ_CP009072.1:1-1278	4.3001540646245	5.72667766011993	4.43865321585361	5.73093326018115	107	208	95	139
DR76_RS00010	-	hypothetical protein	NZ_CP009072.1:1275-2279	6.54145118522016	12.1138286622987	8.02096621292687	7.34013138089554	128	346	135	140
DR76_RS00015	-	sugar kinase	NZ_CP009072.1:2276-3241	11.75024108233	15.1526064593987	9.33382201754659	10.5819291641866	221	416	151	194
DR76_RS00020	-	putative DNA-binding transcriptional regulator	NZ_CP009072.1:3215-3961	61.055270275448	36.2223518479885	22.9414044709089	27.2980513497549	888	769	287	387
DR76_RS00025	-	lysozyme	NZ_CP009072.1:4013-4831	10.0965381698287	11.7716507668557	3.20798248413071	3.98882740020196	161	274	44	62
DR76_RS00030	-	bifunctional hydroxy-methylpyrimidine kinase/ hydroxy-phosphomethylpyrimidine kinase	NZ_CP009072.1:4896-5696	61.5558602385674	74.1938536336466	49.3496540973941	36.7064581077106	960	1689	662	558
DR76_RS00035	-	hydroxyethylthiazole kinase	NZ_CP009072.1:5693-6481	106.171438402977	104.175776273193	40.3375158663877	40.8710279130891	1631	2336	533	612
DR76_RS00040	-	transcriptional repressor RcnR	NZ_CP009072.1:6704-6976	183.807305866361	46.5281060171274	124.672723500721	165.602029350204	977	361	570	858
DR76_RS00045	-	nickel/cobalt efflux system RcnA	NZ_CP009072.1:7097-7921	86.9707253365113	10.2786095564853	75.345190478338	93.1842611885492	1397	241	1041	1459
DR76_RS00050	-	nickel/cobalt homeostasis protein RcnB	NZ_CP009072.1:8140-8478	306.952053564502	161.19173610169	254.170727255427	260.193732676034	2026	1553	1443	1674
DR76_RS00055	-	fimbrial protein	NZ_CP009072.1:8560-9594	4.36687248777992	2.03976814423934	2.53849048744256	3.92002562454031	88	60	44	77
DR76_RS00060	-	fimbrial outer membrane usher protein	NZ_CP009072.1:9610-12090	6.74872888384002	2.22660660975009	4.42844020382687	5.50064135720886	326	157	184	259
DR76_RS00065	-	fimbrial assembly chaperone protein StcB	NZ_CP009072.1:12106-12780	8.52207788389166	1.35533023540207	1.94613110960868	5.62042431007937	112	26	22	72
DR76_RS00070	-	hypothetical protein	NZ_CP009072.1:12861-13403	140.461541749484	51.1267345123572	28.7011514188041	32.3135843077638	1485	789	261	333
DR76_RS00075	-	-	NZ_CP009072.1:13592-13773	0	0	0	0	0	0	0	0
DR76_RS00080	-	hypothetical protein	NZ_CP009072.1:13697-13978	20.2163403926319	17.8426201707845	108.412579951849	135.092264649816	111	143	512	723
DR76_RS00085	-	ATPase	NZ_CP009072.1:14241-15350	761.757459534527	739.478287376092	607.928883040469	572.486754865711	16463	23328	11301	12060
DR76_RS00090	-	methionyl-tRNA synthetase	NZ_CP009072.1:15482-17515	195.620039149229	183.005685650359	137.125361521273	145.225620479972	7747	10579	4671	5606
DR76_RS00095	-	MolR family transcriptional regulator	NZ_CP009072.1:17656-21444	6.35739557483864	6.6397558616471	3.59309504979313	3.69911057849243	469	715	228	266
DR76_RS00100	-	hypothetical protein	NZ_CP009072.1:21454-25086	9.86780261790767	6.35344287281311	5.47316253907466	4.94572375036524	698	656	333	341
DR76_RS00105	-	-	NZ_CP009072.1:25147-25463	1.94430527882437	2.99694301366959	0	0.332487894564698	12	27	0	2
DR76_RS00110	-	hypothetical protein	NZ_CP009072.1:25573-25662	768.698304163887	1304.62178017392	0	0	1347	3337	0	0
DR76_RS00115	-	hypothetical protein	NZ_CP009072.1:26095-27183	8.72515938050397	6.07435632678669	2.3577511213446	0.532212631294582	185	188	43	11
DR76_RS00120	-	hypothetical protein	NZ_CP009072.1:27194-29473	6.78051227001023	4.79950566590761	7.17588048612082	7.25664851652404	301	311	274	314
DR76_RS00125	-	hypothetical protein	NZ_CP009072.1:29466-30602	4.38169352727933	3.03274757778287	3.30858172073459	2.40982358537741	97	98	63	52
DR76_RS00130	-	hypothetical protein	NZ_CP009072.1:30599-32602	8.89329236894373	5.68876347428206	9.38581126213249	9.85996281012903	347	324	315	375
DR76_RS00135	-	hypothetical protein	NZ_CP009072.1:32727-33188	30.905352834964	12.9472296168439	28.8218305118318	31.021917683201	278	170	223	272
DR76_RS00140	-	hypothetical protein	NZ_CP009072.1:33229-33699	224.41668343398	135.888506506413	219.576514627484	228.665698921935	2058	1819	1732	2044
DR76_RS00145	-	putative response regulator in two-component system withYehU	NZ_CP009072.1:33746-34465	96.2298959049556	88.4050368883875	53.5746285605354	60.3025825979595	1349	1809	646	824
DR76_RS00150	-	inner membrane putative sensory kinase in two-component system with YehT	NZ_CP009072.1:34462-36147	66.5312803450373	46.6017251547527	26.7746059994343	30.3148463533304	2184	2233	756	970
DR76_RS00155	-	MerR family transcriptional regulator	NZ_CP009072.1:36369-37100	11.5070177852632	7.97935516015628	258.016228585449	286.636348952301	164	166	3163	3982
DR76_RS00160	-	putative membrane protein	NZ_CP009072.1:37160-37267	5.70689604988263	1.9548879549428	25.9857073288586	34.1517383956164	12	6	47	70
DR76_RS00165	-	osmoprotectant uptake system permease	NZ_CP009072.1:37248-37979	11.9280563890084	6.58537020358935	64.6060007224102	80.3330634329224	170	137	792	1116
DR76_RS00170	-	ATP-binding protein	NZ_CP009072.1:37984-38910	2.49325900035685	2.27741103483033	34.1393541332969	48.542193346061	45	60	530	854
DR76_RS00175	-	osmoprotectant uptake system permease	NZ_CP009072.1:38903-40060	4.16918245491681	2.55236777660654	55.9474264241208	73.3040815242845	94	84	1085	1611
DR76_RS00180	-	osmoprotectant uptake system substrate-binding protein	NZ_CP009072.1:40067-40984	16.3929085412458	11.5753768407679	70.3140025912413	90.9187517356998	293	302	1081	1584
DR76_RS00185	-	beta-D-glucoside glucohydrolase	NZ_CP009072.1:41174-43471	78.9407854111801	86.3268593593825	47.6289970974606	56.6354132937405	3532	5638	1833	2470
DR76_RS00190	-	D-lactate dehydrogenase	NZ_CP009072.1:43667-45382	282.842879769705	345.422327763571	325.21260844342	308.31935362094	9450	16846	9346	10041
DR76_RS00195	-	D-alanyl-D-alanine endopeptidase	NZ_CP009072.1:45421-46353	172.303220278804	108.990117186273	153.151045331972	148.812721212905	3130	2890	2393	2635
DR76_RS00200	-	Yip1 family inner membrane protein	NZ_CP009072.1:46527-47114	11.6172859152772	6.52257997832871	523.695287349203	467.413650082444	133	109	5157	5216
DR76_RS00205	-	membrane protein	NZ_CP009072.1:47284-47862	163.573513140284	81.8577561333348	175.42225047148	173.727476357295	1844	1347	1701	1909
DR76_RS00210	-	-	NZ_CP009072.1:47982-48743	22.3102388948082	19.5786243986702	86.9031378061733	97.9841552338193	331	424	1109	1417
DR76_RS00215	-	multidrug resistance outer membrane protein MdtQ	NZ_CP009072.1:48796-50232	5.11104764944783	4.67679391767149	2.61785484792988	4.0334573949425	143	191	63	110
DR76_RS00220	-	uncharacterized protein	NZ_CP009072.1:50456-50539	39.7430721307412	36.0239040260013	2.84363595681498	6.89975661285476	65	86	4	11
DR76_RS00225	-	tRNA-dihydrouridine synthase C	NZ_CP009072.1:50926-51876	17.4442945353146	13.5046320172695	6.27881204738256	9.19746422072937	323	365	100	166
DR76_RS00230	-	UPF0299 family inner membrane protein	NZ_CP009072.1:52115-52513	87.6607323381705	55.4688139401238	170.005967304486	133.247532846831	681	629	1136	1009
DR76_RS00235	-	membrane protein	NZ_CP009072.1:52510-53205	39.4798627484922	42.617641825972	138.812384795563	105.761651286553	535	843	1618	1397
DR76_RS00240	-	cytidine deaminase	NZ_CP009072.1:53335-54219	64.1863183966915	110.011164357507	90.0734411771571	75.0780503760394	1106	2767	1335	1261
DR76_RS00245	-	DUF218 superfamily vancomycin high temperature exclusion protein	NZ_CP009072.1:54369-55088	33.2418049657509	17.1043470991078	13.6009634727271	16.7588805421034	466	350	164	229
DR76_RS00250	-	DUF2542 family protein	NZ_CP009072.1:55091-55330	93.0911288842311	22.4311620543438	35.8270329648495	45.0074153017956	435	153	144	205
DR76_RS00255	-	dihydropyrimidine dehydrogenase subunit A	NZ_CP009072.1:55524-56762	381.204796189943	287.736387192873	32.2413697250999	36.5736502624557	9196	10132	669	860
DR76_RS00260	-	dihydropyrimidine dehydrogenase subunit B	NZ_CP009072.1:56756-57991	370.578094831781	281.972591390371	39.904391010443	51.6684491586458	8918	9905	826	1212
DR76_RS00265	-	beta-methylgalactoside transporter	NZ_CP009072.1:58234-59244	33.5800291738704	28.2254232471279	4.13436357454141	4.95123778031509	661	811	70	95
DR76_RS00270	-	D-ribose transporter ATP binding protein	NZ_CP009072.1:59260-60780	27.3518274046584	26.0252167264555	3.336946689981	7.06711396524814	810	1125	85	204
DR76_RS00275	-	methyl-galactoside transporter subunit	NZ_CP009072.1:60841-61839	168.117525259918	197.485845612393	38.253688121148	54.6431210386731	3270	5607	640	1036
DR76_RS00280	-	transcriptional regulator	NZ_CP009072.1:62119-63159	60.0934623945234	47.5569938242087	19.1008640772894	18.4749555263789	1218	1407	333	365
DR76_RS00285	-	hypothetical protein	NZ_CP009072.1:63149-63352	2.26604174345286	1.20740649789553	6.43940440679344	4.3910565843668	9	7	22	17
DR76_RS00290	-	membrane protein	NZ_CP009072.1:63301-64458	53.6670262676504	23.8827873582896	49.9659486330852	50.2799363843459	1210	786	969	1105
DR76_RS00295	-	GTP cyclohydrolase I	NZ_CP009072.1:64475-65143	515.218970978294	264.132294275719	518.214768702438	546.684860554467	6711	5022	5806	6941
DR76_RS00300	-	hypothetical protein	NZ_CP009072.1:65297-65473	2.90175906256221	0.19877416066026	5.73495509483589	3.2744607654226	10	1	17	11
DR76_RS00305	-	S-formylglutathione hydrolase	NZ_CP009072.1:65401-66237	226.428814071993	127.250024281744	234.780126895047	206.296611321787	3690	3027	3291	3277
DR76_RS00310	-	catecholate siderophore receptor CirA	NZ_CP009072.1:66269-68260	10.5970065903295	6.6062158769416	19.9937873389622	19.9709410194508	411	374	667	755
DR76_RS00315	-	-	NZ_CP009072.1:68253-68452	1.28402838518378	1.05563949566911	5.67259880986091	4.21538105961161	5	6	19	16
DR76_RS00320	-	lysine transporter	NZ_CP009072.1:68552-70021	91.1913857675401	36.2871480260262	117.311010741065	119.219139523159	2610	1516	2888	3326
DR76_RS00325	-	putative DNA-binding transcriptional regulator	NZ_CP009072.1:70226-71107	241.779535277746	168.629886769969	234.784514965377	244.758872813733	4152	4227	3468	4097
