gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
235186	236739	235962	NA	C_RS01120	c5600	0
236813	236889	236851	NA	C_RS01125	c5511	0
237151	240075	238613	NA	C_RS01135	c5601	0
240159	240274	240216	rrf	C_RS01140	c5602	0
240329	240405	240367	NA	C_RS01145	c5513	0
248554	248630	248592	NA	C_RS01195	c5514	0
370224	370299	370261	NA	C_RS01795	c5515	0
551106	551202	551154	ffs	C_RS25980	NA	0
627071	627147	627109	NA	C_RS02990	c5517	0
729302	729376	729339	NA	C_RS03480	c5518	1
729414	729488	729451	NA	C_RS03485	c5519	1
729537	729613	729575	NA	C_RS03490	c5520	1
729629	729703	729666	NA	C_RS03495	c5521	1
729738	729812	729775	NA	C_RS03500	c5522	1
729836	729920	729878	NA	C_RS03505	c5523	1
729931	730007	729969	NA	C_RS03510	c5524	1
803225	803300	803262	NA	C_RS03870	c5525	0
803336	803411	803373	NA	C_RS03875	c5526	0
803414	803489	803451	NA	C_RS03880	c5527	0
803541	803616	803578	NA	C_RS03885	c5528	0
803620	803695	803657	NA	C_RS03890	c5529	0
803744	803819	803781	NA	C_RS03895	c5530	0
803853	803928	803890	NA	C_RS03900	c5531	0
980013	980100	980056	NA	C_RS04825	c5532	1
1075414	1075501	1075457	NA	C_RS05230	c5533	1
1211152	1211228	1211190	NA	C_RS05910	c5534	0
1241062	1241149	1241105	NA	C_RS06075	c5535	1
1342304	1342379	1342341	NA	C_RS06685	c5536	0
1342387	1342463	1342425	NA	C_RS06690	c5537	0
1342477	1342553	1342515	NA	C_RS06695	c5538	0
1532213	1532344	1532278	NA	C_RS25985	NA	1
1532391	1532475	1532433	NA	C_RS07925	c5539	1
1532509	1532593	1532551	NA	C_RS07930	c5540	1
1902573	1902649	1902611	NA	C_RS09730	c5541	0
1902654	1902730	1902692	NA	C_RS09735	c5542	0
1926338	1926445	1926391	rprA	C_RS25990	NA	0
2140492	2140578	2140535	NA	C_RS11000	c5543	1
2140591	2140664	2140627	NA	C_RS11005	c5544	1
2140718	2140793	2140755	NA	C_RS11010	c5545	1
2216841	2216930	2216885	NA	C_RS11460	c5546	1
2217922	2217997	2217959	NA	C_RS11470	c5547	0
