gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
223771	225324	224547	NA	Y75_RS01020	Y75_r0001	0
225381	225457	225419	NA	Y75_RS01025	Y75_t0001	0
225500	225575	225537	NA	Y75_RS01030	Y75_t0002	0
225750	228679	227214	NA	Y75_RS01035	Y75_r0002	0
228758	228873	228815	rrf	Y75_RS01040	Y75_r0003	0
228928	229004	228966	NA	Y75_RS01045	Y75_t0003	0
236931	237007	236969	NA	Y75_RS01095	Y75_t0004	0
262095	262170	262132	NA	Y75_RS01245	Y75_t0005	0
475680	475776	475728	ffs	Y75_RS02340	Y75_s0004	0
563946	564022	563984	NA	Y75_RS02745	Y75_t0006	0
696852	696926	696889	NA	Y75_RS03440	Y75_t0007	1
696964	697038	697001	NA	Y75_RS03445	Y75_t0008	1
697086	697162	697124	NA	Y75_RS03450	Y75_t0009	1
697178	697252	697215	NA	Y75_RS03455	Y75_t0010	1
697287	697361	697324	NA	Y75_RS03460	Y75_t0011	1
697385	697469	697427	NA	Y75_RS03465	Y75_t0012	1
697479	697555	697517	NA	Y75_RS03470	Y75_t0013	1
780976	781051	781013	NA	Y75_RS03855	Y75_t0014	0
781187	781262	781224	NA	Y75_RS03865	Y75_t0015	0
781265	781340	781302	NA	Y75_RS03870	Y75_t0016	0
781490	781565	781527	NA	Y75_RS03880	Y75_t0017	0
781569	781644	781606	NA	Y75_RS03885	Y75_t0018	0
781791	781866	781828	NA	Y75_RS03895	Y75_t0019	0
781999	782074	782036	NA	Y75_RS03905	Y75_t0020	0
782105	782230	782167	NA	Y75_RS03910	NA	0
926306	926393	926349	NA	Y75_RS04600	Y75_t0021	1
1032047	1032134	1032090	NA	Y75_RS05055	Y75_t0022	1
1097625	1097761	1097693	NA	Y75_RS05385	NA	1
1097806	1097893	1097849	NA	Y75_RS05390	Y75_t0023	1
1288287	1288418	1288352	NA	Y75_RS06440	NA	1
1288465	1288596	1288530	NA	Y75_RS06445	NA	1
1288643	1288774	1288708	NA	Y75_RS06450	Y75_s0011	1
1288821	1288905	1288863	NA	Y75_RS06455	Y75_t0024	1
1288940	1289071	1289005	NA	Y75_RS06460	NA	1
1289115	1289199	1289157	NA	Y75_RS06465	Y75_t0025	1
1748149	1748225	1748187	NA	Y75_RS08770	Y75_t0026	0
1748230	1748306	1748268	NA	Y75_RS08775	Y75_t0027	0
1772086	1772193	1772139	rprA	Y75_RS08890	Y75_s0017	0
1993952	1994038	1993995	NA	Y75_RS10055	Y75_t0028	1
1994051	1994124	1994087	NA	Y75_RS10060	Y75_t0029	1
1994179	1994254	1994216	NA	Y75_RS10065	Y75_t0030	1
2045605	2045694	2045649	NA	Y75_RS10380	Y75_t0031	1
2046686	2046761	2046723	NA	Y75_RS10390	Y75_t0032	0
2060164	2060239	2060201	NA	Y75_RS10420	Y75_t0033	1
2061988	2062063	2062025	NA	Y75_RS10430	Y75_t0034	0
2064397	2064472	2064434	NA	Y75_RS10445	Y75_t0035	0
2289545	2289621	2289583	NA	Y75_RS11485	Y75_t0036	0
2471755	2471829	2471792	NA	Y75_RS12330	Y75_t0037	0
2523487	2523562	2523524	NA	Y75_RS12580	Y75_t0038	1
2523602	2523677	2523639	NA	Y75_RS12585	Y75_t0039	1
2526377	2526452	2526414	NA	Y75_RS12605	Y75_t0040	0
2526497	2526572	2526534	NA	Y75_RS12610	Y75_t0041	0
2526619	2526694	2526656	NA	Y75_RS12615	Y75_t0042	0
2526699	2526774	2526736	NA	Y75_RS12620	Y75_t0043	0
2526805	2526930	2526867	NA	Y75_RS12625	NA	0
2724727	2724842	2724784	rrf	Y75_RS13565	Y75_r0004	1
2724920	2727849	2726384	NA	Y75_RS13570	Y75_r0005	1
2728025	2728100	2728062	NA	Y75_RS13575	Y75_t0044	1
2728260	2729813	2729036	NA	Y75_RS13580	Y75_r0006	1
2754249	2754611	2754430	ssrA	Y75_RS13725	Y75_s0029	0
2784418	2784493	2784455	NA	Y75_RS13860	Y75_t0045	1
2816440	2816516	2816478	NA	Y75_RS14035	Y75_t0046	1
2816715	2816791	2816753	NA	Y75_RS14040	Y75_t0047	1
2816854	2816930	2816892	NA	Y75_RS14045	Y75_t0048	1
2817129	2817205	2817167	NA	Y75_RS14050	Y75_t0049	1
2817209	2817301	2817255	NA	Y75_RS14055	Y75_t0050	1
2946043	2946119	2946081	NA	Y75_RS14670	Y75_t0051	0
2946153	2946229	2946191	NA	Y75_RS14675	Y75_t0052	0
2946263	2946339	2946301	NA	Y75_RS14680	Y75_t0053	0
2997640	2997713	2997676	NA	Y75_RS14930	Y75_t0054	1
3054639	3054822	3054730	ssrS	Y75_RS15170	Y75_s0035	0
3109022	3109097	3109059	NA	Y75_RS15450	Y75_t0055	0
3214254	3214329	3214291	NA	Y75_RS15980	Y75_t0056	0
3270071	3270447	3270259	rnpB	Y75_RS16245	Y75_s0039	1
3318068	3318144	3318106	NA	Y75_RS16490	Y75_t0057	1
3321927	3322013	3321970	NA	Y75_RS16505	Y75_t0058	1
3423280	3423395	3423337	rrf	Y75_RS17015	Y75_r0007	1
3423435	3423510	3423472	NA	Y75_RS17020	Y75_t0059	1
3423525	3423640	3423582	rrf	Y75_RS17025	Y75_r0008	1
3423718	3426647	3425182	NA	Y75_RS17030	Y75_r0009	1
3426832	3426907	3426869	NA	Y75_RS17035	Y75_t0060	1
3426981	3428534	3427757	NA	Y75_RS17040	Y75_r0010	1
3460852	3460927	3460889	NA	Y75_RS17195	Y75_t0061	1
3460934	3461008	3460971	NA	Y75_RS17200	Y75_t0062	1
3461125	3461209	3461167	NA	Y75_RS17205	Y75_t0063	1
3461218	3461293	3461255	NA	Y75_RS17210	Y75_t0064	1
3464927	3465042	3464984	rrf	Y75_RS17235	Y75_r0011	1
3465120	3468049	3466584	NA	Y75_RS17240	Y75_r0012	1
3468234	3468309	3468271	NA	Y75_RS17245	Y75_t0065	1
3468469	3470022	3469245	NA	Y75_RS17250	Y75_r0013	1
3596047	3596162	3596104	rrf	Y75_RS17855	Y75_r0014	1
3596240	3599171	3597705	NA	Y75_RS17860	Y75_r0015	1
3599346	3599421	3599383	NA	Y75_RS17865	Y75_t0066	1
