Locus_tag,gene_id,GSE98890_1,GSE98890_2,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_locus_tag,gbk_strand
ECDH10B_0001,thrL,161,397,190,255,222,thrL,ECDH10B_RS00005,0
ECDH10B_0002,thrA,2634,10384,337,2799,1568,thrA,ECDH10B_RS00010,0
ECDH10B_0003,thrB,525,2236,2801,3733,3267,thrB,ECDH10B_RS00015,0
ECDH10B_0004,thrC,589,3143,3734,5020,4377,thrC,ECDH10B_RS00020,0
ECDH10B_0005,yaaX,17,168,5234,5530,5382,,ECDH10B_RS00030,0
ECDH10B_0006,yaaA,167,614,5683,6459,6071,yaaA,ECDH10B_RS00035,1
ECDH10B_0007,yaaJ,92,611,6529,7959,7244,,ECDH10B_RS00040,1
ECDH10B_0008,talB,6929,24384,8238,9191,8714,tal,ECDH10B_RS00045,0
ECDH10B_0009,mogA,406,1082,9306,9893,9599,mog,ECDH10B_RS00050,0
ECDH10B_0010,yaaH,51,143,9928,10494,10211,satP,ECDH10B_RS00055,1
ECDH10B_0011,yaaW,5,24,10643,11356,10999,msyB,ECDH10B_RS00060,1
ECDH10B_0013,yaaI,1,7,11382,11786,11584,,ECDH10B_RS00065,1
ECDH10B_0014,dnaK,4038,55645,12163,14079,13121,dnaK,ECDH10B_RS00070,0
ECDH10B_0015,dnaJ,463,2590,14168,15298,14733,dnaJ,ECDH10B_RS00075,0
ECDH10B_0016,insL-1,15,142,15445,16557,16001,,ECDH10B_RS00080,0
ECDH10B_0018,hokC,0,0,16751,16960,16855,mokC,ECDH10B_RS00085,1
ECDH10B_0020,nhaA,683,2050,17489,18655,18072,nhaA,ECDH10B_RS00090,0
ECDH10B_0021,nhaR,111,423,18721,19620,19170,nhaR,ECDH10B_RS00095,0
ECDH10B_0022,insB-1,6,10,19811,20508,20159,,ECDH10B_RS00100,1
ECDH10B_0024,rpsT,2552,4841,20815,21078,20946,rpsT,ECDH10B_RS00110,1
ECDH10B_0025,yaaY,5,14,21181,21399,21290,,ECDH10B_RS00115,0
ECDH10B_0026,ribF,677,1617,21407,22348,21877,ribF,ECDH10B_RS00120,0
ECDH10B_0027,ileS,4408,11122,22391,25207,23799,ileS,ECDH10B_RS00125,0
ECDH10B_0028,lspA,224,722,25207,25701,25454,lspA,ECDH10B_RS00130,0
ECDH10B_0029,fkpB,253,575,25826,26275,26050,fkpB,ECDH10B_RS00135,0
ECDH10B_0030,ispH,541,1044,26277,27227,26752,ispH,ECDH10B_RS00140,0
ECDH10B_0031,rihC,267,1662,27293,28207,27750,rihC,ECDH10B_RS00145,0
ECDH10B_0032,dapB,401,1554,28374,29195,28784,dapB,ECDH10B_RS00150,0
ECDH10B_0033,carA,102,358,29651,30799,30225,,ECDH10B_RS00165,0
ECDH10B_0034,carB,265,884,30817,34038,32427,carB,ECDH10B_RS00170,0
ECDH10B_0035,caiF,17,130,34300,34695,34497,caiF,ECDH10B_RS00180,0
ECDH10B_0036,caiE,4,14,34781,35371,35076,caiE,ECDH10B_RS00185,1
ECDH10B_0037,caiD,7,11,35377,36162,35769,caiD,ECDH10B_RS00190,1
ECDH10B_0038,caiC,11,58,36271,37824,37047,caiC,ECDH10B_RS00195,1
ECDH10B_0039,caiB,27,91,37898,39115,38506,caiB,ECDH10B_RS00200,1
ECDH10B_0040,caiA,39,174,39244,40386,39815,caiA,ECDH10B_RS00205,1
ECDH10B_0041,caiT,6,29,40417,41931,41174,,ECDH10B_RS00210,1
ECDH10B_0042,fixA,3,12,42403,43173,42788,,ECDH10B_RS00215,0
ECDH10B_0043,fixB,2,12,43188,44129,43658,,ECDH10B_RS00220,0
ECDH10B_0044,fixC,7,12,44180,45466,44823,,ECDH10B_RS00225,0
ECDH10B_0045,fixX,0,0,45463,45750,45606,fixX,ECDH10B_RS00230,0
ECDH10B_0046,yaaU,1,10,45807,47138,46472,,ECDH10B_RS00235,0
ECDH10B_0047,kefF,4,32,47246,47776,47511,kefF,ECDH10B_RS00240,0
ECDH10B_0048,kefC,64,163,47769,49631,48700,kefC,ECDH10B_RS00245,0
ECDH10B_0049,folA,327,609,49823,50302,50062,folA,ECDH10B_RS00250,0
ECDH10B_0050,apaH,252,467,50380,51222,50801,apaH,ECDH10B_RS00255,1
ECDH10B_0051,apaG,86,158,51229,51606,51417,apaG,ECDH10B_RS00260,1
ECDH10B_0052,ksgA,511,1034,51609,52430,52019,rsmA,ECDH10B_RS00265,1
ECDH10B_0053,pdxA,227,499,52427,53416,52921,pdxA,ECDH10B_RS00270,1
ECDH10B_0054,surA,1359,3776,53416,54702,54059,surA,ECDH10B_RS00275,1
ECDH10B_0055,imp,2453,7183,54755,57109,55932,lptD,ECDH10B_RS00280,1
ECDH10B_0056,djlA,224,502,57364,58179,57771,djlA,ECDH10B_RS00285,0
ECDH10B_0058,yabP,74,147,58474,59124,58799,,ECDH10B_RS00290,0
ECDH10B_0060,rluA,14,35,59687,60346,60016,rluA,ECDH10B_RS00295,1
ECDH10B_0061,hepA,7,46,60358,>62376,61367,rapA,ECDH10B_RS00300,1
ECDH10B_0062,fruR,3,15,62381,63136,62758,cra,ECDH10B_RS00305,0
ECDH10B_0063,mraZ,288,725,63738,64196,63967,mraZ,ECDH10B_RS00310,0
ECDH10B_0064,mraW,324,932,64198,65139,64668,rsmH,ECDH10B_RS00315,0
ECDH10B_0065,ftsL,16,77,65136,65501,65318,ftsL,ECDH10B_RS00320,0
ECDH10B_0066,ftsI,156,638,65517,67283,66400,,ECDH10B_RS00325,0
ECDH10B_0067,murE,425,779,67270,68757,68013,murE,ECDH10B_RS00330,0
ECDH10B_0068,murF,326,741,68754,70112,69433,murF,ECDH10B_RS00335,0
ECDH10B_0069,mraY,322,404,70106,71188,70647,mraY,ECDH10B_RS00340,0
ECDH10B_0070,murD,380,666,71191,72507,71849,murD,ECDH10B_RS00345,0
ECDH10B_0071,ftsW,268,355,72507,73751,73129,ftsW,ECDH10B_RS00350,0
ECDH10B_0072,murG,262,464,73748,74815,74281,murG,ECDH10B_RS00355,0
ECDH10B_0073,murC,455,1073,74869,76344,75606,murC,ECDH10B_RS00360,0
ECDH10B_0074,ddl,451,807,76337,77257,76797,,ECDH10B_RS00365,0
ECDH10B_0075,ftsQ,325,771,77259,78089,77674,ftsQ,ECDH10B_RS00370,0
ECDH10B_0076,ftsA,680,1680,78086,79348,78717,ftsA,ECDH10B_RS00375,0
ECDH10B_0077,ftsZ,2511,8424,79409,80560,79984,ftsZ,ECDH10B_RS00380,0
ECDH10B_0078,lpxC,4371,21145,80661,81578,81119,lpxC,ECDH10B_RS00385,0
ECDH10B_0079,secM,418,1634,81809,82321,82065,secM,ECDH10B_RS00390,0
ECDH10B_0080,secA,3591,10841,82383,85088,83735,secA,ECDH10B_RS00395,0
ECDH10B_0081,mutT,117,189,85148,85537,85342,mutT,ECDH10B_RS00400,0
ECDH10B_0082,yacG,25,123,85753,85950,85851,yacG,ECDH10B_RS00410,1
ECDH10B_0083,yacF,139,317,85960,86703,86331,zapD,ECDH10B_RS00415,1
ECDH10B_0084,coaE,57,163,86703,87323,87013,coaE,ECDH10B_RS00420,1
ECDH10B_0085,guaC,358,2233,87548,88591,88069,guaC,ECDH10B_RS00425,0
ECDH10B_0086,hofC,16,36,88626,89828,89227,hofC,ECDH10B_RS00430,1
ECDH10B_0087,hofB,47,143,89818,91203,90510,gspE,ECDH10B_RS00435,1
ECDH10B_0088,ppdD,3,16,91213,91653,91433,ppdD,ECDH10B_RS00440,1
ECDH10B_0089,nadC,488,1616,91856,92749,92302,nadC,ECDH10B_RS00450,1
ECDH10B_0090,ampD,129,572,92837,93388,93112,ampD,ECDH10B_RS00455,0
ECDH10B_0091,ampE,174,747,93385,94239,93812,ampE,ECDH10B_RS00460,0
ECDH10B_0092,aroP,324,839,94282,95655,94968,aroP,ECDH10B_RS00465,1
ECDH10B_0093,pdhR,899,1821,96196,96960,96578,pdhR,ECDH10B_RS00470,0
ECDH10B_0094,aceE,23463,67925,97121,99784,98452,aceE,ECDH10B_RS00475,0
ECDH10B_0095,aceF,18863,49206,99799,101691,100745,aceF,ECDH10B_RS00480,0
ECDH10B_0096,lpd,15434,38263,102016,103440,102728,lpdA,ECDH10B_RS00485,0
ECDH10B_0097,yacH,8,37,103511,105364,104437,,ECDH10B_RS00490,1
ECDH10B_0098,acnB,10202,29218,105719,108316,107017,acnB,ECDH10B_RS00495,0
ECDH10B_0099,yacL,557,1629,108492,108854,108673,,ECDH10B_RS00500,0
ECDH10B_0100,speD,860,2032,108892,109686,109289,speD,ECDH10B_RS00505,1
ECDH10B_0101,speE,689,1978,109702,110568,110135,speE,ECDH10B_RS00510,1
ECDH10B_0102,yacC,143,429,110674,111021,110847,,ECDH10B_RS00515,1
ECDH10B_0103,cueO,280,2624,111187,112737,111962,cueO,ECDH10B_RS00520,0
ECDH10B_0104,gcd,282,424,112939,115329,114134,,ECDH10B_RS00525,1
ECDH10B_0105,hpt,650,1411,115535,116071,115803,hpt,ECDH10B_RS00530,0
ECDH10B_0106,can,1291,1944,116112,116774,116443,can,ECDH10B_RS00535,1
ECDH10B_0107,yadG,295,849,116883,117809,117346,,ECDH10B_RS00540,0
ECDH10B_0108,yadH,176,555,117806,118576,118191,,ECDH10B_RS00545,0
ECDH10B_0109,yadI,56,628,118681,119121,118901,,ECDH10B_RS00550,0
ECDH10B_0110,yadE,91,255,119185,120414,119799,,ECDH10B_RS00555,0
ECDH10B_0111,panD,903,2718,120418,120798,120608,panD,ECDH10B_RS00560,1
ECDH10B_0112,yadD,58,142,121072,121974,121523,,ECDH10B_RS00565,0
ECDH10B_0113,panC,786,3061,122048,122899,122473,panC,ECDH10B_RS00570,1
ECDH10B_0114,panB,769,2868,122911,123705,123308,panB,ECDH10B_RS00575,1
ECDH10B_0115,yadC,6,21,123819,125057,124438,yadC,ECDH10B_RS00580,1
ECDH10B_0116,yadK,1,1,125107,125703,125405,,ECDH10B_RS00585,1
ECDH10B_0117,yadL,2,2,125730,126335,126032,yadL,ECDH10B_RS00590,1
ECDH10B_0118,yadM,1,2,126347,126916,126631,,ECDH10B_RS00595,1
ECDH10B_0119,htrE,5,17,126933,129530,128231,htrE,ECDH10B_RS00600,1
ECDH10B_0120,ecpD,1,4,129565,130305,129935,,ECDH10B_RS00605,1
ECDH10B_0121,yadN,3,15,130403,130987,130695,,ECDH10B_RS00610,1
ECDH10B_0122,folK,40,80,131357,131836,131596,folK,ECDH10B_RS00615,1
