Locus_tag,gbk_locus_tag,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand,norm_exp
b0001,BW25113_RS00005,190,255,222,,BW25113_0001,0,139.132613549459
b0002,BW25113_RS00010,337,2799,1568,,BW25113_0002,0,710.751411774758
b0003,BW25113_RS00015,2801,3733,3267,,BW25113_0003,0,430.081191714941
b0004,BW25113_RS00020,3734,5020,4377,,BW25113_0004,0,193.727489520609
b0005,BW25113_RS00030,5234,5530,5382,,BW25113_0005,0,7.52465665100674
b0006,BW25113_RS00035,5683,6459,6071,,BW25113_0006,1,22.8204999195647
b0007,BW25113_RS00040,6529,7959,7244,,BW25113_0007,1,15.8829532173512
b0008,BW25113_RS00045,8238,9191,8714,,BW25113_0008,0,754.299631173613
b0009,BW25113_RS00050,9306,9893,9599,,BW25113_0009,0,28.0957686389167
b0010,BW25113_RS00055,9928,10494,10211,,BW25113_0010,1,4.84927033290854
b0011,BW25113_RS00060,10643,11356,10999,,BW25113_0011,1,1.08694200740517
b0013,BW25113_RS00065,11382,11786,11584,,BW25113_0013,1,1.06295989288247
b0014,BW25113_RS00070,12163,14079,13121,,BW25113_0014,0,467.606043725432
b0015,BW25113_RS00075,14168,15298,14733,,BW25113_0015,0,91.5233305957585
b0016,BW25113_RS00080,15445,16557,16001,,BW25113_0016,0,10.5096883562112
b0018,BW25113_RS00085,16751,16960,16855,,BW25113_4412,1,13.6625948630745
b0019,BW25113_RS00090,17489,18655,18072,,BW25113_0019,0,29.4313716007691
b0020,BW25113_RS00095,18715,19620,19167,,BW25113_0020,0,95.2107301834908
b0021,BW25113_RS00100,19811,20508,20159,,BW25113_0021,1,0.525484417810559
b0023,BW25113_RS00110,20815,21078,20946,,BW25113_0023,1,849.694931993595
b0024,BW25113_RS00115,21181,21399,21290,,BW25113_0024,0,21.0806503361616
b0025,BW25113_RS00120,21407,22348,21877,,BW25113_0025,0,39.0857039100656
b0026,BW25113_RS00125,22391,25207,23799,,BW25113_0026,0,171.855435819259
b0027,BW25113_RS00130,25207,25701,25454,,BW25113_0027,0,63.5074700446883
b0028,BW25113_RS00135,25826,26275,26050,,BW25113_0028,0,235.073522721929
b0029,BW25113_RS00140,26277,27227,26752,,BW25113_0029,0,46.5224049941525
b0030,BW25113_RS00145,27293,28207,27750,,BW25113_0030,0,5.84160221965541
b0031,BW25113_RS00150,28374,29195,28784,,BW25113_0031,0,88.4915964706836
b0032,BW25113_RS00165,29651,30799,30225,,BW25113_0032,0,27.3362970353419
b0033,BW25113_RS00170,30817,34038,32427,carB,BW25113_0033,0,35.3217418137263
b0034,BW25113_RS00180,34300,34695,34497,,BW25113_0034,0,1.69487393646607
b0035,BW25113_RS00185,34781,35371,35076,,BW25113_0035,1,0.561457589594613
b0036,BW25113_RS00190,35377,36162,35769,,BW25113_0036,1,1.07139337686754
b0037,BW25113_RS00195,36271,37824,37047,,BW25113_0037,1,2.24490945996719
b0038,BW25113_RS00200,37898,39115,38506,,BW25113_0038,1,18.0103628926952
b0039,BW25113_RS00205,39244,40386,39815,,BW25113_0039,1,11.7649026042965
b0040,BW25113_RS00210,40417,41931,41174,,BW25113_0040,1,0.596536827631195
b0041,BW25113_RS00215,42403,43173,42788,,BW25113_0041,0,0
b0042,BW25113_RS00220,43188,44129,43658,,BW25113_0042,0,1.5968777946781
b0043,BW25113_RS00225,44180,45466,44823,,BW25113_0043,0,0.0119910572613514
b0044,BW25113_RS00230,45463,45750,45606,,BW25113_0044,0,0
b0045,BW25113_RS00235,45807,47138,46472,,BW25113_0045,0,0.0119910572613514
b0046,BW25113_RS00240,47246,47776,47511,,BW25113_0046,0,7.41805547308709
b0047,BW25113_RS00245,47769,49631,48700,,BW25113_0047,0,10.1640697973209
b0048,BW25113_RS00250,49823,50302,50062,folA,BW25113_0048,0,111.568485532087
b0049,BW25113_RS00255,50380,51222,50801,,BW25113_0049,1,39.3595296501189
b0050,BW25113_RS00260,51229,51606,51417,,BW25113_0050,1,541.149780385989
b0051,BW25113_RS00265,51609,52430,52019,ksgA,BW25113_0051,1,71.0944755023432
b0052,BW25113_RS00270,52427,53416,52921,,BW25113_0052,1,388.972456450389
b0053,BW25113_RS00275,53416,54702,54059,,BW25113_0053,1,268.36648490296
b0054,BW25113_RS00280,54755,57109,55932,,BW25113_0054,1,347.426714914586
b0055,BW25113_RS00285,57364,58179,57771,,BW25113_0055,0,13.9144070655629
b0058,BW25113_RS00295,59687,60346,60016,,BW25113_0058,1,4.94251698975694
b0059,BW25113_RS00300,60358,63264,61811,,BW25113_0059,1,18.1988165200981
b0060,BW25113_RS00305,63429,65780,64604,,BW25113_0060,1,14.0343176381764
b0061,BW25113_RS00310,65855,66574,66214,,,1,0
b0064,BW25113_RS00315,66874,67752,67313,,BW25113_0064,0,20.1482737357215
b0065,BW25113_RS00320,67838,68602,68220,,BW25113_0065,0,5.39694899774686
b0066,BW25113_RS00325,68716,69414,69065,,BW25113_0066,1,2.19786612933305
b0067,BW25113_RS00330,69398,71008,70203,thiP,BW25113_0067,1,3.87024784085553
b0068,BW25113_RS00335,70984,71967,71475,,BW25113_0068,1,22.4992609142183
b0069,BW25113_RS00340,72131,73786,72958,,BW25113_0069,1,43.3552412966693
b0070,BW25113_RS00350,74108,75286,74697,,BW25113_0070,0,2.38788124869214
b0071,BW25113_RS00355,75335,75940,75637,,BW25113_0071,1,487.947167415332
b0072,BW25113_RS00360,75951,77351,76651,,BW25113_0072,1,1030.84188545921
b0073,BW25113_RS00365,77354,78445,77899,,BW25113_0073,1,771.424543393751
b0074,BW25113_RS00370,78445,80016,79230,,BW25113_0074,1,1524.83899468799
b0075,BW25113_RS00375,80109,80195,80152,,BW25113_0075,1,87.6184796402347
