"data_set"	"start"	"end"
"1"	"G"	239100	239378
"2"	"G"	331595	332683
"3"	"G"	387977	388951
"4"	"G"	389475	393642
"5"	"G"	570116	570667
"6"	"G"	570677	571474
"7"	"G"	582904	583653
"8"	"G"	736048	737184
"9"	"G"	836888	837148
"10"	"G"	997091	997630
"11"	"G"	1063259	1064515
"12"	"G"	1089089	1091512
"13"	"G"	1095066	1096052
"14"	"G"	1128637	1129053
"15"	"G"	1146017	1146538
"16"	"G"	1145234	1145818
"17"	"G"	1196756	1197460
"18"	"G"	1197918	1198811
"19"	"G"	1196756	1197460
"20"	"G"	1197918	1198811
"21"	"G"	1210903	1211226
"22"	"G"	1252308	1255175
"23"	"G"	1299206	1300837
"24"	"G"	1527946	1528428
"25"	"G"	1542408	1542743
"26"	"G"	1542782	1543771
"27"	"G"	1580950	1581711
"28"	"G"	1636479	1636691
"29"	"G"	1710793	1712295
"30"	"G"	1755745	1756749
"31"	"G"	1801118	1803017
"32"	"G"	1856874	1858253
"33"	"G"	1967407	1969008
"34"	"G"	1998496	1999047
"35"	"G"	1999093	1999812
"36"	"G"	2000133	2001629
"37"	"G"	2000133	2001629
"38"	"G"	2001895	2003301
"39"	"G"	2010524	2010685
"40"	"G"	2010023	2010373
"41"	"G"	2011251	2012909
"42"	"G"	2101413	2102531
"43"	"G"	2103087	2104079
"44"	"G"	2104082	2105248
"45"	"G"	2105248	2106351
"46"	"G"	2106359	2107606
"47"	"G"	2185400	2186434
"48"	"G"	2225343	2226778
"49"	"G"	2380733	2381944
"50"	"G"	2466234	2467154
"51"	"G"	2467151	2468482
"52"	"G"	2478658	2480196
"53"	"G"	2519613	2520497
"54"	"G"	2624715	2626958
"55"	"G"	2722468	2723766
"56"	"G"	2771339	2773042
"57"	"G"	2985558	2986190
"58"	"G"	2987326	2987808
"59"	"G"	2989290	2989781
"60"	"G"	2990116	2991492
"61"	"G"	2991660	2991878
"62"	"G"	3076906	3077349
"63"	"G"	3115101	3116987
"64"	"G"	3266056	3267243
"65"	"G"	3266056	3267243
"66"	"G"	3317629	3319254
"67"	"G"	3319814	3320146
"68"	"G"	3358811	3359575
"69"	"G"	3440403	3441734
"70"	"G"	3621030	3621413
"71"	"G"	3628598	3630220
"72"	"G"	3630482	3632088
"73"	"G"	3632429	3633523
"74"	"G"	3648921	3651343
"75"	"G"	3763964	3764806
"76"	"G"	3765804	3766265
"77"	"G"	3794575	3795834
"78"	"G"	3795866	3796939
"79"	"G"	3796972	3797823
"80"	"G"	3798610	3799626
"81"	"G"	3799666	3800685
"82"	"G"	3800685	3801794
"83"	"G"	3801808	3802743
"84"	"G"	3801808	3802743
"85"	"G"	4178138	4178503
"86"	"G"	4217880	4220066
"87"	"G"	4248534	4249862
"88"	"G"	4279362	4280654
"89"	"G"	4279362	4280654
"90"	"G"	4435285	4435785
"91"	"G"	4473011	4474825
"92"	"G"	4477294	4478491
"93"	"G"	4502855	4503973
"94"	"G"	4569935	4571500
"95"	"H1"	3413864	3415021
"96"	"H1"	485761	486408
"97"	"H1"	4335694	4337031
"98"	"H1"	4337168	4337929
"99"	"H1"	3284170	3284646
"100"	"H1"	3284685	3285488
"101"	"H1"	1065585	1066826
"102"	"H1"	2365018	2365620
"103"	"H1"	539147	540508
"104"	"H1"	544057	545292
"105"	"H1"	545314	546363
"106"	"H1"	2055061	2056515
"107"	"H1"	452070	453545
"108"	"H1"	395130	396287
"109"	"H1"	4269414	4270127
"110"	"H1"	2980764	2982182
"111"	"H1"	411297	412481
"112"	"H1"	4477307	4478311
"113"	"H1"	1774686	1775444
"114"	"H1"	1671376	1671684
"115"	"H1"	1825955	1826923
"116"	"H1"	3922060	3922440
"117"	"H1"	2915057	2917813
"118"	"H1"	3696458	3698029
"119"	"H1"	1556065	1556280
"120"	"H1"	325577	327247
"121"	"H1"	3466797	3466991
"122"	"H1"	3466249	3466725
