"start"	"end"
"140"	17489	18655
"33"	34300	34695
"32"	35377	36162
"31"	36271	37824
"84"	42403	43173
"121"	81958	83529
"122"	84368	85312
"118"	85630	87354
"216"	151003	151599
"217"	156299	156883
"88"	157253	157732
"64"	179237	180754
"104"	234027	234782
"218"	252709	253161
"44"	257829	259006
"156"	259045	260100
"162"	260388	261491
"72"	305174	306817
"375"	312514	312777
"373"	321608	322327
"374"	323758	324453
"25"	325577	327247
"219"	332371	333459
"220"	334525	335022
"221"	335280	335885
"222"	335925	336788
"223"	342884	343933
"224"	345666	346337
"225"	346484	346759
"227"	394506	395129
"13"	395130	396287
"63"	399829	400923
"155"	401747	403162
"226"	408177	408461
"16"	411297	412481
"56"	450663	451610
"128"	479367	479918
"115"	480090	480308
"2"	485761	486408
"117"	535710	536486
"107"	536586	537464
"228"	537633	539087
"9"	539147	540508
"229"	540565	541866
"106"	541888	543033
"10"	544057	545292
"11"	545314	546363
"80"	546680	548347
"230"	587091	587981
"55"	597131	597463
"54"	597479	598702
"231"	603416	604663
"83"	618254	619387
"232"	634747	635376
"233"	636716	637618
"68"	637827	638573
"40"	652235	653893
"123"	661637	662278
"171"	683477	684412
"234"	799622	800575
"235"	803503	805764
"236"	819884	820588
"237"	820793	821506
"66"	848408	848911
"169"	849210	850097
"376"	872979	875327
"377"	875335	876663
"239"	888134	889819
"240"	890089	890466
"238"	916473	918131
"87"	953609	954466
"165"	1004768	1005778
"53"	1050963	1051175
"52"	1051461	1051673
"241"	1052289	1053362
"34"	1062855	1063775
"7"	1065585	1066826
"212"	1067112	1067708
"157"	1084992	1086056
"50"	1100851	1101684
"49"	1102152	1102541
"48"	1102546	1103196
"46"	1103951	1104406
"45"	1104447	1104902
"47"	1104961	1105293
"378"	1105820	1106353
"242"	1117901	1118476
"243"	1118480	1119046
"184"	1119468	1120586
"65"	1121242	1121487
"43"	1179631	1180359
"159"	1181783	1182829
"137"	1224279	1224545
"136"	1225385	1226080
"244"	1226600	1226968
"245"	1227714	1228007
"246"	1228815	1229276
"199"	1245679	1247376
"35"	1270749	1271849
"96"	1291457	1292365
"116"	1292509	1292922
"194"	1293527	1294144
"247"	1298598	1299245
"148"	1301182	1302813
"149"	1302899	1303819
"249"	1310569	1310865
"147"	1314020	1314658
"57"	1333855	1334829
"248"	1342658	1342984
"150"	1343110	1343328
"250"	1343597	1344346
"164"	1369689	1370003
"145"	1381947	1382852
"251"	1382963	1383961
"138"	1393227	1394840
"379"	1394891	1395922
"380"	1397365	1397622
"252"	1406563	1407795
"206"	1435185	1435619
"146"	1435760	1436893
"381"	1445687	1445872
"253"	1445880	1446206
"195"	1501562	1502155
"254"	1502457	1503125
"255"	1511654	1512799
"256"	1517389	1517562
"382"	1520963	1523065
"258"	1533282	1533851
"257"	1546288	1547169
"24"	1556065	1556280
"151"	1556625	1557056
"259"	1567504	1568823
"161"	1572407	1575202
"260"	1579633	1580790
"261"	1580842	1582524
"262"	1582926	1583687
"263"	1584207	1586486
"264"	1586820	1587734
"60"	1625335	1627380
"265"	1629453	1630913
"186"	1656184	1656744
"383"	1656747	1657457
"19"	1671376	1671684
"131"	1672820	1673149
"132"	1673136	1673501
"204"	1691586	1692851
"203"	1692890	1694263
"114"	1697273	1698040
"266"	1703268	1704308
"267"	1705250	1705690
"174"	1705767	1706348
"183"	1720390	1720824
"268"	1751728	1753830
"269"	1753851	1754477
"270"	1754932	1755141
"125"	1757421	1757657
"273"	1770615	1770971
"274"	1771071	1772285
"275"	1772512	1773777
"271"	1773789	1774655
"18"	1774686	1775444
"272"	1775587	1777182
"276"	1777196	1778347
"277"	1778390	1779301
"278"	1779617	1780381
"279"	1789808	1791244
"142"	1792267	1792731
"196"	1800642	1802570
"154"	1806370	1807299
"38"	1817148	1818500
"39"	1818605	1819447
"36"	1819455	1819805
"37"	1821299	1821619
"187"	1825140	1825625
"20"	1825955	1826923
"280"	1854096	1854854
"281"	1855981	1856928
"282"	1856933	1857769
"283"	1858850	1860229
"284"	1868955	1870238
"285"	1870385	1871860
"286"	1872041	1873531
"287"	1873574	1874077
"288"	1877715	1878740
"289"	1879007	1879255
"290"	1879589	1879948
"384"	1893367	1893711
"385"	1894133	1894432
"386"	1904801	1905259
"51"	1907226	1907435
"292"	1908261	1908548
"175"	1945365	1945976
"291"	1946251	1946853
"176"	1946855	1947376
"198"	1957032	1958132
"85"	1977847	1978197
"152"	1980188	1981612
"294"	1988222	1988545
"293"	1989251	1989490
"207"	1994703	1995359
"178"	1996110	1996832
"86"	2022893	2023678
"168"	2023968	2024591
"69"	2024635	2024823
"110"	2035835	2036686
"295"	2038152	2038823
"296"	2039478	2040482
"297"	2040483	2041118
"180"	2053643	2054959
"12"	2055061	2056515
"298"	2056858	2057574
"108"	2099862	2101268
"211"	2128340	2128888
"210"	2128904	2129650
"209"	2129661	2130878
"213"	2136104	2137243
"299"	2137902	2139485
"300"	2168712	2169611
"102"	2171833	2172873
"101"	2172921	2174278
"100"	2174282	2174566
