qseqid	sseqid	A_gene	B_gene	A_start	B_start	A_end	B_end	A_alt_name	B_alt_name
sp|A0A385XJ53|INSA9_ECOLI	tr|A0A0H2VC63|A0A0H2VC63_ECOL6	insA9	c4503					b470	
tr|A0A385XJN2|A0A385XJN2_ECOLI	tr|A0A0H2VB24|A0A0H2VB24_ECOL6	ygiA	ygiA					b3036	c3782
sp|A5A611|YMGI_ECOLI	tr|A0A0H2V6W5|A0A0H2V6W5_ECOL6	ymgI	c1618	1222989.0		1223163.0		b4593	
sp|A5A613|YCIY_ECOLI	sp|Q8FHW7|YCIY_ECOL6	yciY	yciY	1308787.0		1308961.0		b4595	c1714
sp|A5A614|YCIZ_ECOLI	sp|Q8FHT8|YCIZ_ECOL6	yciZ	yciZ	1344435.0		1344609.0		b4596	c1755
sp|A5A619|YOJO_ECOLI	sp|Q8FFQ7|YOJO_ECOL6	yojO	yojO					b4604	c2748
sp|A5A628|YJBT_ECOLI	sp|Q8FB40|YJBT_ECOL6	yjbT	yjbT	4239776.0		4240055.0		b4620	c4999
sp|A5A630|YTCA_ECOLI	sp|Q8FAX0|YTCA_ECOL6	ytcA	ytcA	4304127.0		4304403.0		b4622	c5088
sp|O32528|YPDI_ECOLI	tr|A0A0H2VBN1|A0A0H2VBN1_ECOL6	ypdI	ypdI	2494697.0		2494973.0		b2376	c2912
sp|O32583|THIS_ECOLI	tr|A0A0H2VFK5|A0A0H2VFK5_ECOL6	thiS	thiS	4192636.0	4723843.0	4192837.0	4724044.0	b4407	c4948
sp|P00350|6PGD_ECOLI	tr|A0A0H2V8P4|A0A0H2V8P4_ECOL6	gnd	gnd	2099861.0		2101268.0		b2029	c2556
sp|P00363|FRDA_ECOLI	tr|A0A0H2VDV7|A0A0H2VDV7_ECOL6	frdA	frdA	4380509.0	4989230.0	4382318.0	4991039.0	b4154	c5242
sp|P00370|DHE4_ECOLI	tr|A0A0H2V944|A0A0H2V944_ECOL6	gdhA	gdhA	1842370.0	1996214.0	1843714.0	1997558.0	b1761	c2162
sp|P00393|DHNA_ECOLI	tr|A0A0H2V6A3|A0A0H2V6A3_ECOL6	ndh	ndh	1166084.0	1309584.0	1167389.0	1310889.0	b1109	c1382
sp|P00448|SODM_ECOLI	tr|A0A0H2VEG7|A0A0H2VEG7_ECOL6	sodA	sodA	4100809.0	4620467.0	4101430.0	4621088.0	b3908	c4859
sp|P00452|RIR1_ECOLI	tr|A0A0H2V977|A0A0H2V977_ECOL6	nrdA	nrdA	2344864.0	2631721.0	2347150.0	2634007.0	b2234	c2776
sp|P00490|PHSM_ECOLI	tr|A0A0H2VBG1|A0A0H2VBG1_ECOL6	malP	malP	3550079.0	3976692.0	3552473.0	3979086.0	b3417	c4194
sp|P00509|AAT_ECOLI	tr|A0A0H2V6L9|A0A0H2V6L9_ECOL6	aspC	aspC	984518.0	1035306.0	985709.0	1036497.0	b0928	c1070
sp|P00547|KHSE_ECOLI	sp|Q8FLD8|KHSE_ECOL6	thrB	thrB	2800.0	3511.0	3733.0	4444.0	b0003	c0004
sp|P00550|PTM3C_ECOLI	tr|A0A0H2VER8|A0A0H2VER8_ECOL6	mtlA	mtlA	3772280.0	4199763.0	3774194.0	4201677.0	b3599	c4416
