block,start,end,rev_comp,inversion,strain,gene_name,gbk_start,gbk_midpoint,gbk_strand,gbk_end,norm_exp,block_length,log_exp
Block1,0,5468,0,0.0,K12DH,ECDH10B_0001,190,222,0,255,61.5935436977193,5468,4.136662136968008
Block1,0,5468,0,0.0,K12DH,ECDH10B_0002,337,1568,0,2799,1271.68152037708,5468,7.148881386877719
Block1,0,5468,0,0.0,K12DH,ECDH10B_0003,2801,3267,0,3733,264.755958609648,5468,5.582578438832019
Block1,0,5468,0,0.0,K12DH,ECDH10B_0004,3734,4377,0,5020,340.097387897533,5468,5.832168031516454
Block4,5692,9904,0,0.0,K12DH,ECDH10B_0007,6529,7244,1,7959,61.2730921722508,4212,4.131529425147065
Block4,5692,9904,0,0.0,K12DH,ECDH10B_0008,8238,8714,0,9191,3146.24206487115,4212,8.05428181335354
Block4,5692,9904,0,0.0,K12DH,ECDH10B_0009,9306,9599,0,9893,160.812520528973,4212,5.086438384380643
Block5,9928,11797,0,0.0,K12DH,ECDH10B_0011,10643,10999,1,11356,2.70509275637666,1869,1.3097082938939557
Block5,9928,11797,0,0.0,K12DH,ECDH10B_0013,11382,11584,1,11786,0.690361219521049,1869,0.5249422454575466
Block6,11827,15389,0,0.0,K12DH,ECDH10B_0014,12163,13121,0,14079,4646.24811074394,3562,8.444030519255122
Block6,11827,15389,0,0.0,K12DH,ECDH10B_0015,14168,14733,0,15298,275.445391443718,3562,5.622013302157442
Block7,16739,17125,0,0.0,K12DH,ECDH10B_0018,16751,16855,1,16960,0.0,386,0.0
Block8,17258,19597,0,0.0,K12DH,ECDH10B_0020,17489,18072,0,18655,286.128155215126,2339,5.659928649943663
Block9,20761,25674,0,0.0,K12DH,ECDH10B_0024,20815,20946,1,21078,877.7611192340961,4913,6.778513096511786
Block9,20761,25674,0,0.0,K12DH,ECDH10B_0025,21181,21290,0,21399,2.02626244616886,4913,1.1073283419981828
Block9,20761,25674,0,0.0,K12DH,ECDH10B_0026,21407,21877,0,22348,255.443722768874,4913,5.546909236128307
Block9,20761,25674,0,0.0,K12DH,ECDH10B_0027,22391,23799,0,25207,1703.5085214847104,4913,7.441032090969808
Block10,25677,28193,0,0.0,K12DH,ECDH10B_0029,25826,26050,0,26275,93.4732834379722,2516,4.548317079586201
Block10,25677,28193,0,0.0,K12DH,ECDH10B_0030,26277,26752,0,27227,187.282265670887,2516,5.237942249979166
Block11,28244,34713,0,0.0,K12DH,ECDH10B_0032,28374,28784,0,29195,191.77741115890305,6469,5.261536213273553
Block11,28244,34713,0,0.0,K12DH,ECDH10B_0033,29651,30225,0,30799,46.25048534774921,6469,3.855462925797032
Block11,28244,34713,0,0.0,K12DH,ECDH10B_0034,30817,32427,0,34038,117.0313000519,6469,4.770949843968982
Block11,28244,34713,0,0.0,K12DH,ECDH10B_0035,34300,34497,0,34695,12.4828540730864,6469,2.60141880956336
Block12,34768,44143,0,0.0,K12DH,ECDH10B_0036,34781,35076,1,35371,1.81108244379327,9375,1.033569620485155
Block12,34768,44143,0,0.0,K12DH,ECDH10B_0037,35377,35769,1,36162,2.25297335785769,9375,1.1795694574354474
Block12,34768,44143,0,0.0,K12DH,ECDH10B_0038,36271,37047,1,37824,6.30419582533671,9375,1.988448953631064
Block12,34768,44143,0,0.0,K12DH,ECDH10B_0039,37898,38506,1,39115,11.987215887031901,9375,2.5639654803078673
Block12,34768,44143,0,0.0,K12DH,ECDH10B_0040,39244,39815,1,40386,20.203667490263697,9375,3.054174161539847
Block12,34768,44143,0,0.0,K12DH,ECDH10B_0041,40417,41174,1,41931,3.25968791385615,9375,1.4491958979394783
Block12,34768,44143,0,0.0,K12DH,ECDH10B_0042,42403,42788,0,43173,1.46013637937612,9375,0.9002167871783802
Block12,34768,44143,0,0.0,K12DH,ECDH10B_0043,43188,43658,0,44129,1.24495637700054,9375,0.8086860898252696
Block13,44172,45802,0,0.0,K12DH,ECDH10B_0044,44180,44823,0,45466,2.3208563888784703,1630,1.2002226981227844
Block13,44172,45802,0,0.0,K12DH,ECDH10B_0045,45463,45606,0,45750,0.0,1630,0.0
Block14,45804,50310,0,0.0,K12DH,ECDH10B_0046,45807,46472,0,47138,0.894010312583389,4506,0.6386964396188569
Block14,45804,50310,0,0.0,K12DH,ECDH10B_0047,47246,47511,0,47776,3.0329770021673195,4506,1.3945048134617115
Block14,45804,50310,0,0.0,K12DH,ECDH10B_0048,47769,48700,0,49631,24.8364542084248,4506,3.2517864484625414
Block14,45804,50310,0,0.0,K12DH,ECDH10B_0049,49823,50062,0,50302,111.704626668472,4506,4.724770473162017
Block15,50407,58176,0,0.0,K12DH,ECDH10B_0051,51229,51417,1,51606,29.230999105583802,7769,3.4088678583803143
Block15,50407,58176,0,0.0,K12DH,ECDH10B_0052,51609,52019,1,52430,180.148035289412,7769,5.199314571515845
Block15,50407,58176,0,0.0,K12DH,ECDH10B_0053,52427,52921,1,53416,82.7194930186276,7769,4.427471841881341
Block15,50407,58176,0,0.0,K12DH,ECDH10B_0054,53416,54059,1,54702,548.7559483628891,7769,6.309474449499824
Block15,50407,58176,0,0.0,K12DH,ECDH10B_0055,54755,55932,1,57109,1015.44035764958,7769,6.924061957121306
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0062,62381,62758,0,63136,1.6637854724384695,23172,0.9797482210716221
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0063,63738,63967,0,64196,111.187038174235,23172,4.720167462121345
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0064,64198,64668,0,65139,132.98530568105699,23172,4.897730134841323
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0065,65136,65318,0,65501,8.66987342660947,23172,2.269015220094064
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0066,65517,66400,0,67283,76.8774541618494,23172,4.355136490727904
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0067,67270,68013,0,68757,144.33238217481198,23172,4.979023409990783
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0068,68754,69433,0,70112,120.45000676084,23172,4.799502711115862
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0069,70106,70647,0,71188,96.7127052973343,23172,4.582031594578749
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0070,71191,71849,0,72507,126.978499562563,23172,4.851862277643236
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0071,72507,73129,0,73751,81.76671664903441,23172,4.416026007740727
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0072,73748,74281,0,74815,87.87488701604592,23172,4.487229616854478
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0073,74869,75606,0,76344,170.745393366189,23172,5.146013109002947
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0074,76337,76797,0,77257,151.827787105159,23172,5.029311712981661
