Control_rep1,Control_rep2,GSE114917_LP1,GSE114917_LP2,GSE114917_LP3,GSE114917_LP4,GSE40313_1,GSE40313_2,GSE54199_DNA,GSE54199_RNA,GSE60522_1,GSE60522_2,GSE60522_3,Locus_tag,Single_block,block,block_by_end,block_by_start,block_order,diff,end,gbk_end,gbk_gene_id,gbk_locus_tag,gbk_midpoint,gbk_old_locus_tag,gbk_start,gbk_strand,gene_id,inversion,overlaps,raw_exp,replicates,rev_comp,start,strain,taxa
161.0,397.0,,,,,,,,,,,,ECDH10B_0001,True,Block1,Block1,Block1,1.0,0.0,5468,255,thrL,ECDH10B_RS00005,222,,190,0,thrL_locusTag_ECDH10B_0001,0.0,False,,,0,0,K12DH,NC_010473
2634.0,10384.0,,,,,,,,,,,,ECDH10B_0002,True,Block1,Block1,Block1,1.0,0.0,5468,2799,thrA,ECDH10B_RS00010,1568,,337,0,thrA_locusTag_ECDH10B_0002,0.0,False,,,0,0,K12DH,NC_010473
525.0,2236.0,,,,,,,,,,,,ECDH10B_0003,True,Block1,Block1,Block1,1.0,0.0,5468,3733,thrB,ECDH10B_RS00015,3267,,2801,0,thrB_locusTag_ECDH10B_0003,0.0,False,,,0,0,K12DH,NC_010473
589.0,3143.0,,,,,,,,,,,,ECDH10B_0004,True,Block1,Block1,Block1,1.0,0.0,5468,5020,thrC,ECDH10B_RS00020,4377,,3734,0,thrC_locusTag_ECDH10B_0004,0.0,False,,,0,0,K12DH,NC_010473
92.0,611.0,,,,,,,,,,,,ECDH10B_0007,True,Block4,Block4,Block4,4.0,19.0,9904,7959,,ECDH10B_RS00040,7244,,6529,1,yaaJ_locusTag_ECDH10B_0007,0.0,False,,,0,5692,K12DH,NC_010473
6929.0,24384.0,,,,,,,,,,,,ECDH10B_0008,True,Block4,Block4,Block4,4.0,19.0,9904,9191,tal,ECDH10B_RS00045,8714,,8238,0,talB_locusTag_ECDH10B_0008,0.0,False,,,0,5692,K12DH,NC_010473
406.0,1082.0,,,,,,,,,,,,ECDH10B_0009,True,Block4,Block4,Block4,4.0,19.0,9904,9893,mog,ECDH10B_RS00050,9599,,9306,0,mogA_locusTag_ECDH10B_0009,0.0,False,,,0,5692,K12DH,NC_010473
5.0,24.0,,,,,,,,,,,,ECDH10B_0011,True,Block5,Block5,Block5,5.0,24.0,11797,11356,msyB,ECDH10B_RS00060,10999,,10643,1,yaaW_locusTag_ECDH10B_0011,0.0,False,,,0,9928,K12DH,NC_010473
1.0,7.0,,,,,,,,,,,,ECDH10B_0013,True,Block5,Block5,Block5,5.0,24.0,11797,11786,,ECDH10B_RS00065,11584,,11382,1,yaaI_locusTag_ECDH10B_0013,0.0,False,,,0,9928,K12DH,NC_010473
4038.0,55645.0,,,,,,,,,,,,ECDH10B_0014,True,Block6,Block6,Block6,6.0,30.0,15389,14079,dnaK,ECDH10B_RS00070,13121,,12163,0,dnaK_locusTag_ECDH10B_0014,0.0,False,,,0,11827,K12DH,NC_010473
463.0,2590.0,,,,,,,,,,,,ECDH10B_0015,True,Block6,Block6,Block6,6.0,30.0,15389,15298,dnaJ,ECDH10B_RS00075,14733,,14168,0,dnaJ_locusTag_ECDH10B_0015,0.0,False,,,0,11827,K12DH,NC_010473
0.0,0.0,,,,,,,,,,,,ECDH10B_0018,True,Block7,Block7,Block7,7.0,1350.0,17125,16960,mokC,ECDH10B_RS00085,16855,,16751,1,hokC_locusTag_ECDH10B_0018,0.0,False,,,0,16739,K12DH,NC_010473
683.0,2050.0,,,,,,,,,,,,ECDH10B_0020,True,Block8,Block8,Block8,8.0,133.0,19597,18655,nhaA,ECDH10B_RS00090,18072,,17489,0,nhaA_locusTag_ECDH10B_0020,0.0,False,,,0,17258,K12DH,NC_010473
2552.0,4841.0,,,,,,,,,,,,ECDH10B_0024,True,Block9,Block9,Block9,9.0,1164.0,25674,21078,rpsT,ECDH10B_RS00110,20946,,20815,1,rpsT_locusTag_ECDH10B_0024,0.0,False,,,0,20761,K12DH,NC_010473
5.0,14.0,,,,,,,,,,,,ECDH10B_0025,True,Block9,Block9,Block9,9.0,1164.0,25674,21399,,ECDH10B_RS00115,21290,,21181,0,yaaY_locusTag_ECDH10B_0025,0.0,False,,,0,20761,K12DH,NC_010473
677.0,1617.0,,,,,,,,,,,,ECDH10B_0026,True,Block9,Block9,Block9,9.0,1164.0,25674,22348,ribF,ECDH10B_RS00120,21877,,21407,0,ribF_locusTag_ECDH10B_0026,0.0,False,,,0,20761,K12DH,NC_010473
