"block"	"start"	"end"	"midpoint"	"gbk_start"	"gbk_end"	"gbk_midpoint"	"block_t_stat"	"block_t_confinf1"	"block_t_confinf2"	"block_avg_exp_invert"	"block_avg_exp_noninvert"	"block_avg_len_invert"	"block_avg_len_noninvert"	"inversion"	"rev_comp"	"strain"	"gbk_strand"	"test"	"pvalue"
"1"	"Block611"	0	19237	1214641.5	1	1278	1205662	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"2"	"Block611"	0	19237	1214641.5	1275	2279	1206800	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"3"	"Block611"	0	19237	1214641.5	2276	3241	1207781	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"4"	"Block611"	0	19237	1214641.5	3215	3961	1208611	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"5"	"Block611"	0	19237	1214641.5	4013	4831	1209445	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"6"	"Block611"	0	19237	1214641.5	4896	5696	1210319	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"7"	"Block611"	0	19237	1214641.5	5693	6481	1211110	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"8"	"Block611"	0	19237	1214641.5	6704	6976	1211863	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"9"	"Block611"	0	19237	1214641.5	7097	7921	1212532	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"10"	"Block611"	0	19237	1214641.5	8140	8478	1213332	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"11"	"Block611"	0	19237	1214641.5	8560	9594	1214100	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"12"	"Block611"	0	19237	1214641.5	9610	12090	1215873	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"13"	"Block611"	0	19237	1214641.5	12106	12780	1217466	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"14"	"Block611"	0	19237	1214641.5	12861	13403	1218155	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"15"	"Block611"	0	19237	1214641.5	13592	13773	1218705	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"16"	"Block611"	0	19237	1214641.5	13697	13978	1218860	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"17"	"Block611"	0	19237	1214641.5	14241	15350	1219818	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"18"	"Block611"	0	19237	1214641.5	15482	17515	1221521	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"19"	"Block612"	19639	25321	1227503	21454	25086	1228293	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"20"	"Block614"	25805	30879	1233365	26095	27183	1231662	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"21"	"Block614"	25805	30879	1233365	27194	29473	1233356	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"22"	"Block614"	25805	30879	1233365	29466	30602	1235057	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"23"	"Block615"	30896	41163	1241052.5	32727	33188	1237980	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"24"	"Block615"	30896	41163	1241052.5	33229	33699	1238487	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"25"	"Block615"	30896	41163	1241052.5	33746	34465	1239128	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"26"	"Block615"	30896	41163	1241052.5	34462	36147	1240327	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	1	"block_w_pvalue"	1
"27"	"Block615"	30896	41163	1241052.5	36369	37100	1241757	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
"28"	"Block615"	30896	41163	1241052.5	37160	37267	1242236	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"ATCC"	0	"block_w_pvalue"	1
