block	taxa	start	end	rev_comp	inversion
Block1005	NZ_CP009072	2787739	2787761	0	0
Block1005	NZ_CP009273	4020872	4020894	0	0
Block1005	NC_010473	4124455	4124477	0	0
Block1005	U00096	4027512	4027534	0	0
Block1020	NZ_CP009072	563989	564015	0	0
Block1020	NZ_CP009273	4084761	4084787	0	0
Block1020	NC_010473	4189121	4189147	0	0
Block1020	U00096	4091401	4091427	0	0
Block102	NZ_CP009072	4504882	4504907	0	0
Block102	NZ_CP009273	372806	372831	0	0
Block102	NC_010473	315905	315930	0	0
Block102	U00096	377350	377375	0	0
Block1036	NZ_CP009072	2146159	2146397	0	0
Block1036	NZ_CP009273	4161485	4161722	0	0
Block1036	NC_010473	4269277	4269514	0	0
Block1036	U00096	4171557	4171794	0	0
Block1037	NZ_CP009072	2146364	2150588	0	0
Block1037	NZ_CP009273	4161857	4166079	0	0
Block1037	NC_010473	4269649	4273870	0	0
Block1037	U00096	4171929	4176151	0	0
Block1038	NZ_CP009072	1282389	1282775	0	0
Block1038	NZ_CP009273	4166080	4166466	0	0
Block1038	NC_010473	4273871	4274257	0	0
Block1038	U00096	4176152	4176538	0	0
Block1039	NZ_CP009072	2150976	2154067	0	0
Block1039	NZ_CP009273	4166467	4169558	0	0
Block1039	NC_010473	4274258	4277349	0	0
Block1039	U00096	4176539	4179630	0	0
Block1040	NZ_CP009072	2154089	2163940	0	0
Block1040	NZ_CP009273	4169701	4179552	0	0
Block1040	NC_010473	4277492	4287343	0	0
Block1040	U00096	4179773	4189624	0	0
Block1041	NZ_CP009072	2163975	2174705	0	0
Block1041	NZ_CP009273	4180507	4191237	0	0
Block1041	NC_010473	4288298	4299028	0	0
Block1041	U00096	4190579	4201309	0	0
Block1042	NZ_CP009072	2174719	2175680	0	0
Block1042	NZ_CP009273	4191257	4192218	0	0
Block1042	NC_010473	4299048	4300009	0	0
Block1042	U00096	4201329	4202290	0	0
Block1043	NZ_CP009072	2175834	2181351	0	0
Block1043	NZ_CP009273	4192393	4197910	0	0
Block1043	NC_010473	4300184	4305701	0	0
Block1043	U00096	4202465	4207982	0	0
Block1044	NZ_CP009072	2181769	2184584	0	0
Block1044	NZ_CP009273	4198323	4201139	0	0
Block1044	NC_010473	4306114	4308930	0	0
Block1044	U00096	4208395	4211211	0	0
Block1045	NZ_CP009072	2184592	2185282	0	0
Block1045	NZ_CP009273	4201148	4201838	0	0
Block1045	NC_010473	4308939	4309629	0	0
Block1045	U00096	4211220	4211910	0	0
Block1046	NZ_CP009072	2185288	2191792	0	0
Block1046	NZ_CP009273	4201842	4208345	0	0
Block1046	NC_010473	4309633	4316136	0	0
Block1046	U00096	4211914	4218417	0	0
Block1047	NZ_CP009072	2191800	2191848	0	0
Block1047	NZ_CP009273	4208352	4208400	0	0
Block1047	NC_010473	4316143	4316191	0	0
Block1047	U00096	4218424	4218472	0	0
Block1048	NZ_CP009072	2191852	2191897	0	0
Block1048	NZ_CP009273	4208411	4208456	0	0
Block1048	NC_010473	4316202	4316247	0	0
Block1048	U00096	4218483	4218528	0	0
Block1049	NZ_CP009072	2191978	2193714	0	0
Block1049	NZ_CP009273	4208498	4210234	0	0
Block1049	NC_010473	4316289	4318025	0	0
Block1049	U00096	4218570	4220306	0	0
Block104	NZ_CP009072	3185471	3185508	0	0
Block104	NZ_CP009273	372942	372979	0	0
Block104	NC_010473	316041	316078	0	0
Block104	U00096	377486	377523	0	0
Block1050	NZ_CP009072	2193738	2198441	0	0
Block1050	NZ_CP009273	4212725	4217428	0	0
Block1050	NC_010473	4320516	4325219	0	0
Block1050	U00096	4222797	4227500	0	0
Block1051	NZ_CP009072	2199477	2201127	0	0
Block1051	NZ_CP009273	4217641	4219291	0	0
Block1051	NC_010473	4325432	4327082	0	0
Block1051	U00096	4227713	4229363	0	0
Block1052	NZ_CP009072	4279231	4279269	0	0
Block1052	NZ_CP009273	4219302	4219340	0	0
Block1052	NC_010473	4327093	4327131	0	0
Block1052	U00096	4229374	4229412	0	0
Block1053	NZ_CP009072	2201176	2201985	0	0
Block1053	NZ_CP009273	4219341	4220150	0	0
Block1053	NC_010473	4327132	4327941	0	0
Block1053	U00096	4229413	4230222	0	0
Block1054	NZ_CP009072	2208312	2209200	0	0
Block1054	NZ_CP009273	4220246	4221134	0	0
Block1054	NC_010473	4328037	4328925	0	0
Block1054	U00096	4230318	4231206	0	0
Block1055	NZ_CP009072	2209222	2214038	0	0
Block1055	NZ_CP009273	4221288	4226105	0	0
Block1055	NC_010473	4329079	4333896	0	0
Block1055	U00096	4231360	4236177	0	0
Block1056	NZ_CP009072	2214139	2218060	0	0
Block1056	NZ_CP009273	4226133	4230054	0	0
Block1056	NC_010473	4333924	4337845	0	0
Block1056	U00096	4236205	4240126	0	0
Block1057	NZ_CP009072	2218118	2218616	0	0
Block1057	NZ_CP009273	4230167	4230665	0	0
Block1057	NC_010473	4337958	4338456	0	0
Block1057	U00096	4240239	4240737	0	0
Block1058	NZ_CP009072	2218617	2225536	0	0
Block1058	NZ_CP009273	4232463	4239382	0	0
Block1058	NC_010473	4340254	4347173	0	0
Block1058	U00096	4242535	4249454	0	0
Block1059	NZ_CP009072	2225541	2226603	0	0
Block1059	NZ_CP009273	4239398	4240460	0	0
Block1059	NC_010473	4347189	4348251	0	0
Block1059	U00096	4249470	4250532	0	0
Block1060	NZ_CP009072	2226623	2234260	0	0
Block1060	NZ_CP009273	4242333	4249970	0	0
Block1060	NC_010473	4350124	4357761	0	0
Block1060	U00096	4252405	4260042	0	0
Block1061	NZ_CP009072	2234436	2236895	0	0
Block1061	NZ_CP009273	4251698	4254158	0	0
Block1061	NC_010473	4359489	4361949	0	0
Block1061	U00096	4261770	4264230	0	0
Block1062	NZ_CP009072	2244277	2245652	0	0
Block1062	NZ_CP009273	4254282	4255657	0	0
Block1062	NC_010473	4362073	4363448	0	0
Block1062	U00096	4264354	4265729	0	0
Block1063	NZ_CP009072	2246369	2247453	0	0
Block1063	NZ_CP009273	4255705	4256789	0	0
Block1063	NC_010473	4363496	4364580	0	0
Block1063	U00096	4265777	4266861	0	0
Block1064	NZ_CP009072	2249037	2250306	0	0
Block1064	NZ_CP009273	4256963	4258232	0	0
Block1064	NC_010473	4364754	4366023	0	0
Block1064	U00096	4267035	4268304	0	0
Block1065	NZ_CP009072	2264054	2273114	0	0
Block1065	NZ_CP009273	4259234	4268295	0	0
