gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
235186	236727	235956	rrsH	c5600	NA	0
236813	236889	236851	NA	c5511	NA	0
236902	236976	236939	NA	c5512	NA	0
237160	240063	238611	rrlH	c5601	NA	0
240157	240276	240216	rrfH	c5602	NA	0
240329	240405	240367	aspU	c5513	NA	0
248554	248630	248592	aspV	c5514	NA	0
370224	370299	370261	thrW	c5515	NA	0
434982	435062	435022	NA	c5516	NA	0
627071	627147	627109	NA	c5517	NA	0
729302	729376	729339	glnX	c5518	NA	1
729414	729488	729451	glnV	c5519	NA	1
729537	729613	729575	metU	c5520	NA	1
729629	729703	729666	glnW	c5521	NA	1
729738	729812	729775	glnU	c5522	NA	1
729836	729920	729878	NA	c5523	NA	1
729931	730007	729969	NA	c5524	NA	1
803225	803300	803262	lysT	c5525	NA	0
803336	803411	803373	valT	c5526	NA	0
803414	803489	803451	lysW	c5527	NA	0
803541	803616	803578	valZ	c5528	NA	0
803620	803695	803657	lysY	c5529	NA	0
803744	803819	803781	lysZ	c5530	NA	0
803853	803928	803890	lysQ	c5531	NA	0
980013	980100	980056	serW	c5532	NA	1
1075414	1075501	1075457	serT	c5533	NA	1
1211152	1211228	1211190	NA	c5534	NA	0
1241062	1241149	1241105	serX	c5535	NA	1
1342304	1342379	1342341	NA	c5536	NA	0
1342387	1342463	1342425	NA	c5537	NA	0
1342477	1342553	1342515	NA	c5538	NA	0
1532391	1532475	1532433	tyrV	c5539	NA	1
1532509	1532593	1532551	tyrT	c5540	NA	1
1902573	1902649	1902611	valV	c5541	NA	0
1902654	1902730	1902692	valW	c5542	NA	0
2140492	2140578	2140535	leuZ	c5543	NA	1
2140591	2140664	2140627	cysT	c5544	NA	1
2140718	2140793	2140755	glyW	c5545	NA	1
2216841	2216930	2216885	serU	c5546	NA	1
2217922	2217997	2217959	asnT	c5547	NA	0
2258516	2258591	2258553	asnV	c5548	NA	1
2260925	2261000	2260962	asnU	c5549	NA	1
2262749	2262824	2262786	asnW	c5550	NA	0
2576748	2576824	2576786	proL	c5551	NA	0
2746725	2746799	2746762	argW	c5552	NA	0
2799076	2799151	2799113	alaX	c5553	NA	1
2799191	2799266	2799228	alaW	c5554	NA	1
2801965	2802040	2802002	valU	c5555	NA	0
2802084	2802159	2802121	valX	c5556	NA	0
2802206	2802281	2802243	valY	c5557	NA	0
2802286	2802361	2802323	lysV	c5558	NA	0
2988760	2988879	2988819	rrfG	c5615	NA	1
2988973	2991877	2990425	rrlG	c5616	NA	1
2992062	2992137	2992099	gltW	c5559	NA	1
2992309	2993859	2993084	rrsG	c5617	NA	1
3100380	3100456	3100418	NA	c5560	NA	1
3100520	3100596	3100558	argQ	c5561	NA	1
3100659	3100735	3100697	argZ	c5562	NA	1
3100798	3100874	3100836	argY	c5563	NA	1
3100939	3101015	3100977	argV	c5564	NA	1
3101019	3101111	3101065	serV	c5565	NA	1
3222091	3222167	3222129	metZ	c5566	NA	0
3222201	3222277	3222239	metW	c5567	NA	0
3222311	3222387	3222349	metV	c5568	NA	0
3295426	3295499	3295462	glyU	c5569	NA	1
3406225	3406300	3406262	pheV	c5570	NA	0
3656193	3656268	3656230	ileX	c5571	NA	0
3751846	3751922	3751884	metY	c5572	NA	1
3755703	3755789	3755746	leuU	c5573	NA	1
3855028	3855140	3855084	rrfD	c5618	NA	1
3855236	3858140	3856688	rrlD	c5619	NA	1
3858429	3858504	3858466	NA	c5574	NA	1
3858590	3860131	3859360	rrsD	c5620	NA	1
4147653	4147729	4147691	proK	c5575	NA	1
4274308	4274398	4274353	selC	c5576	NA	0
4442840	4444382	4443611	rrsC	c5603	NA	0
4444468	4444543	4444505	gltU	c5577	NA	0
4444737	4447644	4446190	rrlC	c5604	NA	0
4447738	4447857	4447797	rrfC	c5605	NA	0
4447909	4447985	4447947	aspT	c5578	NA	0
4447994	4448069	4448031	trpT	c5579	NA	0
4482539	4482615	4482577	argX	c5580	NA	0
4482673	4482749	4482711	hisR	c5581	NA	0
4482770	4482856	4482813	leuT	c5582	NA	0
4482899	4482975	4482937	proM	c5583	NA	0
4561194	4562736	4561965	rrsA	c5606	NA	0
4562805	4562881	4562843	ileT	c5584	NA	0
4562924	4562999	4562961	alaT	c5585	NA	0
4563174	4566081	4564627	rrlA	c5607	NA	0
4566175	4566294	4566234	rrfA	c5608	NA	0
4699063	4700613	4699838	rrsB	c5609	NA	0
4700785	4700860	4700822	gltT	c5586	NA	0
4701054	4703957	4702505	rrlB	c5610	NA	0
4704051	4704170	4704110	rrfB	c5611	NA	0
4707636	4707711	4707673	thrU	c5587	NA	0
4707720	4707804	4707762	tyrU	c5588	NA	0
4707921	4707995	4707958	glyT	c5589	NA	0
4708002	4708077	4708039	thrT	c5590	NA	0
4739329	4740870	4740099	rrsE	c5612	NA	0
4740956	4741031	4740993	gltV	c5591	NA	0
4741226	4744132	4742679	rrlE	c5613	NA	0
4744226	4744345	4744285	rrfE	c5614	NA	0
4971585	4971660	4971622	pheU	c5592	NA	1
5000526	5000601	5000563	glyV	c5593	NA	0
5000638	5000713	5000675	glyX	c5594	NA	0
5000749	5000824	5000786	glyY	c5595	NA	0
5115342	5115426	5115384	leuX	c5596	NA	0
5195068	5195154	5195111	leuV	c5597	NA	1
5195189	5195275	5195232	leuP	c5598	NA	1
5195304	5195390	5195347	leuQ	c5599	NA	1
0	0	0	0	0	0	0
