gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
16952	17006	16979	sokC	b4413	NA	0
77367	77593	77480	sgrS	b4577	NA	0
189712	189847	189779	tff	b4414	NA	0
223771	225312	224541	rrsH	b0201	NA	0
225381	225457	225419	ileV	b0202	NA	0
225500	225575	225537	alaV	b0203	NA	0
225759	228662	227210	rrlH	b0204	NA	0
228756	228875	228815	rrfH	b0205	NA	0
228928	229004	228966	aspU	b0206	NA	0
236931	237007	236969	aspV	b0216	NA	0
262871	262946	262908	thrW	b0244	NA	0
272580	272654	272617	eyeA	b4690	NA	0
476448	476561	476504	ffs	b0455	NA	0
507204	507287	507245	chiX	b4585	NA	0
564723	564799	564761	argU	b0536	NA	0
607734	607792	607763	sokE	b4700	NA	0
696430	696504	696467	glnX	b0664	NA	1
696542	696616	696579	glnV	b0665	NA	1
696664	696740	696702	metU	b0666	NA	1
696756	696830	696793	glnW	b0668	NA	1
696865	696939	696902	glnU	b0670	NA	1
696963	697047	697005	leuW	b0672	NA	1
697057	697133	697095	metT	b0673	NA	1
780554	780629	780591	lysT	b0743	NA	0
780765	780840	780802	valT	b0744	NA	0
780843	780918	780880	lysW	b0745	NA	0
781068	781143	781105	valZ	b0746	NA	0
781147	781222	781184	lysY	b0747	NA	0
781369	781444	781406	lysZ	b0748	NA	0
781577	781652	781614	lysQ	b0749	NA	0
887976	888054	888015	rybB	b4417	NA	1
925884	925971	925927	serW	b0883	NA	1
1031625	1031712	1031668	serT	b0971	NA	1
1097565	1097652	1097608	serX	b1032	NA	1
1146589	1146757	1146673	psrD	b4418	NA	0
1269323	1269389	1269356	rdlA	b4420	NA	0
1269858	1269923	1269890	rdlB	b4422	NA	0
1270393	1270460	1270426	rdlC	b4424	NA	0
1287066	1287236	1287151	rttR	b4425	NA	1
1287244	1287328	1287286	tyrV	b1230	NA	1
1287538	1287622	1287580	tyrT	b1231	NA	1
1405656	1405751	1405703	mcaS	b4426	NA	1
1409129	1409250	1409189	fnrS	b4699	NA	0
1437121	1437229	1437175	micC	b4427	NA	0
1491443	1491506	1491474	rydC	b4597	NA	1
1492119	1492174	1492146	sokB	b4429	NA	0
1622817	1622914	1622865	mgrR	b4698	NA	1
1649382	1649434	1649408	dicF	b1574	NA	0
1746435	1746511	1746473	valV	b1665	NA	0
1746516	1746592	1746554	valW	b1666	NA	0
1764713	1764780	1764746	rydB	b4430	NA	1
1770372	1770477	1770424	rprA	b4431	NA	0
1923066	1923314	1923190	ryeA	b4432	NA	0
1923164	1923284	1923224	sdsR	b4433	NA	1
1991815	1991901	1991858	leuZ	b1909	NA	1
1991914	1991987	1991950	cysT	b1910	NA	1
1992042	1992117	1992079	glyW	b1911	NA	1
2025227	2025313	2025270	dsrA	b1954	NA	1
2033649	2033739	2033694	rseX	b4603	NA	0
2043468	2043557	2043512	serU	b1975	NA	1
2044549	2044624	2044586	asnT	b1977	NA	0
2058027	2058102	2058064	asnW	b1984	NA	1
2059851	2059926	2059888	asnU	b1986	NA	0
2062260	2062335	2062297	asnV	b1989	NA	0
2071317	2071511	2071414	isrC	b4435	NA	0
2153309	2153451	2153380	sibA	b4436	NA	0
2153644	2153779	2153711	sibB	b4437	NA	0
2167114	2167200	2167157	cyaR	b4438	NA	0
2286211	2286287	2286249	proL	b2189	NA	0
2313084	2313176	2313130	micF	b4439	NA	0
2466309	2466383	2466346	argW	b2348	NA	0
2518041	2518116	2518078	alaX	b2396	NA	1
2518156	2518231	2518193	alaW	b2397	NA	1
2520931	2521006	2520968	valU	b2401	NA	0
2521051	2521126	2521088	valX	b2402	NA	0
2521173	2521248	2521210	valY	b2403	NA	0
2521253	2521328	2521290	lysV	b2404	NA	0
2653855	2654158	2654006	ryfA	b4440	NA	0
2691157	2691340	2691248	glmY	b4441	NA	1
2700520	2700596	2700558	ohsC	b4608	NA	0
2726069	2726188	2726128	rrfG	b2588	NA	1
2726281	2729184	2727732	rrlG	b2589	NA	1
2729369	2729444	2729406	gltW	b2590	NA	1
2729616	2731157	2730386	rrsG	b2591	NA	1
2734153	2734295	2734224	ryfD	b4609	NA	1
2755593	2755955	2755774	ssrA	b2621	NA	0
2785762	2785837	2785799	ileY	b2652	NA	1
2814802	2814879	2814840	micA	b4442	NA	0
2817784	2817860	2817822	argQ	b2691	NA	1
2818059	2818135	2818097	argZ	b2692	NA	1
2818198	2818274	2818236	argY	b2693	NA	1
2818473	2818549	2818511	argV	b2694	NA	1
2818553	2818645	2818599	serV	b2695	NA	1
2887354	2887409	2887381	sokX	b4701	NA	0
2924156	2924524	2924340	csrB	b4408	NA	1
2942696	2942901	2942798	gcvB	b4443	NA	0
2947387	2947463	2947425	metZ	b2814	NA	0
2947497	2947573	2947535	metW	b2815	NA	0
2947607	2947683	2947645	metV	b2816	NA	0
2976102	2976189	2976145	omrA	b4444	NA	1
2976304	2976385	2976344	omrB	b4445	NA	1
2998984	2999057	2999020	glyU	b2864	NA	1
3055983	3056165	3056074	ssrS	b2911	NA	0
3056849	3056988	3056918	sibC	b4446	NA	0
3110366	3110441	3110403	pheV	b2967	NA	0
3194723	3194865	3194794	sibD	b4447	NA	1
3195099	3195240	3195169	sibE	b4611	NA	1
3215598	3215673	3215635	ileX	b3069	NA	0
3270216	3270592	3270404	rnpB	b3123	NA	1
3311225	3311398	3311311	psrO	b4449	NA	0
3318213	3318289	3318251	metY	b3171	NA	1
3322072	3322158	3322115	leuU	b3174	NA	1
3350577	3350697	3350637	arcZ	b4450	NA	0
3423423	3423542	3423482	rrfF	b3272	NA	1
3423580	3423655	3423617	thrV	b3273	NA	1
3423668	3423787	3423727	rrfD	b3274	NA	1
3423880	3426783	3425331	rrlD	b3275	NA	1
3426958	3427033	3426995	alaU	b3276	NA	1
3427076	3427152	3427114	ileU	b3277	NA	1
3427221	3428762	3427991	rrsD	b3278	NA	1
3580927	3581016	3580971	ryhB	b4451	NA	1
3648063	3648146	3648104	agrA	b4712	NA	0
3648294	3648377	3648335	agrB	b4713	NA	0
3657986	3658054	3658020	arrS	b4704	NA	1
3664864	3664968	3664916	gadY	b4452	NA	0
3700136	3700201	3700168	rdlD	b4454	NA	0
3708616	3708692	3708654	proK	b3545	NA	1
3836222	3836316	3836269	selC	b3658	NA	0
3853118	3853257	3853187	istR	b4616	NA	1
3941808	3943349	3942578	rrsC	b3756	NA	0
3943435	3943510	3943472	gltU	b3757	NA	0
3943704	3946607	3945155	rrlC	b3758	NA	0
3946700	3946819	3946759	rrfC	b3759	NA	0
3946872	3946948	3946910	aspT	b3760	NA	0
3946957	3947032	3946994	trpT	b3761	NA	0
3982375	3982451	3982413	argX	b3796	NA	0
3982509	3982585	3982547	hisR	b3797	NA	0
3982606	3982692	3982649	leuT	b3798	NA	0
3982735	3982811	3982773	proM	b3799	NA	0
3986432	3986638	3986535	glmZ	b4456	NA	0
4019978	4020229	4020103	esrE	b4707	NA	0
4035531	4037072	4036301	rrsA	b3851	NA	0
4037141	4037217	4037179	ileT	b3852	NA	0
4037260	4037335	4037297	alaT	b3853	NA	0
4037519	4040423	4038971	rrlA	b3854	NA	0
4040517	4040636	4040576	rrfA	b3855	NA	0
4049899	4050007	4049953	spf	b3864	NA	0
4051036	4051280	4051158	csrC	b4457	NA	0
4158285	4158394	4158339	oxyS	b4458	NA	1
4166659	4168200	4167429	rrsB	b3968	NA	0
4168372	4168447	4168409	gltT	b3969	NA	0
4168641	4171544	4170092	rrlB	b3970	NA	0
4171637	4171756	4171696	rrfB	b3971	NA	0
4175388	4175463	4175425	thrU	b3976	NA	0
4175472	4175556	4175514	tyrU	b3977	NA	0
4175673	4175747	4175710	glyT	b3978	NA	0
4175754	4175829	4175791	thrT	b3979	NA	0
4190327	4190487	4190407	sroH	b4691	NA	1
4208147	4209688	4208917	rrsE	b4007	NA	0
4209774	4209849	4209811	gltV	b4008	NA	0
4210043	4212946	4211494	rrlE	b4009	NA	0
4213040	4213159	4213099	rrfE	b4010	NA	0
4277927	4278066	4277996	ryjA	b4459	NA	1
4362551	4362626	4362588	pheU	b4134	NA	1
4392360	4392435	4392397	glyV	b4163	NA	0
4392472	4392547	4392509	glyX	b4164	NA	0
4392583	4392658	4392620	glyY	b4165	NA	0
4496405	4496489	4496447	leuX	b4270	NA	0
4527977	4528066	4528021	ryjB	b4624	NA	0
4579835	4579911	4579873	symR	b4625	NA	0
