Locus_tag,gene_id,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand,norm_exp
b0001,thrL,190,255,222,thrL,,0,10.199787611134
b0002,thrA,337,2799,1568,thrA,,0,795.00779745497
b0003,thrB,2801,3733,3267,thrB,,0,332.045802000352
b0004,thrC,3734,5020,4377,thrC,,0,380.080042875956
b0005,yaaX,5234,5530,5382,yaaX,,0,10.6169673362984
b0006,yaaA,5683,6459,6071,yaaA,,1,65.3469877635667
b0007,yaaJ,6529,7959,7244,yaaJ,,1,85.6304750393905
b0008,talB,8238,9191,8714,talB,,0,1807.47298948779
b0009,mog,9306,9893,9599,mog,,0,109.299516950181
b0011,yaaW,10643,11356,10999,yaaW,,1,4.10651905052614
b0013,yaaI,11382,11786,11584,yaaI,,1,1.50713791968396
b0014,dnaK,12163,14079,13121,dnaK,,0,1345.99085767779
b0015,dnaJ,14168,15298,14733,dnaJ,,0,216.249553615918
b0018,mokC,16751,16960,16855,mokC,,1,32.2820918013417
b0019,nhaA,17489,18655,18072,nhaA,,0,198.628564157922
b0020,nhaR,18715,19620,19167,nhaR,,0,68.588083368646
b0023,rpsT,20815,21078,20946,rpsT,,1,537.329597585917
b0024,yaaY,21181,21399,21290,yaaY,,0,7.3686761662269
b0025,ribF,21407,22348,21877,ribF,,0,232.230689719364
b0026,ileS,22391,25207,23799,ileS,,0,787.176330288038
b0027,lspA,25207,25701,25454,lspA,,0,83.0413733639384
b0028,fkpB,25826,26275,26050,fkpB,,0,66.9072981816456
b0029,ispH,26277,27227,26752,ispH,,0,94.8040491347742
b0030,rihC,27293,28207,27750,rihC,,0,118.748638326147
b0031,dapB,28374,29195,28784,dapB,,0,108.473217708197
b0032,carA,29651,30799,30225,carA,,0,107.835382385396
b0033,carB,30817,34038,32427,carB,,0,244.829434281758
b0034,caiF,34300,34695,34497,caiF,,0,58.5281616728773
b0035,caiE,34781,35371,35076,caiE,,1,4.50836449929389
b0036,caiD,35377,36162,35769,caiD,,1,1.58066455096591
b0037,caiC,36271,37824,37047,caiC,,1,17.8019114621628
b0038,caiB,37898,39115,38506,caiB,,1,20.6099838880961
b0039,caiA,39244,40386,39815,caiA,,1,46.6056693841529
b0040,caiT,40417,41931,41174,caiT,,1,1.6557200469542
b0041,fixA,42403,43173,42788,fixA,,0,1.19890328541945
b0042,fixB,43188,44129,43658,fixB,,0,2.01535846150159
b0043,fixC,44180,45466,44823,fixC,,0,3.99519826640359
b0044,fixX,45463,45750,45606,fixX,,0,1.03186751927435
b0045,yaaU,45807,47138,46472,yaaU,,0,2.23572011579714
b0046,kefF,47246,47776,47511,kefF,,0,16.0406714080381
b0047,kefC,47769,49631,48700,kefC,,0,36.623470711431
b0048,folA,49823,50302,50062,folA,,0,63.2501970644851
b0049,apaH,50380,51222,50801,apaH,,1,93.308877466517
b0050,apaG,51229,51606,51417,apaG,,1,54.4229439624924
b0051,rsmA,51609,52430,52019,rsmA,,1,189.430720375719
b0052,pdxA,52427,53416,52921,pdxA,,1,137.642365003716
b0053,surA,53416,54702,54059,surA,,1,660.670243475843
b0054,lptD,54755,57109,55932,lptD,,1,1098.20315903504
b0055,djlA,57364,58179,57771,djlA,,0,83.0978973427412
b0058,rluA,59687,60346,60016,rluA,,1,46.152895701882
b0059,rapA,60358,63264,61811,rapA,,1,199.328529577491
b0060,polB,63429,65780,64604,polB,,1,96.868690732797
b0061,araD,65855,66550,66202,araD,,1,7.25071215679411
b0062,araA,66835,68337,67586,araA,,1,23.6520141419186
b0063,araB,68348,70048,69198,araB,,1,12.3465939525856
b0064,araC,70387,71265,70826,araC,,0,54.5430617170399
b0065,yabI,71351,72115,71733,yabI,,0,39.6542916250478
b0066,thiQ,72229,72927,72578,thiQ,,1,18.6313399710399
b0067,thiP,72911,74521,73716,thiP,,1,45.6755207829876
b0068,thiB,74497,75480,74988,thiB,,1,87.7279242778877
b0069,sgrR,75644,77299,76471,sgrR,,1,40.4624813390983
b0070,setA,77621,78799,78210,setA,,0,29.4809988200513
b0071,leuD,78848,79453,79150,leuD,,1,64.4044437798944
b0072,leuC,79464,80864,80164,leuC,,1,106.879491490337
b0073,leuB,80867,81958,81412,leuB,,1,81.3792987420957
b0074,leuA,81958,83529,82743,leuA,,1,122.025769972509
b0075,leuL,83622,83708,83665,leuL,,1,2.2425515734991
b0076,leuO,84368,85312,84840,leuO,,0,27.4216981190671
b0077,ilvI,85630,87354,86492,ilvI,,0,152.052500822594
b0078,ilvH,87357,87848,87602,ilvH,,0,46.4776092944622
b0080,cra,88028,89032,88530,cra,,0,406.777437527883
b0081,mraZ,89634,90092,89863,mraZ,,0,202.036941125403
b0082,rsmH,90094,91035,90564,rsmH,,0,202.143563013548
b0083,ftsL,91032,91397,91214,ftsL,,0,55.5456438581056
b0084,ftsI,91413,93179,92296,ftsI,,0,250.466131985295
b0085,murE,93166,94653,93909,murE,,0,254.86712204184
b0086,murF,94650,96008,95329,murF,,0,246.014907413207
b0087,mraY,96002,97084,96543,mraY,,0,160.365104083877
b0088,murD,97087,98403,97745,murD,,0,218.034973201465
b0089,ftsW,98403,99647,99025,ftsW,,0,197.647067647717
b0090,murG,99644,100711,100177,murG,,0,189.28450277725
b0091,murC,100765,102240,101502,murC,,0,284.620391831166
b0092,ddlB,102233,103153,102693,ddlB,,0,334.25046323292
b0093,ftsQ,103155,103985,103570,ftsQ,,0,280.907535127475
b0094,ftsA,103982,105244,104613,ftsA,,0,505.81014204829
b0095,ftsZ,105305,106456,105880,ftsZ,,0,1066.19612961919
b0096,lpxC,106557,107474,107015,lpxC,,0,1187.11748515766
b0097,secM,107705,108217,107961,secM,,0,169.817886508545
b0098,secA,108279,110984,109631,secA,,0,894.274062600698
b0099,mutT,111044,111433,111238,mutT,,0,13.2502173500066
b0101,yacG,111649,111846,111747,yacG,,1,13.9938701140696
b0102,zapD,111856,112599,112227,zapD,,1,74.0998208736936
b0103,coaE,112599,113219,112909,coaE,,1,70.1732264961882
b0104,guaC,113444,114487,113965,guaC,,0,192.074350491266
b0106,hofC,114522,115724,115123,hofC,,1,11.5524672252792
b0107,hofB,115714,117099,116406,hofB,,1,28.2959005350785
b0108,ppdD,117109,117549,117329,ppdD,,1,3.63476996937263
b0109,nadC,117752,118645,118198,nadC,,1,106.423592885938
b0110,ampD,118733,119284,119008,ampD,,0,94.5546641968359
b0111,ampE,119281,120135,119708,ampE,,0,123.007208509752
b0112,aroP,120178,121551,120864,aroP,,1,160.974622711731
b0113,pdhR,122092,122856,122474,pdhR,,0,209.30311456156
b0114,aceE,123017,125680,124348,aceE,,0,3013.27468258134
b0115,aceF,125695,127587,126641,aceF,,0,1113.28207281247
b0116,lpd,127912,129336,128624,lpd,,0,1931.28444602239
b0117,yacH,129407,131260,130333,yacH,,1,13.4044501560128
b0118,acnB,131615,134212,132913,acnB,,0,2656.13369467382
b0119,yacL,134388,134750,134569,yacL,,0,75.7811389809982
b0120,speD,134788,135582,135185,speD,,1,206.359852825517
b0121,speE,135598,136464,136031,speE,,1,191.477697491426
b0122,yacC,136570,136917,136743,yacC,,1,40.0809953084829
b0123,cueO,137083,138633,137858,cueO,,0,94.1081007543565
b0124,gcd,138835,141225,140030,gcd,,1,210.386460593065
b0125,hpt,141431,141967,141699,hpt,,0,121.117278139439
b0126,can,142008,142670,142339,can,,1,234.042717686872
b0127,yadG,142779,143705,143242,yadG,,0,92.0117075813829
b0128,yadH,143702,144472,144087,yadH,,0,67.5301196371982
b0129,yadI,144577,145017,144797,yadI,,0,42.0705040126379
b0130,yadE,145081,146310,145695,yadE,,0,57.7108421026766
b0131,panD,146314,146694,146504,panD,,1,102.765356275396
b0132,yadD,146968,147870,147419,yadD,,0,29.2329641328813
b0133,panC,147944,148795,148369,panC,,1,264.056575521713
b0134,panB,148807,149601,149204,panB,,1,186.829780034615
b0135,yadC,149715,150953,150334,yadC,,1,5.88492294293217
b0136,yadK,151003,151599,151301,yadK,,1,1.66067685907835
b0137,yadL,151626,152231,151928,yadL,,1,3.91922498610167
b0138,yadM,152243,152812,152527,yadM,,1,2.21625866587829
b0139,htrE,152829,155426,154127,htrE,,1,2.61078440970741
b0140,yadV,155461,156201,155831,yadV,,1,1.15433412058611
b0141,yadN,156299,156883,156591,yadN,,1,0.469125006802313
b0142,folK,157253,157732,157492,folK,,1,13.4679591614474
b0143,pcnB,157729,159126,158427,pcnB,,1,277.548272973134
b0144,gluQ,159186,160112,159649,gluQ,,1,33.1306409499002
b0145,dksA,160149,160604,160376,dksA,,1,461.835011160534
b0146,sfsA,160782,161486,161134,sfsA,,1,171.112765759353
b0147,ligT,161501,162031,161766,ligT,,1,27.4124061123998
b0148,hrpB,162105,164534,163319,hrpB,,0,126.764757735764
b0149,mrcB,164730,167264,165997,mrcB,,0,169.157181853426
b0150,fhuA,167484,169727,168605,fhuA,,0,283.04239014904
b0151,fhuC,169778,170575,170176,fhuC,,0,36.3395186573137
b0152,fhuD,170575,171465,171020,fhuD,,0,22.5440447891495
b0153,fhuB,171462,173444,172453,fhuB,,0,37.7597533591097
b0154,hemL,173602,174882,174242,hemL,,1,267.042823696769
b0155,clcA,175107,176528,175817,clcA,,0,156.858652455411
b0156,erpA,176610,176954,176782,erpA,,0,129.466478733223
b0157,yadS,177001,177624,177312,yadS,,1,21.02093737201
b0158,btuF,177662,178462,178062,btuF,,1,35.1700756642923
b0159,mtn,178455,179153,178804,mtn,,1,223.531905938632
b0160,dgt,179237,180754,179995,dgt,,0,78.5378415764763
b0161,degP,180884,182308,181596,degP,,0,207.069727973729
b0162,cdaR,182463,183620,183041,cdaR,,0,70.1933719930462
b0163,yaeH,183709,184095,183902,yaeH,,1,187.731924516653
b0164,yaeI,184257,185069,184663,yaeI,,1,18.3002634321697
b0166,dapD,185123,185947,185535,dapD,,1,238.860659230001
b0167,glnD,185978,188650,187314,glnD,,1,149.548489824435
b0168,map,188712,189506,189109,map,,1,237.090071940857
b0169,rpsB,189874,190599,190236,rpsB,,0,2570.8108416178
b0170,tsf,190857,191708,191282,tsf,,0,1385.09257082676
b0171,pyrH,191855,192580,192217,pyrH,,0,256.692785776614
b0172,frr,192872,193429,193150,frr,,0,584.562716883472
b0173,dxr,193521,194717,194119,dxr,,0,139.198885806633
b0174,ispU,194903,195664,195283,ispU,,0,239.946142158488
b0175,cdsA,195677,196534,196105,cdsA,,0,184.056086292734
b0176,rseP,196546,197898,197222,rseP,,0,398.423083834853
b0177,bamA,197928,200360,199144,bamA,,0,1034.58938270483
b0178,skp,200482,200967,200724,skp,,0,457.172143067424
b0179,lpxD,200971,201996,201483,lpxD,,0,468.914970301685
b0180,fabZ,202101,202556,202328,fabZ,,0,280.217308850398
b0181,lpxA,202560,203348,202954,lpxA,,0,292.446737984912
b0182,lpxB,203348,204496,203922,lpxB,,0,168.048823077645
b0183,rnhB,204493,205089,204791,rnhB,,0,64.229634626105
b0184,dnaE,205126,208608,206867,dnaE,,0,364.151611914198
b0185,accA,208621,209580,209100,accA,,0,306.049594613051
b0186,ldcC,209679,211820,210749,ldcC,,0,135.287690613692
b0187,yaeR,211877,212266,212071,yaeR,,0,26.568972133305
b0188,tilS,212331,213629,212980,tilS,,0,81.4978336224007
b0189,rof,213678,213932,213805,rof,,1,51.9171636879876
b0190,yaeQ,214291,214836,214563,yaeQ,,0,62.5912261439756
b0191,arfB,214833,215255,215044,arfB,,0,34.7945758213614
b0192,nlpE,215269,215979,215624,nlpE,,0,75.0767265708157
b0193,yaeF,216179,217003,216591,yaeF,,1,12.8085430670358
b0194,proS,217057,218775,217916,proS,,1,509.351982143538
b0195,tsaA,218887,219594,219240,tsaA,,1,39.8482562237472
b0196,rcsF,219591,219995,219793,rcsF,,1,69.8440668475248
b0197,metQ,220113,220928,220520,metQ,,1,201.393908496386
b0198,metI,220968,221621,221294,metI,,1,92.9677330876024
b0199,metN,221614,222645,222129,metN,,1,99.6220940187673
b0200,gmhB,222833,223408,223120,gmhB,,0,106.030389800091
b0207,dkgB,229167,229970,229568,dkgB,,0,20.3575959630324
b0208,yafC,229967,230881,230424,yafC,,1,42.3867687379366
b0209,yafD,231122,231922,231522,yafD,,0,102.295640355532
b0210,yafE,231926,232549,232237,yafE,,0,54.1481429376518
b0211,mltD,232597,233955,233276,mltD,,1,429.891196798295
b0212,gloB,234027,234782,234404,gloB,,1,44.507274080087
b0213,yafS,234816,235538,235177,yafS,,0,60.3045184203584
b0214,rnhA,235535,236002,235768,rnhA,,1,41.6349548283695
b0215,dnaQ,236067,236798,236432,dnaQ,,0,123.90351046897
b0217,yafT,237335,238120,237727,yafT,,0,3.23374389480383
b0219,yafV,239419,240189,239804,yafV,,1,67.9257576209061
b0220,ivy,240343,240816,240579,ivy,,0,117.28661280912
b0221,fadE,240859,243303,242081,fadE,,1,128.562913314321
b0222,gmhA,243543,244121,243832,gmhA,,0,119.494883454806
b0223,yafJ,244327,245094,244710,yafJ,,0,74.4343047418962
b0224,yafK,245065,245805,245435,yafK,,1,177.942135838835
b0225,yafQ,245961,246239,246100,yafQ,,1,78.4504126784125
b0226,dinJ,246242,246502,246372,dinJ,,1,47.8168280829875
b0227,yafL,246712,247461,247086,yafL,,0,6.84583013434264
b0228,rayT,247637,248134,247885,rayT,,0,23.2438627802299
b0231,dinB,250898,251953,251425,dinB,,0,53.2478070716542
b0232,yafN,252005,252298,252151,yafN,,0,6.62736140169047
b0233,yafO,252301,252699,252500,yafO,,0,7.14842765503714
b0234,yafP,252709,253161,252935,yafP,,0,2.8057448921053
b0237,pepD,254259,255716,254987,pepD,,1,551.34291742583
b0238,gpt,255977,256435,256206,gpt,,0,85.3952445039516
b0340,cynS,359489,359959,359724,cynS,,0,3.07667904160587
b0341,cynX,359992,361146,360569,cynX,,0,3.78396640633769
b0342,lacA,361249,361860,361554,lacA,,1,3.13771111115971
b0343,lacY,361926,363179,362552,lacY,,1,6.52314316997656
b0344,lacZ,363231,366305,364768,lacZ,,1,36.9460170710595
b0345,lacI,366428,367510,366969,lacI,,1,42.9755917025451
b0346,mhpR,367587,368420,368003,mhpR,,1,38.8658220011185
b0347,mhpA,368611,370275,369443,mhpA,,0,2.76458539372102
b0348,mhpB,370277,371221,370749,mhpB,,0,1.39024066208399
b0349,mhpC,371239,372105,371672,mhpC,,0,3.62596077788113
b0350,mhpD,372115,372924,372519,mhpD,,0,2.82003286877842
b0351,mhpF,372921,373871,373396,mhpF,,0,4.01815943011435
b0352,mhpE,373868,374881,374374,mhpE,,0,9.47404268480856
b0353,mhpT,375459,376670,376064,mhpT,,0,8.35284719300892
b0354,yaiL,376772,377311,377041,yaiL,,0,60.8444765363228
b0355,frmB,377535,378368,377951,frmB,,1,94.2010388630714
b0356,frmA,378462,379571,379016,frmA,,1,123.655865989438
b0357,frmR,379606,379881,379743,frmR,,1,32.2091304408553
b0358,yaiO,380069,380842,380455,yaiO,,1,5.09966120855731
b0363,yaiP,382739,383935,383337,yaiP,,1,4.98818894621832
b0364,yaiS,384059,384616,384337,yaiS,,1,0.653008198427832
b0365,tauA,385232,386194,385713,tauA,,0,6.40520367417312
b0366,tauB,386207,386974,386590,tauB,,0,7.59967823060767
b0367,tauC,386971,387798,387384,tauC,,0,1.71577188123397
b0368,tauD,387795,388646,388220,tauD,,0,6.77467810630448
b0369,hemB,388753,389727,389240,hemB,,1,190.62795452283
b0375,yaiV,394506,395129,394817,yaiV,,0,2.26260579658394
b0376,ampH,395130,396287,395708,ampH,,1,57.1290551062606
b0377,sbmA,396639,397859,397249,sbmA,,0,41.205115489359
b0378,yaiW,397872,398966,398419,yaiW,,0,49.0447472046228
b0379,yaiY,399025,399333,399179,yaiY,,1,5.33545440894133
b0380,yaiZ,399593,399805,399699,yaiZ,,0,31.7395763809298
b0381,ddlA,399829,400923,400376,ddlA,,1,189.158821630419
b0382,iraP,401386,401646,401516,iraP,,0,48.3339316646157
b0383,phoA,401747,403162,402454,phoA,,0,51.9403168166704
b0384,psiF,403281,403601,403441,psiF,,0,26.0492526974807
b0385,yaiC,403703,404818,404260,yaiC,,0,6.767350033876
b0386,proC,404835,405644,405239,proC,,1,105.544059834267
b0387,yaiI,405764,406222,405993,yaiI,,0,75.0951108839251
b0388,aroL,406405,406929,406667,aroL,,0,98.1793278464636
b0389,yaiA,406979,407170,407074,yaiA,,0,44.0601258012827
b0390,aroM,407428,408105,407766,aroM,,0,25.6631078121493
b0391,yaiE,408177,408461,408319,yaiE,,0,84.109183624157
b0393,rdgC,409108,410019,409563,rdgC,,1,105.609378312794
b0394,mak,410144,411052,410598,mak,,0,68.9402586398261
b0396,araJ,411297,412481,411889,araJ,,1,21.7712177755037
