gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
190	273	231	ECs0001	NA	NA	0
354	2816	1585	ECs0002	NA	NA	0
2818	3750	3284	ECs0003	NA	NA	0
3751	5037	4394	ECs0004	NA	NA	0
5251	5547	5399	ECs0005	NA	NA	0
5700	6476	6088	ECs0006	NA	NA	1
6546	7976	7261	ECs0007	NA	NA	1
8255	9208	8731	ECs0008	NA	NA	0
9323	9910	9616	ECs0009	NA	NA	0
9945	10511	10228	ECs0010	NA	NA	1
10660	11373	11016	ECs0012	NA	NA	1
10742	11362	11052	ECs0011	NA	NA	0
11399	11803	11601	ECs0013	NA	NA	1
12180	14096	13138	ECs0014	NA	NA	0
14185	15315	14750	ECs0015	NA	NA	0
15419	15628	15523	ECs0016	NA	NA	1
16157	17323	16740	ECs0017	NA	NA	0
17383	18288	17835	ECs0018	NA	NA	0
18326	18853	18589	ECs0019	NA	NA	1
18832	18948	18890	ECs0020	NA	NA	1
18959	19285	19122	ECs0021	NA	NA	1
19298	21748	20523	ECs0022	NA	NA	1
21761	22444	22102	ECs0023	NA	NA	1
22494	23027	22760	ECs0024	NA	NA	1
23329	24750	24039	ECs0025	NA	NA	1
25220	25483	25351	ECs0026	NA	NA	1
25586	25810	25698	ECs0027	NA	NA	0
25818	26759	26288	ECs0028	NA	NA	0
26802	29618	28210	ECs0029	NA	NA	0
29618	30112	29865	ECs0030	NA	NA	0
30200	30649	30424	ECs0031	NA	NA	0
30651	31601	31126	ECs0032	NA	NA	0
31667	32581	32124	ECs0033	NA	NA	0
32748	33569	33158	ECs0034	NA	NA	0
34025	35173	34599	ECs0035	NA	NA	0
35191	38412	36801	ECs0036	NA	NA	0
38568	39068	38818	ECs0037	NA	NA	0
39187	39798	39492	ECs0038	NA	NA	1
39783	40676	40229	ECs0039	NA	NA	1
40677	42245	41461	ECs0040	NA	NA	1
42304	43521	42912	ECs0041	NA	NA	1
43650	44792	44221	ECs0042	NA	NA	1
44823	46337	45580	ECs0043	NA	NA	1
46780	47586	47183	ECs0044	NA	NA	0
47601	48542	48071	ECs0045	NA	NA	0
48593	49879	49236	ECs0046	NA	NA	0
49876	50163	50019	ECs0047	NA	NA	0
50221	51552	50886	ECs0048	NA	NA	0
51660	52190	51925	ECs0049	NA	NA	0
52183	54045	53114	ECs0050	NA	NA	0
54237	54716	54476	ECs0051	NA	NA	0
54802	55035	54918	ECs0052	NA	NA	0
55038	55352	55195	ECs0053	NA	NA	0
55349	56197	55773	ECs0054	NA	NA	1
56204	56581	56392	ECs0055	NA	NA	1
56584	57405	56994	ECs0056	NA	NA	1
57402	58391	57896	ECs0057	NA	NA	1
58391	59677	59034	ECs0058	NA	NA	1
59730	62084	60907	ECs0059	NA	NA	1
62339	63154	62746	ECs0060	NA	NA	0
63449	64201	63825	ECs0061	NA	NA	0
64619	65278	64948	ECs0062	NA	NA	1
65290	68196	66743	ECs0063	NA	NA	1
68360	70711	69535	ECs0064	NA	NA	1
70786	71481	71133	ECs0065	NA	NA	1
71681	73183	72432	ECs0066	NA	NA	1
73194	74894	74044	ECs0067	NA	NA	1
75233	76111	75672	ECs0068	NA	NA	0
76197	76961	76579	ECs0069	NA	NA	0
77048	77746	77397	ECs0070	NA	NA	1
77730	79340	78535	ECs0071	NA	NA	1
79316	80299	79807	ECs0072	NA	NA	1
80671	81240	80955	ECs0073	NA	NA	0
81469	83127	82298	ECs0074	NA	NA	1
83455	84060	83757	ECs0075	NA	NA	1
84071	85471	84771	ECs0076	NA	NA	1
85474	86568	86021	ECs0077	NA	NA	1
86565	88136	87350	ECs0078	NA	NA	1
88229	88315	88272	ECs0079	NA	NA	1
88973	89917	89445	ECs0080	NA	NA	0
90193	91959	91076	ECs0081	NA	NA	0
91962	92453	92207	ECs0082	NA	NA	0
92465	92551	92508	ECs0083	NA	NA	0
92633	93637	93135	ECs0084	NA	NA	0
94239	94697	94468	ECs0085	NA	NA	0
94699	95640	95169	ECs0086	NA	NA	0
95637	96002	95819	ECs0087	NA	NA	0
96018	97784	96901	ECs0088	NA	NA	0
97771	99258	98514	ECs0089	NA	NA	0
99255	100613	99934	ECs0090	NA	NA	0
100607	101689	101148	ECs0091	NA	NA	0
101692	103008	102350	ECs0092	NA	NA	0
103008	104252	103630	ECs0093	NA	NA	0
104249	105316	104782	ECs0094	NA	NA	0
105370	106845	106107	ECs0095	NA	NA	0
106838	107758	107298	ECs0096	NA	NA	0
107760	108590	108175	ECs0097	NA	NA	0
108587	109849	109218	ECs0098	NA	NA	0
109910	111061	110485	ECs0099	NA	NA	0
111162	112079	111620	ECs0100	NA	NA	0
112235	112822	112528	ECs0101	NA	NA	0
112884	115589	114236	ECs0102	NA	NA	0
115649	116047	115848	ECs0103	NA	NA	0
116053	116187	116120	ECs0104	NA	NA	1
116138	116335	116236	ECs0105	NA	NA	1
116345	117088	116716	ECs0106	NA	NA	1
117088	117708	117398	ECs0107	NA	NA	1
117933	118976	118454	ECs0108	NA	NA	0
118896	119003	118949	ECs0109	NA	NA	1
119011	120213	119612	ECs0110	NA	NA	1
120203	121588	120895	ECs0111	NA	NA	1
121598	122038	121818	ECs0112	NA	NA	1
122241	123134	122687	ECs0113	NA	NA	1
123222	123773	123497	ECs0114	NA	NA	0
123770	124624	124197	ECs0115	NA	NA	0
124667	126040	125353	ECs0116	NA	NA	1
126581	127345	126963	ECs0117	NA	NA	0
127506	130169	128837	ECs0118	NA	NA	0
130184	132076	131130	ECs0119	NA	NA	0
132284	133708	132996	ECs0120	NA	NA	0
133779	135632	134705	ECs0121	NA	NA	1
135987	138584	137285	ECs0122	NA	NA	0
138712	139122	138917	ECs0123	NA	NA	0
139160	139954	139557	ECs0124	NA	NA	1
139970	140836	140403	ECs0125	NA	NA	1
140942	141412	141177	ECs0126	NA	NA	1
141455	143005	142230	ECs0127	NA	NA	0
143207	145597	144402	ECs0128	NA	NA	1
145791	146339	146065	ECs0129	NA	NA	0
146380	147042	146711	ECs0130	NA	NA	1
147151	148077	147614	ECs0131	NA	NA	0
148074	148844	148459	ECs0132	NA	NA	0
148949	149389	149169	ECs0133	NA	NA	0
149453	150682	150067	ECs0134	NA	NA	0
150686	151066	150876	ECs0135	NA	NA	1
151340	152236	151788	ECs0136	NA	NA	0
152535	153386	152960	ECs0137	NA	NA	1
153398	154192	153795	ECs0138	NA	NA	1
154327	155436	154881	ECs0139	NA	NA	1
155448	156038	155743	ECs0140	NA	NA	1
156059	156664	156361	ECs0141	NA	NA	1
156679	157239	156959	ECs0142	NA	NA	1
157241	159841	158541	ECs0143	NA	NA	1
159883	160608	160245	ECs0144	NA	NA	1
160695	161291	160993	ECs0145	NA	NA	1
161572	162054	161813	ECs0146	NA	NA	1
162051	163415	162733	ECs0147	NA	NA	1
163508	164434	163971	ECs0148	NA	NA	1
164471	164926	164698	ECs0149	NA	NA	1
165104	165808	165456	ECs0150	NA	NA	1
165823	166362	166092	ECs0151	NA	NA	1
166382	168856	167619	ECs0152	NA	NA	0
169052	171586	170319	ECs0153	NA	NA	0
171806	174049	172927	ECs0154	NA	NA	0
174100	174897	174498	ECs0155	NA	NA	0
174897	175787	175342	ECs0156	NA	NA	0
175784	177766	176775	ECs0157	NA	NA	0
177801	179081	178441	ECs0158	NA	NA	1
179306	180727	180016	ECs0159	NA	NA	0
180809	181153	180981	ECs0160	NA	NA	0
181200	181823	181511	ECs0161	NA	NA	1
181861	182661	182261	ECs0162	NA	NA	1
182654	183352	183003	ECs0163	NA	NA	1
183436	184953	184194	ECs0164	NA	NA	0
185083	186507	185795	ECs0165	NA	NA	0
186662	187819	187240	ECs0166	NA	NA	0
187908	188294	188101	ECs0167	NA	NA	1
188609	189433	189021	ECs0168	NA	NA	1
189464	192136	190800	ECs0169	NA	NA	1
192198	192992	192595	ECs0170	NA	NA	1
193360	194085	193722	ECs0171	NA	NA	0
194343	195194	194768	ECs0172	NA	NA	0
195341	196066	195703	ECs0173	NA	NA	0
196216	196773	196494	ECs0174	NA	NA	0
196865	198061	197463	ECs0175	NA	NA	0
198247	199008	198627	ECs0176	NA	NA	0
199129	199878	199503	ECs0177	NA	NA	0
199890	201242	200566	ECs0178	NA	NA	0
201272	203704	202488	ECs0179	NA	NA	0
203825	204310	204067	ECs0180	NA	NA	0
204314	205339	204826	ECs0181	NA	NA	0
205444	205899	205671	ECs0182	NA	NA	0
205903	206691	206297	ECs0183	NA	NA	0
206691	207839	207265	ECs0184	NA	NA	0
207836	208432	208134	ECs0185	NA	NA	0
208469	211951	210210	ECs0186	NA	NA	0
211964	212923	212443	ECs0187	NA	NA	0
213022	215163	214092	ECs0188	NA	NA	0
215193	215609	215401	ECs0189	NA	NA	0
215674	216969	216321	ECs0190	NA	NA	0
217022	217282	217152	ECs0191	NA	NA	1
217635	218093	217864	ECs0192	NA	NA	0
218177	218587	218382	ECs0193	NA	NA	0
218601	219311	218956	ECs0194	NA	NA	0
219511	220335	219923	ECs0195	NA	NA	1
220388	222106	221247	ECs0196	NA	NA	1
222217	222924	222570	ECs0197	NA	NA	1
222921	223325	223123	ECs0198	NA	NA	1
223443	224258	223850	ECs0199	NA	NA	1
224298	224951	224624	ECs0200	NA	NA	1
224944	225975	225459	ECs0201	NA	NA	1
226163	226738	226450	ECs0202	NA	NA	0
227102	228643	227872	rrsH	NA	NA	0
228712	228788	228750	ileV	NA	NA	0
228831	228906	228868	alaV	NA	NA	0
229090	231992	230541	rrlH	NA	NA	0
232085	232204	232144	rrfH	NA	NA	0
232257	232333	232295	aspU	NA	NA	0
232496	233299	232897	ECs0203	NA	NA	0
233296	234210	233753	ECs0204	NA	NA	1
234451	235251	234851	ECs0205	NA	NA	0
235329	236099	235714	ECs0206	NA	NA	0
236147	237505	236826	ECs0207	NA	NA	1
237577	238332	237954	ECs0208	NA	NA	1
238348	239088	238718	ECs0209	NA	NA	0
239085	239552	239318	ECs0210	NA	NA	1
239617	240348	239982	ECs0211	NA	NA	0
240481	240557	240519	aspV	NA	NA	0
241871	242167	242019	ECs0212	NA	NA	1
242164	242613	242388	ECs0213	NA	NA	1
242616	243263	242939	ECs0214	NA	NA	1
243291	243512	243401	ECs0215	NA	NA	1
243533	244012	243772	ECs0216	NA	NA	1
243978	245387	244682	ECs0217	NA	NA	1
245398	248505	246951	ECs0218	NA	NA	1
248762	248950	248856	ECs0219	NA	NA	1
248969	249763	249366	ECs0220	NA	NA	1
249760	250380	250070	ECs0221	NA	NA	1
250385	251128	250756	ECs0222	NA	NA	1
251125	253896	252510	ECs0223	NA	NA	1
253905	254666	254285	ECs0224	NA	NA	1
254671	256002	255336	ECs0225	NA	NA	1
256005	256529	256267	ECs0226	NA	NA	1
256526	257806	257166	ECs0227	NA	NA	1
257831	258913	258372	ECs0228	NA	NA	1
258877	260727	259802	ECs0229	NA	NA	1
260731	261144	260937	ECs0230	NA	NA	1
261235	262626	261930	ECs0231	NA	NA	1
262677	262901	262789	ECs0232	NA	NA	1
262936	263436	263186	ECs0233	NA	NA	1
264133	264651	264392	ECs0234	NA	NA	0
264684	264821	264752	ECs0235	NA	NA	0
264861	267002	265931	ECs0236	NA	NA	0
267078	271292	269185	ECs0237	NA	NA	0
271295	271906	271600	ECs0238	NA	NA	0
271928	272110	272019	ECs0239	NA	NA	0
272254	272544	272399	ECs0240	NA	NA	0
