Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Annotation	Gene names  (primary )	Gene names  (ordered locus )
P0AC54	G6PD_ECOL6	reviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	zwf c2265	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	491	3 out of 5	zwf	c2265
P0A8H4	ZUPT_ECOL6	reviewed	Zinc transporter ZupT	zupT c3789	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	257	2 out of 5	zupT	c3789
Q8CVI9	ZRAP_ECOL6	reviewed	Zinc resistance-associated protein	zraP c4959	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	139	2 out of 5	zraP	c4959
P0A9X2	ZNUC_ECOL6	reviewed	Zinc import ATP-binding protein ZnuC (EC 7.2.2.20)	znuC c2272	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	251	2 out of 5	znuC	c2272
P64424	ZNTB_ECOL6	reviewed	Zinc transport protein ZntB	zntB c1816	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	327	2 out of 5	zntB	c1816
A0A0H2VBZ2	A0A0H2VBZ2_ECOL6	unreviewed	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3)	zntA c4262	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	732	2 out of 5	zntA	c4262
Q8FFC0	ZIPA_ECOL6	reviewed	Cell division protein ZipA	zipA c2946	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	332	2 out of 5	zipA	c2946
Q8FL56	ZAPD_ECOL6	reviewed	Cell division protein ZapD (Z ring-associated protein D)	zapD c0122	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	247	2 out of 5	zapD	c0122
P0AF37	ZAPB_ECOL6	reviewed	Cell division protein ZapB	zapB yiiU c4880	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	81	2 out of 5	zapB	c4880
P0ADS3	ZAPA_ECOL6	reviewed	Cell division protein ZapA (Z ring-associated protein ZapA)	zapA c3492	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	109	2 out of 5	zapA	c3492
Q8FA58	YTJA_ECOL6	reviewed	UPF0391 membrane protein YtjA	ytjA c5459	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	53	2 out of 5	ytjA	c5459
A0A0H2VDR2	A0A0H2VDR2_ECOL6	unreviewed	Hypothetical ABC transporter permease protein ytfT	ytfT c5327	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	348	1 out of 5	ytfT	c5327
A0A0H2VGC9	A0A0H2VGC9_ECOL6	unreviewed	Putative ATP-binding component of a transport system	ytfR c5326	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	500	1 out of 5	ytfR	c5326
A0A0H2VE23	A0A0H2VE23_ECOL6	unreviewed	ABC transporter Periplasmic binding protein ytfQ	ytfQ c5325	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	318	1 out of 5	ytfQ	c5325
P0AE49	YTFP_ECOL6	reviewed	Gamma-glutamylcyclotransferase family protein YtfP	ytfP c5320	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	113	1 out of 5	ytfP	c5320
A0A0H2VGA3	A0A0H2VGA3_ECOL6	unreviewed	Uncharacterized protein	ytfN c5319	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	1259	1 out of 5	ytfN	c5319
A0A0H2VE01	A0A0H2VE01_ECOL6	unreviewed	POTRA domain-containing protein	ytfM c5318	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	577	1 out of 5	ytfM	c5318
P0AE46	YTFL_ECOL6	reviewed	UPF0053 inner membrane protein YtfL	ytfL c5316	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	447	2 out of 5	ytfL	c5316
P0ADE3	YTFK_ECOL6	reviewed	Uncharacterized protein YtfK	ytfK c5315	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	68	1 out of 5	ytfK	c5315
A0A0H2VDN7	A0A0H2VDN7_ECOL6	unreviewed	HTH hxlR-type domain-containing protein	ytfH c5311	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	163	1 out of 5	ytfH	c5311
A0A0H2VG98	A0A0H2VG98_ECOL6	unreviewed	NmrA domain-containing protein	ytfG c5310	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	286	1 out of 5	ytfG	c5310
