gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
190	273	231	thrL	ECs_0001	NA	0
354	2816	1585	thrA	ECs_0002	NA	0
2818	3750	3284	thrB	ECs_0003	NA	0
3751	5037	4394	thrC	ECs_0004	NA	0
5251	5547	5399	yaaX	ECs_0005	NA	0
5700	6476	6088	yaaA	ECs_0006	NA	1
6546	7976	7261	yaaJ	ECs_0007	NA	1
8255	9208	8731	talB	ECs_0008	NA	0
9323	9910	9616	mog	ECs_0009	NA	0
9945	10511	10228	satP	ECs_0010	NA	1
10660	11373	11016	yaaW	ECs_0012	NA	1
11399	11803	11601	yaaI	ECs_0013	NA	1
12180	14096	13138	dnaK	ECs_0014	NA	0
14185	15315	14750	dnaJ	ECs_0015	NA	0
15419	15628	15523	mokC	ECs_0016	NA	1
16157	17323	16740	nhaA	ECs_0017	NA	0
17389	18288	17838	nhaR	ECs_0018	NA	0
18326	19286	18806	NA	ECs_0019	NA	1
19299	21749	20524	NA	ECs_0022	NA	1
21762	22445	22103	NA	ECs_0023	NA	1
22495	23028	22761	NA	ECs_0024	NA	1
23330	24751	24040	espX1	ECs_0025	NA	1
25221	25484	25352	rpsT	ECs_0026	NA	1
25819	26760	26289	ribF	ECs_0028	NA	0
26803	29619	28211	ileS	ECs_0029	NA	0
29619	30113	29866	lspA	ECs_0030	NA	0
30201	30650	30425	fkpB	ECs_0031	NA	0
30652	31602	31127	ispH	ECs_0032	NA	0
31668	32582	32125	rihC	ECs_0033	NA	0
32749	33570	33159	dapB	ECs_0034	NA	0
34026	35174	34600	carA	ECs_0035	NA	0
35192	38413	36802	carB	ECs_0036	NA	0
38421	38639	38530	NA	ECs_5362	NA	1
38674	39069	38871	caiF	ECs_0037	NA	0
39188	39778	39483	caiE	ECs_0038	NA	1
39784	40569	40176	caiD	ECs_0039	NA	1
40678	42231	41454	caiC	ECs_0040	NA	1
42305	43522	42913	caiB	ECs_0041	NA	1
43651	44793	44222	caiA	ECs_0042	NA	1
44824	46338	45581	caiT	ECs_0043	NA	1
