ATCC_names,BW_names,DH_names,MG_names,ATCC_GSE94978_1,ATCC_GSE94978_2,BW25113_GSE73673_6,BW25113_GSE73673_7,BW25113_GSE73673_8,BW25113_GSE85914,K12DH_GSE98890_1,K12DH_GSE98890_2,K12MG_GSE114917_LP1,K12MG_GSE114917_LP2,K12MG_GSE114917_LP3,K12MG_GSE114917_LP4,K12MG_GSE40313_1,K12MG_GSE40313_2,K12MG_GSE54199_DNA,K12MG_GSE54199_RNA,K12MG_GSE60522_1,K12MG_GSE60522_2,K12MG_GSE60522_3
DR76_RS03365,BW25113_RS19835,ECDH10B_RS20405,b3820,159.0,240.0,4.0,5.0,3.0,45.0,47.0,85.0,11.0,9.0,10.0,26.0,4.0,10.0,71286.0,15081.5,115.0,144.0,171.0
DR76_RS03355,BW25113_RS19845,ECDH10B_RS20415,b3822,1643.0,1489.0,19.0,13.0,16.0,26.0,289.0,567.0,439.0,313.0,258.0,500.0,88.0,125.0,251616.5,78116.0,414.0,325.0,312.0
DR76_RS03350,BW25113_RS19850,ECDH10B_RS20420,b3823,2260.0,3060.0,31.0,6.0,6.0,37.0,135.0,460.0,212.0,170.0,153.0,137.0,61.0,98.0,87975.5,43191.5,193.0,188.0,241.0
DR76_RS03345,BW25113_RS19855,ECDH10B_RS20425,b3824,399.0,364.0,9.0,2.0,5.0,163.0,48.0,204.0,35.0,24.0,21.0,19.0,18.0,23.0,94226.0,22085.5,83.0,60.0,86.0
DR76_RS03340,BW25113_RS19860,ECDH10B_RS20430,b3825,2506.0,2588.0,18.0,7.0,10.0,667.0,392.0,1059.0,510.0,414.0,377.0,368.0,149.0,194.0,134028.0,73142.0,310.0,199.0,308.0
DR76_RS03335,BW25113_RS19865,ECDH10B_RS20435,b3826,946.0,1313.0,43.0,20.0,26.0,129.0,195.0,474.0,281.0,290.0,218.0,267.0,70.0,111.0,125536.0,55234.5,291.0,252.0,245.0
DR76_RS03325,BW25113_RS19875,ECDH10B_RS20445,b3828,119.0,196.0,36.0,13.0,15.0,12.0,96.0,434.0,21.0,21.0,16.0,35.0,28.0,35.0,119906.0,15015.5,1575.0,973.0,1906.0
DR76_RS03190,BW25113_RS19895,ECDH10B_RS20465,b3832,5769.0,7271.0,194.0,106.0,112.0,31.0,218.0,711.0,345.0,336.0,296.0,227.0,115.0,166.0,224298.0,180470.5,117.0,92.0,87.0
DR76_RS03185,BW25113_RS19900,ECDH10B_RS20470,b3833,7099.0,9594.0,91.0,38.0,51.0,222.0,768.0,2301.0,1344.0,1275.0,1007.0,1171.0,193.0,325.0,111829.5,156078.5,620.0,576.0,471.0
DR76_RS03175,BW25113_RS19910,ECDH10B_RS20480,b3835,7610.0,10519.0,89.0,39.0,49.0,43.0,557.0,1089.0,1128.0,1102.0,758.0,958.0,155.0,220.0,290721.0,222456.0,436.0,426.0,427.0
DR76_RS03170,BW25113_RS19915,ECDH10B_RS20485,b3836,5615.0,8949.0,12.0,5.0,6.0,594.0,123.0,490.0,820.0,872.0,654.0,557.0,166.0,303.0,50488.5,115221.0,289.0,261.0,306.0
DR76_RS03165,BW25113_RS19920,ECDH10B_RS20490,b3838,3341.0,4120.0,20.0,6.0,14.0,413.0,297.0,697.0,929.0,885.0,681.0,823.0,191.0,302.0,68415.5,58935.5,468.0,462.0,410.0
DR76_RS03160,BW25113_RS19925,ECDH10B_RS20495,b3839,2398.0,2548.0,19.0,4.0,8.0,37.0,537.0,1175.0,831.0,711.0,552.0,742.0,81.0,121.0,114038.5,75907.5,197.0,237.0,182.0
DR76_RS03155,BW25113_RS19930,ECDH10B_RS20500,b4483,750.0,1051.0,106.0,63.0,68.0,24.0,150.0,385.0,132.0,149.0,103.0,147.0,26.0,43.0,97965.0,36512.0,127.0,111.0,85.0
DR76_RS03150,BW25113_RS19935,ECDH10B_RS20505,b3842,624.0,594.0,64.0,32.0,37.0,43.0,125.0,359.0,110.0,73.0,60.0,114.0,11.0,24.0,72650.0,36380.0,8.0,5.0,1.0
DR76_RS03145,BW25113_RS19940,ECDH10B_RS20510,b3843,11267.0,8644.0,31.0,18.0,14.0,225.0,1969.0,4589.0,2188.0,2090.0,1696.0,1668.0,552.0,938.0,197315.5,289483.5,1299.0,1121.0,1318.0
DR76_RS03140,BW25113_RS19945,ECDH10B_RS20515,b3844,4827.0,4061.0,20.0,10.0,14.0,60.0,869.0,1964.0,1104.0,903.0,723.0,881.0,324.0,481.0,111819.5,122076.5,678.0,621.0,651.0
DR76_RS03130,BW25113_RS19955,ECDH10B_RS20525,b3846,2779.0,1054.0,65.0,35.0,27.0,35.0,156.0,216.0,66.0,182.0,59.0,208.0,45.0,83.0,301388.0,44606.0,206.0,161.0,257.0
DR76_RS03125,BW25113_RS19960,ECDH10B_RS20530,b3847,10533.0,19167.0,2.0,0.0,1.0,356.0,1328.0,5179.0,2089.0,2368.0,1895.0,1531.0,354.0,529.0,171726.0,103573.5,1751.0,1558.0,1649.0
DR76_RS03120,BW25113_RS19965,ECDH10B_RS20535,b3848,1332.0,2045.0,2.0,0.0,1.0,33.0,161.0,396.0,485.0,508.0,381.0,351.0,56.0,86.0,77558.0,39670.0,169.0,121.0,173.0
