"block"	"start"	"end"	"midpoint"	"gbk_start"	"gbk_end"	"gbk_midpoint"	"block_t_stat"	"block_t_confinf1"	"block_t_confinf2"	"block_avg_exp_invert"	"block_avg_exp_noninvert"	"block_avg_len_invert"	"block_avg_len_noninvert"	"inversion"	"rev_comp"	"strain"	"gbk_strand"	"test"	"pvalue"	"allSig"	"pvalueOld"	"non_bidir_midpoint"	"sig"	"G_HNS_binding"
"1"	"Block1"	0	5468	1207757	190	255	1205245	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	222.5	0	0
"2"	"Block1"	0	5468	1207757	337	2799	1206591	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	1568	0	0
"3"	"Block1"	0	5468	1207757	2801	3733	1208290	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	3267	0	0
"4"	"Block1"	0	5468	1207757	3734	5020	1209400	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	4377	0	0
"5"	"Block4"	5692	9904	1212821	6529	7959	1212267	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	7244	0	0
"6"	"Block4"	5692	9904	1212821	9306	9893	1214622	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	9599.5	0	0
"7"	"Block5"	9928	11797	1215885.5	11382	11786	1216607	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	11584	0	0
"8"	"Block6"	11827	15389	1218631	12163	14079	1218144	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	13121	0	0
"9"	"Block6"	11827	15389	1218631	14168	15298	1219756	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	14733	0	0
"10"	"Block7"	16739	17125	1221955	16751	16960	1221878	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	16855.5	0	0
"11"	"Block8"	17258	19597	1223450.5	17489	18655	1223095	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	18072	0	0
"12"	"Block9"	20761	25674	1228240.5	20815	21078	1225969	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	20946.5	0	0
"13"	"Block9"	20761	25674	1228240.5	21181	21399	1226313	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	21290	0	0
"14"	"Block9"	20761	25674	1228240.5	21407	22348	1226900	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	21877.5	0	0
