gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
190	255	222	NA	BW25113_RS00005	BW25113_0001	0
337	2799	1568	NA	BW25113_RS00010	BW25113_0002	0
2801	3733	3267	NA	BW25113_RS00015	BW25113_0003	0
3734	5020	4377	NA	BW25113_RS00020	BW25113_0004	0
5234	5530	5382	NA	BW25113_RS00030	BW25113_0005	0
5683	6459	6071	NA	BW25113_RS00035	BW25113_0006	1
6529	7959	7244	NA	BW25113_RS00040	BW25113_0007	1
8238	9191	8714	NA	BW25113_RS00045	BW25113_0008	0
9306	9893	9599	NA	BW25113_RS00050	BW25113_0009	0
9928	10494	10211	NA	BW25113_RS00055	BW25113_0010	1
10643	11356	10999	NA	BW25113_RS00060	BW25113_0011	1
11382	11786	11584	NA	BW25113_RS00065	BW25113_0013	1
12163	14079	13121	NA	BW25113_RS00070	BW25113_0014	0
14168	15298	14733	NA	BW25113_RS00075	BW25113_0015	0
15445	16557	16001	NA	BW25113_RS00080	BW25113_0016	0
16751	16960	16855	NA	BW25113_RS00085	BW25113_4412	1
17489	18655	18072	NA	BW25113_RS00090	BW25113_0019	0
18715	19620	19167	NA	BW25113_RS00095	BW25113_0020	0
19658	>19795	19726	NA	BW25113_RS23160	NA	1
19811	20508	20159	NA	BW25113_RS00100	BW25113_0021	1
20815	21078	20946	NA	BW25113_RS00110	BW25113_0023	1
21181	21399	21290	NA	BW25113_RS00115	BW25113_0024	0
21407	22348	21877	NA	BW25113_RS00120	BW25113_0025	0
22391	25207	23799	NA	BW25113_RS00125	BW25113_0026	0
25207	25701	25454	NA	BW25113_RS00130	BW25113_0027	0
25826	26275	26050	NA	BW25113_RS00135	BW25113_0028	0
26277	27227	26752	NA	BW25113_RS00140	BW25113_0029	0
27293	28207	27750	NA	BW25113_RS00145	BW25113_0030	0
28374	29195	28784	NA	BW25113_RS00150	BW25113_0031	0
29651	30799	30225	NA	BW25113_RS00165	BW25113_0032	0
30817	34038	32427	carB	BW25113_RS00170	BW25113_0033	0
34086	34265	34175	NA	BW25113_RS00175	NA	1
34300	34695	34497	NA	BW25113_RS00180	BW25113_0034	0
34781	35371	35076	NA	BW25113_RS00185	BW25113_0035	1
35377	36162	35769	NA	BW25113_RS00190	BW25113_0036	1
36271	37824	37047	NA	BW25113_RS00195	BW25113_0037	1
37898	39115	38506	NA	BW25113_RS00200	BW25113_0038	1
39244	40386	39815	NA	BW25113_RS00205	BW25113_0039	1
40417	41931	41174	NA	BW25113_RS00210	BW25113_0040	1
42403	43173	42788	NA	BW25113_RS00215	BW25113_0041	0
43188	44129	43658	NA	BW25113_RS00220	BW25113_0042	0
44180	45466	44823	NA	BW25113_RS00225	BW25113_0043	0
45463	45750	45606	NA	BW25113_RS00230	BW25113_0044	0
45807	47138	46472	NA	BW25113_RS00235	BW25113_0045	0
47246	47776	47511	NA	BW25113_RS00240	BW25113_0046	0
47769	49631	48700	NA	BW25113_RS00245	BW25113_0047	0
49823	50302	50062	folA	BW25113_RS00250	BW25113_0048	0
50380	51222	50801	NA	BW25113_RS00255	BW25113_0049	1
51229	51606	51417	NA	BW25113_RS00260	BW25113_0050	1
51609	52430	52019	ksgA	BW25113_RS00265	BW25113_0051	1
52427	53416	52921	NA	BW25113_RS00270	BW25113_0052	1
53416	54702	54059	NA	BW25113_RS00275	BW25113_0053	1
54755	57109	55932	NA	BW25113_RS00280	BW25113_0054	1
57364	58179	57771	NA	BW25113_RS00285	BW25113_0055	0
58474	>59147	58810	NA	BW25113_RS00290	NA	0
59687	60346	60016	NA	BW25113_RS00295	BW25113_0058	1
60358	63264	61811	NA	BW25113_RS00300	BW25113_0059	1
63429	65780	64604	NA	BW25113_RS00305	BW25113_0060	1
65855	66574	66214	NA	BW25113_RS00310	NA	1
66687	66881	66784	NA	BW25113_RS23180	NA	0
66874	67752	67313	NA	BW25113_RS00315	BW25113_0064	0
67838	68602	68220	NA	BW25113_RS00320	BW25113_0065	0
68716	69414	69065	NA	BW25113_RS00325	BW25113_0066	1
69398	71008	70203	thiP	BW25113_RS00330	BW25113_0067	1
70984	71967	71475	NA	BW25113_RS00335	BW25113_0068	1
72131	73786	72958	NA	BW25113_RS00340	BW25113_0069	1
73875	74006	73940	NA	BW25113_RS00345	BW25113_4662	0
74108	75286	74697	NA	BW25113_RS00350	BW25113_0070	0
75335	75940	75637	NA	BW25113_RS00355	BW25113_0071	1
75951	77351	76651	NA	BW25113_RS00360	BW25113_0072	1
77354	78445	77899	NA	BW25113_RS00365	BW25113_0073	1
78445	80016	79230	NA	BW25113_RS00370	BW25113_0074	1
80109	80195	80152	NA	BW25113_RS00375	BW25113_0075	1
80855	81799	81327	NA	BW25113_RS00380	BW25113_0076	0
82117	83841	82979	NA	BW25113_RS00385	BW25113_0077	0
83844	84335	84089	NA	BW25113_RS00390	BW25113_0078	0
84338	84433	84385	NA	BW25113_RS00395	NA	0
84515	85519	85017	NA	BW25113_RS00400	BW25113_0080	0
85940	86122	86031	NA	BW25113_RS23185	NA	1
86121	86579	86350	NA	BW25113_RS00405	BW25113_0081	0
86581	87522	87051	NA	BW25113_RS00410	BW25113_0082	0
87519	87884	87701	NA	BW25113_RS00415	BW25113_0083	0
87900	89666	88783	NA	BW25113_RS00420	BW25113_0084	0
89653	91140	90396	NA	BW25113_RS00425	BW25113_0085	0
91137	92495	91816	NA	BW25113_RS00430	BW25113_0086	0
92489	93571	93030	NA	BW25113_RS00435	BW25113_0087	0
93574	94890	94232	NA	BW25113_RS00440	BW25113_0088	0
94890	96134	95512	NA	BW25113_RS00445	BW25113_0089	0
96131	97198	96664	NA	BW25113_RS00450	BW25113_0090	0
97252	98727	97989	NA	BW25113_RS00455	BW25113_0091	0
98720	99640	99180	ddl	BW25113_RS00460	BW25113_0092	0
99642	100472	100057	NA	BW25113_RS00465	BW25113_0093	0
100469	101731	101100	NA	BW25113_RS00470	BW25113_0094	0
101792	102943	102367	NA	BW25113_RS00475	BW25113_0095	0
103044	103961	103502	NA	BW25113_RS00480	BW25113_0096	0
104192	104704	104448	NA	BW25113_RS00485	BW25113_0097	0
104766	107471	106118	NA	BW25113_RS00490	BW25113_0098	0
107531	107920	107725	NA	BW25113_RS00495	BW25113_0099	0
108136	108333	108234	NA	BW25113_RS00505	BW25113_0101	1
108343	109086	108714	NA	BW25113_RS00510	BW25113_0102	1
109086	109706	109396	NA	BW25113_RS00515	BW25113_0103	1
109931	110974	110452	NA	BW25113_RS00520	BW25113_0104	0
111009	112211	111610	NA	BW25113_RS00525	BW25113_0106	1
112201	113586	112893	NA	BW25113_RS00530	BW25113_0107	1
113596	114036	113816	NA	BW25113_RS00535	BW25113_0108	1
114058	114282	114170	NA	BW25113_RS00540	NA	0
114239	115132	114685	NA	BW25113_RS00545	BW25113_0109	1
115220	115771	115495	NA	BW25113_RS00550	BW25113_0110	0
115768	116622	116195	NA	BW25113_RS00555	BW25113_0111	0
116665	118038	117351	NA	BW25113_RS00560	BW25113_0112	1
118579	119343	118961	NA	BW25113_RS00565	BW25113_0113	0
119340	119522	119431	NA	BW25113_RS23190	NA	1
119504	122167	120835	NA	BW25113_RS00570	BW25113_0114	0
122182	124074	123128	aceF	BW25113_RS00575	BW25113_0115	0
124399	125823	125111	NA	BW25113_RS00580	BW25113_0116	0
125894	127747	126820	NA	BW25113_RS00585	BW25113_0117	1
128005	128121	128063	NA	BW25113_RS23195	NA	0
128102	130699	129400	NA	BW25113_RS00590	BW25113_0118	0
130875	131237	131056	NA	BW25113_RS00595	BW25113_0119	0
131275	132069	131672	NA	BW25113_RS00600	BW25113_0120	1
132085	132951	132518	NA	BW25113_RS00605	BW25113_0121	1
133057	133404	133230	NA	BW25113_RS00610	BW25113_0122	1
133570	135120	134345	NA	BW25113_RS00615	BW25113_0123	0
135322	137712	136517	NA	BW25113_RS00620	BW25113_0124	1
137918	138454	138186	NA	BW25113_RS00625	BW25113_0125	0
138495	139157	138826	NA	BW25113_RS00630	BW25113_0126	1
139266	140192	139729	NA	BW25113_RS00635	BW25113_0127	0
140189	140959	140574	NA	BW25113_RS00640	BW25113_0128	0
141064	141504	141284	NA	BW25113_RS00645	BW25113_0129	0
141568	142797	142182	NA	BW25113_RS00650	BW25113_0130	0
142801	143181	142991	NA	BW25113_RS00655	BW25113_0131	1
143131	143343	143237	NA	BW25113_RS23200	NA	0
143274	143474	143374	NA	BW25113_RS23205	NA	1
143455	144357	143906	NA	BW25113_RS00660	BW25113_0132	0
144431	145282	144856	NA	BW25113_RS00665	BW25113_0133	1
145294	146088	145691	NA	BW25113_RS00670	BW25113_0134	1
146202	147440	146821	NA	BW25113_RS00675	BW25113_0135	1
147490	148086	147788	NA	BW25113_RS00680	BW25113_0136	1
148113	148718	148415	NA	BW25113_RS00685	BW25113_0137	1
148730	149299	149014	NA	BW25113_RS00690	BW25113_0138	1
149316	151913	150614	NA	BW25113_RS00695	BW25113_0139	1
151948	152688	152318	NA	BW25113_RS00700	BW25113_0140	1
152786	153370	153078	NA	BW25113_RS00705	BW25113_0141	1
153740	154219	153979	NA	BW25113_RS00710	BW25113_0142	1
154216	155634	154925	NA	BW25113_RS00715	BW25113_0143	1
155673	156599	156136	NA	BW25113_RS00720	BW25113_0144	1
156636	157091	156863	NA	BW25113_RS00725	BW25113_0145	1
157269	157973	157621	NA	BW25113_RS00730	BW25113_0146	1
157988	158518	158253	NA	BW25113_RS00735	BW25113_0147	1
158592	161021	159806	NA	BW25113_RS00740	BW25113_0148	0
161024	161230	161127	NA	BW25113_RS24895	NA	0
161217	163751	162484	NA	BW25113_RS00750	BW25113_0149	0
163971	166214	165092	NA	BW25113_RS00755	BW25113_0150	0
166265	167062	166663	NA	BW25113_RS00760	BW25113_0151	0
167062	167952	167507	NA	BW25113_RS00765	BW25113_0152	0
167949	169931	168940	NA	BW25113_RS00770	BW25113_0153	0
170089	171369	170729	NA	BW25113_RS00775	BW25113_0154	1
171594	173015	172304	NA	BW25113_RS00780	BW25113_0155	0
173097	173441	173269	NA	BW25113_RS00785	BW25113_0156	0
173488	174111	173799	NA	BW25113_RS00790	BW25113_0157	1
174149	174949	174549	NA	BW25113_RS00795	BW25113_0158	1
174942	175640	175291	NA	BW25113_RS00800	BW25113_0159	1
175724	177241	176482	NA	BW25113_RS00805	BW25113_0160	0
177265	177453	177359	NA	BW25113_RS23210	NA	0
