ATCC_names,BW_names,DH_names,MG_names,ATCC_GSE94978_1,ATCC_GSE94978_2,BW25113_GSE73673_6,BW25113_GSE73673_7,BW25113_GSE73673_8,BW25113_GSE85914,K12DH_GSE98890_1,K12DH_GSE98890_2,K12MG_GSE114917_LP1,K12MG_GSE114917_LP2,K12MG_GSE114917_LP3,K12MG_GSE114917_LP4,K12MG_GSE40313_1,K12MG_GSE40313_2,K12MG_GSE54199_DNA,K12MG_GSE54199_RNA,K12MG_GSE60522_1,K12MG_GSE60522_2,K12MG_GSE60522_3
DR76_RS03365,BW25113_RS19835,ECDH10B_RS20405,b3820,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03355,BW25113_RS19845,ECDH10B_RS20415,b3822,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03350,BW25113_RS19850,ECDH10B_RS20420,b3823,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03345,BW25113_RS19855,ECDH10B_RS20425,b3824,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03340,BW25113_RS19860,ECDH10B_RS20430,b3825,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03335,BW25113_RS19865,ECDH10B_RS20435,b3826,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03325,BW25113_RS19875,ECDH10B_RS20445,b3828,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03190,BW25113_RS19895,ECDH10B_RS20465,b3832,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03185,BW25113_RS19900,ECDH10B_RS20470,b3833,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03175,BW25113_RS19910,ECDH10B_RS20480,b3835,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03170,BW25113_RS19915,ECDH10B_RS20485,b3836,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03165,BW25113_RS19920,ECDH10B_RS20490,b3838,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03160,BW25113_RS19925,ECDH10B_RS20495,b3839,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03155,BW25113_RS19930,ECDH10B_RS20500,b4483,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03150,BW25113_RS19935,ECDH10B_RS20505,b3842,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03145,BW25113_RS19940,ECDH10B_RS20510,b3843,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03140,BW25113_RS19945,ECDH10B_RS20515,b3844,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03130,BW25113_RS19955,ECDH10B_RS20525,b3846,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03125,BW25113_RS19960,ECDH10B_RS20530,b3847,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR76_RS03120,BW25113_RS19965,ECDH10B_RS20535,b3848,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
