gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
190	255	222	thrL	C_RS00005	c5491	0
453	911	682	tnpA	C_RS00010	c0002	0
1048	3510	2279	thrA	C_RS00015	c0003	0
3512	4444	3978	thrB	C_RS00020	c0004	0
4445	5731	5088	thrC	C_RS00025	c0005	0
5945	6241	6093	NA	C_RS00035	c0007	0
6301	7077	6689	yaaA	C_RS00040	c0010	1
7147	8577	7862	NA	C_RS00045	c0011	1
8856	9809	9332	tal	C_RS00050	c0012	0
9924	10511	10217	mog	C_RS00055	c0013	0
10716	11282	10999	satP	C_RS00065	c0015	1
11431	12144	11787	msyB	C_RS00070	c0016	1
12170	12574	12372	NA	C_RS00075	c0017	1
12946	14862	13904	dnaK	C_RS00080	c0019	0
14951	16081	15516	dnaJ	C_RS00085	c0020	0
16186	16395	16290	mokC	C_RS00090	NA	1
16953	17714	17333	NA	C_RS00095	c0021	0
17734	19227	18480	NA	C_RS00100	c0022	0
19356	20615	19985	NA	C_RS00105	c0023	0
20850	22016	21433	nhaA	C_RS00110	c0024	0
22076	22981	22528	nhaR	C_RS00115	c0025	0
23077	23340	23208	rpsT	C_RS00120	c0027	1
23443	23661	23552	NA	C_RS00125	c0028	0
23669	24610	24139	ribF	C_RS00130	c0029	0
24653	27469	26061	ileS	C_RS00135	c0030	0
27469	27963	27716	lspA	C_RS00140	c0031	0
28071	28520	28295	fkpB	C_RS00145	c0032	0
28522	29472	28997	ispH	C_RS00150	c0033	0
29538	30452	29995	rihC	C_RS00160	c0035	0
30475	30840	30657	NA	C_RS00165	c0036	0
31001	31822	31411	dapB	C_RS00170	c0037	0
32278	33426	32852	carA	C_RS00185	c0040	0
33444	36665	35054	carB	C_RS00190	c0041	0
36926	37321	37123	caiF	C_RS00200	c0043	0
37440	38030	37735	caiE	C_RS00205	c0044	1
38036	38821	38428	caiD	C_RS00210	c0045	1
38930	40483	39706	caiC	C_RS00215	c0046	1
40556	41773	41164	caiB	C_RS00220	c0047	1
41901	43043	42472	caiA	C_RS00225	c0048	1
43074	44588	43831	caiT	C_RS00230	c0049	1
45061	45831	45446	NA	C_RS00235	c0050	0
45846	46786	46316	NA	C_RS00240	NA	0
46809	48095	47452	NA	C_RS00245	c0053	0
48092	48379	48235	fixX	C_RS00250	c0054	0
48438	49769	49103	NA	C_RS00255	c0055	0
49877	50407	50142	kefF	C_RS00260	c0056	0
50400	52262	51331	kefC	C_RS00265	c0057	0
52454	52933	52693	folA	C_RS00270	c0058	0
53019	53252	53135	NA	C_RS00275	c0059	0
53255	53569	53412	NA	C_RS00280	c0060	0
53566	54414	53990	apaH	C_RS00285	c0061	1
54421	54798	54609	apaG	C_RS00290	c0063	1
54801	55622	55211	rsmA	C_RS00295	c0064	1
55619	56608	56113	pdxA	C_RS00300	c0065	1
56608	57894	57251	surA	C_RS00305	c0066	1
57947	60301	59124	lptD	C_RS00310	c0067	1
60556	61371	60963	djlA	C_RS00315	c0068	0
61489	62148	61818	rluA	C_RS00320	c0069	1
62160	65066	63613	rapA	C_RS00325	c0070	1
65231	67582	66406	polB	C_RS00330	c0071	1
67774	68232	68003	tnpA	C_RS00335	c0072	0
68369	69064	68716	araD	C_RS00340	c0073	1
69349	70851	70100	araA	C_RS00345	c0074	1
70862	72562	71712	araB	C_RS00350	c0075	1
72901	73746	73323	araC	C_RS00355	c0076	0
74261	74494	74377	NA	C_RS29805	c0078	0
74536	75108	74822	NA	C_RS00360	c0079	0
75115	75537	75326	NA	C_RS00365	c0080	0
75692	76456	76074	NA	C_RS00370	c0081	0
76570	77268	76919	thiQ	C_RS00375	c0082	1
77252	78862	78057	thiP	C_RS00380	c0083	1
78838	79821	79329	thiB	C_RS00385	c0084	1
79985	81640	80812	sgrR	C_RS00390	c0085	1
81729	81860	81794	sgrT	C_RS00395	NA	0
82077	82535	82306	tnpA	C_RS00400	c0086	0
82679	83284	82981	leuD	C_RS00405	c0087	1
83295	84695	83995	leuC	C_RS00410	c0089	1
84698	85789	85243	leuB	C_RS00415	c0090	1
85789	87360	86574	leuA	C_RS00420	c0091	1
87451	87537	87494	leuL	C_RS00425	c5492	1
88195	89139	88667	leuO	C_RS00430	c0093	0
89457	91181	90319	ilvI	C_RS00435	c0095	0
91184	91675	91429	ilvN	C_RS00440	c0096	0
91687	91773	91730	NA	C_RS00445	c5493	0
91855	92859	92357	cra	C_RS00450	c0098	0
93461	93919	93690	mraZ	C_RS00455	c0099	0
93921	94862	94391	rsmH	C_RS00460	c0100	0
94859	95224	95041	ftsL	C_RS00465	c0101	0
95240	97006	96123	ftsI	C_RS00470	c0102	0
96993	98480	97736	murE	C_RS00475	c0103	0
98477	99835	99156	murF	C_RS00480	c0104	0
99829	100911	100370	mraY	C_RS00485	c0105	0
100914	102230	101572	murD	C_RS00490	c0106	0
102230	103474	102852	ftsW	C_RS00495	c0107	0
103471	104538	104004	murG	C_RS00500	c0108	0
104592	106067	105329	murC	C_RS00505	c0109	0
106060	106980	106520	ddlB	C_RS00510	c0110	0
106982	107812	107397	ftsQ	C_RS00515	c0111	0
107809	109071	108440	ftsA	C_RS00520	c0112	0
109132	110283	109707	ftsZ	C_RS00525	c0113	0
110384	111301	110842	lpxC	C_RS00530	c0114	0
111532	112044	111788	secM	C_RS00535	c0115	0
112106	114811	113458	secA	C_RS00540	c0116	0
114871	115269	115070	mutT	C_RS00545	c0117	0
115372	116715	116043	NA	C_RS28980	NA	0
116788	116985	116886	yacG	C_RS00565	c0121	1
116995	117738	117366	zapD	C_RS00570	c0122	1
117738	118358	118048	coaE	C_RS00575	c0123	1
118583	119626	119104	guaC	C_RS00580	c0124	0
119661	120863	120262	hofC	C_RS00585	c0125	1
120853	122238	121545	gspE	C_RS00590	c0126	1
122248	122688	122468	ppdD	C_RS00595	c0127	1
122892	123785	123338	nadC	C_RS00605	c0128	1
123873	124424	124148	ampD	C_RS00610	c0129	0
124421	125275	124848	ampE	C_RS00615	c0130	0
125318	126688	126003	aroP	C_RS00620	c0131	1
127216	128997	128106	hcp	C_RS00625	c0132	0
129003	129293	129148	NA	C_RS00630	c0133	0
