gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
190	255	222	thrL	b0001	NA	0
337	2799	1568	thrA	b0002	NA	0
2801	3733	3267	thrB	b0003	NA	0
3734	5020	4377	thrC	b0004	NA	0
5234	5530	5382	yaaX	b0005	NA	0
5683	6459	6071	yaaA	b0006	NA	1
6529	7959	7244	yaaJ	b0007	NA	1
8238	9191	8714	talB	b0008	NA	0
9306	9893	9599	mog	b0009	NA	0
9928	10494	10211	satP	b0010	NA	1
10643	11356	10999	yaaW	b0011	NA	1
10830	11315	11072	mbiA	b0012	NA	0
11382	11786	11584	yaaI	b0013	NA	1
12163	14079	13121	dnaK	b0014	NA	0
14168	15298	14733	dnaJ	b0015	NA	0
15445	16557	16001	insL-1	b0016	NA	0
16751	16960	16855	mokC	b0018	NA	1
16751	16903	16827	hokC	b4412	NA	1
16952	17006	16979	sokC	b4413	NA	0
17489	18655	18072	nhaA	b0019	NA	0
18715	19620	19167	nhaR	b0020	NA	0
19811	20314	20062	insB-1	b0021	NA	1
20233	20508	20370	insA-1	b0022	NA	1
20815	21078	20946	rpsT	b0023	NA	1
21181	21399	21290	yaaY	b0024	NA	0
21407	22348	21877	ribF	b0025	NA	0
22391	25207	23799	ileS	b0026	NA	0
25207	25701	25454	lspA	b0027	NA	0
25826	26275	26050	fkpB	b0028	NA	0
26277	27227	26752	ispH	b0029	NA	0
27293	28207	27750	rihC	b0030	NA	0
28374	29195	28784	dapB	b0031	NA	0
29651	30799	30225	carA	b0032	NA	0
30817	34038	32427	carB	b0033	NA	0
34300	34695	34497	caiF	b0034	NA	0
34781	35371	35076	caiE	b0035	NA	1
35377	36162	35769	caiD	b0036	NA	1
36271	37824	37047	caiC	b0037	NA	1
37898	39115	38506	caiB	b0038	NA	1
39244	40386	39815	caiA	b0039	NA	1
40417	41931	41174	caiT	b0040	NA	1
42403	43173	42788	fixA	b0041	NA	0
43188	44129	43658	fixB	b0042	NA	0
44180	45466	44823	fixC	b0043	NA	0
45463	45750	45606	fixX	b0044	NA	0
45807	47138	46472	yaaU	b0045	NA	0
47246	47776	47511	kefF	b0046	NA	0
47769	49631	48700	kefC	b0047	NA	0
49823	50302	50062	folA	b0048	NA	0
50380	51222	50801	apaH	b0049	NA	1
51229	51606	51417	apaG	b0050	NA	1
51609	52430	52019	rsmA	b0051	NA	1
52427	53416	52921	pdxA	b0052	NA	1
53416	54702	54059	surA	b0053	NA	1
54755	57109	55932	lptD	b0054	NA	1
57364	58179	57771	djlA	b0055	NA	0
58474	59124	58799	yabP	b0056	NA	0
59121	59279	59200	yabQ	b0057	NA	0
59687	60346	60016	rluA	b0058	NA	1
60358	63264	61811	rapA	b0059	NA	1
63429	65780	64604	polB	b0060	NA	1
65855	66550	66202	araD	b0061	NA	1
66835	68337	67586	araA	b0062	NA	1
68348	70048	69198	araB	b0063	NA	1
70387	71265	70826	araC	b0064	NA	0
71351	72115	71733	yabI	b0065	NA	0
72229	72927	72578	thiQ	b0066	NA	1
72911	74521	73716	thiP	b0067	NA	1
74497	75480	74988	thiB	b0068	NA	1
75644	77299	76471	sgrR	b0069	NA	1
77367	77593	77480	sgrS	b4577	NA	0
77388	77519	77453	sgrT	b4662	NA	0
77621	78799	78210	setA	b0070	NA	0
78848	79453	79150	leuD	b0071	NA	1
79464	80864	80164	leuC	b0072	NA	1
80867	81958	81412	leuB	b0073	NA	1
81958	83529	82743	leuA	b0074	NA	1
83622	83708	83665	leuL	b0075	NA	1
