gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
247429	248445	247937	NA	ECDH10B_RS01230	ECDH10B_0245	1
254157	255311	254734	NA	ECDH10B_RS01275	ECDH10B_0254	1
513292	514308	513800	NA	ECDH10B_RS02610	ECDH10B_0510	1
626552	627568	627060	NA	ECDH10B_RS03170	ECDH10B_0617	1
739812	740828	740320	NA	ECDH10B_RS03705	ECDH10B_0725	1
1483496	1484512	1484004	NA	ECDH10B_RS07470	ECDH10B_1451	0
1521799	1522815	1522307	NA	ECDH10B_RS07710	NA	0
2067250	2068266	2067758	NA	ECDH10B_RS10420	NA	1
2190927	2191943	2191435	NA	ECDH10B_RS11110	ECDH10B_2180	1
2378075	2379091	2378583	NA	ECDH10B_RS11940	ECDH10B_2349	1
2651155	2651400	2651277	NA	ECDH10B_RS13260	ECDH10B_2609	0
2654310	2655119	2654714	NA	ECDH10B_RS13290	ECDH10B_2615	0
3170651	3171667	3171159	NA	ECDH10B_RS15765	NA	0
3225945	3226961	3226453	NA	ECDH10B_RS16045	ECDH10B_3159	0
3461469	3462485	3461977	NA	ECDH10B_RS17230	ECDH10B_3394	1
3747950	3748966	3748458	NA	ECDH10B_RS18715	ECDH10B_3681	1
