gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
106542	106618	106580	NA	DR76_RS00485	DR76_93	0
288008	288082	288045	NA	DR76_RS01380	DR76_265	0
340358	340433	340395	NA	DR76_RS01570	DR76_301	1
340473	340548	340510	NA	DR76_RS01575	DR76_302	1
343247	343322	343284	NA	DR76_RS01595	DR76_306	0
343366	343441	343403	NA	DR76_RS01600	DR76_307	0
343488	343563	343525	NA	DR76_RS01605	DR76_308	0
343568	343643	343605	NA	DR76_RS01610	DR76_309	0
530040	530158	530099	rrf	DR76_RS02445	DR76_470	1
530243	533167	531705	NA	DR76_RS02450	DR76_471	1
533352	533427	533389	NA	DR76_RS02455	DR76_472	1
533501	535056	534278	NA	DR76_RS02460	DR76_473	1
667825	667940	667882	rrf	DR76_RS03090	DR76_595	1
668023	670947	669485	NA	DR76_RS03095	DR76_596	1
671132	671207	671169	NA	DR76_RS03100	DR76_597	1
671281	672835	672058	NA	DR76_RS03105	DR76_598	1
751045	751121	751083	NA	DR76_RS03485	DR76_673	1
751164	751250	751207	NA	DR76_RS03490	DR76_674	1
751271	751346	751308	NA	DR76_RS03495	DR76_675	1
751405	751481	751443	NA	DR76_RS03500	DR76_676	1
785950	786025	785987	NA	DR76_RS03665	DR76_706	1
786034	786110	786072	NA	DR76_RS03670	DR76_707	1
786164	786279	786221	rrf	DR76_RS03675	DR76_708	1
786363	789291	787827	NA	DR76_RS03680	DR76_709	1
789476	789551	789513	NA	DR76_RS03685	DR76_710	1
789625	791180	790402	NA	DR76_RS03690	DR76_711	1
910498	910592	910545	NA	DR76_RS04295	DR76_823	1
1037169	1037245	1037207	NA	DR76_RS04875	DR76_938	0
1324765	1326320	1325542	NA	DR76_RS06330	DR76_1223	0
1326394	1326469	1326431	NA	DR76_RS06335	DR76_1224	0
1326654	1329578	1328116	NA	DR76_RS06340	DR76_1225	0
1329662	1329777	1329719	rrf	DR76_RS06345	DR76_1226	0
1429015	1429101	1429058	NA	DR76_RS06855	DR76_1324	0
1432882	1432958	1432920	NA	DR76_RS06870	DR76_1327	0
1476893	1477269	1477081	rnpB	DR76_RS25960	NA	0
1528533	1528608	1528570	NA	DR76_RS07335	DR76_1417	1
1777516	1777591	1777553	NA	DR76_RS08640	DR76_1655	1
1831701	1831884	1831792	ssrS	DR76_RS25975	NA	1
1887609	1887682	1887645	NA	DR76_RS09170	DR76_1757	0
1961265	1961341	1961303	NA	DR76_RS09465	DR76_1815	1
1961375	1961451	1961413	NA	DR76_RS09470	DR76_1816	1
1961485	1961561	1961523	NA	DR76_RS09475	DR76_1817	1
2082529	2082621	2082575	NA	DR76_RS10075	DR76_1935	0
2082625	2082701	2082663	NA	DR76_RS10080	DR76_1936	0
2082764	2082840	2082802	NA	DR76_RS10085	DR76_1937	0
2082905	2082981	2082943	NA	DR76_RS10090	DR76_1938	0
2083044	2083120	2083082	NA	DR76_RS10095	DR76_1939	0
2083183	2083259	2083221	NA	DR76_RS10100	DR76_1940	0
2116666	2117028	2116847	ssrA	DR76_RS25980	NA	1
2141345	2142900	2142122	NA	DR76_RS10415	DR76_2004	0
2142974	2143049	2143011	NA	DR76_RS10420	DR76_2005	0
2143234	2146158	2144696	NA	DR76_RS10425	DR76_2006	0
2146242	2146357	2146299	rrf	DR76_RS10430	DR76_2007	0
2149825	2149900	2149862	NA	DR76_RS10455	DR76_2011	0
2149909	2149993	2149951	NA	DR76_RS10460	DR76_2012	0
2150110	2150184	2150147	NA	DR76_RS10465	DR76_2013	0
2150191	2150266	2150228	NA	DR76_RS10470	DR76_2014	0
2181516	2183074	2182295	NA	DR76_RS10610	DR76_2044	0
2183148	2183223	2183185	NA	DR76_RS10615	DR76_2045	0
2183408	2186332	2184870	NA	DR76_RS10620	DR76_2046	0
2186416	2186531	2186473	rrf	DR76_RS10625	DR76_2047	0
2361186	2361261	2361223	NA	DR76_RS11430	DR76_2203	1
2390127	2390202	2390164	NA	DR76_RS11575	DR76_2232	0
2390239	2390314	2390276	NA	DR76_RS11580	DR76_2233	0
2499806	2499890	2499848	NA	DR76_RS12105	DR76_2335	0
2640364	2640450	2640407	NA	DR76_RS12850	DR76_2478	1
2640485	2640571	2640528	NA	DR76_RS12855	DR76_2479	1
2640600	2640686	2640643	NA	DR76_RS12860	DR76_2480	1
2905612	2907167	2906389	NA	DR76_RS14130	DR76_2721	0
2907224	2907300	2907262	NA	DR76_RS14135	DR76_2722	0
2907343	2907418	2907380	NA	DR76_RS14140	DR76_2723	0
2907593	2910517	2909055	NA	DR76_RS14145	DR76_2724	0
2910601	2910715	2910658	rrf	DR76_RS14150	DR76_2725	0
2910770	2910846	2910808	NA	DR76_RS14155	DR76_2726	0
2918995	2919071	2919033	NA	DR76_RS14205	DR76_2736	0
3030079	3030154	3030116	NA	DR76_RS14670	DR76_2822	1
3031903	3031978	3031940	NA	DR76_RS14680	DR76_2824	0
3034312	3034387	3034349	NA	DR76_RS14695	DR76_2827	0
3074202	3074277	3074239	NA	DR76_RS14800	DR76_2847	1
3075269	3075358	3075313	NA	DR76_RS14810	DR76_2849	0
3150695	3150770	3150732	NA	DR76_RS15260	DR76_2934	0
3150824	3150897	3150860	NA	DR76_RS15265	DR76_2935	0
3150910	3150996	3150953	NA	DR76_RS15270	DR76_2936	0
3365037	3365144	3365090	rprA	DR76_RS26005	NA	1
3388752	3388828	3388790	NA	DR76_RS16535	DR76_3172	1
3388833	3388909	3388871	NA	DR76_RS16540	DR76_3173	1
3805571	3805655	3805613	NA	DR76_RS18635	DR76_3563	0
3805689	3805773	3805731	NA	DR76_RS18640	DR76_3564	0
3805820	3805951	3805885	NA	DR76_RS26015	NA	0
4086665	4086752	4086708	NA	DR76_RS20415	DR76_3890	0
4112179	4112255	4112217	NA	DR76_RS20550	DR76_3917	1
4247905	4247992	4247948	NA	DR76_RS21225	DR76_4050	0
4343304	4343391	4343347	NA	DR76_RS21630	DR76_4128	0
4485994	4486069	4486031	NA	DR76_RS22335	DR76_4262	1
4486103	4486178	4486140	NA	DR76_RS22340	DR76_4263	1
4486227	4486302	4486264	NA	DR76_RS22345	DR76_4264	1
4486306	4486381	4486343	NA	DR76_RS22350	DR76_4265	1
4486433	4486508	4486470	NA	DR76_RS22355	DR76_4266	1
4486511	4486586	4486548	NA	DR76_RS22360	DR76_4267	1
4486622	4486697	4486659	NA	DR76_RS22365	DR76_4268	1
4559265	4559341	4559303	NA	DR76_RS22720	DR76_4334	0
4559352	4559436	4559394	NA	DR76_RS22725	DR76_4335	0
4559460	4559534	4559497	NA	DR76_RS22730	DR76_4336	0
4559569	4559643	4559606	NA	DR76_RS22735	DR76_4337	0
4559659	4559735	4559697	NA	DR76_RS22740	DR76_4338	0
4559784	4559858	4559821	NA	DR76_RS22745	DR76_4339	0
4559896	4559970	4559933	NA	DR76_RS22750	DR76_4340	0
4662125	4662201	4662163	NA	DR76_RS23240	DR76_4432	1
4738067	4738163	4738115	ffs	DR76_RS26030	NA	1
4919414	4919489	4919451	NA	DR76_RS24460	DR76_4664	1
0	0	0	0	0	0	0
