gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
190	255	222	thrL	c5491	NA	0
534	911	722	NA	c0002	NA	0
985	3510	2247	thrA	c0003	NA	0
3512	4444	3978	thrB	c0004	NA	0
4445	5731	5088	thrC	c0005	NA	0
5799	5948	5873	NA	c0006	NA	0
5945	6241	6093	yaaX	c0007	NA	0
6021	6269	6145	NA	c0008	NA	1
6060	6323	6191	NA	c0009	NA	0
6301	7077	6689	yaaA	c0010	NA	1
7147	8577	7862	yaaJ	c0011	NA	1
8793	9809	9301	talB	c0012	NA	0
9921	10511	10216	mog	c0013	NA	0
10535	10672	10603	NA	c0014	NA	1
10716	11282	10999	yaaH	c0015	NA	1
11431	12144	11787	yaaW	c0016	NA	1
12170	12574	12372	yaaI	c0017	NA	1
12904	14940	13922	NA	c0018	NA	1
12946	14862	13904	dnaK	c0019	NA	0
14951	16081	15516	dnaJ	c0020	NA	0
16953	17714	17333	NA	c0021	NA	0
17698	19227	18462	NA	c0022	NA	0
19356	20615	19985	NA	c0023	NA	0
20850	22016	21433	nhaA	c0024	NA	0
22058	22981	22519	nhaR	c0025	NA	0
22948	23076	23012	NA	c0026	NA	1
23077	23340	23208	rpsT	c0027	NA	1
23443	23661	23552	yaaY	c0028	NA	0
23669	24610	24139	ribF	c0029	NA	0
24653	27469	26061	ileS	c0030	NA	0
27469	27963	27716	lspA	c0031	NA	0
28071	28520	28295	slpA	c0032	NA	0
28477	29472	28974	lytB	c0033	NA	0
30475	30840	30657	NA	c0036	NA	0
31001	31822	31411	dapB	c0037	NA	0
31864	32031	31947	NA	c0038	NA	1
32101	32238	32169	NA	c0039	NA	0
32251	33426	32838	carA	c0040	NA	0
33444	36665	35054	carB	c0041	NA	0
36673	36891	36782	NA	c0042	NA	1
36821	37321	37071	caiF	c0043	NA	0
37440	38051	37745	caiE	c0044	NA	1
38036	38929	38482	caiD	c0045	NA	1
38930	40498	39714	caiC	c0046	NA	1
40556	41773	41164	caiB	c0047	NA	1
41901	43043	42472	caiA	c0048	NA	1
43074	44588	43831	caiT	c0049	NA	1
44998	45831	45414	fixA	c0050	NA	0
46809	48095	47452	fixC	c0053	NA	0
48092	48379	48235	fixX	c0054	NA	0
48438	49769	49103	yaaU	c0055	NA	0
49877	50407	50142	yabF	c0056	NA	0
50400	52262	51331	kefC	c0057	NA	0
52319	52933	52626	folA	c0058	NA	0
53019	53252	53135	NA	c0059	NA	0
53255	53569	53412	NA	c0060	NA	0
53566	54414	53990	apaH	c0061	NA	1
54385	54738	54561	NA	c0062	NA	0
54421	54798	54609	apaG	c0063	NA	1
54801	55622	55211	ksgA	c0064	NA	1
55619	56608	56113	pdxA	c0065	NA	1
56608	57894	57251	surA	c0066	NA	1
57947	60301	59124	imp	c0067	NA	1
60463	61371	60917	yabH	c0068	NA	0
61489	62148	61818	yabO	c0069	NA	1
62160	65066	63613	hepA	c0070	NA	1
65231	67582	66406	polB	c0071	NA	1
67723	68232	67977	NA	c0072	NA	0
68369	69064	68716	araD	c0073	NA	1
69349	70851	70100	araA	c0074	NA	1
70862	72562	71712	araB	c0075	NA	1
72901	73746	73323	araC	c0076	NA	0
74011	74133	74072	NA	c0077	NA	0
74258	74494	74376	NA	c0078	NA	0
74536	75108	74822	NA	c0079	NA	0
75115	75537	75326	NA	c0080	NA	0
75692	76456	76074	yabI	c0081	NA	0
76570	77289	76929	yabJ	c0082	NA	1
77252	78862	78057	yabK	c0083	NA	1
78838	79833	79335	tbpA	c0084	NA	1
79985	81661	80823	yabN	c0085	NA	1
82026	82535	82280	NA	c0086	NA	0
82679	83284	82981	leuD	c0087	NA	1
82730	82915	82822	NA	c0088	NA	0
83295	84695	83995	leuC	c0089	NA	1
84698	85792	85245	leuB	c0090	NA	1
85789	87402	86595	leuA	c0091	NA	1
87451	87537	87494	leuL	c5492	NA	1
87996	88118	88057	NA	c0092	NA	0
88195	89139	88667	leuO	c0093	NA	0
89175	89303	89239	NA	c0094	NA	1
89367	91181	90274	ilvI	c0095	NA	0
91154	91675	91414	ilvH	c0096	NA	0
91687	91773	91730	fruL	c5493	NA	0
91727	91858	91792	NA	c0097	NA	0
91855	92859	92357	fruR	c0098	NA	0
93425	93919	93672	yabB	c0099	NA	0
