gene_id,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,norm_exp
DR76_RS00005,1,1278,639,,DR76_1,6.40714855670296
DR76_RS00010,1275,2279,1777,,DR76_2,9.3742752401759
DR76_RS00015,2276,3241,2758,,DR76_4,12.9940594768064
DR76_RS00020,3215,3961,3588,,DR76_3,36.333187982538
DR76_RS00025,4013,4831,4422,,DR76_5,8.95502746369258
DR76_RS00030,4896,5696,5296,,DR76_6,54.3677695802765
DR76_RS00035,5693,6481,6087,,DR76_7,82.9819733526226
DR76_RS00040,6704,6976,6840,,DR76_8,31.4407774948587
DR76_RS00045,7097,7921,7509,,DR76_10,40.1153544351748
DR76_RS00050,8140,8478,8309,,DR76_11,79.3503559802012
DR76_RS00055,8560,9594,9077,,DR76_12,3.31545214317779
DR76_RS00060,9610,12090,10850,,DR76_13,11.1338974302974
DR76_RS00065,12106,12780,12443,,DR76_14,3.33361686821286
DR76_RS00070,12861,13403,13132,,DR76_15,52.0162103574573
DR76_RS00075,13592,13773,13682,,,0
DR76_RS00080,13697,13978,13837,,DR76_16,5.36632227270564
DR76_RS00085,14241,15350,14795,,DR76_17,833.185847886418
DR76_RS00090,15482,17515,16498,metG,DR76_18,385.062351386048
DR76_RS00095,17656,21444,19550,,DR76_19,24.6231023274648
DR76_RS00100,21454,25086,23270,,DR76_20,29.4659102530981
DR76_RS00105,25147,25463,25305,,,0.783176145879438
DR76_RS00115,26095,27183,26639,,DR76_22,8.05835408111813
DR76_RS00120,27194,29473,28333,,DR76_23,13.2012172313479
DR76_RS00125,29466,30602,30034,,DR76_24,4.21511072201177
DR76_RS00130,30599,32602,31600,,DR76_25,14.6112222891679
DR76_RS00135,32727,33188,32957,,DR76_26,10.1299507510249
DR76_RS00140,33229,33699,33464,,DR76_27,84.8518755655511
DR76_RS00145,33746,34465,34105,,DR76_28,66.4685857815332
DR76_RS00150,34462,36147,35304,,DR76_29,95.3711168865745
DR76_RS00155,36369,37100,36734,,DR76_30,7.13202009923566
DR76_RS00160,37160,37267,37213,,DR76_32,0.413722294729439
DR76_RS00165,37248,37979,37613,,DR76_31,6.7759039496099
DR76_RS00170,37984,38910,38447,,DR76_33,2.21119762514611
DR76_RS00175,38903,40060,39481,,DR76_34,3.89176714169251
DR76_RS00180,40067,40984,40525,,DR76_35,12.8374371655402
DR76_RS00185,41174,43471,42322,,DR76_36,189.892515017879
DR76_RS00190,43667,45382,44524,,DR76_37,539.051551375106
DR76_RS00195,45421,46353,45887,,DR76_38,131.223343912107
DR76_RS00200,46527,47114,46820,,DR76_39,5.33312632248342
DR76_RS00205,47284,47862,47573,,DR76_40,71.0523681824118
DR76_RS00210,47982,48743,48362,,,15.9596409402049
DR76_RS00215,48796,50232,49514,,DR76_43,7.03255902230795
DR76_RS00220,50456,50539,50497,,,3.18222343152374
DR76_RS00225,50926,51876,51401,,DR76_44,14.7162088478495
DR76_RS00230,52115,52513,52314,,DR76_45,28.5543324190754
DR76_RS00235,52510,53205,52857,,DR76_46,28.5699137989172
DR76_RS00240,53335,54219,53777,,DR76_47,77.0823965664251
DR76_RS00245,54369,55088,54728,,DR76_48,18.1246015207813
DR76_RS00250,55091,55330,55210,,DR76_49,13.8626820696957
DR76_RS00255,55524,56762,56143,,DR76_50,414.409071492617
DR76_RS00260,56756,57991,57373,,DR76_51,403.276317431328
DR76_RS00265,58234,59244,58739,,DR76_52,31.2426590431359
DR76_RS00270,59260,60780,60020,,DR76_53,40.5932440765228
DR76_RS00275,60841,61839,61340,,DR76_54,182.618882302715
DR76_RS00280,62119,63159,62639,,DR76_55,56.032059258738
DR76_RS00285,63149,63352,63250,,,0.35427432237446
DR76_RS00290,63301,64458,63879,,DR76_56,44.9013383879874
DR76_RS00295,64475,65143,64809,,DR76_57,260.692995372271
DR76_RS00300,65297,65473,65385,,,0.27439641681739
DR76_RS00305,65401,66237,65819,,DR76_58,148.014579536888
DR76_RS00310,66269,68260,67264,,DR76_59,17.1344159239487
DR76_RS00315,68253,68452,68352,,,0.233959931328933
DR76_RS00320,68552,70021,69286,,DR76_60,93.6967306556839
DR76_RS00325,70226,71107,70666,,DR76_61,180.990544158464
DR76_RS00330,71206,72255,71730,,DR76_62,34.4823618460243
DR76_RS00335,72329,73186,72757,,DR76_63,58.5186268362719
DR76_RS00340,73190,74278,73734,,DR76_64,60.441815265749
DR76_RS00345,74546,75487,75016,rihB,DR76_65,40.4128884987687
DR76_RS00350,75617,76315,75966,,DR76_66,12.4543705355386
DR76_RS00355,76382,77632,77007,,DR76_67,18.0981796652107
DR76_RS00360,77726,78664,78195,,DR76_68,25.9035192684345
DR76_RS00365,78652,79593,79122,,DR76_69,10.7893823988341
DR76_RS00370,80049,81740,80894,,DR76_70,50.9962995717684
