gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
273325	274341	273833	NA	Y75_RS01335	Y75_p0250	1
280053	281207	280630	NA	Y75_RS01380	Y75_p0259	1
573960	574976	574468	NA	Y75_RS02845	Y75_p0538	1
654245	655261	654753	NA	Y75_RS03225	Y75_p0611	0
688419	689435	688927	NA	Y75_RS03405	Y75_p0646	1
1199110	1199814	1199462	NA	Y75_RS05950	Y75_p1108	1
1203074	1203415	1203244	NA	Y75_RS23460	NA	0
1209709	1210122	1209915	NA	Y75_RS06025	Y75_p1125	0
1397790	1398806	1398298	NA	Y75_RS07025	Y75_p1308	0
1980355	1981371	1980863	NA	Y75_RS09980	Y75_p1869	1
2104032	2105048	2104540	NA	Y75_RS10660	Y75_p1994	1
2177015	2178031	2177523	NA	Y75_RS10980	Y75_p2056	0
2292399	2293415	2292907	NA	Y75_RS11495	Y75_p2153	1
3128834	3129850	3129342	NA	Y75_RS15530	Y75_p2911	0
3261166	3262182	3261674	NA	Y75_RS16205	Y75_p3038	0
3365557	3366573	3366065	NA	Y75_RS16725	Y75_p3138	1
3746943	3747959	3747451	NA	Y75_RS18585	Y75_p3462	0
3750623	3751639	3751131	NA	Y75_RS18600	Y75_p3464	0
3987217	3988233	3987725	NA	Y75_RS19725	Y75_p3672	0
4310395	4311411	4310903	NA	Y75_RS21310	Y75_p3971	0
