gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
15445	16557	16001	insL1	b0016	NA	0
19811	20314	20062	insB1	b0021	NA	1
20233	20508	20370	insA	b0022	NA	1
263328	263669	263498	ykfI	b0245	NA	1
263690	264007	263848	yafW	b0246	NA	1
264256	264732	264494	ykfG	b0247	NA	1
264748	265206	264977	yafX	b0248	NA	1
265304	265543	265423	ykfF	b0249	NA	1
265620	266087	265853	ykfB	b0250	NA	1
266110	266553	266331	yafY	b0251	NA	1
267184	268005	267594	yafZ	b0252	NA	1
268097	268960	268528	ykfA	b0253	NA	1
269289	270182	269735	perR	b0254	NA	1
270603	271754	271178	insI1	b0256	NA	0
274101	275117	274609	insH1	b0259	NA	1
275325	276728	276026	mmuP	b0260	NA	0
276715	277647	277181	mmuM	b0261	NA	0
277756	278802	278279	afuC	b0262	NA	1
279178	279681	279429	insB1	b0264	NA	1
279600	279875	279737	insA	b0265	NA	1
280829	281983	281406	yagA	b0267	NA	1
282278	283186	282732	yagE	b0268	NA	0
283201	285168	284184	yagF	b0269	NA	0
285395	286777	286086	yagG	b0270	NA	0
286789	288399	287594	yagH	b0271	NA	0
288404	289162	288783	yagI	b0272	NA	1
289301	290305	289803	argF	b0273	NA	1
290649	291152	290900	insB1	b0274	NA	1
291071	291346	291208	insA	b0275	NA	1
292322	292948	292635	yagK	b0277	NA	1
293220	293918	293569	yagL	b0278	NA	1
293945	294799	294372	yagM	b0279	NA	1
295139	295579	295359	yagN	b0280	NA	1
295696	297096	296396	intF	b0281	NA	1
315291	315590	315440	insE1	b0298	NA	0
315587	316453	316020	insF1	b0299	NA	0
381351	381716	381533	insC1	b0360	NA	0
381674	382579	382126	insD1	b0361	NA	0
391739	392605	392172	insF1	b0372	NA	1
392602	392901	392751	insE1	b0373	NA	1
564815	565978	565396	intD	b0537	NA	1
566842	567141	566991	insE1	b0540	NA	0
567138	568004	567571	insF1	b0541	NA	0
568315	568647	568481	emrE	b0543	NA	0
568902	570428	569665	ybcK	b0544	NA	0
570893	571444	571168	ybcL	b0545	NA	0
571454	572251	571852	ybcM	b0546	NA	0
572368	572469	572418	ylcH	b4588	NA	0
572466	572921	572693	ybcN	b0547	NA	0
572921	573091	573006	ninE	b0548	NA	0
573084	573374	573229	ybcO	b0549	NA	0
573371	573733	573552	rusA	b0550	NA	0
573730	573870	573800	ylcG	b4509	NA	0
573956	574339	574147	quuD	b0551	NA	0
574737	575753	575245	insH1	b0552	NA	1
577398	577613	577505	essD	b0554	NA	0
577613	578110	577861	rrrD	b0555	NA	0
578107	578568	578337	rzpD	b0556	NA	0
578327	578509	578418	rzoD	b4510	NA	0
578600	578893	578746	borD	b0557	NA	1
579184	579594	579389	ybcV	b0558	NA	1
579880	580086	579983	ybcW	b0559	NA	0
580251	580445	580348	ylcI	b4589	NA	1
580834	581379	581106	nohD	b0560	NA	0
583681	584430	584055	appY	b0564	NA	0
584680	585633	585156	ompT	b0565	NA	1
587982	590954	589468	nfrA	b0568	NA	1
590941	593178	592059	nfrB	b0569	NA	1
608065	609177	608621	insL1	b0582	NA	0
687997	689013	688505	insH1	b0656	NA	1
1049833	1050108	1049970	insA	b4516	NA	0
1050027	1050530	1050278	insB1	b0988	NA	0
1094275	1095141	1094708	insF1	b1026	NA	1
1095138	1095437	1095287	insE1	b1027	NA	1
1195123	1196373	1195748	icd	b1136	NA	0
1196867	1197532	1197199	ymfD	b1137	NA	1
1197533	1198237	1197885	ymfE	b1138	NA	1
1198695	1199588	1199141	lit	b1139	NA	0
1199679	1200806	1200242	intE	b1140	NA	1
1200787	1201032	1200909	xisE	b1141	NA	1
1201497	1201838	1201667	ymfI	b1143	NA	0
1201776	1202084	1201930	ymfJ	b1144	NA	1
1202259	1202933	1202596	cohE	b1145	NA	1
1203024	1203224	1203124	croE	b1146	NA	0
1203268	1203825	1203546	ymfL	b1147	NA	0
1203822	1204160	1203991	ymfM	b1148	NA	0
1205549	1205731	1205640	ymfR	b1150	NA	0
1206913	1207497	1207205	ymfQ	b1153	NA	0
1207501	1208130	1207815	stfP	b1154	NA	0
1208132	1208545	1208338	tfaP	b1155	NA	0
1208517	1209119	1208818	tfaE	b1156	NA	1
1209685	1210239	1209962	pinE	b1158	NA	0
1210346	1211179	1210762	mcrA	b1159	NA	0
1366935	1367912	1367423	pspF	b1303	NA	1
1368079	1368747	1368413	pspA	b1304	NA	0
1368801	1369025	1368913	pspB	b1305	NA	0
1369025	1369384	1369204	pspC	b1306	NA	0
1369393	1369614	1369503	pspD	b1307	NA	0
1369689	1370003	1369846	pspE	b1308	NA	0
1396076	1397092	1396584	insH1	b1331	NA	0
1412000	1413235	1412617	intR	b1345	NA	1
1413237	1413452	1413344	ydaQ	b1346	NA	1
1413531	1413740	1413635	ydaC	b1347	NA	1
1413733	1413927	1413830	ralR	b1348	NA	1
1413984	1414793	1414388	recT	b1349	NA	1
1414786	1417386	1416086	recE	b1350	NA	1
1417488	1417763	1417625	racC	b1351	NA	1
1417838	1418008	1417923	ydaE	b4526	NA	1
1418008	1418229	1418118	kilR	b1352	NA	1
1418671	1419159	1418915	sieB	b1353	NA	0
1419156	1419311	1419233	ydaF	b4527	NA	1
1419322	1419456	1419389	ydaG	b1355	NA	1
1419765	1420241	1420003	racR	b1356	NA	1
1420365	1420661	1420513	ydaS	b1357	NA	0
1420684	1421106	1420895	ydaT	b1358	NA	0
1421119	1421976	1421547	ydaU	b1359	NA	0
1421983	1422729	1422356	ydaV	b1360	NA	0
1423400	1423585	1423492	rzoR	b4528	NA	0
1423782	1425239	1424510	trkG	b1363	NA	0
1425377	1425640	1425508	ynaK	b1365	NA	0
1427746	1428726	1428236	insH1	b1370	NA	1
1429049	1432411	1430730	stfR	b1372	NA	0
1432411	1432986	1432698	tfaR	b1373	NA	0
1433084	1433674	1433379	pinR	b1374	NA	1
1433991	1434224	1434107	ynaE	b1375	NA	1
1467921	1468826	1468373	insD1	b1402	NA	1
1468784	1469149	1468966	insC1	b1403	NA	1
1469358	1470509	1469933	insI1	b1404	NA	0
1503717	1504865	1504291	insQ	b1432	NA	0
1633072	1633305	1633188	ydfK	b1544	NA	0
1633622	1634212	1633917	pinQ	b1545	NA	0
1634310	1634885	1634597	tfaQ	b1546	NA	1
1634885	1635847	1635366	stfQ	b1547	NA	1
1636756	1636989	1636872	ynfO	b4533	NA	0
1637047	1637457	1637252	ydfO	b1549	NA	0
1637609	1637782	1637695	gnsB	b1550	NA	1
1637954	1638109	1638031	ynfN	b1551	NA	1
1638455	1638667	1638561	cspI	b1552	NA	1
1639030	1639527	1639278	rzpQ	b1553	NA	1
1639524	1640057	1639790	rrrQ	b1554	NA	1
1640054	1640365	1640209	ydfR	b1555	NA	1
1640370	1640585	1640477	essQ	b1556	NA	1
1641339	1641554	1641446	cspB	b1557	NA	1
1641855	1642067	1641961	cspF	b1558	NA	0
1642489	1643241	1642865	quuQ	b1559	NA	1
1643255	1644304	1643779	ydfU	b1560	NA	1
1644651	1644902	1644776	rem	b1561	NA	1
1645346	1645633	1645489	relE	b1563	NA	1
1645633	1645872	1645752	relB	b1564	NA	1
1645897	1646202	1646049	ydfV	b1565	NA	0
1646405	1646737	1646571	flxA	b1566	NA	0
1647620	1647850	1647735	dicC	b1569	NA	1
1647934	1648341	1648137	dicA	b1570	NA	0
1648508	1648663	1648585	ydfA	b1571	NA	0
1648665	1648793	1648729	ydfB	b1572	NA	0
1648823	1649041	1648932	ydfC	b1573	NA	0
1649609	1649797	1649703	dicB	b1575	NA	0
1649794	1649985	1649889	ydfD	b1576	NA	0
1978518	1979021	1978769	insB1	b1893	NA	1
1978940	1979215	1979077	insA	b1894	NA	1
2066305	2067321	2066813	insH1	b1994	NA	1
2068952	2069857	2069404	insD1	b1996	NA	1
2069815	2070180	2069997	insC1	b1997	NA	1
2071539	2074658	2073098	flu	b2000	NA	0
2074779	2076311	2075545	yeeR	b2001	NA	0
2076308	2076754	2076531	yeeS	b2002	NA	0
2076817	2077038	2076927	yeeT	b2003	NA	0
2077112	2077480	2077296	cbeA	b2004	NA	0
2077569	2077943	2077756	cbtA	b2005	NA	0
2101895	2102911	2102403	insH1	b2030	NA	1
2129661	2130878	2130269	wcaD	b2056	NA	1
2167302	2167520	2167411	ogrK	b2082	NA	1
2170236	2170535	2170385	insE1	b2088	NA	0
2170532	2171398	2170965	insF1	b2089	NA	0
2289065	2290081	2289573	insH1	b2192	NA	1
2466545	2467702	2467123	intS	b2349	NA	0
2467855	2468217	2468036	gtrA	b2350	NA	0
2468214	2469134	2468674	gtrB	b2351	NA	0
2469131	2470462	2469796	gtrS	b2352	NA	0
2471077	2471517	2471297	yfdK	b2354	NA	1
2472387	2472881	2472634	yfdN	b2357	NA	1
2473604	2473966	2473785	yfdP	b2359	NA	0
2474032	2474856	2474444	yfdQ	b2360	NA	0
2474984	2475520	2475252	yfdR	b2361	NA	0
2475511	2475873	2475692	yfdS	b2362	NA	0
2475873	2476178	2476025	yfdT	b2363	NA	0
2514331	2515443	2514887	insL1	b2394	NA	0
2558858	2560066	2559462	intZ	b2442	NA	0
2560257	2560898	2560577	yffL	b2443	NA	0
2561368	2561613	2561490	yffM	b2444	NA	0
2561625	2561993	2561809	yffN	b2445	NA	0
2562111	2562527	2562319	yffO	b2446	NA	0
2562524	2563117	2562820	yffP	b2447	NA	0
2563592	2563969	2563780	yffQ	b2448	NA	0
2563980	2564372	2564176	yffR	b2449	NA	0
2564523	2565332	2564927	yffS	b2450	NA	0
2750115	2750708	2750411	grpE	b2614	NA	1
2756159	2757400	2756779	intA	b2622	NA	0
2757644	2758600	2758122	yfjH	b2623	NA	1
2758644	2758856	2758750	alpA	b2624	NA	0
2758985	2760394	2759689	yfjI	b2625	NA	0
