gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
197875	199428	198651	NA	ECDH10B_RS00915	ECDH10B_0182	0
199485	199561	199523	NA	ECDH10B_RS00920	ECDH10B_0183	0
199604	199679	199641	NA	ECDH10B_RS00925	ECDH10B_0184	0
199854	202783	201318	NA	ECDH10B_RS00930	ECDH10B_0185	0
202862	202977	202919	rrf	ECDH10B_RS00935	ECDH10B_0186	0
203032	203108	203070	NA	ECDH10B_RS00940	ECDH10B_0187	0
211035	211111	211073	NA	ECDH10B_RS00990	ECDH10B_0197	0
236199	236274	236236	NA	ECDH10B_RS01140	ECDH10B_0226	0
415011	415107	415059	ffs	ECDH10B_RS23295	ECDH10B_0411	0
503278	503354	503316	NA	ECDH10B_RS02510	ECDH10B_0492	0
748245	748319	748282	NA	ECDH10B_RS03740	ECDH10B_0732	1
748357	748431	748394	NA	ECDH10B_RS03745	ECDH10B_0733	1
748479	748555	748517	NA	ECDH10B_RS03750	ECDH10B_0734	1
748571	748645	748608	NA	ECDH10B_RS03755	ECDH10B_0735	1
748680	748754	748717	NA	ECDH10B_RS03760	ECDH10B_0736	1
748778	748862	748820	NA	ECDH10B_RS03765	ECDH10B_0737	1
748872	748948	748910	NA	ECDH10B_RS03770	ECDH10B_0738	1
832369	832444	832406	NA	ECDH10B_RS04155	ECDH10B_0810	0
832580	832655	832617	NA	ECDH10B_RS04160	ECDH10B_0811	0
832658	832733	832695	NA	ECDH10B_RS04165	ECDH10B_0812	0
832883	832958	832920	NA	ECDH10B_RS04170	ECDH10B_0813	0
832962	833037	832999	NA	ECDH10B_RS04175	ECDH10B_0814	0
833184	833259	833221	NA	ECDH10B_RS04180	ECDH10B_0815	0
833392	833467	833429	NA	ECDH10B_RS04185	ECDH10B_0816	0
833498	833623	833560	NA	ECDH10B_RS23320	NA	0
979035	979122	979078	NA	ECDH10B_RS04890	ECDH10B_0953	1
1084776	1084863	1084819	NA	ECDH10B_RS05345	ECDH10B_1041	1
1151690	1151826	1151758	NA	ECDH10B_RS23325	NA	1
1151871	1152007	1151939	NA	ECDH10B_RS23330	NA	1
1152052	1152188	1152120	NA	ECDH10B_RS23335	NA	1
1152233	1152320	1152276	NA	ECDH10B_RS05690	ECDH10B_1104	1
1326174	1326305	1326239	NA	ECDH10B_RS23350	NA	1
1326352	1326483	1326417	NA	ECDH10B_RS23355	NA	1
1326530	1326661	1326595	NA	ECDH10B_RS23360	ECDH10B_1288	1
1326708	1326792	1326750	NA	ECDH10B_RS06625	ECDH10B_1290	1
1326827	1326958	1326892	NA	ECDH10B_RS23365	NA	1
1327002	1327086	1327044	NA	ECDH10B_RS06630	ECDH10B_1291	1
1835030	1835106	1835068	NA	ECDH10B_RS09215	ECDH10B_1799	0
1835111	1835187	1835149	NA	ECDH10B_RS09220	ECDH10B_1800	0
1858967	1859074	1859020	rprA	ECDH10B_RS23375	ECDH10B_1824	0
2080847	2080933	2080890	NA	ECDH10B_RS10495	ECDH10B_2050	1
2080946	2081019	2080982	NA	ECDH10B_RS10500	ECDH10B_2051	1
2081074	2081149	2081111	NA	ECDH10B_RS10505	ECDH10B_2052	1
2132500	2132589	2132544	NA	ECDH10B_RS10825	ECDH10B_2118	1
2133581	2133656	2133618	NA	ECDH10B_RS10835	ECDH10B_2120	0
2147059	2147134	2147096	NA	ECDH10B_RS10865	ECDH10B_2128	1
2148883	2148958	2148920	NA	ECDH10B_RS10875	ECDH10B_2130	0
2151292	2151367	2151329	NA	ECDH10B_RS10890	ECDH10B_2133	0
2375221	2375297	2375259	NA	ECDH10B_RS11930	ECDH10B_2347	0
2556096	2556170	2556133	NA	ECDH10B_RS12760	ECDH10B_2511	0
2607828	2607903	2607865	NA	ECDH10B_RS13010	ECDH10B_2560	1
2607943	2608018	2607980	NA	ECDH10B_RS13015	ECDH10B_2561	1
2610718	2610793	2610755	NA	ECDH10B_RS13035	ECDH10B_2565	0
2610838	2610913	2610875	NA	ECDH10B_RS13040	ECDH10B_2566	0
2610960	2611035	2610997	NA	ECDH10B_RS13045	ECDH10B_2567	0
2611040	2611115	2611077	NA	ECDH10B_RS13050	ECDH10B_2568	0
2611146	2611271	2611208	NA	ECDH10B_RS23385	NA	0
2815858	2815973	2815915	rrf	ECDH10B_RS14035	ECDH10B_2756	1
2816051	2818980	2817515	NA	ECDH10B_RS14040	ECDH10B_2757	1
2819156	2819231	2819193	NA	ECDH10B_RS14045	ECDH10B_2758	1
2819391	2820944	2820167	NA	ECDH10B_RS14050	ECDH10B_2759	1
2845380	2845742	2845561	ssrA	ECDH10B_RS23390	ECDH10B_2787	0
2875549	2875624	2875586	NA	ECDH10B_RS14335	ECDH10B_2820	1
2908348	2908424	2908386	NA	ECDH10B_RS14515	ECDH10B_2859	1
2908623	2908699	2908661	NA	ECDH10B_RS14520	ECDH10B_2860	1
2908762	2908838	2908800	NA	ECDH10B_RS14525	ECDH10B_2861	1
2909037	2909113	2909075	NA	ECDH10B_RS14530	ECDH10B_2862	1
2909117	2909209	2909163	NA	ECDH10B_RS14535	ECDH10B_2863	1
3039279	3039355	3039317	NA	ECDH10B_RS15160	ECDH10B_2984	0
3039389	3039465	3039427	NA	ECDH10B_RS15165	ECDH10B_2985	0
3039499	3039575	3039537	NA	ECDH10B_RS15170	ECDH10B_2986	0
3090876	3090949	3090912	NA	ECDH10B_RS15420	ECDH10B_3039	1
3147875	3148058	3147966	ssrS	ECDH10B_RS23400	ECDH10B_3085	0
3207856	3207931	3207893	NA	ECDH10B_RS15970	ECDH10B_3146	1
3311365	3311440	3311402	NA	ECDH10B_RS16495	ECDH10B_3244	0
3365983	3366359	3366171	rnpB	ECDH10B_RS23405	ECDH10B_3296	1
3413980	3414056	3414018	NA	ECDH10B_RS16995	ECDH10B_3345	1
3417839	3417925	3417882	NA	ECDH10B_RS17010	ECDH10B_3348	1
3519192	3519307	3519249	rrf	ECDH10B_RS17520	ECDH10B_3447	1
3519347	3519422	3519384	NA	ECDH10B_RS17525	ECDH10B_3448	1
3519437	3519552	3519494	rrf	ECDH10B_RS17530	ECDH10B_3449	1
3519630	3522559	3521094	NA	ECDH10B_RS17535	ECDH10B_3450	1
3522725	3522800	3522762	NA	ECDH10B_RS17540	ECDH10B_3451	1
3522843	3522919	3522881	NA	ECDH10B_RS17545	ECDH10B_3452	1
3522976	3524529	3523752	NA	ECDH10B_RS17550	ECDH10B_3453	1
3804216	3804292	3804254	NA	ECDH10B_RS18950	ECDH10B_3724	1
3931829	3931923	3931876	NA	ECDH10B_RS19545	ECDH10B_3840	0
4038751	4040304	4039527	NA	ECDH10B_RS20090	ECDH10B_3945	0
4040378	4040453	4040415	NA	ECDH10B_RS20095	ECDH10B_3946	0
4040638	4043562	4042100	NA	ECDH10B_RS20100	ECDH10B_3947	0
4043645	4043760	4043702	rrf	ECDH10B_RS20105	ECDH10B_3948	0
4043815	4043891	4043853	NA	ECDH10B_RS20110	ECDH10B_3949	0
4043900	4043975	4043937	NA	ECDH10B_RS20115	ECDH10B_3950	0
4079318	4079394	4079356	NA	ECDH10B_RS20285	ECDH10B_3986	0
4079453	4079528	4079490	NA	ECDH10B_RS20290	ECDH10B_3987	0
4079549	4079635	4079592	NA	ECDH10B_RS20295	ECDH10B_3988	0
4079678	4079754	4079716	NA	ECDH10B_RS20300	ECDH10B_3989	0
4132474	4134027	4133250	NA	ECDH10B_RS20550	ECDH10B_4040	0
4134084	4134160	4134122	NA	ECDH10B_RS20555	ECDH10B_4041	0
4134203	4134278	4134240	NA	ECDH10B_RS20560	ECDH10B_4042	0
4134453	4137384	4135918	NA	ECDH10B_RS20565	ECDH10B_4043	0
4137462	4137577	4137519	rrf	ECDH10B_RS20570	ECDH10B_4044	0
4264379	4265932	4265155	NA	ECDH10B_RS21175	ECDH10B_4157	0
4266092	4266167	4266129	NA	ECDH10B_RS21180	ECDH10B_4158	0
4266352	4269281	4267816	NA	ECDH10B_RS21185	ECDH10B_4159	0
4269359	4269474	4269416	rrf	ECDH10B_RS21190	ECDH10B_4160	0
4273107	4273182	4273144	NA	ECDH10B_RS21215	ECDH10B_4164	0
4273191	4273275	4273233	NA	ECDH10B_RS21220	ECDH10B_4165	0
4273392	4273466	4273429	NA	ECDH10B_RS21225	ECDH10B_4166	0
4273473	4273548	4273510	NA	ECDH10B_RS21230	ECDH10B_4167	0
4305866	4307419	4306642	NA	ECDH10B_RS21385	ECDH10B_4196	0
4307493	4307568	4307530	NA	ECDH10B_RS21390	ECDH10B_4197	0
4307755	4310683	4309219	NA	ECDH10B_RS21395	ECDH10B_4198	0
4310761	4310876	4310818	rrf	ECDH10B_RS21400	ECDH10B_4199	0
4460936	4461011	4460973	NA	ECDH10B_RS22080	ECDH10B_4327	1
4490745	4490820	4490782	NA	ECDH10B_RS22235	ECDH10B_4358	0
4490857	4490932	4490894	NA	ECDH10B_RS22240	ECDH10B_4359	0
4490968	4491043	4491005	NA	ECDH10B_RS22245	ECDH10B_4360	0
4596236	4596320	4596278	NA	ECDH10B_RS22775	ECDH10B_4463	0
4650564	4650650	4650607	NA	ECDH10B_RS23090	ECDH10B_4525	1
4650685	4650771	4650728	NA	ECDH10B_RS23095	ECDH10B_4526	1
4650800	4650886	4650843	NA	ECDH10B_RS23100	ECDH10B_4527	1
0	0	0	0	0	0	0
