gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
269812	270828	270320	NA	BW25113_RS01325	BW25113_0259	1
276540	277694	277117	NA	BW25113_RS01370	BW25113_0267	1
570193	571209	570701	NA	BW25113_RS02850	BW25113_0552	1
683453	684469	683961	NA	BW25113_RS03405	BW25113_0656	1
1192989	1193693	1193341	NA	BW25113_RS05920	BW25113_1138	1
1196953	1197294	1197123	NA	BW25113_RS23630	BW25113_1143	0
1201596	1202378	1201987	NA	BW25113_RS05980	NA	0
1203588	1204001	1203794	NA	BW25113_RS05995	BW25113_1155	0
1390333	1391349	1390841	NA	BW25113_RS06980	BW25113_1331	0
2095376	2096392	2095884	NA	BW25113_RS10605	BW25113_2030	1
2282544	2283560	2283052	NA	BW25113_RS11435	BW25113_2192	1
2554727	2554972	2554849	NA	BW25113_RS12745	BW25113_2444	0
2557882	2558691	2558286	NA	BW25113_RS12775	BW25113_2450	0
3123537	3124553	3124045	NA	BW25113_RS15490	BW25113_2982	0
3359061	3360077	3359569	NA	BW25113_RS16680	BW25113_3218	1
3645542	3646558	3646050	NA	BW25113_RS18160	BW25113_3505	1
4496443	4496838	4496640	NA	BW25113_RS22225	NA	1
