qseqid	sseqid	A_gene	B_gene	A_start	B_start	A_end	B_end
sp|Q8FFJ5|5DNU_ECOL6	sp|P76491|5DNU_ECOLI	yfbR	yfbR		2414307.0		2414907.0
sp|P0ACK3|AGAR_ECOL6	sp|P0ACK2|AGAR_ECOLI	agaR	agaR		3277710.0		3278520.0
sp|P63884|AMIC_ECOL6	sp|P63883|AMIC_ECOLI	amiC	amiC	1926066.0	2946412.0	1927320.0	2947666.0
sp|P0ACI7|ASNC_ECOL6	sp|P0ACI6|ASNC_ECOLI	asnC	asnC		3709677.0		3710136.0
sp|Q8FFM2|ARNC_ECOL6	sp|P77757|ARNC_ECOLI	arnC	arnC		2371740.0		2372709.0
sp|Q8FA51|DEOD_ECOL6	sp|P0ABP8|DEOD_ECOLI	deoD	deoD		4625562.0		4626282.0
sp|P0AC74|EBGC_ECOL6	sp|P0AC73|EBGC_ECOLI	ebgC	ebgC				
sp|P0A965|CHEW_ECOL6	sp|P0A964|CHEW_ECOLI	cheW	cheW		1974549.0		1975053.0
sp|Q8FGA5|COBT_ECOL6	sp|P36562|COBT_ECOLI	cobT	cobT		2065524.0		2066604.0
sp|Q8FAG5|CYSQ_ECOL6	sp|P22255|CYSQ_ECOLI	cysQ	cysQ		4441434.0		4442175.0
sp|P0ACZ9|CUSR_ECOL6	sp|P0ACZ8|CUSR_ECOLI	cusR	cusR		593982.0		594666.0
sp|Q8FCR6|DHAS_ECOL6	sp|P0A9Q9|DHAS_ECOLI	asd	asd		4065536.0		4066640.0
sp|Q8CVH5|DSBD_ECOL6	sp|P36655|DSBD_ECOLI	dsbD	dsbD		4368022.0		4369720.0
sp|P0ABD4|BFR_ECOL6	sp|P0ABD3|BFR_ECOLI	bfr	bfr		4173690.0		4174167.0
sp|P0ACP2|CRA_ECOL6	sp|P0ACP1|CRA_ECOLI	cra	cra		88027.0		89032.0
sp|Q8FBP0|CYAA_ECOL6	sp|P00936|CYAA_ECOLI	cyaA	cyaA		3642981.0		3645528.0
sp|P59329|DCYD_ECOL6	sp|P76316|DCYD_ECOLI	dcyD	dcyD		2000630.0		2001617.0
sp|P0ABN6|DCUA_ECOL6	sp|P0ABN5|DCUA_ECOLI	dcuA	dcuA		4370149.0		4371453.0
sp|Q8FDG5|DNAG_ECOL6	sp|P0ABS5|DNAG_ECOLI	dnaG	dnaG		3209762.0		3211508.0
sp|P0A3B1|BIPA_ECOL6	sp|P0DTT0|BIPA_ECOLI	bipA	bipA				
sp|Q8FGP5|CHEB_ECOL6	sp|P07330|CHEB_ECOLI	cheB	cheB		1969165.0		1970215.0
sp|Q8FLB4|DAPB_ECOL6	sp|P04036|DAPB_ECOLI	dapB	dapB		28373.0		29195.0
sp|Q8FH42|AROD_ECOL6	sp|P05194|AROD_ECOLI	aroD	aroD		1776399.0		1777158.0
sp|P0AAX0|ACRZ_ECOL6	sp|P0AAW9|ACRZ_ECOLI	acrZ	acrZ		795194.0		795344.0
sp|P0ACT0|ACRR_ECOL6	sp|P0ACS9|ACRR_ECOLI	acrR	acrR		484984.0		485632.0
sp|Q8FB96|ARLY_ECOL6	sp|P11447|ARLY_ECOLI	argH	argH		3478457.0		3479831.0
sp|P0A6E5|ASSY_ECOL6	sp|P0A6E4|ASSY_ECOLI	argG	argG		3318491.0		3319835.0
sp|P65639|BDM_ECOL6	sp|P76127|BDM_ECOLI	bdm	bdm		1557778.0		1557994.0
sp|Q8FBX7|ADEC_ECOL6	sp|P31441|ADEC_ECOLI	ade	ade				
sp|P0AF09|APBC_ECOL6	sp|P0AF08|APBC_ECOLI	mrp	mrp				
sp|Q8CWD2|BTUF_ECOL6	sp|P37028|BTUF_ECOLI	btuF	btuF		177661.0		178462.0
sp|P0A6H2|CLPX_ECOL6	sp|P0A6H1|CLPX_ECOLI	clpX	clpX		456649.0		457924.0
sp|Q8FGQ6|CMOA_ECOL6	sp|P76290|CMOA_ECOLI	cmoA	cmoA		1954415.0		1955159.0
sp|P0A9P1|DLDH_ECOL6	sp|P0A9P0|DLDH_ECOLI	lpdA	lpdA		127911.0		129336.0
sp|Q8FL89|ARAA_ECOL6	sp|P08202|ARAA_ECOLI	araA	araA		66834.0		68337.0
sp|Q8FBS8|ATP6_ECOL6	sp|P0AB98|ATP6_ECOLI	atpB	atpB		3714629.0		3715445.0
sp|P0A6H9|CLSA_ECOL6	sp|P0A6H8|CLSA_ECOLI	clsA	clsA				
sp|P0AE96|CSGE_ECOL6	sp|P0AE95|CSGE_ECOLI	csgE	csgE		1102392.0		1102782.0
sp|P0ACK6|DEOR_ECOL6	sp|P0ACK5|DEOR_ECOLI	deoR	deoR		882397.0		883156.0
sp|Q8FA72|DNAT_ECOL6	sp|P0A8J2|DNAT_ECOLI	dnaT	dnaT		4605657.0		4606197.0
sp|Q8FHN0|AZOR_ECOL6	sp|P41407|AZOR_ECOLI	azoR	azoR		1483968.0		1484574.0
sp|P0ABE3|BOLA_ECOL6	sp|P0ABE2|BOLA_ECOLI	bolA	bolA		453695.0		454013.0
sp|P67663|AAER_ECOL6	sp|P67662|AAER_ECOLI	aaeR	aaeR		3389374.0		3390304.0
sp|Q8FK51|ARCC_ECOL6	sp|P37306|ARCC_ECOLI	arcC	arcC		3010116.0		3011049.0
sp|Q8FH01|ASTD_ECOL6	sp|P76217|ASTD_ECOLI	astD	astD		1829969.0		1831448.0
sp|Q8FKI7|BETI_ECOL6	sp|P17446|BETI_ECOLI	betI	betI		327970.0		328558.0
sp|P0ADJ6|BCSF_ECOL6	sp|P0ADJ5|BCSF_ECOLI	bcsF	bcsF		3942197.0		3942389.0
sp|Q8FHK7|ABDH_ECOL6	sp|P77674|ABDH_ECOLI	patD	patD		1517291.0		1518716.0
sp|P0A8S2|ARGP_ECOL6	sp|P0A8S1|ARGP_ECOLI	argP	argP		3058408.0		3059302.0
sp|Q8FD18|AROE_ECOL6	sp|P15770|AROE_ECOLI	aroE	aroE		4209577.0		4210396.0
sp|Q8FH28|BTUD_ECOL6	sp|P06611|BTUD_ECOLI	btuD	btuD		1794522.0		1795272.0
sp|Q8FH26|BTUC_ECOL6	sp|P06609|BTUC_ECOLI	btuC	btuC		1795885.0		1796866.0
sp|Q8FLB0|CARB_ECOL6	sp|P00968|CARB_ECOLI	carB	carB	2707307.0	30816.0	2710529.0	34038.0
sp|Q8FAY8|ACSA_ECOL6	sp|P27550|ACSA_ECOLI	acs	acs		4289002.0		4290961.0
sp|Q8FH99|ADD_ECOL6	sp|P22333|ADD_ECOLI	add	add		1703946.0		1704948.0
sp|P62673|APAG_ECOL6	sp|P62672|APAG_ECOLI	apaG	apaG		51228.0		51606.0
sp|Q8CW15|ASR_ECOL6	sp|P36560|ASR_ECOLI	asr	asr				
sp|P0AB41|BHSA_ECOL6	sp|P0AB40|BHSA_ECOLI	bhsA	bhsA		1170649.0		1170907.0
sp|P83842|ADPP_ECOL6	sp|Q93K97|ADPP_ECOLI	nudF	nudF		3175936.0		3176566.0
sp|Q8FFL7|ARNF_ECOL6	sp|P76474|ARNF_ECOLI	arnF	arnF		2377561.0		2377948.0
sp|Q8FL55|COAE_ECOL6	sp|P0A6I9|COAE_ECOLI	coaE	coaE		112598.0		113219.0
sp|P0A956|ALKH_ECOL6	sp|P0A955|ALKH_ECOLI	eda	eda				
sp|Q8FFL8|ARNE_ECOL6	sp|Q47377|ARNE_ECOLI	arnE	arnE		2377226.0		2377562.0
sp|P0AE53|BCP_ECOL6	sp|P0AE52|BCP_ECOLI	bcp	bcp		2599133.0		2599604.0
sp|Q8FJQ2|BIOF_ECOL6	sp|P12998|BIOF_ECOLI	bioF	bioF		810802.0		811957.0
sp|Q8FK66|ALLS_ECOL6	sp|P0ACR0|ALLS_ECOLI	allS	allS		530518.0		531445.0
sp|Q8FK60|ALLB_ECOL6	sp|P77671|ALLB_ECOLI	allB	allB		538370.0		539732.0
sp|P0AAE6|ARCD_ECOL6	sp|P0AAE5|ARCD_ECOLI	ydgI	ydgI				
sp|P69229|BAER_ECOL6	sp|P69228|BAER_ECOLI	baeR	baeR		2166412.0		2167135.0
sp|P0A9H8|CFA_ECOL6	sp|P0A9H7|CFA_ECOLI	cfa	cfa		1743126.0		1744275.0
sp|Q8FGA4|COBS_ECOL6	sp|P36561|COBS_ECOLI	cobS	cobS		2066615.0		2067359.0
sp|P0AA83|CODB_ECOL6	sp|P0AA82|CODB_ECOLI	codB	codB		354145.0		355405.0
sp|Q8FB20|ALR1_ECOL6	sp|P0A6B4|ALR1_ECOLI	alr	alr		4269371.0		4270451.0
sp|P59237|ALR2_ECOL6	sp|P29012|ALR2_ECOLI	dadX	dadX		1240455.0		1241526.0
sp|P59306|ARGC_ECOL6	sp|P11446|ARGC_ECOLI	argC	argC		3480675.0		3481680.0
sp|Q8FKI8|BETB_ECOL6	sp|P17445|BETB_ECOLI	betB	betB		326484.0		327957.0
sp|P0AD15|BTSS_ECOL6	sp|P0AD14|BTSS_ECOLI	btsS	btsS		2216292.0		2217978.0
sp|P0A6G8|CLPP_ECOL6	sp|P0A6G7|CLPP_ECOLI	clpP	clpP		455900.0		456524.0
sp|Q8FKC6|ACPH_ECOL6	sp|P21515|ACPH_ECOLI	acpH	acpH		423560.0		424142.0
sp|Q8FL03|ACCA_ECOL6	sp|P0ABD5|ACCA_ECOLI	accA	accA		208620.0		209580.0
sp|Q8FCV7|AROB_ECOL6	sp|P07639|AROB_ECOLI	aroB	aroB		4121929.0		4123018.0
sp|P0ABL9|CCMB_ECOL6	sp|P0ABL8|CCMB_ECOLI	ccmB	ccmB		2299695.0		2300358.0
sp|P0A9G7|ACEA_ECOL6	sp|P0A9G6|ACEA_ECOLI	aceA	aceA		4220698.0		4222003.0
sp|P64551|ALAE_ECOL6	sp|P64550|ALAE_ECOLI	alaE	alaE		2797819.0		2798269.0
sp|P68766|AMPA_ECOL6	sp|P68767|AMPA_ECOLI	pepA	pepA		4489119.0		4490631.0
sp|P0A8Q7|CLPS_ECOL6	sp|P0A8Q6|CLPS_ECOLI	clpS	clpS		923334.0		923655.0
sp|Q8FJR2|6PGL_ECOL6	sp|P52697|6PGL_ECOLI	pgl	pgl		799007.0		800003.0
sp|P0AE92|CREA_ECOL6	sp|P0AE91|CREA_ECOLI	creA	creA		4640200.0		4640674.0
sp|Q8FKM4|CRL_ECOL6	sp|P24251|CRL_ECOLI	crl	crl		257828.0		258230.0
sp|Q8FFM1|ARNA_ECOL6	sp|P77398|ARNA_ECOLI	arnA	arnA		2372708.0		2374691.0
sp|P0ABD9|BCCP_ECOL6	sp|P0ABD8|BCCP_ECOLI	accB	accB		3405290.0		3405761.0
sp|P59340|DCUS_ECOL6	sp|P0AEC8|DCUS_ECOLI	dcuS	dcuS		4354708.0		4356340.0
sp|Q8CVJ9|BGLH_ECOL6	sp|P26218|BGLH_ECOLI	bglH	bglH		3734460.0		3736077.0
sp|P0A9H6|BTUR_ECOL6	sp|P0A9H5|BTUR_ECOLI	btuR	btuR				
sp|P69491|CCME_ECOL6	sp|P69490|CCME_ECOLI	ccmE	ccmE		2298234.0		2298714.0
sp|P0ABH8|CISY_ECOL6	sp|P0ABH7|CISY_ECOLI	gltA	gltA		753606.0		754890.0
sp|Q8FJ70|ACYP_ECOL6	sp|P0AB65|ACYP_ECOLI	yccX	yccX		1030485.0		1030764.0
sp|P0ACN5|ALLR_ECOL6	sp|P0ACN4|ALLR_ECOLI	allR	allR		532234.0		533050.0
sp|Q8FKI9|BETA_ECOL6	sp|P17444|BETA_ECOLI	betA	betA		324800.0		326471.0
sp|Q8FJ51|CBPM_ECOL6	sp|P63264|CBPM_ECOLI	cbpM	cbpM		1062971.0		1063277.0
sp|Q8FKE3|DDLA_ECOL6	sp|P0A6J8|DDLA_ECOLI	ddlA	ddlA		399052.0		400147.0
sp|P0A6A9|ACP_ECOL6	sp|P0A6A8|ACP_ECOLI	acpP	acpP		1153191.0		1153428.0
sp|P0A6C6|ARGA_ECOL6	sp|P0A6C5|ARGA_ECOLI	argA	argA		2947897.0		2949229.0
sp|P63609|AROC_ECOL6	sp|P12008|AROC_ECOLI	aroC	aroC		2451833.0		2452919.0
sp|Q8CVK0|CBRA_ECOL6	sp|P31456|CBRA_ECOLI	cbrA	cbrA		3769973.0		3771038.0
sp|Q8FLA6|CAID_ECOL6	sp|P31551|CAID_ECOLI	caiD	caiD		35376.0		36162.0
sp|P0A6F6|CH60_ECOL6	sp|P0A6F5|CH60_ECOLI	groL	groL		4375704.0		4377351.0
sp|Q8FGQ5|CMOB_ECOL6	sp|P76291|CMOB_ECOLI	cmoB	cmoB		1955155.0		1956127.0
sp|P0AE79|CORC_ECOL6	sp|P0AE78|CORC_ECOLI	corC	corC		691327.0		692206.0
sp|Q8FBN9|CYAY_ECOL6	sp|P27838|CYAY_ECOLI	cyaY	cyaY		3642621.0		3642942.0
sp|Q8FEJ0|CYSD_ECOL6	sp|P21156|CYSD_ECOLI	cysD	cysD		2874076.0		2874985.0
sp|Q8FFH5|ACCD_ECOL6	sp|P0A9Q5|ACCD_ECOLI	accD	accD		2438457.0		2439372.0
sp|P0AAF4|ARAG_ECOL6	sp|P0AAF3|ARAG_ECOLI	araG	araG	3157742.0	1985691.0	3159257.0	1987206.0
sp|P0ABM2|CCMC_ECOL6	sp|P0ABM1|CCMC_ECOLI	ccmC	ccmC		2298916.0		2299654.0
sp|Q8FLA7|CAIE_ECOL6	sp|P39206|CAIE_ECOLI	caiE	caiE		34780.0		35371.0
sp|P0AEB3|DACA_ECOL6	sp|P0AEB2|DACA_ECOLI	dacA	dacA		663173.0		664385.0
sp|P0A9Q2|ARCA_ECOL6	sp|P0A9Q1|ARCA_ECOLI	arcA	arcA		4644269.0		4644986.0
sp|P0ABA1|ATPF_ECOL6	sp|P0ABA0|ATPF_ECOLI	atpF	atpF		3715792.0		3716263.0
sp|P0ABI9|CYOB_ECOL6	sp|P0ABI8|CYOB_ECOLI	cyoB	cyoB		447873.0		449865.0
sp|Q8CWA4|CUSC_ECOL6	sp|P77211|CUSC_ECOLI	cusC	cusC		594822.0		596196.0
sp|A0A0H2VDI7|CYCA_ECOL6	sp|P0AAE0|CYCA_ECOLI	cycA	cycA		4434543.0		4435956.0
sp|Q8FCW8|CYSG_ECOL6	sp|P0AEA8|CYSG_ECOLI	cysG	cysG				
sp|Q8FAZ0|ACTP_ECOL6	sp|P32705|ACTP_ECOLI	actP	actP		4286842.0		4288492.0
