gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
115993	116715	116354	NA	c0119	NA	0
226161	226883	226522	NA	c0232	NA	1
376600	376815	376707	NA	c0396	NA	0
631603	634596	633099	nfrA	c0654	NA	1
634562	636724	635643	nfrB	c0655	NA	1
909332	910363	909847	intT	c0932	NA	1
912449	912670	912559	coxT	c0935	NA	0
915104	917518	916311	NA	c0942	NA	0
935127	936299	935713	NA	c0971	NA	0
936309	936824	936566	NA	c0972	NA	0
940382	940867	940624	NA	c0977	NA	0
942022	942273	942147	ogrK	c0979	NA	0
1132071	1132319	1132195	alpA	c1169	NA	0
1174628	1175380	1175004	NA	c1224	NA	1
1209273	1209635	1209454	NA	c1257	NA	1
1238568	1239056	1238812	NA	c1289	NA	0
1328014	1329132	1328573	NA	c1400	NA	1
1329101	1329379	1329240	xisN	c1401	NA	1
1334496	1334921	1334708	NA	c1411	NA	0
1336098	1336520	1336309	NA	c1413	NA	0
1340628	1341449	1341038	NA	c1426	NA	0
1345980	1346462	1346221	NA	c1437	NA	0
1348100	1348333	1348216	NA	c1442	NA	1
1348728	1349237	1348982	NA	c1444	NA	0
1349209	1351137	1350173	NA	c1445	NA	0
1351121	1351327	1351224	NA	c1446	NA	0
1351324	1352916	1352120	NA	c1447	NA	0
1352906	1354411	1353658	NA	c1448	NA	0
1354448	1354795	1354621	NA	c1450	NA	0
1354853	1355881	1355367	NA	c1451	NA	0
1356309	1356662	1356485	NA	c1453	NA	0
1356678	1357211	1356944	NA	c1454	NA	0
1357208	1357603	1357405	NA	c1455	NA	0
1357611	1358357	1357984	NA	c1456	NA	0
1358376	1358807	1358591	NA	c1458	NA	0
1358834	1359247	1359040	NA	c1459	NA	0
1359228	1361789	1360508	NA	c1460	NA	0
1361786	1362115	1361950	NA	c1461	NA	0
1362115	1362813	1362464	NA	c1462	NA	0
1362864	1363562	1363213	NA	c1464	NA	0
1363526	1364140	1363833	NA	c1465	NA	0
1364484	1368176	1366330	NA	c1466	NA	0
1368244	1368843	1368543	lomP	c1467	NA	0
1378215	1379159	1378687	NA	c1483	NA	0
1378670	1378936	1378803	NA	c1484	NA	0
1384284	1384541	1384412	NA	c1496	NA	0
1384538	1384948	1384743	NA	c1497	NA	0
1385668	1386723	1386195	NA	c1499	NA	0
1388373	1388654	1388513	NA	c1505	NA	0
1388397	1388834	1388615	NA	c1506	NA	1
1397370	1398512	1397941	NA	c1519	NA	1
1400456	1400824	1400640	NA	c1523	NA	1
1405985	1406266	1406125	NA	c1532	NA	1
1406620	1407300	1406960	NA	c1534	NA	1
1407297	1408082	1407689	NA	c1536	NA	1
1408088	1408384	1408236	gamW	c1537	NA	1
1408809	1409177	1408993	NA	c1541	NA	1
1409774	1410355	1410064	NA	c1543	NA	0
1413562	1413858	1413710	NA	c1548	NA	0
1413891	1414790	1414340	NA	c1549	NA	0
1414787	1415488	1415137	NA	c1550	NA	0
1415485	1415775	1415630	NA	c1551	NA	0
1417162	1417602	1417382	NA	c1554	NA	0
1417569	1418126	1417847	NA	c1555	NA	0
1420007	1421149	1420578	nmpC	c1560	NA	1
1421893	1422390	1422141	ybcS	c1562	NA	0
1422375	1422848	1422611	NA	c1563	NA	0
1422880	1423221	1423050	ybcU	c1564	NA	1
1423600	1423980	1423790	NA	c1565	NA	0
1424932	1425480	1425206	nohA	c1568	NA	0
1425428	1427380	1426404	NA	c1569	NA	0
1427364	1427570	1427467	NA	c1570	NA	0
1427567	1429159	1428363	NA	c1571	NA	0
1429149	1430654	1429901	NA	c1572	NA	0
1430691	1431038	1430864	NA	c1574	NA	0
1431096	1432124	1431610	NA	c1575	NA	0
1432522	1432896	1432709	NA	c1577	NA	0
1432908	1433486	1433197	NA	c1578	NA	0
1433483	1433878	1433680	NA	c1579	NA	0
1434638	1435060	1434849	NA	c1583	NA	0
1435042	1435476	1435259	NA	c1584	NA	0
1435469	1438030	1436749	NA	c1585	NA	0
1438356	1439054	1438705	NA	c1587	NA	0
1439060	1439803	1439431	NA	c1588	NA	0
1439740	1440372	1440056	NA	c1589	NA	0
1440433	1443915	1442174	NA	c1590	NA	0
1539241	1540446	1539843	NA	c1704	NA	1
1609615	1610607	1610111	pspF	c1773	NA	1
1610758	1611426	1611092	pspA	c1774	NA	0
1611480	1611704	1611592	pspB	c1775	NA	0
1611704	1612063	1611883	pspC	c1777	NA	0
1612072	1612293	1612182	pspD	c1778	NA	0
1612368	1612682	1612525	pspE	c1779	NA	0
2160734	2161762	2161248	NA	c2348	NA	0
2218378	2219421	2218899	NA	c2418	NA	0
2262986	2264257	2263621	NA	c2449	NA	0
2417198	2418487	2417842	wcaD	c2582	NA	1
3012701	3013294	3012997	grpE	c3135	NA	1
3021386	3021976	3021681	NA	c3146	NA	0
3027043	3027642	3027342	NA	c3153	NA	1
3027710	3031189	3029449	NA	c3154	NA	1
3031250	3031882	3031566	NA	c3155	NA	1
3031819	3032604	3032211	NA	c3156	NA	1
3032567	3033265	3032916	NA	c3158	NA	1
3033265	3033594	3033429	NA	c3159	NA	1
3033591	3036152	3034871	NA	c3160	NA	1
3036145	3036579	3036362	NA	c3161	NA	1
3036561	3036983	3036772	NA	c3162	NA	1
3036999	3037769	3037384	NA	c3163	NA	1
3037747	3038142	3037944	NA	c3164	NA	1
3038139	3038717	3038428	NA	c3165	NA	1
3038729	3039082	3038905	NA	c3166	NA	1
3039094	3039528	3039311	NA	c3167	NA	1
3039531	3040556	3040043	NA	c3168	NA	1
3040611	3040949	3040780	NA	c3169	NA	1
3040953	3042386	3041669	NA	c3170	NA	1
3042253	3043854	3043053	NA	c3171	NA	1
3043851	3044057	3043954	NA	c3172	NA	1
3044054	3045979	3045016	NA	c3173	NA	1
3045954	3046499	3046226	nohB	c3174	NA	1
3050609	3051181	3050895	NA	c3181	NA	1
3057060	3058001	3057530	NA	c3192	NA	1
3059233	3059859	3059546	NA	c3197	NA	0
3406498	3407763	3407130	NA	c3556	NA	0
3425931	3426749	3426340	NA	c3575	NA	1
3451366	3452271	3451818	NA	c3611	NA	1
3452264	3452638	3452451	NA	c3612	NA	1
3532771	3534120	3533445	NA	c3703	NA	1
4274702	4275886	4275294	intC	c4491	NA	0
4289968	4290240	4290104	NA	c4503	NA	0
4290267	4290626	4290446	insB	c4504	NA	0
4291966	4293117	4292541	insI	c4506	NA	1
4293266	4294078	4293672	NA	c4507	NA	0
4329034	4329369	4329201	NA	c4552	NA	0
4781865	4783205	4782535	lamB	c5006	NA	0
4923133	4923621	4923377	NA	c5148	NA	1
4952414	4952704	4952559	NA	c5196	NA	0
4952728	4953375	4953051	NA	c5197	NA	0
4970125	4971387	4970756	NA	c5216	NA	1
5008448	5008756	5008602	hfq	c5256	NA	0
5115549	5116700	5116124	NA	c5371	NA	0
