qseqid	sseqid	A_gene	B_gene	A_start	B_start	A_end	B_end
sp|A5A614|YCIZ_ECOLI	sp|A5A614|YCIZ_ECOLI	yciZ	yciZ	1344435.0		1344609.0	
sp|A5A615|YNCL_ECOLI	sp|A5A615|YNCL_ECOLI	yncL	yncL	1517098.0	1518812.0	1517194.0	1518908.0
sp|A5A616|MGTS_ECOLI	sp|A5A616|MGTS_ECOLI	mgtS	mgtS		1624359.0		1624455.0
sp|A5A617|YDGU_ECOLI	sp|A5A617|YDGU_ECOLI	ydgU	ydgU	1671776.0		1671860.0	
sp|A5A618|YNHF_ECOLI	sp|A5A618|YNHF_ECOLI	ynhF	ynhF	1737455.0	1739169.0	1737545.0	1739259.0
sp|A5A621|YPFM_ECOLI	sp|A5A621|YPFM_ECOLI	ypfM	ypfM	2590806.0	2589462.0	2590866.0	2589522.0
sp|A5A627|TISB_ECOLI	sp|A5A627|TISB_ECOLI	tisB	tisB	3853552.0	3786772.0	3853642.0	3786862.0
sp|A8DYQ1|YTHA_ECOLI	sp|A8DYQ1|YTHA_ECOLI	ythA	ythA	4506447.0		4506573.0	
sp|C1P5Z7|SGRT_ECOLI	sp|C1P5Z7|SGRT_ECOLI	sgrT	sgrT	77387.0	77387.0	77519.0	77519.0
sp|C1P5Z8|YKGR_ECOLI	sp|C1P5Z8|YKGR_ECOLI	ykgR	ykgR	313140.0		313242.0	
sp|C1P5Z9|YMIB_ECOLI	sp|C1P5Z9|YMIB_ECOLI	ymiB	ymiB	1346795.0		1346900.0	
sp|C1P600|YNBG_ECOLI	sp|C1P600|YNBG_ECOLI	ynbG	ynbG	1465164.0		1465230.0	
sp|C1P601|RZOQ_ECOLI	sp|C1P601|RZOQ_ECOLI	rzoQ	rzoQ	1639079.0		1639334.0	
sp|C1P602|YOAK_ECOLI	sp|C1P602|YOAK_ECOLI	yoaK	yoaK	1878772.0	1880486.0	1878871.0	1880585.0
sp|C1P603|YOAJ_ECOLI	sp|C1P603|YOAJ_ECOLI	yoaJ	yoaJ	1878873.0	1880587.0	1878948.0	1880662.0
sp|C1P604|YOBI_ECOLI	sp|C1P604|YOBI_ECOLI	yobI	yobI	1946114.0		1946180.0	
sp|C1P605|AZUC_ECOLI	sp|C1P605|AZUC_ECOLI	azuC	azuC	1987872.0	1990009.0	1987959.0	1990096.0
sp|C1P606|YOEI_ECOLI	sp|C1P606|YOEI_ECOLI	yoeI	yoeI	2087051.0	2089188.0	2087114.0	2089251.0
sp|C1P607|IBSA_ECOLI	sp|C1P607|IBSA_ECOLI	ibsA	ibsA	2153348.0	2155485.0	2153408.0	2155545.0
sp|C1P609|YOHP_ECOLI	sp|C1P609|YOHP_ECOLI	yohP	yohP	2228981.0	2232315.0	2229065.0	2232399.0
sp|C1P610|YPDK_ECOLI	sp|C1P610|YPDK_ECOLI	ypdK	ypdK	2496920.0	2502366.0	2496992.0	2502438.0
sp|C1P611|SHOB_ECOLI	sp|C1P611|SHOB_ECOLI	shoB	shoB	2700116.0	2698772.0	2700197.0	2698853.0
sp|C1P612|YQCG_ECOLI	sp|C1P612|YQCG_ECOLI	yqcG	yqcG	2905556.0		2905697.0	
sp|C1P613|YQEL_ECOLI	sp|C1P613|YQEL_ECOLI	yqeL	yqeL	2989818.0		2989899.0	
sp|C1P614|YQFG_ECOLI	sp|C1P614|YQFG_ECOLI	yqfG	yqfG	3032816.0		3032942.0	
sp|C1P617|IBSE_ECOLI	sp|C1P617|IBSE_ECOLI	ibsE	ibsE	3195140.0	3193796.0	3195200.0	3193856.0
sp|C1P618|YRBN_ECOLI	sp|C1P618|YRBN_ECOLI	yrbN	yrbN	3307852.0	3307707.0	3307933.0	3307788.0
sp|C1P619|ILVX_ECOLI	sp|C1P619|ILVX_ECOLI	ilvX	ilvX	3950506.0		3950557.0	
sp|C1P620|YSHB_ECOLI	sp|C1P620|YSHB_ECOLI	yshB	yshB	4053646.0	3582923.0	4053757.0	3583034.0
sp|C1P621|YJEV_ECOLI	sp|C1P621|YJEV_ECOLI	yjeV	yjeV	4392891.0		4392945.0	
sp|E2JKY7|LPMG_ECOLI	sp|E2JKY7|LPMG_ECOLI	mgtL	mgtL	4467430.0	4472110.0	4467484.0	4472164.0
sp|G3MTW7|PMRR_ECOLI	sp|G3MTW7|PMRR_ECOLI	pmrR	pmrR	4332115.0	4336793.0	4332205.0	4336883.0
sp|O32528|YPDI_ECOLI	sp|O32528|YPDI_ECOLI	ypdI	ypdI	2494697.0	2500143.0	2494973.0	2500419.0
sp|O32583|THIS_ECOLI	sp|O32583|THIS_ECOLI	thiS	thiS	4192636.0	3443843.0	4192837.0	3444044.0
sp|O52982|YFJS_ECOLI	sp|O52982|YFJS_ECOLI	yfjS	yfjS	2770680.0		2771124.0	
sp|P00350|6PGD_ECOLI	sp|P00350|6PGD_ECOLI	gnd	gnd	2099861.0		2101268.0	
sp|P00370|DHE4_ECOLI	sp|P00370|DHE4_ECOLI	gdhA	gdhA	1842370.0	1844084.0	1843714.0	1845428.0
sp|P00393|DHNA_ECOLI	sp|P00393|DHNA_ECOLI	ndh	ndh	1166084.0	1167661.0	1167389.0	1168966.0
sp|P00448|SODM_ECOLI	sp|P00448|SODM_ECOLI	sodA	sodA	4100809.0	3535250.0	4101430.0	3535871.0
sp|P00452|RIR1_ECOLI	sp|P00452|RIR1_ECOLI	nrdA	nrdA	2344864.0	2349534.0	2347150.0	2351820.0
sp|P00509|AAT_ECOLI	sp|P00509|AAT_ECOLI	aspC	aspC	984518.0	984940.0	985709.0	986131.0
sp|P00547|KHSE_ECOLI	sp|P00547|KHSE_ECOLI	thrB	thrB	2800.0	2800.0	3733.0	3733.0
sp|P00550|PTM3C_ECOLI	sp|P00550|PTM3C_ECOLI	mtlA	mtlA	3772280.0	3866220.0	3774194.0	3868134.0
sp|P00561|AK1H_ECOLI	sp|P00561|AK1H_ECOLI	thrA	thrA	336.0	336.0	2799.0	2799.0
sp|P00562|AK2H_ECOLI	sp|P00562|AK2H_ECOLI	metL	metL	4129834.0	3504413.0	4132267.0	3506846.0
sp|P00579|RPOD_ECOLI	sp|P00579|RPOD_ECOLI	rpoD	rpoD	3213046.0	3211702.0	3214888.0	3213544.0
sp|P00582|DPO1_ECOLI	sp|P00582|DPO1_ECOLI	polA	polA	4046965.0	3586928.0	4049752.0	3589715.0
sp|P00634|PPB_ECOLI	sp|P00634|PPB_ECOLI	phoA	phoA	401746.0	400970.0	403162.0	402386.0
sp|P00722|BGAL_ECOLI	sp|P00722|BGAL_ECOLI	lacZ	lacZ	363230.0	362454.0	366305.0	365529.0
sp|P00803|LEP_ECOLI	sp|P00803|LEP_ECOLI	lepB	lepB	2704334.0	2702990.0	2705309.0	2703965.0
sp|P00804|LSPA_ECOLI	sp|P00804|LSPA_ECOLI	lspA	lspA	25206.0	25206.0	25701.0	25701.0
sp|P00805|ASPG2_ECOLI	sp|P00805|ASPG2_ECOLI	ansB	ansB	3099681.0	3098337.0	3100728.0	3099384.0
sp|P00811|AMPC_ECOLI	sp|P00811|AMPC_ECOLI	ampC	ampC	4377810.0		4378944.0	
sp|P00816|CYNS_ECOLI	sp|P00816|CYNS_ECOLI	cynS	cynS	359488.0	358712.0	359959.0	359183.0
sp|P00861|DCDA_ECOLI	sp|P00861|DCDA_ECOLI	lysA	lysA	2977636.0	2976292.0	2978899.0	2977555.0
sp|P00864|CAPP_ECOLI	sp|P00864|CAPP_ECOLI	ppc	ppc	4150446.0	3483582.0	4153098.0	3486234.0
sp|P00887|AROH_ECOLI	sp|P00887|AROH_ECOLI	aroH	aroH	1788434.0	1790148.0	1789481.0	1791195.0
sp|P00888|AROF_ECOLI	sp|P00888|AROF_ECOLI	aroF	aroF	2740079.0	2738735.0	2741150.0	2739806.0
sp|P00893|ILVI_ECOLI	sp|P00893|ILVI_ECOLI	ilvI	ilvI	85629.0	85629.0	87354.0	87354.0
sp|P00894|ILVH_ECOLI	sp|P00894|ILVH_ECOLI	ilvH	ilvH	87356.0		87848.0	
sp|P00895|TRPE_ECOLI	sp|P00895|TRPE_ECOLI	trpE	trpE	1321383.0	1323097.0	1322946.0	1324660.0
sp|P00903|PABA_ECOLI	sp|P00903|PABA_ECOLI	pabA	pabA	3490265.0	4149586.0	3490829.0	4150150.0
sp|P00904|TRPGD_ECOLI	sp|P00904|TRPGD_ECOLI	trpGD	trpGD				
sp|P00909|TRPC_ECOLI	sp|P00909|TRPC_ECOLI	trpC	trpC	1318426.0		1319788.0	
sp|P00914|PHR_ECOLI	sp|P00914|PHR_ECOLI	phrB	phrB		739928.0		741347.0
sp|P00926|SDHD_ECOLI	sp|P00926|SDHD_ECOLI	dsdA	dsdA	2479201.0	2484647.0	2480530.0	2485976.0
sp|P00934|THRC_ECOLI	sp|P00934|THRC_ECOLI	thrC	thrC	3733.0	3733.0	5020.0	5020.0
sp|P00935|METB_ECOLI	sp|P00935|METB_ECOLI	metB	metB	4128671.0	3506848.0	4129832.0	3508009.0
sp|P00936|CYAA_ECOLI	sp|P00936|CYAA_ECOLI	cyaA	cyaA	3991152.0	3642981.0	3993699.0	3645528.0
sp|P00944|XYLA_ECOLI	sp|P00944|XYLA_ECOLI	xylA	xylA	3729442.0	3909649.0	3730765.0	3910972.0
sp|P00946|MANA_ECOLI	sp|P00946|MANA_ECOLI	manA	manA	1688575.0	1690289.0	1689751.0	1691465.0
sp|P00954|SYW_ECOLI	sp|P00954|SYW_ECOLI	trpS	trpS	3512633.0	4126777.0	3513638.0	4127782.0
sp|P00956|SYI_ECOLI	sp|P00956|SYI_ECOLI	ileS	ileS	22390.0	22390.0	25207.0	25207.0
sp|P00957|SYA_ECOLI	sp|P00957|SYA_ECOLI	alaS	alaS	2819380.0	2818036.0	2822011.0	2820667.0
sp|P00959|SYM_ECOLI	sp|P00959|SYM_ECOLI	metG	metG	2194299.0	2197633.0	2196333.0	2199667.0
sp|P00960|SYGA_ECOLI	sp|P00960|SYGA_ECOLI	glyQ	glyQ	3724406.0	3915096.0	3725318.0	3916008.0
sp|P00961|SYGB_ECOLI	sp|P00961|SYGB_ECOLI	glyS	glyS	3722327.0	3916017.0	3724397.0	3918087.0
sp|P00962|SYQ_ECOLI	sp|P00962|SYQ_ECOLI	glnS	glnS	706092.0	706514.0	707757.0	708179.0
sp|P00963|ASNA_ECOLI	sp|P00963|ASNA_ECOLI	asnA	asnA	3927154.0	3708533.0	3928147.0	3709526.0
sp|P00968|CARB_ECOLI	sp|P00968|CARB_ECOLI	carB	carB	30816.0	30816.0	34038.0	34038.0
sp|P02338|PRTL_ECOLI	sp|P02338|PRTL_ECOLI	tpr	tpr	1287086.0		1287176.0	
sp|P02358|RS6_ECOLI	sp|P02358|RS6_ECOLI	rpsF	rpsF	4425117.0	4429797.0	4425513.0	4430193.0
sp|P02359|RS7_ECOLI	sp|P02359|RS7_ECOLI	rpsG	rpsG	3473541.0	4166334.0	3474081.0	4166874.0
sp|P02413|RL15_ECOLI	sp|P02413|RL15_ECOLI	rplO	rplO	3444104.0	4195876.0	3444539.0	4196311.0
sp|P02916|MALF_ECOLI	sp|P02916|MALF_ECOLI	malF	malF	4243530.0	4247120.0	4245075.0	4248665.0
sp|P02919|PBPB_ECOLI	sp|P02919|PBPB_ECOLI	mrcB	mrcB	164729.0	164729.0	167264.0	167264.0
sp|P02920|LACY_ECOLI	sp|P02920|LACY_ECOLI	lacY	lacY	361925.0	361149.0	363179.0	362403.0
sp|P02921|MELB_ECOLI	sp|P02921|MELB_ECOLI	melB	melB	4343368.0	4348046.0	4344790.0	4349468.0
sp|P02924|ARAF_ECOLI	sp|P02924|ARAF_ECOLI	araF	araF	1985138.0	1987275.0	1986128.0	1988265.0
sp|P02925|RBSB_ECOLI	sp|P02925|RBSB_ECOLI	rbsB	rbsB	3936277.0	3699512.0	3937168.0	3700403.0
sp|P02929|TONB_ECOLI	sp|P02929|TONB_ECOLI	tonB	tonB	1311088.0	1312802.0	1311808.0	1313522.0
sp|P02930|TOLC_ECOLI	sp|P02930|TOLC_ECOLI	tolC	tolC	3178114.0	3176770.0	3179596.0	3178252.0
sp|P02931|OMPF_ECOLI	sp|P02931|OMPF_ECOLI	ompF	ompF	985893.0	986315.0	986982.0	987404.0
sp|P02932|PHOE_ECOLI	sp|P02932|PHOE_ECOLI	phoE	phoE	259044.0	258268.0	260100.0	259324.0
sp|P02942|MCP1_ECOLI	sp|P07017|MCP2_ECOLI	tsr	tar	4591656.0	1972743.0	4593312.0	1974405.0
sp|P02943|LAMB_ECOLI	sp|P02943|LAMB_ECOLI	lamB	lamB	4247970.0	4251560.0	4249311.0	4252901.0
sp|P03004|DNAA_ECOLI	sp|P03004|DNAA_ECOLI	dnaA	dnaA	3882325.0	3756685.0	3883729.0	3758089.0
sp|P03007|DPO3E_ECOLI	sp|P03007|DPO3E_ECOLI	dnaQ	dnaQ	236066.0	236066.0	236798.0	236798.0
sp|P03014|PINE_ECOLI	sp|P03014|PINE_ECOLI	pinE	pinE	1209684.0	1211261.0	1210239.0	1211816.0
sp|P03018|UVRD_ECOLI	sp|P03018|UVRD_ECOLI	uvrD	uvrD	3997982.0	3636535.0	4000145.0	3638698.0
sp|P03023|LACI_ECOLI	sp|P03023|LACI_ECOLI	lacI	lacI	366427.0	365651.0	367510.0	366734.0
sp|P03024|GALR_ECOLI	sp|P03024|GALR_ECOLI	galR	galR	2976598.0	2975254.0	2977630.0	2976286.0
sp|P03030|LYSR_ECOLI	sp|P03030|LYSR_ECOLI	lysR	lysR	2979020.0	2977676.0	2979956.0	2978612.0
sp|P03061|LPIV_ECOLI	sp|P03061|LPIV_ECOLI	ivbL	ivbL	3852889.0	3787426.0	3852988.0	3787525.0
sp|P03813|YGEA_ECOLI	sp|P03813|YGEA_ECOLI	ygeA	ygeA	2979942.0	2978598.0	2980635.0	2979291.0
sp|P03817|MIOC_ECOLI	sp|P03817|MIOC_ECOLI	mioC	mioC	3926011.0	3710225.0	3926455.0	3710669.0
sp|P03819|KEFC_ECOLI	sp|P03819|KEFC_ECOLI	kefC	kefC	47768.0	47768.0	49631.0	49631.0
sp|P03825|GSPB_ECOLI	sp|P03825|GSPB_ECOLI	gspB	gspB	3453507.0	4186488.0	3453927.0	4186908.0
sp|P03835|INSG_ECOLI	sp|P03835|INSG_ECOLI	insG	insG	4502102.0		4503431.0	
sp|P03841|MALM_ECOLI	sp|P03841|MALM_ECOLI	malM	malM	4249553.0	4253143.0	4250474.0	4254064.0
sp|P03960|KDPB_ECOLI	sp|P03960|KDPB_ECOLI	kdpB	kdpB	724987.0	725409.0	727036.0	727458.0
sp|P03961|KDPC_ECOLI	sp|P03961|KDPC_ECOLI	kdpC	kdpC	724406.0	724828.0	724979.0	725401.0
sp|P04036|DAPB_ECOLI	sp|P04036|DAPB_ECOLI	dapB	dapB	28373.0	28373.0	29195.0	29195.0
sp|P04079|GUAA_ECOLI	sp|P04079|GUAA_ECOLI	guaA	guaA	2630957.0	2629613.0	2632535.0	2631191.0
sp|P04128|FIMA1_ECOLI	sp|P04128|FIMA1_ECOLI	fimA	fimA	4543114.0	4547794.0	4543663.0	4548343.0
sp|P04152|UMUC_ECOLI	sp|P04152|UMUC_ECOLI	umuC	umuC	1231185.0	1232762.0	1232454.0	1234031.0
sp|P04335|FRSA_ECOLI	sp|P04335|FRSA_ECOLI	frsA	frsA	256526.0	256526.0	257771.0	257771.0
sp|P04425|GSHB_ECOLI	sp|P04425|GSHB_ECOLI	gshB	gshB	3091877.0	3090533.0	3092828.0	3091484.0
sp|P04693|TYRB_ECOLI	sp|P04693|TYRB_ECOLI	tyrB	tyrB	4267113.0	4270703.0	4268307.0	4271897.0
sp|P04805|SYE_ECOLI	sp|P04805|SYE_ECOLI	gltX	gltX	2519256.0	2524702.0	2520672.0	2526118.0
sp|P04816|LIVK_ECOLI	sp|P0AD96|LIVJ_ECOLI	livK	livJ	3596450.0	4040756.0	3597560.0	4041860.0
sp|P04846|NLPA_ECOLI	sp|P04846|NLPA_ECOLI	nlpA	nlpA	3839174.0	3800421.0	3839993.0	3801240.0
sp|P04951|KDSB_ECOLI	sp|P04951|KDSB_ECOLI	kdsB	kdsB	970851.0	971273.0	971598.0	972020.0
sp|P04968|ILVA_ECOLI	sp|P04968|ILVA_ECOLI	ilvA	ilvA	3955330.0	3679805.0	3956875.0	3681350.0
sp|P04982|RBSD_ECOLI	sp|P04982|RBSD_ECOLI	rbsD	rbsD	3933350.0	3702910.0	3933770.0	3703330.0
sp|P04983|RBSA_ECOLI	sp|P0AAG8|MGLA_ECOLI	rbsA	mglA	3933777.0	2241102.0	3935283.0	2242623.0
sp|P04993|RECD_ECOLI	sp|P04993|RECD_ECOLI	recD	recD	2950634.0	2949290.0	2952461.0	2951117.0
sp|P04994|EX7L_ECOLI	sp|P04994|EX7L_ECOLI	xseA	xseA	2634231.0	2632887.0	2635602.0	2634258.0
sp|P04995|EX1_ECOLI	sp|P04995|EX1_ECOLI	sbcB	sbcB	2082755.0	2084892.0	2084183.0	2086320.0
sp|P05020|PYRC_ECOLI	sp|P05020|PYRC_ECOLI	pyrC	pyrC	1121560.0	1123137.0	1122607.0	1124184.0
sp|P05041|PABB_ECOLI	sp|P05041|PABB_ECOLI	pabB	pabB	1894804.0	1896518.0	1896166.0	1897880.0
sp|P05042|FUMC_ECOLI	sp|P05042|FUMC_ECOLI	fumC	fumC	1685184.0	1686898.0	1686588.0	1688302.0
sp|P05050|ALKB_ECOLI	sp|P05050|ALKB_ECOLI	alkB	alkB	2308690.0	2312024.0	2309341.0	2312675.0
sp|P05052|APPY_ECOLI	sp|P05052|APPY_ECOLI	appY	appY	583680.0	582903.0	584430.0	583653.0
sp|P05055|PNP_ECOLI	sp|P05055|PNP_ECOLI	pnp	pnp	3309032.0	3308887.0	3311168.0	3311023.0
sp|P05100|3MG1_ECOLI	sp|P05100|3MG1_ECOLI	tag	tag	3713091.0	3926759.0	3713655.0	3927323.0
sp|P05194|AROD_ECOLI	sp|P05194|AROD_ECOLI	aroD	aroD	1774685.0	1776399.0	1775444.0	1777158.0
sp|P05458|PTRA_ECOLI	sp|P05458|PTRA_ECOLI	ptrA	ptrA	2955995.0	2954651.0	2958884.0	2957540.0
sp|P05459|PDXB_ECOLI	sp|P05459|PDXB_ECOLI	pdxB	pdxB	2436714.0	2442160.0	2437851.0	2443297.0
sp|P05523|FPG_ECOLI	sp|P05523|FPG_ECOLI	mutM	mutM	3810342.0	3829262.0	3811152.0	3830072.0
sp|P05637|APAH_ECOLI	sp|P05637|APAH_ECOLI	apaH	apaH	50379.0	50379.0	51222.0	51222.0
sp|P05704|MCP3_ECOLI	sp|P05704|MCP3_ECOLI	trg	trg	1492469.0	1494183.0	1494110.0	1495824.0
sp|P05706|PTHA_ECOLI	sp|P05706|PTHA_ECOLI	srlB	srlB	2827361.0	2826017.0	2827733.0	2826389.0
sp|P05707|SRLD_ECOLI	sp|P05707|SRLD_ECOLI	srlD	srlD	2827736.0	2826392.0	2828516.0	2827172.0
sp|P05719|T1SK_ECOLI	sp|P05719|T1SK_ECOLI	hsdS	hsdS	4580067.0	4584747.0	4581462.0	4586142.0
sp|P05793|ILVC_ECOLI	sp|P05793|ILVC_ECOLI	ilvC	ilvC	3957969.0	3677235.0	3959445.0	3678711.0
sp|P05804|BGLR_ECOLI	sp|P05804|BGLR_ECOLI	uidA	uidA	1694259.0	1695973.0	1696071.0	1697785.0
sp|P05824|RECN_ECOLI	sp|P05824|RECN_ECOLI	recN	recN	2751794.0	2750450.0	2753456.0	2752112.0
sp|P05825|FEPA_ECOLI	sp|P05825|FEPA_ECOLI	fepA	fepA	610253.0	609476.0	612494.0	611717.0
sp|P05827|ILVY_ECOLI	sp|P05827|ILVY_ECOLI	ilvY	ilvY	3956926.0	3678860.0	3957820.0	3679754.0
sp|P05847|TTDA_ECOLI	sp|P05847|TTDA_ECOLI	ttdA	ttdA	3206462.0	3205118.0	3207374.0	3206030.0
sp|P05852|TSAD_ECOLI	sp|P05852|TSAD_ECOLI	tsaD	tsaD	3209529.0	3208185.0	3210543.0	3209199.0
sp|P06129|BTUB_ECOLI	sp|P06129|BTUB_ECOLI	btuB	btuB	4163638.0	3471197.0	4165483.0	3473042.0
sp|P06134|ADA_ECOLI	sp|P06134|ADA_ECOLI	ada	ada	2309340.0	2312674.0	2310405.0	2313739.0
sp|P06136|FTSQ_ECOLI	sp|P06136|FTSQ_ECOLI	ftsQ	ftsQ	103154.0	103154.0	103985.0	103985.0
sp|P06149|DLD_ECOLI	sp|P06149|DLD_ECOLI	dld	dld	2222184.0	2225518.0	2223900.0	2227234.0
sp|P06282|CDH_ECOLI	sp|P06282|CDH_ECOLI	cdh	cdh	4109929.0	3525995.0	4110685.0	3526751.0
sp|P06610|BTUE_ECOLI	sp|P06610|BTUE_ECOLI	btuE	btuE	1793557.0	1795271.0	1794109.0	1795823.0
sp|P06611|BTUD_ECOLI	sp|P06611|BTUD_ECOLI	btuD	btuD	1792808.0	1794522.0	1793558.0	1795272.0
sp|P06612|TOP1_ECOLI	sp|P06612|TOP1_ECOLI	topA	topA	1331047.0	1332761.0	1333645.0	1335359.0
sp|P06616|ERA_ECOLI	sp|P06616|ERA_ECOLI	era	era	2702480.0	2701136.0	2703386.0	2702042.0
sp|P06709|BIRA_ECOLI	sp|P06709|BIRA_ECOLI	birA	birA	4173081.0		4174047.0	
sp|P06710|DPO3X_ECOLI	sp|P06710|DPO3X_ECOLI	dnaX	dnaX	492091.0	491315.0	494023.0	493247.0
sp|P06715|GSHR_ECOLI	sp|P06715|GSHR_ECOLI	gor	gor	3646298.0		3647651.0	
sp|P06720|AGAL_ECOLI	sp|P06720|AGAL_ECOLI	melA	melA	4341910.0	4346588.0	4343266.0	4347944.0
sp|P06721|METC_ECOLI	sp|P06721|METC_ECOLI	metC	metC	3152235.0	3150891.0	3153423.0	3152079.0
sp|P06722|MUTH_ECOLI	sp|P06722|MUTH_ECOLI	mutH	mutH	2969661.0	2968317.0	2970351.0	2969007.0
sp|P06846|EBGR_ECOLI	sp|P06846|EBGR_ECOLI	ebgR	ebgR	3221465.0	3220121.0	3222449.0	3221105.0
sp|P06864|BGA2_ECOLI	sp|P06864|BGA2_ECOLI	ebgA	ebgA	3222632.0	3221288.0	3225725.0	3224381.0
sp|P06959|ODP2_ECOLI	sp|P06959|ODP2_ECOLI	aceF	aceF	125694.0	125694.0	127587.0	127587.0
sp|P06961|CCA_ECOLI	sp|P06961|CCA_ECOLI	cca	cca	3201890.0	3200546.0	3203129.0	3201785.0
sp|P06965|DICC_ECOLI	sp|P06965|DICC_ECOLI	dicC	dicC	1647619.0	1649333.0	1647850.0	1649564.0
sp|P06966|DICA_ECOLI	sp|P06966|DICA_ECOLI	dicA	dicA	1647933.0	1649647.0	1648341.0	1650055.0
sp|P06968|DUT_ECOLI	sp|P06968|DUT_ECOLI	dut	dut	3813931.0	3826027.0	3814387.0	3826486.0
sp|P06971|FHUA_ECOLI	sp|P06971|FHUA_ECOLI	fhuA	fhuA	167483.0	167483.0	169727.0	169727.0
sp|P06972|FHUB_ECOLI	sp|P06972|FHUB_ECOLI	fhuB	fhuB	171461.0	171461.0	173444.0	173444.0
sp|P06974|FLIM_ECOLI	sp|P06974|FLIM_ECOLI	fliM	fliM	2020086.0	2022223.0	2021091.0	2023228.0
sp|P06983|HEM3_ECOLI	sp|P06983|HEM3_ECOLI	hemC	hemC	3989824.0	3645914.0	3990766.0	3646856.0
