Locus_tag,gene_id,GSE60522_1,GSE60522_2,GSE60522_3,GSE114917_LP1,GSE114917_LP2,GSE114917_LP3,GSE114917_LP4,GSE54199_RNA,GSE54199_DNA,GSE40313_1,GSE40313_2,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand
b0001,thrL,20,18,22,19,14,18,8,5201,9933,62,53,190,255,222,thrL,,0
b0002,thrA,29088,23517,23936,142,195,139,174,99726.5,284112,839,1256,337,2799,1568,thrA,,0
b0003,thrB,4799,4222,3781,584,524,413,260,28995,100827.5,397,524,2801,3733,3267,thrB,,0
b0004,thrC,3386,3158,2720,946,908,690,559,41146.5,151746,378,561,3734,5020,4377,thrC,,0
b0005,yaaX,23,25,33,33,32,24,20,7875,34362,10,13,5234,5530,5382,yaaX,,0
b0006,yaaA,283,239,231,249,244,155,245,50204,119038,40,79,5683,6459,6071,yaaA,,1
b0007,yaaJ,17,10,30,381,328,285,132,41114.5,180010.5,52,96,6529,7959,7244,yaaJ,,1
b0008,talB,10479,9565,9197,9283,10175,7948,7105,876403.5,121193.5,1282,1643,8238,9191,8714,talB,,0
b0009,mog,399,310,304,385,389,345,324,34856.5,74552.5,92,130,9306,9893,9599,mog,,0
b0011,yaaW,8,7,21,5,5,2,4,18953.5,99077.5,7,4,10643,11356,10999,yaaW,,1
b0013,yaaI,0,0,1,3,0,3,4,9717,60992,1,3,11382,11786,11584,yaaI,,1
b0014,dnaK,37248,26390,27791,3693,4020,2902,3704,1597938,258901.5,618,929,12163,14079,13121,dnaK,,0
b0015,dnaJ,1880,1421,1656,629,613,450,679,161669.5,112252,107,181,14168,15298,14733,dnaJ,,0
b0018,mokC,13,24,22,4,3,2,0,25197.5,33888,44,62,16751,16960,16855,mokC,,1
b0019,nhaA,454,370,451,608,570,436,651,99453.5,135077,240,306,17489,18655,18072,nhaA,,0
b0020,nhaR,162,168,167,215,187,121,199,38897.5,157631,57,94,18715,19620,19167,nhaR,,0
b0023,rpsT,7342,5686,5251,2303,1571,1213,2539,265056.5,45852,466,491,20815,21078,20946,rpsT,,1
b0024,yaaY,0,4,1,11,14,16,18,28073.5,32734,4,16,21181,21399,21290,yaaY,,0
b0025,ribF,1406,1181,1254,891,769,619,881,125949,94288.5,171,257,21407,22348,21877,ribF,,0
b0026,ileS,8154,6438,7016,2579,2802,2069,3244,289271.5,278861.5,617,910,22391,25207,23799,ileS,,0
b0027,lspA,285,209,268,305,266,216,367,67278.5,48042,67,89,25207,25701,25454,lspA,,0
b0028,fkpB,460,311,378,161,153,119,209,133824,43070.5,38,58,25826,26275,26050,fkpB,,0
b0029,ispH,412,405,427,335,271,223,457,93573.5,93906,80,108,26277,27227,26752,ispH,,0
b0030,rihC,176,133,143,1785,1955,1751,1130,23293,90939,96,98,27293,28207,27750,rihC,,0
b0031,dapB,273,276,202,380,416,326,350,32806,90660.5,83,113,28374,29195,28784,dapB,,0
b0032,carA,12258,13770,7384,66,71,49,148,27395,148010,16,20,29651,30799,30225,carA,,0
b0033,carB,13211,18218,7974,232,227,227,385,52648.5,326099.5,32,53,30817,34038,32427,carB,,0
b0034,caiF,40,60,33,167,229,175,97,51856.5,65857.5,53,60,34300,34695,34497,caiF,,0
b0035,caiE,4,4,0,7,8,8,6,12962.5,56366.5,4,9,34781,35371,35076,caiE,,1
b0036,caiD,8,3,1,8,10,4,3,12978.5,96468.5,0,3,35377,36162,35769,caiD,,1
b0037,caiC,31,21,9,26,46,32,53,38950.5,187403.5,20,22,36271,37824,37047,caiC,,1
b0038,caiB,80,59,82,42,25,23,41,39140.5,132367.5,19,29,37898,39115,38506,caiB,,1
b0039,caiA,23,14,21,72,76,57,60,35817,112929.5,56,74,39244,40386,39815,caiA,,1
b0040,caiT,2,4,9,5,1,6,2,24530,181699.5,2,2,40417,41931,41174,caiT,,1
b0041,fixA,12,6,4,6,3,3,3,9680.5,97583,1,1,42403,43173,42788,fixA,,0
b0042,fixB,16,6,22,9,3,2,3,10381,100324.5,1,1,43188,44129,43658,fixB,,0
b0043,fixC,10,14,9,8,5,4,2,17237,128301,4,7,44180,45466,44823,fixC,,0
b0044,fixX,5,0,7,0,0,0,2,5237.5,31278,1,1,45463,45750,45606,fixX,,0
b0045,yaaU,14,15,19,2,4,1,5,40110.5,147380,2,0,45807,47138,46472,yaaU,,0
b0046,kefF,61,36,41,10,23,23,17,11053,55030.5,16,26,47246,47776,47511,kefF,,0
b0047,kefC,208,138,181,67,100,63,68,73778.5,201329.5,22,44,47769,49631,48700,kefC,,0
b0048,folA,362,385,339,170,161,112,236,76995,47059.5,38,60,49823,50302,50062,folA,,0
b0049,apaH,262,254,288,242,234,191,268,37529.5,81866.5,79,142,50380,51222,50801,apaH,,1
b0050,apaG,25,13,32,139,101,90,129,33719.5,40067,79,150,51229,51606,51417,apaG,,1
b0051,rsmA,199,165,162,706,634,510,858,103328.5,94532,149,257,51609,52430,52019,rsmA,,1
b0052,pdxA,206,197,150,423,441,337,536,69385.5,88043.5,155,226,52427,53416,52921,pdxA,,1
b0053,surA,8659,6353,8126,1429,1612,1164,1938,382954,152499.5,605,836,53416,54702,54059,surA,,1
b0054,lptD,7878,6382,6781,2178,1981,1650,2440,638150,308333,878,1444,54755,57109,55932,lptD,,1
b0055,djlA,97,85,85,297,246,195,297,49161.5,89159,69,96,57364,58179,57771,djlA,,0
b0058,rluA,108,46,79,96,88,87,136,49952.5,70683.5,57,53,59687,60346,60016,rluA,,1
