locus_tag,gene_id,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_locus_tag,gbk_strand,norm_exp,block,taxa,start,end,rev_comp,inversion,strain,gbk_old_locus_tag
,DR76_RS00005,1,1278,639,,,0,6.40714855670296,Block611,CP009072,0,19237,0,0,ATCC,DR76_1
,DR76_RS00010,1275,2279,1777,,,0,9.374275240175901,Block611,CP009072,0,19237,0,0,ATCC,DR76_2
,DR76_RS00015,2276,3241,2758,,,0,12.9940594768064,Block611,CP009072,0,19237,0,0,ATCC,DR76_4
,DR76_RS00020,3215,3961,3588,,,1,36.333187982538,Block611,CP009072,0,19237,0,0,ATCC,DR76_3
,DR76_RS00025,4013,4831,4422,,,1,8.95502746369258,Block611,CP009072,0,19237,0,0,ATCC,DR76_5
,DR76_RS00030,4896,5696,5296,,,1,54.3677695802765,Block611,CP009072,0,19237,0,0,ATCC,DR76_6
,DR76_RS00035,5693,6481,6087,,,1,82.98197335262259,Block611,CP009072,0,19237,0,0,ATCC,DR76_7
,DR76_RS00040,6704,6976,6840,,,1,31.4407774948587,Block611,CP009072,0,19237,0,0,ATCC,DR76_8
,DR76_RS00045,7097,7921,7509,,,0,40.1153544351748,Block611,CP009072,0,19237,0,0,ATCC,DR76_10
,DR76_RS00050,8140,8478,8309,,,0,79.3503559802012,Block611,CP009072,0,19237,0,0,ATCC,DR76_11
,DR76_RS00055,8560,9594,9077,,,1,3.31545214317779,Block611,CP009072,0,19237,0,0,ATCC,DR76_12
,DR76_RS00060,9610,12090,10850,,,1,11.1338974302974,Block611,CP009072,0,19237,0,0,ATCC,DR76_13
,DR76_RS00065,12106,12780,12443,,,1,3.3336168682128595,Block611,CP009072,0,19237,0,0,ATCC,DR76_14
,DR76_RS00070,12861,13403,13132,,,1,52.0162103574573,Block611,CP009072,0,19237,0,0,ATCC,DR76_15
,DR76_RS00075,13592,13773,13682,,,0,0.0,Block611,CP009072,0,19237,0,0,ATCC,
,DR76_RS00080,13697,13978,13837,,,1,5.36632227270564,Block611,CP009072,0,19237,0,0,ATCC,DR76_16
,DR76_RS00085,14241,15350,14795,,,1,833.185847886418,Block611,CP009072,0,19237,0,0,ATCC,DR76_17
,DR76_RS00090,15482,17515,16498,metG,,0,385.06235138604796,Block611,CP009072,0,19237,0,0,ATCC,DR76_18
,DR76_RS00100,21454,25086,23270,,,0,29.4659102530981,Block612,CP009072,19639,25321,0,0,ATCC,DR76_20
,DR76_RS00115,26095,27183,26639,,,0,8.058354081118129,Block614,CP009072,25805,30879,0,0,ATCC,DR76_22
,DR76_RS00120,27194,29473,28333,,,0,13.201217231347899,Block614,CP009072,25805,30879,0,0,ATCC,DR76_23
,DR76_RS00125,29466,30602,30034,,,0,4.21511072201177,Block614,CP009072,25805,30879,0,0,ATCC,DR76_24
,DR76_RS00135,32727,33188,32957,,,0,10.1299507510249,Block615,CP009072,30896,41163,0,0,ATCC,DR76_26
,DR76_RS00140,33229,33699,33464,,,1,84.8518755655511,Block615,CP009072,30896,41163,0,0,ATCC,DR76_27
,DR76_RS00150,34462,36147,35304,,,1,95.3711168865745,Block615,CP009072,30896,41163,0,0,ATCC,DR76_29
,DR76_RS00155,36369,37100,36734,,,0,7.13202009923566,Block615,CP009072,30896,41163,0,0,ATCC,DR76_30
,DR76_RS00160,37160,37267,37213,,,0,0.4137222947294389,Block615,CP009072,30896,41163,0,0,ATCC,DR76_32
,DR76_RS00165,37248,37979,37613,,,1,6.7759039496099005,Block615,CP009072,30896,41163,0,0,ATCC,DR76_31
,DR76_RS00170,37984,38910,38447,,,1,2.21119762514611,Block615,CP009072,30896,41163,0,0,ATCC,DR76_33
,DR76_RS00175,38903,40060,39481,,,1,3.8917671416925095,Block615,CP009072,30896,41163,0,0,ATCC,DR76_34
,DR76_RS00190,43667,45382,44524,,,0,539.051551375106,Block616,CP009072,41179,45411,0,0,ATCC,DR76_37
,DR76_RS00195,45421,46353,45887,,,1,131.223343912107,Block617,CP009072,45420,47942,0,0,ATCC,DR76_38
,DR76_RS00200,46527,47114,46820,,,1,5.33312632248342,Block617,CP009072,45420,47942,0,0,ATCC,DR76_39
,DR76_RS00205,47284,47862,47573,,,0,71.0523681824118,Block617,CP009072,45420,47942,0,0,ATCC,DR76_40
,DR76_RS00210,47982,48743,48362,,,1,15.959640940204899,Block618,CP009072,47950,50540,0,0,ATCC,
,DR76_RS00215,48796,50232,49514,,,1,7.03255902230795,Block618,CP009072,47950,50540,0,0,ATCC,DR76_43
,DR76_RS00220,50456,50539,50497,,,0,3.1822234315237403,Block618,CP009072,47950,50540,0,0,ATCC,
