gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
190	255	222	thrL	Y75_RS00005	Y75_p0001	0
337	2799	1568	thrA	Y75_RS00010	Y75_p0002	0
2801	3733	3267	thrB	Y75_RS00015	Y75_p0003	0
3734	5020	4377	thrC	Y75_RS00020	Y75_p0004	0
5234	5530	5382	NA	Y75_RS00030	Y75_p0005	0
5683	6459	6071	yaaA	Y75_RS00035	Y75_p0006	1
6529	7959	7244	NA	Y75_RS00040	Y75_p0007	1
8238	9191	8714	tal	Y75_RS00045	Y75_p0008	0
9306	9893	9599	mog	Y75_RS00050	Y75_p0009	0
9928	10494	10211	satP	Y75_RS00055	Y75_p0010	1
10643	11356	10999	msyB	Y75_RS00060	Y75_p0011	1
11382	11786	11584	NA	Y75_RS00065	Y75_p0013	1
12163	14079	13121	dnaK	Y75_RS00070	Y75_p0014	0
14168	15298	14733	dnaJ	Y75_RS00075	Y75_p0015	0
15445	16557	16001	NA	Y75_RS00080	Y75_p0016	0
16751	16960	16855	mokC	Y75_RS00085	Y75_p0018	1
17489	18655	18072	nhaA	Y75_RS00090	Y75_p0019	0
18721	19620	19170	nhaR	Y75_RS00095	Y75_p0020	0
19811	20508	20159	NA	Y75_RS00100	Y75_p0021	1
20815	21078	20946	rpsT	Y75_RS00110	Y75_p0023	1
21181	21399	21290	NA	Y75_RS00115	Y75_p0024	0
21407	22348	21877	ribF	Y75_RS00120	Y75_p0025	0
22391	25207	23799	ileS	Y75_RS00125	Y75_p0026	0
25207	25701	25454	lspA	Y75_RS00130	Y75_p0027	0
25826	26275	26050	fkpB	Y75_RS00135	Y75_p0028	0
26277	27227	26752	ispH	Y75_RS00140	Y75_p0029	0
27293	28207	27750	rihC	Y75_RS00145	Y75_p0030	0
28374	29195	28784	dapB	Y75_RS00150	Y75_p0031	0
29651	30799	30225	carA	Y75_RS00165	Y75_p0032	0
30817	34038	32427	carB	Y75_RS00170	Y75_p0033	0
34300	34695	34497	caiF	Y75_RS00180	Y75_p0034	0
34781	35371	35076	caiE	Y75_RS00185	Y75_p0035	1
35377	36162	35769	caiD	Y75_RS00190	Y75_p0036	1
36271	37824	37047	caiC	Y75_RS00195	Y75_p0037	1
37898	39115	38506	caiB	Y75_RS00200	Y75_p0038	1
39244	40386	39815	caiA	Y75_RS00205	Y75_p0039	1
40417	41931	41174	caiT	Y75_RS00210	Y75_p0040	1
42403	43173	42788	NA	Y75_RS00215	Y75_p0041	0
43188	44129	43658	NA	Y75_RS00220	Y75_p0042	0
44180	45466	44823	NA	Y75_RS00225	Y75_p0043	0
45463	45750	45606	fixX	Y75_RS00230	Y75_p0044	0
45807	47138	46472	NA	Y75_RS00235	Y75_p0045	0
47246	47776	47511	kefF	Y75_RS00240	Y75_p0046	0
47769	49631	48700	kefC	Y75_RS00245	Y75_p0047	0
49823	50302	50062	folA	Y75_RS00250	Y75_p0048	0
50380	51222	50801	apaH	Y75_RS00255	Y75_p0049	1
51229	51606	51417	apaG	Y75_RS00260	Y75_p0050	1
51609	52430	52019	rsmA	Y75_RS00265	Y75_p0051	1
52427	53416	52921	pdxA	Y75_RS00270	Y75_p0052	1
53416	54702	54059	surA	Y75_RS00275	Y75_p0053	1
54755	57109	55932	lptD	Y75_RS00280	Y75_p0054	1
57364	58179	57771	djlA	Y75_RS00285	Y75_p0055	0
58474	59124	58799	NA	Y75_RS00290	Y75_p0056	0
