Locus_tag,GSE73673_6,GSE73673_7,GSE73673_8,gene_id,GSE85914,gbk_locus_tag,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand
b0001,148,87,97,thrL,261,BW25113_RS00005,190,255,222,,BW25113_0001,0
b0002,1690,934,791,thrA,1314,BW25113_RS00010,337,2799,1568,,BW25113_0002,0
b0003,414,211,188,thrB,809,BW25113_RS00015,2801,3733,3267,,BW25113_0003,0
b0004,555,302,314,thrC,356,BW25113_RS00020,3734,5020,4377,,BW25113_0004,0
b0005,14,8,6,yaaX,14,BW25113_RS00030,5234,5530,5382,,BW25113_0005,0
b0006,26,8,11,yaaA,43,BW25113_RS00035,5683,6459,6071,,BW25113_0006,1
b0007,16,5,5,yaaJ,30,BW25113_RS00040,6529,7959,7244,,BW25113_0007,1
b0008,324,165,199,talB,1428,BW25113_RS00045,8238,9191,8714,,BW25113_0008,0
b0009,26,10,12,mog,53,BW25113_RS00050,9306,9893,9599,,BW25113_0009,0
b0010,10,2,6,satP,9,BW25113_RS00055,9928,10494,10211,,BW25113_0010,1
b0011,3,3,0,yaaW,2,BW25113_RS00060,10643,11356,10999,,BW25113_0011,1
b0013,1,1,0,yaaI,2,BW25113_RS00065,11382,11786,11584,,BW25113_0013,1
b0014,1884,1309,1257,dnaK,841,BW25113_RS00070,12163,14079,13121,,BW25113_0014,0
b0015,192,129,133,dnaJ,169,BW25113_RS00075,14168,15298,14733,,BW25113_0015,0
b0016,0,0,0,insL1,20,BW25113_RS00080,15445,16557,16001,,BW25113_0016,0
b0018,1,0,0,mokC,26,BW25113_RS00085,16751,16960,16855,,BW25113_4412,1
b0019,88,52,46,nhaA,54,BW25113_RS00090,17489,18655,18072,,BW25113_0019,0
b0020,52,26,35,nhaR,180,BW25113_RS00095,18715,19620,19167,,BW25113_0020,0
b0021,0,0,0,insB1,1,BW25113_RS00100,19811,20508,20159,,BW25113_0021,1
b0023,218,126,127,rpsT,1612,BW25113_RS00110,20815,21078,20946,,BW25113_0023,1
b0024,9,2,3,yaaY,40,BW25113_RS00115,21181,21399,21290,,BW25113_0024,0
b0025,172,75,75,ribF,71,BW25113_RS00120,21407,22348,21877,,BW25113_0025,0
b0026,611,351,387,ileS,312,BW25113_RS00125,22391,25207,23799,,BW25113_0026,0
b0027,37,30,22,lspA,120,BW25113_RS00130,25207,25701,25454,,BW25113_0027,0
b0028,59,35,28,fkpB,446,BW25113_RS00135,25826,26275,26050,,BW25113_0028,0
b0029,71,34,35,ispH,87,BW25113_RS00140,26277,27227,26752,,BW25113_0029,0
b0030,4,6,3,rihC,11,BW25113_RS00145,27293,28207,27750,,BW25113_0030,0
b0031,149,116,77,dapB,165,BW25113_RS00150,28374,29195,28784,,BW25113_0031,0
b0032,54,50,52,carA,50,BW25113_RS00165,29651,30799,30225,,BW25113_0032,0
b0033,141,128,81,carB,64,BW25113_RS00170,30817,34038,32427,carB,BW25113_0033,0
b0034,11,5,3,caiF,3,BW25113_RS00180,34300,34695,34497,,BW25113_0034,0
b0035,3,0,3,caiE,1,BW25113_RS00185,34781,35371,35076,,BW25113_0035,1
b0036,1,1,1,caiD,2,BW25113_RS00190,35377,36162,35769,,BW25113_0036,1
b0037,9,7,7,caiC,4,BW25113_RS00195,36271,37824,37047,,BW25113_0037,1
b0038,12,4,8,caiB,34,BW25113_RS00200,37898,39115,38506,,BW25113_0038,1
b0039,19,2,10,caiA,22,BW25113_RS00205,39244,40386,39815,,BW25113_0039,1
b0040,9,3,1,caiT,1,BW25113_RS00210,40417,41931,41174,,BW25113_0040,1
b0041,4,0,0,fixA,0,BW25113_RS00215,42403,43173,42788,,BW25113_0041,0
b0042,0,2,1,fixB,3,BW25113_RS00220,43188,44129,43658,,BW25113_0042,0
b0043,1,0,3,fixC,0,BW25113_RS00225,44180,45466,44823,,BW25113_0043,0
b0044,0,0,0,fixX,0,BW25113_RS00230,45463,45750,45606,,BW25113_0044,0
b0045,1,0,2,yaaU,0,BW25113_RS00235,45807,47138,46472,,BW25113_0045,0
b0046,2,3,3,kefF,14,BW25113_RS00240,47246,47776,47511,,BW25113_0046,0
b0047,15,9,8,kefC,19,BW25113_RS00245,47769,49631,48700,,BW25113_0047,0
b0048,9,7,9,folA,212,BW25113_RS00250,49823,50302,50062,folA,BW25113_0048,0
b0049,38,20,35,apaH,74,BW25113_RS00255,50380,51222,50801,,BW25113_0049,1
b0050,36,18,19,apaG,1029,BW25113_RS00260,51229,51606,51417,,BW25113_0050,1
b0051,100,63,59,rsmA,133,BW25113_RS00265,51609,52430,52019,ksgA,BW25113_0051,1
b0052,68,27,28,pdxA,739,BW25113_RS00270,52427,53416,52921,,BW25113_0052,1
b0053,203,108,121,surA,506,BW25113_RS00275,53416,54702,54059,,BW25113_0053,1
b0054,492,222,287,lptD,650,BW25113_RS00280,54755,57109,55932,,BW25113_0054,1
b0055,21,13,5,djlA,26,BW25113_RS00285,57364,58179,57771,,BW25113_0055,0
b0058,18,9,5,rluA,9,BW25113_RS00295,59687,60346,60016,,BW25113_0058,1
b0059,83,35,42,rapA,33,BW25113_RS00300,60358,63264,61811,,BW25113_0059,1
b0060,31,17,16,polB,26,BW25113_RS00305,63429,65780,64604,,BW25113_0060,1
b0061,0,0,0,araD,0,BW25113_RS00310,65855,66574,66214,,,1
b0064,15,14,7,araC,38,BW25113_RS00315,66874,67752,67313,,BW25113_0064,0
b0065,8,6,9,yabI,10,BW25113_RS00320,67838,68602,68220,,BW25113_0065,0
b0066,8,1,8,thiQ,4,BW25113_RS00325,68716,69414,69065,,BW25113_0066,1
b0067,16,10,3,thiP,7,BW25113_RS00330,69398,71008,70203,thiP,BW25113_0067,1
b0068,29,26,21,thiB,42,BW25113_RS00335,70984,71967,71475,,BW25113_0068,1
b0069,13,12,13,sgrR,82,BW25113_RS00340,72131,73786,72958,,BW25113_0069,1
b0070,37,8,14,setA,4,BW25113_RS00350,74108,75286,74697,,BW25113_0070,0
b0071,660,301,333,leuD,915,BW25113_RS00355,75335,75940,75637,,BW25113_0071,1
b0072,1170,606,573,leuC,1935,BW25113_RS00360,75951,77351,76651,,BW25113_0072,1
b0073,638,289,320,leuB,1455,BW25113_RS00365,77354,78445,77899,,BW25113_0073,1
b0074,996,461,522,leuA,2881,BW25113_RS00370,78445,80016,79230,,BW25113_0074,1
b0075,59,15,19,leuL,166,BW25113_RS00375,80109,80195,80152,,BW25113_0075,1
b0076,12,1,1,leuO,26,BW25113_RS00380,80855,81799,81327,,BW25113_0076,0
b0077,218,102,125,ilvI,91,BW25113_RS00385,82117,83841,82979,,BW25113_0077,0
b0078,78,45,51,ilvH,25,BW25113_RS00390,83844,84335,84089,,BW25113_0078,0
b0080,43,18,32,cra,39,BW25113_RS00400,84515,85519,85017,,BW25113_0080,0
b0081,85,28,37,mraZ,325,BW25113_RS00405,86121,86579,86350,,BW25113_0081,0
b0082,81,46,42,rsmH,293,BW25113_RS00410,86581,87522,87051,,BW25113_0082,0
b0083,33,16,17,ftsL,475,BW25113_RS00415,87519,87884,87701,,BW25113_0083,0
b0084,105,75,55,ftsI,77,BW25113_RS00420,87900,89666,88783,,BW25113_0084,0
b0085,114,61,48,murE,142,BW25113_RS00425,89653,91140,90396,,BW25113_0085,0
b0086,108,48,46,murF,151,BW25113_RS00430,91137,92495,91816,,BW25113_0086,0
b0087,51,30,14,mraY,26,BW25113_RS00435,92489,93571,93030,,BW25113_0087,0
b0088,78,38,35,murD,41,BW25113_RS00440,93574,94890,94232,,BW25113_0088,0
b0089,52,35,27,ftsW,28,BW25113_RS00445,94890,96134,95512,,BW25113_0089,0
b0090,70,33,35,murG,82,BW25113_RS00450,96131,97198,96664,,BW25113_0090,0
b0091,102,59,59,murC,82,BW25113_RS00455,97252,98727,97989,,BW25113_0091,0
b0092,112,64,41,ddlB,319,BW25113_RS00460,98720,99640,99180,ddl,BW25113_0092,0
b0093,76,53,62,ftsQ,70,BW25113_RS00465,99642,100472,100057,,BW25113_0093,0
b0094,202,105,108,ftsA,46,BW25113_RS00470,100469,101731,101100,,BW25113_0094,0
b0095,443,219,254,ftsZ,696,BW25113_RS00475,101792,102943,102367,,BW25113_0095,0
b0096,784,451,388,lpxC,973,BW25113_RS00480,103044,103961,103502,,BW25113_0096,0
b0097,89,42,35,secM,1171,BW25113_RS00485,104192,104704,104448,,BW25113_0097,0
b0098,231,125,119,secA,115,BW25113_RS00490,104766,107471,106118,,BW25113_0098,0
b0099,2,6,2,mutT,36,BW25113_RS00495,107531,107920,107725,,BW25113_0099,0
b0101,9,11,7,yacG,72,BW25113_RS00505,108136,108333,108234,,BW25113_0101,1
b0102,27,11,20,zapD,96,BW25113_RS00510,108343,109086,108714,,BW25113_0102,1
b0103,31,22,9,coaE,209,BW25113_RS00515,109086,109706,109396,,BW25113_0103,1
b0104,57,39,42,guaC,141,BW25113_RS00520,109931,110974,110452,,BW25113_0104,0
b0106,5,4,3,hofC,4,BW25113_RS00525,111009,112211,111610,,BW25113_0106,1
b0107,8,7,1,hofB,28,BW25113_RS00530,112201,113586,112893,,BW25113_0107,1
b0108,1,0,0,ppdD,1,BW25113_RS00535,113596,114036,113816,,BW25113_0108,1
b0109,42,30,22,nadC,146,BW25113_RS00545,114239,115132,114685,,BW25113_0109,1
b0110,32,17,12,ampD,199,BW25113_RS00550,115220,115771,115495,,BW25113_0110,0
b0111,41,24,11,ampE,18,BW25113_RS00555,115768,116622,116195,,BW25113_0111,0
b0112,472,221,264,aroP,95,BW25113_RS00560,116665,118038,117351,,BW25113_0112,1
b0113,22,13,15,pdhR,1142,BW25113_RS00565,118579,119343,118961,,BW25113_0113,0
b0114,1370,682,771,aceE,906,BW25113_RS00570,119504,122167,120835,,BW25113_0114,0
b0115,958,470,501,aceF,267,BW25113_RS00575,122182,124074,123128,aceF,BW25113_0115,0
b0116,526,279,338,lpd,431,BW25113_RS00580,124399,125823,125111,,BW25113_0116,0
b0117,15,3,7,yacH,19,BW25113_RS00585,125894,127747,126820,,BW25113_0117,1
b0118,164,84,83,acnB,300,BW25113_RS00590,128102,130699,129400,,BW25113_0118,0
b0119,31,14,17,yacL,171,BW25113_RS00595,130875,131237,131056,,BW25113_0119,0
b0120,132,96,82,speD,870,BW25113_RS00600,131275,132069,131672,,BW25113_0120,1
b0121,109,65,67,speE,1200,BW25113_RS00605,132085,132951,132518,,BW25113_0121,1
b0122,25,12,11,yacC,181,BW25113_RS00610,133057,133404,133230,,BW25113_0122,1
b0123,35,23,12,cueO,22,BW25113_RS00615,133570,135120,134345,,BW25113_0123,0
b0124,39,19,18,gcd,136,BW25113_RS00620,135322,137712,136517,,BW25113_0124,1
b0125,58,20,24,hpt,87,BW25113_RS00625,137918,138454,138186,,BW25113_0125,0
b0126,162,78,109,can,6537,BW25113_RS00630,138495,139157,138826,,BW25113_0126,1
b0127,81,29,37,yadG,151,BW25113_RS00635,139266,140192,139729,,BW25113_0127,0
b0128,41,16,19,yadH,15,BW25113_RS00640,140189,140959,140574,,BW25113_0128,0
b0129,18,3,8,yadI,8,BW25113_RS00645,141064,141504,141284,,BW25113_0129,0
b0130,10,7,7,yadE,29,BW25113_RS00650,141568,142797,142182,,BW25113_0130,0
b0131,66,29,38,panD,1587,BW25113_RS00655,142801,143181,142991,,BW25113_0131,1
b0132,15,10,4,yadD,5,BW25113_RS00660,143455,144357,143906,,BW25113_0132,0
