gene_id,Locus_tag,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_locus_tag,norm_exp
araD,b0061,4413517,4414203,4413860,araD,BW25113_RS21810,0
lacZ,b0344,358942,>360144,359543,lacZ,BW25113_RS01765,0.686839961599488
thrL,b0001,190,255,222,,BW25113_RS00005,139.132613549459
thrA,b0002,337,2799,1568,,BW25113_RS00010,710.751411774758
thrB,b0003,2801,3733,3267,,BW25113_RS00015,430.081191714941
thrC,b0004,3734,5020,4377,,BW25113_RS00020,193.727489520609
yaaX,b0005,5234,5530,5382,,BW25113_RS00030,7.52465665100674
yaaA,b0006,5683,6459,6071,,BW25113_RS00035,22.8204999195647
yaaJ,b0007,6529,7959,7244,,BW25113_RS00040,15.8829532173512
talB,b0008,8238,9191,8714,,BW25113_RS00045,754.299631173613
mog,b0009,9306,9893,9599,,BW25113_RS00050,28.0957686389167
satP,b0010,9928,10494,10211,,BW25113_RS00055,4.84927033290854
yaaW,b0011,10643,11356,10999,,BW25113_RS00060,1.08694200740517
yaaI,b0013,11382,11786,11584,,BW25113_RS00065,1.06295989288247
dnaK,b0014,12163,14079,13121,,BW25113_RS00070,467.606043725432
dnaJ,b0015,14168,15298,14733,,BW25113_RS00075,91.5233305957585
insL1,b0016,15445,16557,16001,,BW25113_RS00080,10.5096883562112
nhaA,b0019,17489,18655,18072,,BW25113_RS00090,29.4313716007691
nhaR,b0020,18715,19620,19167,,BW25113_RS00095,95.2107301834908
insB1,b0021,19811,20508,20159,,BW25113_RS00100,0.525484417810559
rpsT,b0023,20815,21078,20946,,BW25113_RS00110,849.694931993595
yaaY,b0024,21181,21399,21290,,BW25113_RS00115,21.0806503361616
ribF,b0025,21407,22348,21877,,BW25113_RS00120,39.0857039100656
ileS,b0026,22391,25207,23799,,BW25113_RS00125,171.855435819259
lspA,b0027,25207,25701,25454,,BW25113_RS00130,63.5074700446883
fkpB,b0028,25826,26275,26050,,BW25113_RS00135,235.073522721929
ispH,b0029,26277,27227,26752,,BW25113_RS00140,46.5224049941525
rihC,b0030,27293,28207,27750,,BW25113_RS00145,5.84160221965541
dapB,b0031,28374,29195,28784,,BW25113_RS00150,88.4915964706836
carA,b0032,29651,30799,30225,,BW25113_RS00165,27.3362970353419
carB,b0033,30817,34038,32427,carB,BW25113_RS00170,35.3217418137263
caiF,b0034,34300,34695,34497,,BW25113_RS00180,1.69487393646607
caiE,b0035,34781,35371,35076,,BW25113_RS00185,0.561457589594613
caiD,b0036,35377,36162,35769,,BW25113_RS00190,1.07139337686754
caiC,b0037,36271,37824,37047,,BW25113_RS00195,2.24490945996719
caiB,b0038,37898,39115,38506,,BW25113_RS00200,18.0103628926952
caiA,b0039,39244,40386,39815,,BW25113_RS00205,11.7649026042965
caiT,b0040,40417,41931,41174,,BW25113_RS00210,0.596536827631195
fixA,b0041,42403,43173,42788,,BW25113_RS00215,0
fixB,b0042,43188,44129,43658,,BW25113_RS00220,1.5968777946781
fixC,b0043,44180,45466,44823,,BW25113_RS00225,0.0119910572613514
fixX,b0044,45463,45750,45606,,BW25113_RS00230,0
yaaU,b0045,45807,47138,46472,,BW25113_RS00235,0.0119910572613514
kefF,b0046,47246,47776,47511,,BW25113_RS00240,7.41805547308709
kefC,b0047,47769,49631,48700,,BW25113_RS00245,10.1640697973209
folA,b0048,49823,50302,50062,folA,BW25113_RS00250,111.568485532087
apaH,b0049,50380,51222,50801,,BW25113_RS00255,39.3595296501189
apaG,b0050,51229,51606,51417,,BW25113_RS00260,541.149780385989
rsmA,b0051,51609,52430,52019,ksgA,BW25113_RS00265,71.0944755023432
pdxA,b0052,52427,53416,52921,,BW25113_RS00270,388.972456450389
surA,b0053,53416,54702,54059,,BW25113_RS00275,268.36648490296
lptD,b0054,54755,57109,55932,,BW25113_RS00280,347.426714914586
djlA,b0055,57364,58179,57771,,BW25113_RS00285,13.9144070655629
rluA,b0058,59687,60346,60016,,BW25113_RS00295,4.94251698975694
rapA,b0059,60358,63264,61811,,BW25113_RS00300,18.1988165200981
polB,b0060,63429,65780,64604,,BW25113_RS00305,14.0343176381764
araC,b0064,66874,67752,67313,,BW25113_RS00315,20.1482737357215
yabI,b0065,67838,68602,68220,,BW25113_RS00320,5.39694899774686
thiQ,b0066,68716,69414,69065,,BW25113_RS00325,2.19786612933305
thiP,b0067,69398,71008,70203,thiP,BW25113_RS00330,3.87024784085553
