Locus_tag,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand,norm_exp
b0001,190,255,222,thrL,,0,139.132613549459
b0002,337,2799,1568,thrA,,0,710.751411774758
b0003,2801,3733,3267,thrB,,0,430.081191714941
b0004,3734,5020,4377,thrC,,0,193.727489520609
b0005,5234,5530,5382,yaaX,,0,7.52465665100674
b0006,5683,6459,6071,yaaA,,1,22.8204999195647
b0007,6529,7959,7244,yaaJ,,1,15.8829532173512
b0008,8238,9191,8714,talB,,0,754.299631173613
b0009,9306,9893,9599,mog,,0,28.0957686389167
b0010,9928,10494,10211,satP,,1,4.84927033290854
b0011,10643,11356,10999,yaaW,,1,1.08694200740517
b0013,11382,11786,11584,yaaI,,1,1.06295989288247
b0014,12163,14079,13121,dnaK,,0,467.606043725432
b0015,14168,15298,14733,dnaJ,,0,91.5233305957585
b0016,15445,16557,16001,insL1,,0,10.5096883562112
b0018,16751,16960,16855,mokC,,1,13.6625948630745
b0019,17489,18655,18072,nhaA,,0,29.4313716007691
b0020,18715,19620,19167,nhaR,,0,95.2107301834908
b0021,19811,20314,20062,insB1,,1,0.525484417810559
b0022,20233,20508,20370,insA,,1,19.9684078768012
b0023,20815,21078,20946,rpsT,,1,849.694931993595
b0024,21181,21399,21290,yaaY,,0,21.0806503361616
b0025,21407,22348,21877,ribF,,0,39.0857039100656
b0026,22391,25207,23799,ileS,,0,171.855435819259
b0027,25207,25701,25454,lspA,,0,63.5074700446883
b0028,25826,26275,26050,fkpB,,0,235.073522721929
b0029,26277,27227,26752,ispH,,0,46.5224049941525
b0030,27293,28207,27750,rihC,,0,5.84160221965541
b0031,28374,29195,28784,dapB,,0,88.4915964706836
b0032,29651,30799,30225,carA,,0,27.3362970353419
b0033,30817,34038,32427,carB,,0,35.3217418137263
b0034,34300,34695,34497,caiF,,0,1.69487393646607
b0035,34781,35371,35076,caiE,,1,0.561457589594613
b0036,35377,36162,35769,caiD,,1,1.07139337686754
b0037,36271,37824,37047,caiC,,1,2.24490945996719
b0038,37898,39115,38506,caiB,,1,18.0103628926952
b0039,39244,40386,39815,caiA,,1,11.7649026042965
b0040,40417,41931,41174,caiT,,1,0.596536827631195
b0041,42403,43173,42788,fixA,,0,0
b0042,43188,44129,43658,fixB,,0,1.5968777946781
b0043,44180,45466,44823,fixC,,0,0.0119910572613514
b0044,45463,45750,45606,fixX,,0,0
b0045,45807,47138,46472,yaaU,,0,0.0119910572613514
b0046,47246,47776,47511,kefF,,0,7.41805547308709
b0047,47769,49631,48700,kefC,,0,10.1640697973209
b0048,49823,50302,50062,folA,,0,111.568485532087
b0049,50380,51222,50801,apaH,,1,39.3595296501189
b0050,51229,51606,51417,apaG,,1,541.149780385989
b0051,51609,52430,52019,rsmA,,1,71.0944755023432
b0052,52427,53416,52921,pdxA,,1,388.972456450389
b0053,53416,54702,54059,surA,,1,268.36648490296
b0054,54755,57109,55932,lptD,,1,347.426714914586
b0055,57364,58179,57771,djlA,,0,13.9144070655629
b0058,59687,60346,60016,rluA,,1,4.94251698975694
b0059,60358,63264,61811,rapA,,1,18.1988165200981
b0060,63429,65780,64604,polB,,1,14.0343176381764
b0061,65855,66550,66202,araD,,1,0
b0062,66835,68337,67586,araA,,1,0
b0063,68348,70048,69198,araB,,1,0
b0064,70387,71265,70826,araC,,0,20.1482737357215
b0065,71351,72115,71733,yabI,,0,5.39694899774686
b0066,72229,72927,72578,thiQ,,1,2.19786612933305
b0067,72911,74521,73716,thiP,,1,3.87024784085553
b0068,74497,75480,74988,thiB,,1,22.4992609142183
b0069,75644,77299,76471,sgrR,,1,43.3552412966693
b0070,77621,78799,78210,setA,,0,2.38788124869214
b0071,78848,79453,79150,leuD,,1,487.947167415332
b0072,79464,80864,80164,leuC,,1,1030.84188545921
b0073,80867,81958,81412,leuB,,1,771.424543393751
b0074,81958,83529,82743,leuA,,1,1524.83899468799
b0075,83622,83708,83665,leuL,,1,87.6184796402347
b0076,84368,85312,84840,leuO,,0,13.6862789996814
b0077,85630,87354,86492,ilvI,,0,50.3721496765635
b0078,87357,87848,87602,ilvH,,0,14.1787620488315
b0080,88028,89032,88530,cra,,0,21.0095077568499
b0081,89634,90092,89863,mraZ,,0,171.538143814549
b0082,90094,91035,90564,rsmH,,0,154.938210056663
b0083,91032,91397,91214,ftsL,,0,249.984044645725
b0084,91413,93179,92296,ftsI,,0,41.7213611838549
b0085,93166,94653,93909,murE,,0,75.9857678568934
b0086,94650,96008,95329,murF,,0,80.4849856465246
b0087,96002,97084,96543,mraY,,0,14.2741387834034
b0088,97087,98403,97745,murD,,0,22.4448583212943
