ATCC_names,DH_names,BW_names,MG_names
DR76_RS00355,ECDH10B_RS00370,BW25113_RS00365,b4577
DR76_RS00360,ECDH10B_RS00375,BW25113_RS00365,b0070
DR76_RS00365,ECDH10B_RS00375,BW25113_RS00370,b0070
DR76_RS00800,ECDH10B_RS00740,BW25113_RS00750,b0147
DR76_RS00800,ECDH10B_RS00740,BW25113_RS00750,b0148
DR76_RS00825,ECDH10B_RS00770,BW25113_RS00770,b0150
DR76_RS00825,ECDH10B_RS00780,BW25113_RS00775,b0151
DR76_RS00825,ECDH10B_RS00785,BW25113_RS00775,b0152
DR76_RS00825,ECDH10B_RS00790,BW25113_RS00780,b0153
DR76_RS01020,ECDH10B_RS01015,BW25113_RS00975,b0188
DR76_RS01020,ECDH10B_RS25840,BW25113_RS00970,b0188
DR76_RS02590,ECDH10B_RS02875,BW25113_RS02830,b0544
DR76_RS06420,ECDH10B_RS06705,BW25113_RS06740,b1284
DR76_RS06420,ECDH10B_RS06710,BW25113_RS06740,b1284
DR76_RS07715,ECDH10B_RS08105,BW25113_RS07995,b1519
DR76_RS07730,ECDH10B_RS08110,BW25113_RS08000,b1521
DR76_RS07790,ECDH10B_RS08140,BW25113_RS08050,b1528
DR76_RS09425,ECDH10B_RS09805,BW25113_RS09815,b1867
DR76_RS09615,ECDH10B_RS10000,BW25113_RS10025,b1906
DR76_RS11565,ECDH10B_RS12010,BW25113_RS11910,b2274
DR76_RS11565,ECDH10B_RS12010,BW25113_RS11910,b2275
DR76_RS13365,ECDH10B_RS13660,BW25113_RS13630,b2602
DR76_RS13955,ECDH10B_RS23395,BW25113_RS14325,b2745
DR76_RS14495,ECDH10B_RS14815,BW25113_RS14735,b2826
DR76_RS14555,ECDH10B_RS14875,BW25113_RS14790,b2837
DR76_RS14620,ECDH10B_RS15025,BW25113_RS14965,b2873
DR76_RS14630,ECDH10B_RS15060,BW25113_RS14985,b2878
DR76_RS14780,ECDH10B_RS15290,BW25113_RS15230,b2924
DR76_RS14785,ECDH10B_RS15290,BW25113_RS15230,b2925
DR76_RS15195,ECDH10B_RS15620,BW25113_RS15575,b2990
DR76_RS15195,ECDH10B_RS15620,BW25113_RS15575,b2991
DR76_RS17420,ECDH10B_RS17780,BW25113_RS17720,b3417
DR76_RS18160,ECDH10B_RS18555,BW25113_RS18435,b3547
DR76_RS18810,ECDH10B_RS19130,BW25113_RS19045,b4555
DR76_RS18865,ECDH10B_RS19195,BW25113_RS19130,b3673
DR76_RS20695,ECDH10B_RS20605,BW25113_RS20525,b3949
DR76_RS25965,ECDH10B_RS08480,BW25113_RS08515,b1621
DR76_RS00745,ECDH10B_RS00660,BW25113_RS00655,b0127
DR76_RS00745,ECDH10B_RS00660,BW25113_RS23205,b0127
DR76_RS00750,ECDH10B_RS00670,BW25113_RS00665,b0129
DR76_RS00755,ECDH10B_RS00670,BW25113_RS00665,b0130
DR76_RS01110,ECDH10B_RS01135,BW25113_RS01100,b0213
DR76_RS01115,ECDH10B_RS01135,BW25113_RS01110,b0215
DR76_RS01160,ECDH10B_RS01205,BW25113_RS01160,b0223
DR76_RS01175,ECDH10B_RS01225,BW25113_RS01165,b0227
DR76_RS01265,ECDH10B_RS01325,BW25113_RS01295,b0251
DR76_RS01735,ECDH10B_RS01875,BW25113_RS01810,b0346
DR76_RS01770,ECDH10B_RS01915,BW25113_RS01835,b0351
DR76_RS01880,ECDH10B_RS02035,BW25113_RS01985,b0377
DR76_RS02330,ECDH10B_RS02560,BW25113_RS02505,b0482
