acpH b0404
aspC b0928
accA b0185
appC b0978
arnA b2255
asnC b3743
casE b2756
pheA b2599
cobS b1992
cirA b2155
ygiF b3054
agaS b3136
alsE b4085
acrZ b0762
aroE b3281
aroG b0754
bisC b3551
betB b0312
cybB b1418
coaD b3634
cspG b0990
csgD b1040
csgC b1043
gnd b2029 
pgl b0767 
amiA b2435
alpA b2624
aes b0476 
melA b4119
btuR b1270
atoA b2222
barA b2786
bdcA b4249
cadC b4133
caiE b0035
yeaX b1803
btuD b1709
btuC b1711
bdm b1481 
bcsF b3537
bcsQ b3534
chbG b1733
chrR b3713
clpS b0881
coaBC b363
yeaW b1802
allA b0505
borD b0557
cca b3056 
casC b2758
groL b4143
cobT b1991
ampE b0111
acrR b0464
afuB b0263
araG b1900
bcp b2480 
patD b1444
amiB b4169
aroK b3390
btsT b4354
cbpM b0999
cho b1741 
chpS b4224
amiD b0867
ampH b0376
yiaY b3589
brnQ b0401
bcsC b3530
citF b0615
cheZ b1881
artP b0864
bamC b2477
bdcR b4251
bcsE b3536
cbpA b1000
cbrA b3690
chaB b1217
cheY b1882
aegA b2468
acrA b0463
aroH b1704
atoS b2219
baxL b4794
bglB b3721
ccmD b2198
yodB b1974
mtgA b3208
ppx b2502 
rlmH b0636
rpsU b3065
rtcR b3422
serB b4388
yihS b3880
sodC b1646
surA b0053
tpiA b3919
torD b0998
selO b1706
secG b3175
stpA b2669
serS b0893
tdcD b3115
tatA b3836
thrS b1719
trkA b3290
tsaE b4168
uidB b1616
ybfL b0705
yaeF b0193
yafT b0217
ybhB b0773
yagB b0266
yaiY b0379
yecV b4778
yajR b0427
yceB b1063
ybjN b0853
ydbH b1381
ydjI b1773
yadE b0130
yhaI b3104
ybcY b0562
ybbD b0501
ybaN b0468
ypdF b2385
ycjV b4524
ypdI b2376
ymcE b0991
ygiC b3038
yphC b2545
yjcB b4060
yjbR b4057
ymfH b1142
ypjA b2647
yjfJ b4182
ygfF b2902
ygfX b2896
ymfJ b1144
yicH b3655
yncG b1454
yhjJ b3527
yfjY b2644
yiaJ b3574
yiaL b3576
yibI b3598
yijE b3943
yhdP b4472
yihN b3874
yiiQ b3920
yibG b3596
yfjH b2623
yfdF b2345
ytiD b4721
yqhA b3002
yqhI b4755
ysdD b4757
yqjI b3071
znuA b1857
ytfI b4215
zapD b0102
zinT b1973
zitB b0752
ychA b1214
tabA b4252
trxA b3781
sseA b2521
topA b1274
ubiI b2906
ung b2580 
uxaB b1521
xerC b3811
xynR b0272
ydgH b1604
yehF b2115
yabI b0065
ycgV b1202
yegU b2099
ycgR b1194
ycgY b1196
yciI b1251
ybaK b0481
ybaB b0471
yciZ b4596
ycjY b1327
ybcL b0545
yhaB b3120
ybdO b0603
yhbS b3156
ypfM b4606
ygdQ b2832
yhcH b3221
yibV b4615
ygcQ b2769
ygjV b3090
ygeA b2840
yidB b3698
yqeI b2847
yfaT b2229
yfjW b2642
yiaW b3587
yfjX b2643
yqgB b2939
yhfK b3358
yijO b3954
yiaD b3552
ykfC b0258
yhgN b3434
yoeA b4582
yhiS b3504
yigE b4482
yniD b4535
yfdC b2347
yqhC b3010
yqjG b3102
agaB b3138
rsmG b3740
rsmJ b3497
seqA b0687
setB b2170
selU b0503
secM b0097
slyB b1641
sucC b0728
sstT b3089
lysU b4129
tcyP b1729
hsdS b4348
trpC b1262
tyrR b1323
tyrA b2600
