qseqid	sseqid	A_gene	B_gene
sp|A5A614|YCIZ_ECOLI	sp|A5A614|YCIZ_ECOLI	yciZ	yciZ
sp|A5A615|YNCL_ECOLI	sp|A5A615|YNCL_ECOLI	yncL	yncL
sp|A5A616|MGTS_ECOLI	sp|A5A616|MGTS_ECOLI	mgtS	mgtS
sp|A5A617|YDGU_ECOLI	sp|A5A617|YDGU_ECOLI	ydgU	ydgU
sp|A5A618|YNHF_ECOLI	sp|A5A618|YNHF_ECOLI	ynhF	ynhF
sp|A5A621|YPFM_ECOLI	sp|A5A621|YPFM_ECOLI	ypfM	ypfM
sp|A5A627|TISB_ECOLI	sp|A5A627|TISB_ECOLI	tisB	tisB
sp|A8DYQ1|YTHA_ECOLI	sp|A8DYQ1|YTHA_ECOLI	ythA	ythA
sp|C1P5Z7|SGRT_ECOLI	sp|C1P5Z7|SGRT_ECOLI	sgrT	sgrT
sp|C1P5Z8|YKGR_ECOLI	sp|C1P5Z8|YKGR_ECOLI	ykgR	ykgR
sp|C1P5Z9|YMIB_ECOLI	sp|C1P5Z9|YMIB_ECOLI	ymiB	ymiB
sp|C1P600|YNBG_ECOLI	sp|C1P600|YNBG_ECOLI	ynbG	ynbG
sp|C1P601|RZOQ_ECOLI	sp|C1P601|RZOQ_ECOLI	rzoQ	rzoQ
sp|C1P602|YOAK_ECOLI	sp|C1P602|YOAK_ECOLI	yoaK	yoaK
sp|C1P603|YOAJ_ECOLI	sp|C1P603|YOAJ_ECOLI	yoaJ	yoaJ
sp|C1P604|YOBI_ECOLI	sp|C1P604|YOBI_ECOLI	yobI	yobI
sp|C1P605|AZUC_ECOLI	sp|C1P605|AZUC_ECOLI	azuC	azuC
sp|C1P606|YOEI_ECOLI	sp|C1P606|YOEI_ECOLI	yoeI	yoeI
sp|C1P607|IBSA_ECOLI	sp|C1P607|IBSA_ECOLI	ibsA	ibsA
sp|C1P608|IBSB_ECOLI	sp|C1P608|IBSB_ECOLI	ibsB	ibsB
sp|C1P609|YOHP_ECOLI	sp|C1P609|YOHP_ECOLI	yohP	yohP
sp|C1P610|YPDK_ECOLI	sp|C1P610|YPDK_ECOLI	ypdK	ypdK
sp|C1P611|SHOB_ECOLI	sp|C1P611|SHOB_ECOLI	shoB	shoB
sp|C1P612|YQCG_ECOLI	sp|C1P612|YQCG_ECOLI	yqcG	yqcG
sp|C1P613|YQEL_ECOLI	sp|C1P613|YQEL_ECOLI	yqeL	yqeL
sp|C1P614|YQFG_ECOLI	sp|C1P614|YQFG_ECOLI	yqfG	yqfG
sp|C1P615|IBSC_ECOLI	sp|P32687|YJBF_ECOLI	ibsC	yjbF
sp|C1P616|IBSD_ECOLI	sp|C1P616|IBSD_ECOLI	ibsD	ibsD
sp|C1P617|IBSE_ECOLI	sp|C1P617|IBSE_ECOLI	ibsE	ibsE
sp|C1P618|YRBN_ECOLI	sp|C1P618|YRBN_ECOLI	yrbN	yrbN
sp|C1P619|ILVX_ECOLI	sp|C1P619|ILVX_ECOLI	ilvX	ilvX
sp|C1P620|YSHB_ECOLI	sp|C1P620|YSHB_ECOLI	yshB	yshB
sp|C1P621|YJEV_ECOLI	sp|C1P621|YJEV_ECOLI	yjeV	yjeV
sp|E2JKY7|LPMG_ECOLI	sp|E2JKY7|LPMG_ECOLI	mgtL	mgtL
sp|G3MTW7|PMRR_ECOLI	sp|G3MTW7|PMRR_ECOLI	pmrR	pmrR
sp|O32528|YPDI_ECOLI	sp|O32528|YPDI_ECOLI	ypdI	ypdI
sp|O32583|THIS_ECOLI	sp|O32583|THIS_ECOLI	thiS	thiS
sp|O52982|YFJS_ECOLI	sp|O52982|YFJS_ECOLI	yfjS	yfjS
sp|P00350|6PGD_ECOLI	sp|P00350|6PGD_ECOLI	gnd	gnd
sp|P00363|FRDA_ECOLI	sp|P00363|FRDA_ECOLI	frdA	frdA
sp|P00370|DHE4_ECOLI	sp|P00370|DHE4_ECOLI	gdhA	gdhA
sp|P00393|DHNA_ECOLI	sp|P00393|DHNA_ECOLI	ndh	ndh
sp|P00448|SODM_ECOLI	sp|P00448|SODM_ECOLI	sodA	sodA
sp|P00452|RIR1_ECOLI	sp|P00452|RIR1_ECOLI	nrdA	nrdA
sp|P00490|PHSM_ECOLI	sp|P00490|PHSM_ECOLI	malP	malP
sp|P00509|AAT_ECOLI	sp|P00509|AAT_ECOLI	aspC	aspC
sp|P00547|KHSE_ECOLI	sp|P00547|KHSE_ECOLI	thrB	thrB
sp|P00550|PTM3C_ECOLI	sp|P00550|PTM3C_ECOLI	mtlA	mtlA
sp|P00561|AK1H_ECOLI	sp|P00561|AK1H_ECOLI	thrA	thrA
sp|P00562|AK2H_ECOLI	sp|P00562|AK2H_ECOLI	metL	metL
sp|P00579|RPOD_ECOLI	sp|P00579|RPOD_ECOLI	rpoD	rpoD
sp|P00582|DPO1_ECOLI	sp|P00582|DPO1_ECOLI	polA	polA
sp|P00634|PPB_ECOLI	sp|P00634|PPB_ECOLI	phoA	phoA
sp|P00722|BGAL_ECOLI	sp|P00722|BGAL_ECOLI	lacZ	lacZ
sp|P00803|LEP_ECOLI	sp|P00803|LEP_ECOLI	lepB	lepB
sp|P00804|LSPA_ECOLI	sp|P00804|LSPA_ECOLI	lspA	lspA
sp|P00805|ASPG2_ECOLI	sp|P00805|ASPG2_ECOLI	ansB	ansB
sp|P00811|AMPC_ECOLI	sp|P00811|AMPC_ECOLI	ampC	ampC
sp|P00816|CYNS_ECOLI	sp|P00816|CYNS_ECOLI	cynS	cynS
sp|P00861|DCDA_ECOLI	sp|P00861|DCDA_ECOLI	lysA	lysA
