gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
1	1278	639	NA	DR76_RS00005	DR76_1	0
1275	2279	1777	NA	DR76_RS00010	DR76_2	0
2276	3241	2758	NA	DR76_RS00015	DR76_4	0
3215	3961	3588	NA	DR76_RS00020	DR76_3	1
4013	4831	4422	NA	DR76_RS00025	DR76_5	1
4896	5696	5296	thiD	DR76_RS00030	DR76_6	1
5693	6481	6087	thiM	DR76_RS00035	DR76_7	1
6704	6976	6840	rcnR	DR76_RS00040	DR76_8	1
7097	7921	7509	NA	DR76_RS00045	DR76_10	0
8140	8478	8309	rcnB	DR76_RS00050	DR76_11	0
8560	9594	9077	NA	DR76_RS00055	DR76_12	1
9610	12090	10850	NA	DR76_RS00060	DR76_13	1
12106	12780	12443	NA	DR76_RS00065	DR76_14	1
12861	13403	13132	NA	DR76_RS00070	DR76_15	1
13697	13978	13837	NA	DR76_RS00080	DR76_16	1
14241	15350	14795	apbC	DR76_RS00085	DR76_17	1
15482	17515	16498	metG	DR76_RS00090	DR76_18	0
17656	21444	19550	NA	DR76_RS00095	DR76_19	0
21454	25086	23270	NA	DR76_RS00100	DR76_20	0
26095	27183	26639	NA	DR76_RS00115	DR76_22	0
27194	29473	28333	NA	DR76_RS00120	DR76_23	0
29466	30602	30034	NA	DR76_RS00125	DR76_24	0
30599	32602	31600	NA	DR76_RS00130	DR76_25	0
32727	33188	32957	NA	DR76_RS00135	DR76_26	0
33229	33699	33464	NA	DR76_RS00140	DR76_27	1
33746	34465	34105	yehT	DR76_RS00145	DR76_28	1
34462	36147	35304	btsS	DR76_RS00150	DR76_29	1
36369	37100	36734	mlrA	DR76_RS00155	DR76_30	0
37160	37267	37213	NA	DR76_RS00160	DR76_32	0
37248	37979	37613	yehW	DR76_RS00165	DR76_31	1
37984	38910	38447	yehX	DR76_RS00170	DR76_33	1
38903	40060	39481	yehY	DR76_RS00175	DR76_34	1
40067	40984	40525	osmF	DR76_RS00180	DR76_35	1
41174	43471	42322	bglX	DR76_RS00185	DR76_36	1
43667	45382	44524	dld	DR76_RS00190	DR76_37	0
45421	46353	45887	pbpG	DR76_RS00195	DR76_38	1
46527	47114	46820	NA	DR76_RS00200	DR76_39	1
47284	47862	47573	NA	DR76_RS00205	DR76_40	0
48796	50322	49559	mdtQ	DR76_RS00215	DR76_43	1
50456	50539	50497	yohP	DR76_RS00220	NA	0
50926	51876	51401	dusC	DR76_RS00225	DR76_44	1
52115	52513	52314	NA	DR76_RS00230	DR76_45	0
52510	53205	52857	NA	DR76_RS00235	DR76_46	0
53335	54219	53777	cdd	DR76_RS00240	DR76_47	0
54369	55088	54728	sanA	DR76_RS00245	DR76_48	0
55091	55330	55210	NA	DR76_RS00250	DR76_49	0
55524	56762	56143	NA	DR76_RS00255	DR76_50	0
56756	57991	57373	preA	DR76_RS00260	DR76_51	0
58234	59244	58739	mglC	DR76_RS00265	DR76_52	1
59260	60780	60020	mglA	DR76_RS00270	DR76_53	1
60841	61839	61340	mglB	DR76_RS00275	DR76_54	1
62119	63159	62639	galS	DR76_RS00280	DR76_55	1
63301	64458	63879	NA	DR76_RS00290	DR76_56	1
64475	65143	64809	folE	DR76_RS00295	DR76_57	1
65401	66237	65819	NA	DR76_RS00305	DR76_58	0
66269	68260	67264	cirA	DR76_RS00310	DR76_59	1
68552	70021	69286	lysP	DR76_RS00320	DR76_60	1
70226	71107	70666	NA	DR76_RS00325	DR76_61	1
71206	72255	71730	NA	DR76_RS00330	DR76_62	0
72329	73186	72757	nfo	DR76_RS00335	DR76_63	0
73190	74278	73734	NA	DR76_RS00340	DR76_64	0
74546	75487	75016	rihB	DR76_RS00345	DR76_65	1
75617	76315	75966	yeiL	DR76_RS00350	DR76_66	0
76382	77632	77007	NA	DR76_RS00355	DR76_67	1
77726	78664	78195	NA	DR76_RS00360	DR76_68	1
78652	79593	79122	NA	DR76_RS00365	DR76_69	1
80049	81740	80894	fruA	DR76_RS00370	DR76_70	1
81757	82695	82226	fruK	DR76_RS00375	DR76_71	1
82695	83825	83260	NA	DR76_RS00380	DR76_72	1
84192	85373	84782	setB	DR76_RS00385	DR76_74	0
85370	85624	85497	NA	DR76_RS00390	DR76_73	1
85779	86351	86065	yeiP	DR76_RS00395	DR76_75	0
86574	88040	87307	NA	DR76_RS00400	DR76_76	0
88158	89144	88651	NA	DR76_RS00405	DR76_77	0
89183	89896	89539	lpxT	DR76_RS00410	DR76_78	0
90308	90874	90591	mepS	DR76_RS00415	DR76_79	0
91055	92611	91833	NA	DR76_RS00420	DR76_80	0
92693	94507	93600	NA	DR76_RS00425	DR76_81	0
94508	95602	95055	NA	DR76_RS00430	DR76_82	0
95602	96627	96114	NA	DR76_RS00435	DR76_83	0
96629	98218	97423	yejF	DR76_RS00440	DR76_84	0
98222	98566	98394	NA	DR76_RS00445	DR76_85	1
98900	100090	99495	bcr	DR76_RS00450	DR76_86	1
100118	100813	100465	rsuA	DR76_RS00455	DR76_87	1
100963	102723	101843	NA	DR76_RS00460	DR76_88	0
102848	103132	102990	rplY	DR76_RS00465	DR76_89	0
103271	104278	103774	yejK	DR76_RS00470	DR76_90	1
104460	104687	104573	NA	DR76_RS00475	DR76_91	0
104707	106467	105587	pbgA	DR76_RS00480	DR76_92	0
106836	108077	107456	NA	DR76_RS00490	DR76_94	0
108573	108779	108676	NA	DR76_RS00500	DR76_95	0
108794	109861	109327	NA	DR76_RS25955	NA	0
109858	110088	109973	NA	DR76_RS00515	DR76_98	0
110078	110299	110188	NA	DR76_RS00520	NA	0
110292	110513	110402	NA	DR76_RS00525	NA	0
110515	110748	110631	NA	DR76_RS00530	DR76_101	0
110754	111053	110903	NA	DR76_RS00535	DR76_102	0
111050	112804	111927	NA	DR76_RS00540	DR76_103	0
113092	113370	113231	NA	DR76_RS00545	DR76_104	0
113367	113789	113578	NA	DR76_RS00550	DR76_105	0
114205	114411	114308	NA	DR76_RS00560	DR76_106	0
114411	115466	114938	NA	DR76_RS00565	DR76_107	0
115478	115813	115645	NA	DR76_RS00570	DR76_108	0
115826	116239	116032	NA	DR76_RS00575	DR76_109	0
116445	116987	116716	NA	DR76_RS00585	DR76_110	0
117244	117525	117384	NA	DR76_RS00590	DR76_111	0
118206	118361	118283	NA	DR76_RS28835	DR76_112	1
119464	120111	119787	narP	DR76_RS00620	DR76_115	0
120146	121198	120672	NA	DR76_RS00625	DR76_116	1
121195	121752	121473	dsbE	DR76_RS00630	DR76_117	1
121749	123692	122720	NA	DR76_RS00635	DR76_118	1
123689	124168	123928	ccmE	DR76_RS00640	DR76_119	1
124165	124374	124269	ccmD	DR76_RS00645	DR76_120	1
124371	125108	124739	ccmC	DR76_RS00650	DR76_121	1
125150	125812	125481	ccmB	DR76_RS00655	DR76_122	1
125809	126426	126117	ccmA	DR76_RS00660	DR76_123	1
126445	127047	126746	napC	DR76_RS00665	DR76_124	1
127057	127506	127281	napB	DR76_RS00670	DR76_125	1
127503	128366	127934	napH	DR76_RS00675	DR76_126	1
128353	129048	128700	napG	DR76_RS00680	DR76_127	1
129055	131541	130298	napA	DR76_RS00685	DR76_128	1
131538	131801	131669	napD	DR76_RS00690	DR76_129	1
131791	132285	132038	napF	DR76_RS00695	DR76_130	1
132693	133181	132937	eco	DR76_RS00705	DR76_132	0
133331	134977	134154	mqo	DR76_RS00710	DR76_133	1
135195	136838	136016	yojI	DR76_RS00715	DR76_134	1
136914	137564	137239	alkB	DR76_RS00720	DR76_135	1
137564	138628	138096	ada	DR76_RS00725	DR76_136	1
138702	139757	139229	apbE	DR76_RS00730	DR76_137	1
139869	140996	140432	ompC	DR76_RS00735	DR76_138	1
141735	144407	143071	rcsD	DR76_RS00745	DR76_139	0
144424	145074	144749	rcsB	DR76_RS00750	DR76_140	0
145160	148009	146584	rcsC	DR76_RS00755	DR76_141	1
148176	150002	149089	atoS	DR76_RS00760	DR76_142	0
149999	151384	150691	atoC	DR76_RS00765	DR76_143	0
151580	152242	151911	atoD	DR76_RS00770	DR76_144	0
152242	152892	152567	NA	DR76_RS00775	DR76_145	0
152889	154211	153550	NA	DR76_RS00780	DR76_146	0
154242	155426	154834	NA	DR76_RS00785	DR76_147	0
155500	156276	155888	NA	DR76_RS00790	DR76_148	1
156281	157930	157105	NA	DR76_RS00795	DR76_149	1
157931	162325	160128	NA	DR76_RS00800	DR76_150	1
162469	163092	162780	NA	DR76_RS00805	DR76_151	1
163089	164777	163933	NA	DR76_RS00810	DR76_152	1
164926	167553	166239	gyrA	DR76_RS00815	DR76_153	1
167700	168422	168061	NA	DR76_RS00820	DR76_154	0
168562	172320	170441	yfaL	DR76_RS00825	DR76_155	1
173003	175288	174145	nrdA	DR76_RS00835	DR76_156	0
175478	176608	176043	nrdB	DR76_RS00840	DR76_157	0
176608	176862	176735	yfaE	DR76_RS00845	DR76_158	0
176916	177566	177241	inaA	DR76_RS00850	DR76_159	1
177769	178845	178307	glpQ	DR76_RS00855	DR76_160	1
178850	180208	179529	glpT	DR76_RS00860	DR76_161	1
180481	182109	181295	glpA	DR76_RS00865	DR76_162	0
182099	183358	182728	glpB	DR76_RS00870	DR76_163	0
183355	184545	183950	glpC	DR76_RS00875	DR76_164	0
184738	185664	185201	NA	DR76_RS00880	DR76_165	0
185705	186508	186106	yfaU	DR76_RS00885	DR76_166	1
186526	187815	187170	NA	DR76_RS00890	DR76_167	1
187872	189077	188474	rhmD	DR76_RS00895	DR76_168	1
189092	189874	189483	NA	DR76_RS00900	DR76_169	1
190094	191296	190695	NA	DR76_RS00905	DR76_170	1
191396	191938	191667	NA	DR76_RS00910	DR76_171	1
192217	192642	192429	nudI	DR76_RS00915	DR76_172	0
192681	193283	192982	NA	DR76_RS00920	DR76_173	1
193591	194730	194160	arnB	DR76_RS00925	DR76_174	0
194734	195702	195218	arnC	DR76_RS00930	DR76_175	0
195702	197684	196693	arnA	DR76_RS00935	DR76_176	0
197681	198571	198126	NA	DR76_RS00940	DR76_177	0
198571	200223	199397	arnT	DR76_RS00945	DR76_178	0
200220	200555	200387	arnE	DR76_RS00950	DR76_179	0
200555	200941	200748	arnF	DR76_RS00955	DR76_181	0
200935	201201	201068	pmrD	DR76_RS00960	DR76_180	1
201311	202666	201988	menE	DR76_RS00965	DR76_182	1
202663	203625	203144	menC	DR76_RS00970	DR76_183	1
203625	204482	204053	menB	DR76_RS00975	DR76_184	1
204497	205255	204876	menH	DR76_RS00980	DR76_185	1
205252	206922	206087	menD	DR76_RS00985	DR76_186	1
207011	208306	207658	menF	DR76_RS00990	DR76_187	1
208385	208690	208537	elaB	DR76_RS00995	DR76_188	1
208745	209206	208975	NA	DR76_RS01000	DR76_189	1
209271	210188	209729	rbn	DR76_RS01005	DR76_190	0
210309	212051	211180	NA	DR76_RS01010	DR76_191	1
212199	213161	212680	NA	DR76_RS01015	DR76_192	0
213264	213767	213515	NA	DR76_RS01020	DR76_193	0
213834	215291	214562	nuoN	DR76_RS01025	DR76_194	1
215298	216827	216062	nuoM	DR76_RS01030	DR76_195	1
216991	218832	217911	nuoL	DR76_RS01035	DR76_196	1
218829	219131	218980	nuoK	DR76_RS01040	DR76_197	1
219128	219682	219405	nuoJ	DR76_RS01045	DR76_198	1
219694	220236	219965	nuoI	DR76_RS01050	DR76_199	1
220251	221228	220739	nuoH	DR76_RS01055	DR76_200	1
221225	223951	222588	nuoG	DR76_RS01060	DR76_201	1
224004	225341	224672	nuoF	DR76_RS01065	DR76_202	1
225338	225838	225588	nuoE	DR76_RS01070	DR76_203	1
225841	227643	226742	nuoC	DR76_RS01075	DR76_204	1
227737	228399	228068	NA	DR76_RS01080	DR76_205	1
228415	228858	228636	nuoA	DR76_RS01085	DR76_206	1
229488	230426	229957	lrhA	DR76_RS01090	DR76_208	1
231346	232563	231954	NA	DR76_RS01095	DR76_209	0
232647	233246	232946	yfbR	DR76_RS01100	DR76_210	0
233305	235137	234221	NA	DR76_RS01105	DR76_211	1
235224	235874	235549	hxpA	DR76_RS01110	DR76_212	1
235885	236379	236132	NA	DR76_RS01115	DR76_213	1
236461	236916	236688	NA	DR76_RS01120	DR76_214	1
237254	238456	237855	ackA	DR76_RS01130	DR76_215	0
238531	240675	239603	pta	DR76_RS01135	DR76_216	0
240865	242385	241625	yfcC	DR76_RS01140	DR76_217	0
242418	242960	242689	yfcD	DR76_RS01145	DR76_218	1
243018	243569	243293	yfcE	DR76_RS01150	DR76_219	1
243625	244269	243947	yfcF	DR76_RS01155	DR76_220	1
244405	245052	244728	yfcG	DR76_RS01160	DR76_221	0
245109	245471	245290	folX	DR76_RS01165	DR76_222	0
245492	246385	245938	NA	DR76_RS01170	DR76_223	0
