"","locus_tag","gene","lengthnt","start","end","strand","product","Nakamura","Lawrence","hns","conservation"
"1","b0039","caiA","1143","39244","40386","-","probable carnitine","","","","16"
"2","","","","","","","operon oxidoreductase","","","",""
"3","b0040","caiT","1515","40417","41931","-","probable carnitine","","","1","19"
"4","","","","","","","transporter","","","",""
"5","b0041","fixA","807","42367","43173","+","probable flavoprotein","","","1","14"
"6","","","","","","","subunit, carnitine","","","",""
"7","","","","","","","metabolism","","","",""
"8","b0042","fixB","942","43188","44129","+","probable flavoprotein","","","","12"
"9","","","","","","","subunit, carnitine","","","",""
"10","","","","","","","metabolism","","","",""
"11","b0043","fixC","1287","44180","45466","+","flavoprotein; electron","","","","14"
"12","","","","","","","transport","","","",""
"13","b0044","fixX","288","45463","45750","+","putative ferredoxin","","","","14"
"14","b0045","yaaU","1332","45807","47138","+","putative transport","","","","14"
"15","b0046","yabF","531","47246","47776","+","putative NAD(P)H","","","","14"
"16","","","","","","","oxidoreductase","","","",""
"17","b0047","kefC","1863","47769","49631","+","K+ efflux antiporter,","","","","15"
"18","","","","","","","glutathione-regulated","","","",""
"19","b0048","folA","480","49823","50302","+","dihydrofolate reductase","","","","21"
"20","","","","","","","type I; trimethoprim","","","",""
"21","","","","","","","resistance","","","",""
"22","b0049","apaH","843","50380","51222","-","diadenosine","","","","21"
"23","","","","","","","tetraphosphatase","","","",""
"24","b0050","apaG","378","51229","51606","-","orf, hypothetical protein","1","","","21"
"25","b0051","ksgA","822","51609","52430","-","S-adenosylmethionine-","","","","21"
"26","","","","","","","6-N',N'-adenosyl (rRNA)","","","",""
"27","","","","","","","dimethyltransferase","","","",""
"28","b0052","pdxA","990","52427","53416","-","pyridoxine biosynthesis","","","","21"
"29","b0053","surA","1287","53416","54702","-","survival protein","","","","21"
"30","b0054","imp","2355","54755","57109","-","organic solvent","","","","21"
"31","b0055","djlA","816","57364","58179","+","DnaJ-like membrane","","","","21"
"32","","","","","","","chaperone protein","","","",""
"33","b0056","yabP","651","58474","59124","+","orf, hypothetical protein","1","1","1","5"
"34","b0057","yabQ","159","59121","59279","+","orf, hypothetical protein","1","1","1","5"
"35","b0058","rluA","660","59687","60346","-","Ribosomal large","","","","21"
"36","","","","","","","subunit pseudouridine","","","",""
"37","b0059","hepA","2907","60358","63264","-","probable ATP-","","","","21"
"38","","","","","","","dependent RNA","","","",""
"39","b0060","polB","2352","63429","65780","-","DNA polymerase II","","","","19"
"40","b0061","araD","696","65855","66550","-","L-ribulose-5-phosphate","","","","20"
"41","","","","","","","4-epimerase","","","",""
"42","b0062","araA","1503","66835","68337","-","L-arabinose isomerase","","","","19"
"43","b0063","araB","1701","68348","70048","-","L-ribulokinase","","","","19"
"44","b0064","araC","879","70387","71265","+","transcriptional regulator","","","","18"
"45","","","","","","","for ara operon","","","",""
"46","b0065","yabI","765","71351","72115","+","orf, hypothetical protein","","","","20"
"47","b0066","yabJ","699","72229","72927","-","putative ATP-binding","","","","21"
"48","","","","","","","component of a","","","",""
"49","","","","","","","transport system","","","",""
"50","b0067","yabK","1611","72911","74521","-","putative transport","","","","21"
"51","","","","","","","system permease","","","",""
"52","b0068","tbpA","984","74497","75480","-","thiamin-binding","","","","21"
"53","","","","","","","periplasmic protein","","","",""
"54","b0069","yabN","1656","75644","77299","-","putative transport","","","","21"
"55","b0070","setA","1179","77621","78799","+","Sugar efflux protein","1","","","9"
"56","b0071","leuD","606","78848","79453","-","isopropylmalate","","","","21"
"57","","","","","","","isomerase subunit","","","",""
"58","b0072","leuC","1401","79464","80864","-","3-isopropylmalate","","","","21"
"59","","","","","","","isomerase","","","",""
"60","","","","","","","(dehydratase) subunit","","","",""
"61","b0073","leuB","1095","80867","81961","-","3-isopropylmalate","","","","21"
"62","","","","","","","dehydrogenase","","","",""
"63","b0074","leuA","1572","81958","83529","-","2-isopropylmalate","","","1","21"
"64","","","","","","","synthase","","","",""
