locus_tag,gene_id,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_locus_tag,gbk_strand,norm_exp
ECDH10B_0001,thrL,190,255,222,thrL,ECDH10B_RS00005,0,61.5935436977193
ECDH10B_0002,thrA,337,2799,1568,thrA,ECDH10B_RS00010,0,1271.68152037708
ECDH10B_0003,thrB,2801,3733,3267,thrB,ECDH10B_RS00015,0,264.755958609648
ECDH10B_0004,thrC,3734,5020,4377,thrC,ECDH10B_RS00020,0,340.097387897533
ECDH10B_0005,yaaX,5234,5530,5382,,ECDH10B_RS00030,0,15.0624092518761
ECDH10B_0006,yaaA,5683,6459,6071,yaaA,ECDH10B_RS00035,1,77.6152414434821
ECDH10B_0007,yaaJ,6529,7959,7244,,ECDH10B_RS00040,1,61.2730921722508
ECDH10B_0008,talB,8238,9191,8714,tal,ECDH10B_RS00045,0,3146.24206487115
ECDH10B_0009,mogA,9306,9893,9599,mog,ECDH10B_RS00050,0,160.812520528973
ECDH10B_0010,yaaH,9928,10494,10211,satP,ECDH10B_RS00055,1,20.6814535571265
ECDH10B_0011,yaaW,10643,11356,10999,msyB,ECDH10B_RS00060,1,2.70509275637666
ECDH10B_0013,yaaI,11382,11786,11584,,ECDH10B_RS00065,1,0.690361219521049
ECDH10B_0014,dnaK,12163,14079,13121,dnaK,ECDH10B_RS00070,0,4646.24811074394
ECDH10B_0015,dnaJ,14168,15298,14733,dnaJ,ECDH10B_RS00075,0,275.445391443718
ECDH10B_0016,insL-1,15445,16557,16001,,ECDH10B_RS00080,0,12.8670904405846
ECDH10B_0018,hokC,16751,16960,16855,mokC,ECDH10B_RS00085,1,0
ECDH10B_0020,nhaA,17489,18655,18072,nhaA,ECDH10B_RS00090,0,286.128155215126
ECDH10B_0021,nhaR,18721,19620,19170,nhaR,ECDH10B_RS00095,0,52.5995023854802
ECDH10B_0022,insB-1,19811,20508,20159,,ECDH10B_RS00100,1,1.96991032446133
ECDH10B_0024,rpsT,20815,21078,20946,rpsT,ECDH10B_RS00110,1,877.761119234096
ECDH10B_0025,yaaY,21181,21399,21290,,ECDH10B_RS00115,0,2.02626244616886
ECDH10B_0026,ribF,21407,22348,21877,ribF,ECDH10B_RS00120,0,255.443722768874
ECDH10B_0027,ileS,22391,25207,23799,ileS,ECDH10B_RS00125,0,1703.50852148471
ECDH10B_0028,lspA,25207,25701,25454,lspA,ECDH10B_RS00130,0,97.2118689291349
ECDH10B_0029,fkpB,25826,26275,26050,fkpB,ECDH10B_RS00135,0,93.4732834379722
ECDH10B_0030,ispH,26277,27227,26752,ispH,ECDH10B_RS00140,0,187.282265670887
ECDH10B_0031,rihC,27293,28207,27750,rihC,ECDH10B_RS00145,0,170.274658190819
ECDH10B_0032,dapB,28374,29195,28784,dapB,ECDH10B_RS00150,0,191.777411158903
ECDH10B_0033,carA,29651,30799,30225,,ECDH10B_RS00165,0,46.2504853477492
ECDH10B_0034,carB,30817,34038,32427,carB,ECDH10B_RS00170,0,117.0313000519
ECDH10B_0035,caiF,34300,34695,34497,caiF,ECDH10B_RS00180,0,12.4828540730864
ECDH10B_0036,caiE,34781,35371,35076,caiE,ECDH10B_RS00185,1,1.81108244379327
ECDH10B_0037,caiD,35377,36162,35769,caiD,ECDH10B_RS00190,1,2.25297335785769
ECDH10B_0038,caiC,36271,37824,37047,caiC,ECDH10B_RS00195,1,6.30419582533671
ECDH10B_0039,caiB,37898,39115,38506,caiB,ECDH10B_RS00200,1,11.9872158870319
ECDH10B_0040,caiA,39244,40386,39815,caiA,ECDH10B_RS00205,1,20.2036674902637
ECDH10B_0041,caiT,40417,41931,41174,,ECDH10B_RS00210,1,3.25968791385615
ECDH10B_0042,fixA,42403,43173,42788,,ECDH10B_RS00215,0,1.46013637937612
ECDH10B_0043,fixB,43188,44129,43658,,ECDH10B_RS00220,0,1.24495637700054
ECDH10B_0044,fixC,44180,45466,44823,,ECDH10B_RS00225,0,2.32085638887847
ECDH10B_0045,fixX,45463,45750,45606,fixX,ECDH10B_RS00230,0,0
ECDH10B_0046,yaaU,45807,47138,46472,,ECDH10B_RS00235,0,0.894010312583389
ECDH10B_0047,kefF,47246,47776,47511,kefF,ECDH10B_RS00240,0,3.03297700216732
ECDH10B_0048,kefC,47769,49631,48700,kefC,ECDH10B_RS00245,0,24.8364542084248
ECDH10B_0049,folA,49823,50302,50062,folA,ECDH10B_RS00250,0,111.704626668472
ECDH10B_0050,apaH,50380,51222,50801,apaH,ECDH10B_RS00255,1,85.9267360853523
ECDH10B_0051,apaG,51229,51606,51417,apaG,ECDH10B_RS00260,1,29.2309991055838
ECDH10B_0052,ksgA,51609,52430,52019,rsmA,ECDH10B_RS00265,1,180.148035289412
ECDH10B_0053,pdxA,52427,53416,52921,pdxA,ECDH10B_RS00270,1,82.7194930186276
ECDH10B_0054,surA,53416,54702,54059,surA,ECDH10B_RS00275,1,548.755948362889
ECDH10B_0055,imp,54755,57109,55932,lptD,ECDH10B_RS00280,1,1015.44035764958
ECDH10B_0056,djlA,57364,58179,57771,djlA,ECDH10B_RS00285,0,82.2776021045632
ECDH10B_0058,yabP,58474,59124,58799,,ECDH10B_RS00290,0,25.9021257358481
ECDH10B_0060,rluA,59687,60346,60016,rluA,ECDH10B_RS00295,1,5.38842611898553
ECDH10B_0061,hepA,60358,>62376,61367,rapA,ECDH10B_RS00300,1,4.628879443585
ECDH10B_0062,fruR,62381,63136,62758,cra,ECDH10B_RS00305,0,1.66378547243847
ECDH10B_0063,mraZ,63738,64196,63967,mraZ,ECDH10B_RS00310,0,111.187038174235
ECDH10B_0064,mraW,64198,65139,64668,rsmH,ECDH10B_RS00315,0,132.985305681057
ECDH10B_0065,ftsL,65136,65501,65318,ftsL,ECDH10B_RS00320,0,8.66987342660947
ECDH10B_0066,ftsI,65517,67283,66400,,ECDH10B_RS00325,0,76.8774541618494
ECDH10B_0067,murE,67270,68757,68013,murE,ECDH10B_RS00330,0,144.332382174812
ECDH10B_0068,murF,68754,70112,69433,murF,ECDH10B_RS00335,0,120.45000676084
ECDH10B_0069,mraY,70106,71188,70647,mraY,ECDH10B_RS00340,0,96.7127052973343
ECDH10B_0070,murD,71191,72507,71849,murD,ECDH10B_RS00345,0,126.978499562563
ECDH10B_0071,ftsW,72507,73751,73129,ftsW,ECDH10B_RS00350,0,81.7667166490344
ECDH10B_0072,murG,73748,74815,74281,murG,ECDH10B_RS00355,0,87.8748870160459
ECDH10B_0073,murC,74869,76344,75606,murC,ECDH10B_RS00360,0,170.745393366189
ECDH10B_0074,ddl,76337,77257,76797,,ECDH10B_RS00365,0,151.827787105159
ECDH10B_0075,ftsQ,77259,78089,77674,ftsQ,ECDH10B_RS00370,0,122.271317689087
ECDH10B_0076,ftsA,78086,79348,78717,ftsA,ECDH10B_RS00375,0,260.36589373031
ECDH10B_0077,ftsZ,79409,80560,79984,ftsZ,ECDH10B_RS00380,0,1112.16363928415
ECDH10B_0078,lpxC,80661,81578,81119,lpxC,ECDH10B_RS00385,0,2375.93848131809
ECDH10B_0079,secM,81809,82321,82065,secM,ECDH10B_RS00390,0,200.86611368095
ECDH10B_0080,secA,82383,85088,83735,secA,ECDH10B_RS00395,0,1508.63132782701
ECDH10B_0081,mutT,85148,85537,85342,mutT,ECDH10B_RS00400,0,38.0059531408712
ECDH10B_0082,yacG,85753,85950,85851,yacG,ECDH10B_RS00410,1,13.7291128749456
ECDH10B_0083,yacF,85960,86703,86331,zapD,ECDH10B_RS00415,1,51.428941163794
ECDH10B_0084,coaE,86703,87323,87013,coaE,ECDH10B_RS00420,1,23.3301941917957
ECDH10B_0085,guaC,87548,88591,88069,guaC,ECDH10B_RS00425,0,228.617249119862
ECDH10B_0086,hofC,88626,89828,89227,hofC,ECDH10B_RS00430,1,5.88666915475748
ECDH10B_0087,hofB,89818,91203,90510,gspE,ECDH10B_RS00435,1,19.8207335476242
ECDH10B_0088,ppdD,91213,91653,91433,ppdD,ECDH10B_RS00440,1,1.73166850345925
ECDH10B_0089,nadC,91856,92749,92302,nadC,ECDH10B_RS00450,1,214.706819288867
ECDH10B_0090,ampD,92837,93388,93112,ampD,ECDH10B_RS00455,0,66.5873140503371
ECDH10B_0091,ampE,93385,94239,93812,ampE,ECDH10B_RS00460,0,88.149944585875
ECDH10B_0092,aroP,94282,95655,94968,aroP,ECDH10B_RS00465,1,126.672183796125
ECDH10B_0093,pdhR,96196,96960,96578,pdhR,ECDH10B_RS00470,0,317.061821624494
ECDH10B_0094,aceE,97121,99784,98452,aceE,ECDH10B_RS00475,0,9659.7232778249
ECDH10B_0095,aceF,99799,101691,100745,aceF,ECDH10B_RS00480,0,7399.19280921921
ECDH10B_0096,lpd,102016,103440,102728,lpdA,ECDH10B_RS00485,0,5918.49657261293
ECDH10B_0097,yacH,103511,105364,104437,,ECDH10B_RS00490,1,4.23311216677357
ECDH10B_0098,acnB,105719,108316,107017,acnB,ECDH10B_RS00495,0,4178.6727846009
ECDH10B_0099,yacL,108492,108854,108673,,ECDH10B_RS00500,0,230.436718856053
ECDH10B_0100,speD,108892,109686,109289,speD,ECDH10B_RS00505,1,322.99312107723
ECDH10B_0101,speE,109702,110568,110135,speE,ECDH10B_RS00510,1,282.531656995883
ECDH10B_0102,yacC,110674,111021,110847,,ECDH10B_RS00515,1,59.8925606476237
ECDH10B_0103,cueO,111187,112737,111962,cueO,ECDH10B_RS00520,0,238.375474063692
ECDH10B_0104,gcd,112939,115329,114134,,ECDH10B_RS00525,1,89.4631658227264
ECDH10B_0105,hpt,115535,116071,115803,hpt,ECDH10B_RS00530,0,235.649958314453
ECDH10B_0106,can,116112,116774,116443,can,ECDH10B_RS00535,1,409.76199537128
ECDH10B_0107,yadG,116883,117809,117346,,ECDH10B_RS00540,0,121.110794037441
ECDH10B_0108,yadH,117806,118576,118191,,ECDH10B_RS00545,0,75.5467626346364
ECDH10B_0109,yadI,118681,119121,118901,,ECDH10B_RS00550,0,54.6806236140829
ECDH10B_0110,yadE,119185,120414,119799,,ECDH10B_RS00555,0,36.8915531264774
ECDH10B_0111,panD,120418,120798,120608,panD,ECDH10B_RS00560,1,378.813620459636
ECDH10B_0112,yadD,121072,121974,121523,,ECDH10B_RS00565,0,22.1198305427349
ECDH10B_0113,panC,122048,122899,122473,panC,ECDH10B_RS00570,1,376.92143982182
ECDH10B_0114,panB,122911,123705,123308,panB,ECDH10B_RS00575,1,360.161954794424
ECDH10B_0115,yadC,123819,125057,124438,yadC,ECDH10B_RS00580,1,2.71662366568991
ECDH10B_0116,yadK,125107,125703,125405,,ECDH10B_RS00585,1,0.283063033396367
ECDH10B_0117,yadL,125730,126335,126032,yadL,ECDH10B_RS00590,1,0.566126066792735
ECDH10B_0118,yadM,126347,126916,126631,,ECDH10B_RS00595,1,0.350946064417148
ECDH10B_0119,htrE,126933,129530,128231,htrE,ECDH10B_RS00600,1,2.2299115392312
ECDH10B_0120,ecpD,129565,130305,129935,,ECDH10B_RS00605,1,0.486712126458708
ECDH10B_0121,yadN,130403,130987,130695,,ECDH10B_RS00610,1,1.66378547243847
ECDH10B_0122,folK,131357,131836,131596,folK,ECDH10B_RS00615,1,14.0378425766859
ECDH10B_0123,pcnB,131833,133251,132542,pcnB,ECDH10B_RS00620,1,327.121152635326
ECDH10B_0124,yadB,133290,134216,133753,gluQRS,ECDH10B_RS00625,1,18.0903674690236
ECDH10B_0125,dksA,134253,134708,134480,,ECDH10B_RS00630,1,654.554369503723
ECDH10B_0126,sfsA,134886,135590,135238,sfsA,ECDH10B_RS00635,1,156.188468955992
ECDH10B_0127,ligT,135605,136135,135870,thpR,ECDH10B_RS00640,1,20.7621699223192
ECDH10B_0128,hrpB,136209,138638,137423,,ECDH10B_RS00645,0,160.606266586193
ECDH10B_0129,mrcB,138834,141368,140101,mrcB,ECDH10B_RS00655,0,362.190092408697
ECDH10B_0130,fhuA,141588,143831,142709,fhuA,ECDH10B_RS00660,0,651.469554373716
ECDH10B_0131,fhuC,143882,144679,144280,fhuC,ECDH10B_RS00665,0,12.1678031614677
ECDH10B_0132,fhuD,144679,145569,145124,fhuD,ECDH10B_RS00670,0,4.84536187081929
ECDH10B_0133,fhuB,145566,147548,146557,fhuB,ECDH10B_RS00675,0,20.6494656789042
ECDH10B_0134,hemL,147706,148986,148346,hemL,ECDH10B_RS00680,1,501.600460560442
ECDH10B_0135,clcA,149211,150632,149921,clcA,ECDH10B_RS00685,0,55.43403999402
ECDH10B_0136,yadR,150714,151058,150886,erpA,ECDH10B_RS00690,0,147.344711293656
ECDH10B_0137,yadS,151105,151728,151416,,ECDH10B_RS00695,1,25.7996499768876
ECDH10B_0138,btuF,151766,152566,152166,btuF,ECDH10B_RS00700,1,21.7932487218029
ECDH10B_0139,pfs,152559,153257,152908,mtnN,ECDH10B_RS00705,1,339.962576407567
ECDH10B_0140,dgt,153341,154858,154099,dgt,ECDH10B_RS00710,0,89.7804397552324
ECDH10B_0141,degP,154988,156412,155700,degP,ECDH10B_RS00715,0,434.284667116898
ECDH10B_0142,cdaR,156567,157724,157145,,ECDH10B_RS00720,0,85.5795063810963
ECDH10B_0143,yaeH,157813,158199,158006,,ECDH10B_RS00725,1,209.458605273698
ECDH10B_0144,yaeI,158361,159173,158767,yaeI,ECDH10B_RS00730,1,8.22928493740375
ECDH10B_0145,dapD,159227,160051,159639,dapD,ECDH10B_RS00735,1,496.216132630447
ECDH10B_0146,glnD,160082,162754,161418,glnD,ECDH10B_RS00740,1,163.281594485235
ECDH10B_0147,map,162816,163610,163213,map,ECDH10B_RS00745,1,575.190528033619
ECDH10B_0149,rpsB,163978,164703,164340,rpsB,ECDH10B_RS00750,0,4858.78519375313
ECDH10B_0150,tsf,164961,165812,165386,tsf,ECDH10B_RS00755,0,3656.39760749808
ECDH10B_0151,pyrH,165959,166684,166321,pyrH,ECDH10B_RS00760,0,345.446236479606
ECDH10B_0152,frr,166976,167533,167254,frr,ECDH10B_RS00765,0,953.96860119324
ECDH10B_0153,dxr,167625,168821,168223,ispC,ECDH10B_RS00770,0,122.029359507924
ECDH10B_0154,ispU,169010,169768,169389,ispU,ECDH10B_RS00775,0,214.04250656652
ECDH10B_0155,cdsA,169781,170638,170209,cdsA,ECDH10B_RS00780,0,124.163116498073
