ID,K-12 gene namea,dN (average),dS (average),HTGb,H-NS bindingc,H-NS binding (excluded genes in which H-NS-bound regions were restricted at the 3' end and length is less than 10% of total gene length)d,Genes included in transcriptional units H-NS bounde,Transcription unit namef
0,thrA,0.001128224,0.07550666,x,FALSE,FALSE,FALSE, 
1,thrB,0.001521142,0.060789006,x,FALSE,FALSE,FALSE, 
2,thrC,0.001167336,0.061672093,n,FALSE,FALSE,FALSE, 
3,yaaA,0.003860677,0.050178858,n,FALSE,FALSE,FALSE, 
4,yaaJ,0.0044963,0.057250951,N,FALSE,FALSE,FALSE, 
5,talB,0.001281184,0.035853805,n,FALSE,FALSE,FALSE, 
6,mog,0.002618499,0.037495666,x,FALSE,FALSE,FALSE, 
7,yaaH,0.001458774,0.045834778,x,FALSE,FALSE,FALSE, 
8,yaaI,0.011707928,0.073727907,n,FALSE,FALSE,FALSE, 
9,dnaJ,0.00072463,0.05632907,l/n,FALSE,FALSE,FALSE, 
10,nhaA,0.003328647,0.153560571,n,TRUE,TRUE,TRUE,nhaAR
11,nhaR,0.012725159,0.424567865,x,FALSE,FALSE,TRUE,nhaAR
12,ribF,0.001039641,0.08808203,n,FALSE,FALSE,FALSE, 
13,ileS,0.002491966,0.108884249,x,FALSE,FALSE,FALSE, 
14,lspA,0.002490169,0.039223679,x,FALSE,FALSE,FALSE, 
15,fkpB,0,0.050763531,x,FALSE,FALSE,FALSE, 
16,ispH,0.003742918,0.130564588,x,FALSE,FALSE,FALSE, 
17,dapB,0.002153488,0.075230338,x,FALSE,FALSE,FALSE, 
18,carA,0.002240169,0.085337209,x,FALSE,FALSE,FALSE, 
19,carB,0.001361839,0.119544926,n,TRUE,FALSE,FALSE, 
20,caiF,0.004360465,0.049007822,N,TRUE,TRUE,TRUE,caiF
21,caiE,0.006536575,0.051179704,n,FALSE,FALSE,TRUE,caiCDE
22,caiD,0.0025537,0.052429387,x,TRUE,TRUE,TRUE,caiCDE
23,caiC,0.007143658,0.062912685,x,TRUE,TRUE,TRUE,caiCDE
24,caiA,0.000100106,0.058435518,x,FALSE,FALSE,TRUE,caiTABCDE
25,fixA,0.002684144,0.05096945,x,TRUE,TRUE,TRUE,fixABCX
26,fixC,0.001450529,0.078495666,x,FALSE,FALSE,TRUE,fixABCX
27,kefF,0.001687104,0.07527611,x,FALSE,FALSE,FALSE, 
28,folA,0.000814376,0.064348414,x,FALSE,FALSE,FALSE, 
29,apaH,0.003577167,0.071158351,n,FALSE,FALSE,FALSE, 
30,apaG,0,0.00075,N,FALSE,FALSE,FALSE, 
31,ksgA,0.001740803,0.036320085,n,FALSE,FALSE,FALSE, 
32,pdxA,0.006668816,0.043821247,x,FALSE,FALSE,FALSE, 
33,imp,0.003634355,0.063890381,x,FALSE,FALSE,FALSE, 
34,djlA,0.002443975,0.051886258,l/n,FALSE,FALSE,FALSE, 
35,rluA,0.00270518,0.062428753,l/n,FALSE,FALSE,FALSE, 
36,hepA,0.000465751,0.071231818,x,FALSE,FALSE,FALSE, 
37,polB,0.005525159,0.121213531,x,FALSE,FALSE,FALSE, 
38,araA,0.00117019,0.116300317,x,FALSE,FALSE,FALSE, 
39,araB,0.005980127,0.067943129,x,FALSE,FALSE,FALSE, 
40,araC,0.002642178,0.087506237,x,FALSE,FALSE,FALSE, 
41,yabI,0.005261945,0.128735624,x,FALSE,FALSE,FALSE, 
42,thiQ,0.010899894,0.155111628,x,FALSE,FALSE,TRUE,leuLABCD
43,thiP,0.006961416,0.113262262,x,FALSE,FALSE,TRUE,leuLABCD
44,tbpA,0.006598626,0.167782135,x,FALSE,FALSE,TRUE,leuLABCD
45,leuD,0.005113742,0.140180444,n,FALSE,FALSE,TRUE,leuLABCD
46,leuC,0.000506342,0.112586892,x,FALSE,FALSE,TRUE,leuLABCD
47,leuB,0.001531712,0.115113848,x,FALSE,FALSE,TRUE,leuLABCD
48,leuA,0.000659937,0.093951374,x,TRUE,TRUE,TRUE,leuLABCD
49,ilvI,0.003921564,0.107658879,n,TRUE,TRUE,TRUE,ilvIH
50,ilvH,0.001815856,0.053398203,x,FALSE,FALSE,TRUE,ilvIH
51,fruR,6.90E-05,0.054903066,x,FALSE,FALSE,FALSE, 
52,mraW,0.001148943,0.038118393,n,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
53,ftsL,0.000172727,0.024967865,N,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
54,ftsI,0.000944397,0.045030338,n,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
55,murE,0.00389556,0.079349683,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
56,murF,0.003712474,0.061673573,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
57,mraY,0.000847463,0.074421036,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
58,murD,0.002528753,0.110914693,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
59,ftsW,5.45E-05,0.046369767,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
60,murG,0.001643552,0.038556237,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
61,murC,0.000655497,0.047891121,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
62,ddlB,0.004149471,0.039517548,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
63,ftsQ,0.000620719,0.021038584,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
64,ftsA,0,0.030959408,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
65,ftsZ,0,0.033086469,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
66,lpxC,0.000127378,0.02497611,x,FALSE,FALSE,TRUE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
67,secM,0.00272463,0.056223044,x,FALSE,FALSE,FALSE, 
68,mutT,0.008661628,0.04069852,n,FALSE,FALSE,FALSE, 
69,yacF,0.001980761,0.031090169,n,FALSE,FALSE,FALSE, 
70,coaE,0.002177378,0.018588478,x,FALSE,FALSE,FALSE, 
71,nadC,0.001268499,0.051703594,x,FALSE,FALSE,FALSE, 
72,ampD,0.004959725,0.034564905,x,FALSE,FALSE,FALSE, 
73,ampE,0.003472304,0.058645137,x,FALSE,FALSE,FALSE, 
74,aroP,0.002000529,0.099603277,x,FALSE,FALSE,FALSE, 
