gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
220256	221811	221033	NA	BW25113_RS01010	BW25113_0201	0
221868	221944	221906	NA	BW25113_RS01015	BW25113_0202	0
221987	222062	222024	NA	BW25113_RS01020	BW25113_0203	0
222237	225166	223701	NA	BW25113_RS01025	BW25113_0204	0
225245	225360	225302	rrf	BW25113_RS01030	BW25113_0205	0
225415	225491	225453	NA	BW25113_RS01035	BW25113_0206	0
233418	233494	233456	NA	BW25113_RS01085	BW25113_0216	0
258582	258657	258619	NA	BW25113_RS01235	BW25113_0244	0
292889	292965	292927	NA	BW25113_RS01445	NA	0
471912	472008	471960	ffs	BW25113_RS23035	BW25113_0455	0
560179	560255	560217	NA	BW25113_RS02750	BW25113_0536	0
691886	691960	691923	NA	BW25113_RS03440	BW25113_0664	1
691998	692072	692035	NA	BW25113_RS03445	BW25113_0665	1
692120	692196	692158	NA	BW25113_RS03450	BW25113_0666	1
692212	692286	692249	NA	BW25113_RS03455	BW25113_0668	1
692321	692395	692358	NA	BW25113_RS03460	BW25113_0670	1
692419	692503	692461	NA	BW25113_RS03465	BW25113_0672	1
692513	692589	692551	NA	BW25113_RS03470	BW25113_0673	1
776010	776085	776047	NA	BW25113_RS03855	BW25113_0743	0
776221	776296	776258	NA	BW25113_RS03860	BW25113_0744	0
776299	776374	776336	NA	BW25113_RS03865	BW25113_0745	0
776524	776599	776561	NA	BW25113_RS03870	BW25113_0746	0
776603	776678	776640	NA	BW25113_RS03875	BW25113_0747	0
776825	776900	776862	NA	BW25113_RS03880	BW25113_0748	0
777033	777108	777070	NA	BW25113_RS03885	BW25113_0749	0
777139	777264	777201	NA	BW25113_RS23060	NA	0
921340	921427	921383	NA	BW25113_RS04585	BW25113_0883	1
1027081	1027168	1027124	NA	BW25113_RS05040	BW25113_0971	1
1092659	1092795	1092727	NA	BW25113_RS23065	NA	1
1092840	1092976	1092908	NA	BW25113_RS23070	NA	1
1093021	1093108	1093064	NA	BW25113_RS05370	BW25113_1032	1
1282166	1282297	1282231	NA	BW25113_RS23085	NA	1
1282344	1282475	1282409	NA	BW25113_RS23090	NA	1
1282522	1282653	1282587	NA	BW25113_RS23095	BW25113_4425	1
