gbk_start	gbk_end	gbk_midpoint	gbk_gene_id	gbk_locus_tag	gbk_old_locus_tag	gbk_strand
190	255	222	thrL	ECDH10B_RS00005	ECDH10B_0001	0
337	2799	1568	thrA	ECDH10B_RS00010	ECDH10B_0002	0
2801	3733	3267	thrB	ECDH10B_RS00015	ECDH10B_0003	0
3734	5020	4377	thrC	ECDH10B_RS00020	ECDH10B_0004	0
5234	5530	5382	NA	ECDH10B_RS00030	ECDH10B_0005	0
5683	6459	6071	yaaA	ECDH10B_RS00035	ECDH10B_0006	1
6529	7959	7244	NA	ECDH10B_RS00040	ECDH10B_0007	1
8238	9191	8714	tal	ECDH10B_RS00045	ECDH10B_0008	0
9306	9893	9599	mog	ECDH10B_RS00050	ECDH10B_0009	0
9928	10494	10211	satP	ECDH10B_RS00055	ECDH10B_0010	1
10643	11356	10999	msyB	ECDH10B_RS00060	ECDH10B_0011	1
11382	11786	11584	NA	ECDH10B_RS00065	ECDH10B_0013	1
12163	14079	13121	dnaK	ECDH10B_RS00070	ECDH10B_0014	0
14168	15298	14733	dnaJ	ECDH10B_RS00075	ECDH10B_0015	0
15445	16557	16001	NA	ECDH10B_RS00080	ECDH10B_0016	0
16751	16960	16855	mokC	ECDH10B_RS00085	ECDH10B_0018	1
17489	18655	18072	nhaA	ECDH10B_RS00090	ECDH10B_0020	0
18721	19620	19170	nhaR	ECDH10B_RS00095	ECDH10B_0021	0
20815	21078	20946	rpsT	ECDH10B_RS00110	ECDH10B_0024	1
21181	21399	21290	NA	ECDH10B_RS00115	ECDH10B_0025	0
21407	22348	21877	ribF	ECDH10B_RS00120	ECDH10B_0026	0
22391	25207	23799	ileS	ECDH10B_RS00125	ECDH10B_0027	0
25207	25701	25454	lspA	ECDH10B_RS00130	ECDH10B_0028	0
25826	26275	26050	fkpB	ECDH10B_RS00135	ECDH10B_0029	0
26277	27227	26752	ispH	ECDH10B_RS00140	ECDH10B_0030	0
27293	28207	27750	rihC	ECDH10B_RS00145	ECDH10B_0031	0
28374	29195	28784	dapB	ECDH10B_RS00150	ECDH10B_0032	0
29651	30799	30225	NA	ECDH10B_RS00165	ECDH10B_0033	0
30817	34038	32427	carB	ECDH10B_RS00170	ECDH10B_0034	0
34300	34695	34497	caiF	ECDH10B_RS00180	ECDH10B_0035	0
34781	35371	35076	caiE	ECDH10B_RS00185	ECDH10B_0036	1
35377	36162	35769	caiD	ECDH10B_RS00190	ECDH10B_0037	1
36271	37824	37047	caiC	ECDH10B_RS00195	ECDH10B_0038	1
37898	39115	38506	caiB	ECDH10B_RS00200	ECDH10B_0039	1
39244	40386	39815	caiA	ECDH10B_RS00205	ECDH10B_0040	1
40417	41931	41174	NA	ECDH10B_RS00210	ECDH10B_0041	1
42403	43173	42788	NA	ECDH10B_RS00215	ECDH10B_0042	0
43188	44129	43658	NA	ECDH10B_RS00220	ECDH10B_0043	0
44180	45466	44823	NA	ECDH10B_RS00225	ECDH10B_0044	0
45463	45750	45606	fixX	ECDH10B_RS00230	ECDH10B_0045	0
45807	47138	46472	NA	ECDH10B_RS00235	ECDH10B_0046	0
47246	47776	47511	kefF	ECDH10B_RS00240	ECDH10B_0047	0
47769	49631	48700	kefC	ECDH10B_RS00245	ECDH10B_0048	0
49823	50302	50062	folA	ECDH10B_RS00250	ECDH10B_0049	0
50380	51222	50801	apaH	ECDH10B_RS00255	ECDH10B_0050	1
51229	51606	51417	apaG	ECDH10B_RS00260	ECDH10B_0051	1
51609	52430	52019	rsmA	ECDH10B_RS00265	ECDH10B_0052	1
52427	53416	52921	pdxA	ECDH10B_RS00270	ECDH10B_0053	1
53416	54702	54059	surA	ECDH10B_RS00275	ECDH10B_0054	1
54755	57109	55932	lptD	ECDH10B_RS00280	ECDH10B_0055	1
57364	58179	57771	djlA	ECDH10B_RS00285	ECDH10B_0056	0
58474	59124	58799	NA	ECDH10B_RS00290	ECDH10B_0058	0
59121	59279	59200	NA	ECDH10B_RS25825	NA	0
59687	60346	60016	rluA	ECDH10B_RS00295	ECDH10B_0060	1
63738	64196	63967	mraZ	ECDH10B_RS00310	ECDH10B_0063	0
64198	65139	64668	rsmH	ECDH10B_RS00315	ECDH10B_0064	0
65136	65501	65318	ftsL	ECDH10B_RS00320	ECDH10B_0065	0
65517	67283	66400	NA	ECDH10B_RS00325	ECDH10B_0066	0
67270	68757	68013	murE	ECDH10B_RS00330	ECDH10B_0067	0
68754	70112	69433	murF	ECDH10B_RS00335	ECDH10B_0068	0
70106	71188	70647	mraY	ECDH10B_RS00340	ECDH10B_0069	0
71191	72507	71849	murD	ECDH10B_RS00345	ECDH10B_0070	0
72507	73751	73129	ftsW	ECDH10B_RS00350	ECDH10B_0071	0
73748	74815	74281	murG	ECDH10B_RS00355	ECDH10B_0072	0
74869	76344	75606	murC	ECDH10B_RS00360	ECDH10B_0073	0
76337	77257	76797	NA	ECDH10B_RS00365	ECDH10B_0074	0
77259	78089	77674	ftsQ	ECDH10B_RS00370	ECDH10B_0075	0
78086	79348	78717	ftsA	ECDH10B_RS00375	ECDH10B_0076	0
79409	80560	79984	ftsZ	ECDH10B_RS00380	ECDH10B_0077	0
80661	81578	81119	lpxC	ECDH10B_RS00385	ECDH10B_0078	0
81809	82321	82065	secM	ECDH10B_RS00390	ECDH10B_0079	0
